Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|1.35|1.36|1.27|1.3|224067|USD|0
2012-01-04|1.3|1.38|1.3|1.34|192840|USD|1
2012-01-05|1.31|1.35|1.25|1.3|164057|USD|2
2012-01-06|1.33|1.33|1.2|1.2|258699|USD|3
2012-01-09|1.2|1.23|1.12|1.17|195447|USD|4
2012-01-10|1.19|1.22|1.16|1.21|91862|USD|5
2012-01-11|1.21|1.25|1.2|1.2|82807|USD|6
2012-01-12|1.23|1.24|1.19|1.22|87999|USD|7
2012-01-13|1.2|1.2|1.16|1.19|85219|USD|8
2012-01-17|1.22|1.25|1.18|1.2|118383|USD|9
2012-01-18|1.19|1.22|1.19|1.19|86041|USD|10
2012-01-19|1.22|1.26|1.16|1.18|85284|USD|11
2012-01-20|1.19|1.24|1.13|1.17|113754|USD|12
2012-01-23|1.15|1.2|1.15|1.17|82056|USD|13
2012-01-24|1.21|1.21|1.14|1.14|87559|USD|14
2012-01-25|1.17|1.17|1.1|1.12|146622|USD|15
2012-01-26|1.12|1.17|1.1|1.15|77305|USD|16
2012-01-27|1.15|1.16|1.1|1.11|105819|USD|17
2012-01-30|1.06|1.11|1.05|1.09|128126|USD|18
2012-01-31|1.07|1.09|1.05|1.08|121727|USD|19
2012-02-01|1.06|1.1|1.03|1.1|124307|USD|20
2012-02-02|1.08|1.09|1.05|1.08|49249|USD|21
2012-02-03|1.08|1.13|1.08|1.09|55576|USD|22
2012-02-06|1.09|1.16|1.09|1.12|128193|USD|23
2012-02-07|1.15|1.16|1.1|1.11|89554|USD|24
2012-02-08|1.14|1.14|1.09|1.1|89333|USD|25
2012-02-09|1.15|1.15|1.11|1.12|22045|USD|26
2012-02-10|1.12|1.14|1.06|1.07|115466|USD|27
2012-02-13|1.15|1.16|1.07|1.1|186058|USD|28
2012-02-14|1.12|1.18|1.1|1.16|142260|USD|29
2012-02-15|1.17|1.18|1.14|1.14|80000|USD|30
2012-02-16|1.14|1.14|1.12|1.14|39950|USD|31
2012-02-17|1.13|1.15|1.12|1.13|46862|USD|32
2012-02-21|1.12|1.17|1.09|1.11|109876|USD|33
2012-02-22|1.1|1.13|1.09|1.11|45000|USD|34
2012-02-23|1.11|1.13|1.09|1.1|19304|USD|35
2012-02-24|1.1|1.15|1.08|1.1|32759|USD|36
2012-02-27|1.09|1.12|1.08|1.1|32151|USD|37
2012-02-28|1.09|1.12|1.07|1.1|70131|USD|38
2012-02-29|1.08|1.12|1.08|1.11|32559|USD|39
2012-03-01|1.11|1.12|1.1|1.11|9085|USD|40
2012-03-02|1.11|1.14|1.11|1.13|16930|USD|41
2012-03-05|1.13|1.13|1.08|1.08|57292|USD|42
2012-03-06|1.08|1.12|1.08|1.1|40470|USD|43
2012-03-07|1.1|1.1|1.07|1.1|17635|USD|44
2012-03-08|1.1|1.12|1.08|1.11|47958|USD|45
2012-03-09|1.12|1.12|1.1|1.12|48845|USD|46
2012-03-12|1.11|1.12|1.1|1.11|22265|USD|47
2012-03-13|1.08|1.12|1.08|1.11|29404|USD|48
2012-03-14|1.08|1.1|1.07|1.1|50190|USD|49
2012-03-15|1.1|1.14|1.09|1.13|47011|USD|50
2012-03-16|1.13|1.13|1.02|1.05|88070|USD|51
2012-03-19|1.08|1.11|1.06|1.1|71740|USD|52
2012-03-20|1.1|1.1|1.07|1.08|27826|USD|53
2012-03-21|1.07|1.09|1.07|1.09|32120|USD|54
2012-03-22|1.08|1.08|1.05|1.05|30550|USD|55
2012-03-23|1.07|1.1|1.07|1.07|15756|USD|56
2012-03-26|1.11|1.11|1.04|1.09|64933|USD|57
2012-03-27|1.1|1.17|1.1|1.13|141236|USD|58
2012-03-28|1.13|1.21|1.13|1.17|87534|USD|59
2012-03-29|1.14|1.17|1.13|1.14|29730|USD|60
2012-03-30|1.14|1.14|1.07|1.11|27751|USD|61
2012-04-02|1.14|1.14|1.06|1.07|61495|USD|62
2012-04-03|1.11|1.13|1.06|1.07|20336|USD|63
2012-04-04|1.09|1.1|1.06|1.09|21348|USD|64
2012-04-05|1.08|1.09|1.04|1.06|42920|USD|65
