Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|11.63|11.8|11.57|11.68|291280|USD|0
2012-01-04|11.58|11.75|11.5|11.64|219042|USD|1
2012-01-05|11.58|11.7|11.4|11.53|197492|USD|2
2012-01-06|11.52|11.63|11.31|11.45|175754|USD|3
2012-01-09|11.52|11.52|11.28|11.31|212051|USD|4
2012-01-10|11.45|11.65|11.42|11.53|284887|USD|5
2012-01-11|11.49|11.65|11.39|11.61|195499|USD|6
2012-01-12|11.65|11.78|11.5|11.78|324777|USD|7
2012-01-13|11.66|12.7|11.54|12.63|1144213|USD|8
2012-01-17|12.15|12.42|12.01|12.35|781645|USD|9
2012-01-18|12.37|12.75|12.2|12.48|655330|USD|10
2012-01-19|12.56|12.6|12.3|12.59|332333|USD|11
2012-01-20|12.55|12.65|12.14|12.23|207288|USD|12
2012-01-23|12.24|12.42|12.15|12.37|163608|USD|13
2012-01-24|12.34|12.46|12.19|12.29|224443|USD|14
2012-01-25|12.34|12.87|12.17|12.85|312175|USD|15
2012-01-26|12.89|12.95|12.39|12.6|320796|USD|16
2012-01-27|12.6|13.39|12.56|13.03|613810|USD|17
2012-01-30|12.99|13.07|12.66|12.93|250005|USD|18
2012-01-31|12.96|13.12|12.83|12.98|357817|USD|19
2012-02-01|13.06|13.28|12.86|12.96|340188|USD|20
2012-02-02|13.09|13.36|13.01|13.3|439262|USD|21
2012-02-03|13.48|13.67|13.24|13.46|297852|USD|22
2012-02-06|13.39|13.46|13.09|13.16|269112|USD|23
2012-02-07|13.11|13.29|12.55|12.73|343110|USD|24
2012-02-08|12.74|13.04|12.45|12.76|233462|USD|25
2012-02-09|12.81|12.83|12.52|12.75|89333|USD|26
2012-02-10|12.68|12.8|12.52|12.76|333977|USD|27
2012-02-13|12.91|13.45|12.74|13.45|415266|USD|28
2012-02-14|13.38|13.42|13.11|13.41|203487|USD|29
2012-02-15|13.45|13.67|13.24|13.62|294156|USD|30
2012-02-16|13.55|13.56|13.12|13.38|364026|USD|31
2012-02-17|13.41|13.44|12.85|12.96|406550|USD|32
2012-02-21|13.02|13.05|12.64|12.71|163131|USD|33
2012-02-22|12.66|12.83|12.56|12.6|308322|USD|34
2012-02-23|12.51|13.46|12.48|13.03|560653|USD|35
2012-02-24|13.02|13.25|12.84|13.01|460518|USD|36
2012-02-27|12.9|12.99|12.53|12.9|1116967|USD|37
2012-02-28|12.9|13.5|12.9|13.29|912788|USD|38
2012-02-29|13.32|13.48|12.96|13.23|1107727|USD|39
2012-03-01|13.25|13.79|13.15|13.46|1056457|USD|40
2012-03-02|13.44|13.52|12.84|12.96|443846|USD|41
2012-03-05|13.0|13.14|12.65|12.82|221294|USD|42
2012-03-06|12.7|12.73|11.97|12.1|482755|USD|43
2012-03-07|12.16|12.83|12.16|12.78|336951|USD|44
2012-03-08|12.86|13.16|12.58|13.16|326932|USD|45
2012-03-09|13.16|13.35|12.9|13.31|467933|USD|46
2012-03-12|13.26|13.29|12.99|13.17|363344|USD|47
2012-03-13|13.27|13.39|13.01|13.39|480922|USD|48
2012-03-14|13.45|14.2|13.37|14.01|1022352|USD|49
2012-03-15|14.02|14.04|13.81|14.04|280068|USD|50
2012-03-16|14.07|14.37|13.95|14.17|619376|USD|51
2012-03-19|14.08|14.49|13.99|14.32|374806|USD|52
2012-03-20|14.22|14.29|13.87|14.09|536046|USD|53
2012-03-21|14.28|14.66|14.2|14.5|666088|USD|54
2012-03-22|14.4|14.4|13.97|14.3|481682|USD|55
2012-03-23|14.32|14.47|14.14|14.46|221977|USD|56
2012-03-26|14.57|14.6|14.32|14.38|423346|USD|57
2012-03-27|14.41|14.48|14.09|14.16|264105|USD|58
2012-03-28|14.17|14.33|14.09|14.28|243879|USD|59
