Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|4.18|4.73|4.18|4.38|22937|USD|0
2012-01-04|4.45|4.49|4.22|4.3|24247|USD|1
2012-01-05|4.1|4.5|4.1|4.3|15634|USD|2
2012-01-06|4.2|4.5|4.2|4.25|13846|USD|3
2012-01-09|4.23|4.47|4.2|4.47|30008|USD|4
2012-01-10|4.4|4.47|4.32|4.41|11039|USD|5
2012-01-11|4.47|4.47|4.3|4.47|16600|USD|6
2012-01-12|4.39|4.43|4.39|4.4|3067|USD|7
2012-01-13|4.33|4.51|4.17|4.5|15705|USD|8
2012-01-17|4.43|4.57|4.42|4.56|12630|USD|9
2012-01-18|4.55|4.58|4.47|4.58|15701|USD|10
2012-01-19|4.55|4.67|4.5|4.59|16266|USD|11
2012-01-20|4.55|4.64|4.46|4.56|9936|USD|12
2012-01-23|4.51|4.58|4.4|4.41|9727|USD|13
2012-01-24|4.4|4.5|4.4|4.4|10574|USD|14
2012-01-25|4.26|4.55|4.2|4.55|17665|USD|15
2012-01-26|4.51|4.52|4.4|4.5|10818|USD|16
2012-01-27|4.47|4.51|4.34|4.34|3386|USD|17
2012-01-30|4.33|4.52|4.32|4.49|6647|USD|18
2012-01-31|4.48|4.66|4.38|4.66|17181|USD|19
2012-02-01|4.39|4.52|4.39|4.47|16204|USD|20
2012-02-02|4.48|4.51|4.48|4.51|7125|USD|21
2012-02-03|4.5|4.7|4.49|4.51|12742|USD|22
2012-02-06|4.59|4.6|4.49|4.49|33925|USD|23
2012-02-07|4.55|4.6|4.45|4.6|37583|USD|24
2012-02-08|4.61|4.61|4.5|4.57|20112|USD|25
2012-02-09|4.6|4.6|4.41|4.54|25330|USD|26
2012-02-10|4.45|4.46|4.38|4.39|24561|USD|27
2012-02-13|4.32|4.45|4.3|4.35|36842|USD|28
2012-02-14|4.31|4.36|4.3|4.3|58310|USD|29
2012-02-15|4.4|4.42|4.31|4.42|32068|USD|30
2012-02-16|4.5|4.5|4.35|4.4|24536|USD|31
2012-02-17|4.4|4.4|4.22|4.35|97244|USD|32
2012-02-21|4.43|4.43|4.12|4.38|67719|USD|33
2012-02-22|4.36|4.54|4.35|4.36|19634|USD|34
2012-02-23|4.36|4.44|4.29|4.35|11695|USD|35
2012-02-24|4.35|4.45|4.35|4.45|650|USD|36
