Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|9.73|10.0|9.5|9.54|657520|USD|0
2012-01-04|9.46|9.54|9.21|9.25|382152|USD|1
2012-01-05|9.23|9.44|9.0|9.3|285248|USD|2
2012-01-06|9.29|9.41|9.18|9.22|259381|USD|3
2012-01-09|9.3|9.44|9.2|9.33|336098|USD|4
2012-01-10|9.48|9.63|9.36|9.56|388968|USD|5
2012-01-11|9.54|10.1|9.46|9.97|1287195|USD|6
2012-01-12|10.1|10.2|9.71|9.86|805387|USD|7
2012-01-13|9.7|10.0|9.58|9.8|576315|USD|8
2012-01-17|9.94|10.36|9.83|10.31|861259|USD|9
2012-01-18|10.31|10.65|10.25|10.45|1000631|USD|10
2012-01-19|10.53|10.8|10.5|10.72|933995|USD|11
2012-01-20|10.75|10.85|10.62|10.72|1007349|USD|12
2012-01-23|10.76|10.88|10.26|10.31|666568|USD|13
2012-01-24|10.27|10.4|10.11|10.25|491688|USD|14
2012-01-25|10.25|10.52|10.05|10.46|815793|USD|15
2012-01-26|10.51|10.65|10.25|10.32|564084|USD|16
2012-01-27|10.27|10.5|10.27|10.46|439169|USD|17
2012-01-30|10.35|10.65|10.2|10.63|810178|USD|18
2012-01-31|10.74|10.99|10.32|10.56|1419608|USD|19
2012-02-01|11.07|11.28|10.56|11.26|1424002|USD|20
2012-02-02|11.28|11.6|11.13|11.29|905160|USD|21
2012-02-03|11.59|11.62|11.37|11.5|1072530|USD|22
2012-02-06|11.46|11.58|11.33|11.35|665142|USD|23
2012-02-07|11.37|11.47|11.28|11.37|858046|USD|24
2012-02-08|11.43|11.45|11.1|11.28|484510|USD|25
2012-02-09|11.35|11.35|10.9|11.11|405175|USD|26
2012-02-10|10.61|11.24|10.61|11.13|3828456|USD|27
2012-02-13|11.21|11.44|11.13|11.24|1199248|USD|28
2012-02-14|11.29|11.69|11.24|11.56|1085295|USD|29
2012-02-15|11.7|11.8|11.2|11.27|833009|USD|30
2012-02-16|11.35|11.81|11.25|11.74|1305711|USD|31
2012-02-17|11.82|11.95|11.62|11.73|805121|USD|32
2012-02-21|11.8|11.8|11.44|11.52|686166|USD|33
2012-02-22|11.51|11.51|10.94|10.97|777468|USD|34
2012-02-23|11.02|11.66|10.95|11.65|847760|USD|35
2012-02-24|11.67|11.78|11.55|11.66|613850|USD|36
2012-02-27|11.59|11.85|11.24|11.76|502690|USD|37
2012-02-28|11.81|11.84|11.6|11.77|644567|USD|38
2012-02-29|11.83|11.92|11.49|11.51|867578|USD|39
2012-03-01|11.6|11.72|11.37|11.39|644909|USD|40
2012-03-02|11.41|11.61|11.17|11.29|551806|USD|41
2012-03-05|11.27|11.36|11.11|11.29|342619|USD|42
2012-03-06|11.19|11.27|10.79|10.97|732937|USD|43
2012-03-07|10.99|11.24|10.79|11.19|330941|USD|44
2012-03-08|11.54|11.7|11.38|11.51|824277|USD|45
2012-03-09|11.13|11.4|10.82|11.39|1607650|USD|46
2012-03-12|11.37|11.72|11.34|11.38|915239|USD|47
2012-03-13|11.52|11.78|11.34|11.76|855944|USD|48
2012-03-14|11.75|12.15|11.7|12.04|1350400|USD|49
2012-03-15|12.02|12.23|11.82|12.21|651047|USD|50
2012-03-16|12.26|12.29|11.77|11.96|1702062|USD|51
2012-03-19|11.89|12.35|11.89|12.33|690238|USD|52
2012-03-20|12.28|12.29|11.82|11.99|737188|USD|53
2012-03-21|12.0|12.25|11.89|12.18|995030|USD|54
2012-03-22|12.06|12.16|11.83|11.94|736059|USD|55
2012-03-23|11.97|12.04|11.77|12.0|1055896|USD|56
2012-03-26|12.01|12.85|12.01|12.81|1531106|USD|57
2012-03-27|12.88|13.5|12.85|13.35|2501552|USD|58
2012-03-28|13.34|13.5|12.85|13.09|843611|USD|59
2012-03-29|13.03|13.05|12.69|12.84|512202|USD|60
2012-03-30|12.96|13.1|12.67|12.76|670805|USD|61
2012-04-02|12.7|13.01|12.63|13.0|591977|USD|62
2012-04-03|12.99|13.05|12.74|12.81|647206|USD|63
2012-04-04|12.72|12.77|12.36|12.58|636095|USD|64
2012-04-05|12.52|12.63|12.39|12.57|624977|USD|65
2012-04-09|12.41|12.48|12.14|12.15|839701|USD|66
2012-04-10|11.52|11.77|10.48|10.63|3854730|USD|67
2012-04-11|10.73|10.93|10.58|10.9|961864|USD|68
2012-04-12|10.88|11.45|10.86|11.36|1112534|USD|69
2012-04-13|11.29|11.38|11.05|11.27|909628|USD|70
2012-04-16|8.59|9.2|7.51|8.55|8885241|USD|71
2012-04-17|8.53|8.78|8.28|8.29|1586926|USD|72
2012-04-18|8.25|8.31|7.94|8.11|2605910|USD|73
2012-04-19|8.14|8.39|7.98|8.09|1291838|USD|74
2012-04-20|8.25|8.25|8.02|8.07|872599|USD|75
2012-04-23|7.93|8.02|7.77|8.0|1106712|USD|76
2012-04-24|7.99|8.1|7.92|8.0|605750|USD|77
2012-04-25|8.13|8.24|8.06|8.14|1005916|USD|78
2012-04-26|8.11|8.22|7.98|8.09|679854|USD|79
2012-04-27|8.09|8.29|8.02|8.2|623364|USD|80
2012-04-30|8.24|8.24|8.01|8.07|633087|USD|81
2012-05-01|8.08|8.24|7.91|7.94|797378|USD|82
2012-05-02|7.89|8.38|7.86|8.3|1038328|USD|83
2012-05-03|8.3|8.45|7.93|8.04|818489|USD|84
2012-05-04|8.01|8.02|7.77|7.82|817408|USD|85
