Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|18.03|18.06|17.7|17.75|250417|USD|0
2012-01-04|17.6|17.74|17.4|17.59|282652|USD|1
2012-01-05|17.53|17.54|17.32|17.5|302684|USD|2
2012-01-06|17.46|17.64|17.3|17.56|316387|USD|3
2012-01-09|17.67|17.67|17.35|17.4|237388|USD|4
2012-01-10|17.63|17.74|17.52|17.7|465251|USD|5
2012-01-11|17.67|17.76|17.62|17.68|227247|USD|6
2012-01-12|17.77|17.77|17.42|17.55|233996|USD|7
2012-01-13|17.37|17.64|17.37|17.48|266209|USD|8
2012-01-17|17.57|17.77|17.52|17.57|236478|USD|9
2012-01-18|17.54|17.69|17.47|17.68|154549|USD|10
2012-01-19|17.63|17.72|17.54|17.65|211155|USD|11
2012-01-20|17.7|17.83|17.61|17.7|203340|USD|12
2012-01-23|17.72|17.81|17.6|17.75|136659|USD|13
2012-01-24|17.65|17.89|17.62|17.86|276888|USD|14
2012-01-25|17.89|18.2|17.56|18.14|318639|USD|15
2012-01-26|18.29|18.29|17.93|18.25|207832|USD|16
2012-01-27|18.13|18.58|17.99|18.53|281213|USD|17
2012-01-30|18.42|18.54|18.25|18.51|257271|USD|18
2012-01-31|18.6|18.79|18.45|18.69|314729|USD|19
2012-02-01|18.85|19.39|18.55|18.75|550552|USD|20
2012-02-02|18.85|19.0|18.71|18.97|347078|USD|21
2012-02-03|19.32|19.58|19.03|19.26|452581|USD|22
2012-02-06|19.24|19.4|18.98|19.13|449521|USD|23
2012-02-07|19.12|19.25|18.98|19.0|287075|USD|24
2012-02-08|19.24|20.89|19.13|20.42|1123131|USD|25
2012-02-09|20.59|21.2|20.46|21.01|494362|USD|26
2012-02-10|20.74|20.87|20.32|20.39|317851|USD|27
2012-02-13|20.5|20.69|20.39|20.53|296905|USD|28
2012-02-14|20.36|20.5|20.25|20.48|266462|USD|29
2012-02-15|20.51|20.56|20.0|20.14|270835|USD|30
2012-02-16|20.16|20.5|20.04|20.48|233776|USD|31
2012-02-17|20.51|20.57|20.24|20.38|186926|USD|32
2012-02-21|20.33|20.51|20.15|20.18|203083|USD|33
2012-02-22|20.0|20.17|19.96|20.06|276239|USD|34
2012-02-23|20.12|20.45|20.07|20.43|176713|USD|35
2012-02-24|20.37|20.37|20.06|20.07|282754|USD|36
2012-02-27|19.93|20.0|19.64|19.83|489399|USD|37
2012-02-28|19.87|19.87|19.61|19.7|330629|USD|38
2012-02-29|19.69|19.8|19.34|19.48|534969|USD|39
2012-03-01|19.58|20.27|19.41|20.18|428427|USD|40
2012-03-02|20.15|20.17|19.75|19.96|451843|USD|41
2012-03-05|19.85|20.37|19.85|20.3|363183|USD|42
2012-03-06|20.1|20.37|20.02|20.03|272924|USD|43
2012-03-07|20.15|20.47|20.04|20.42|374951|USD|44
2012-03-08|20.48|20.5|20.33|20.42|387299|USD|45
2012-03-09|20.38|20.8|20.31|20.61|227750|USD|46
2012-03-12|20.55|20.62|20.31|20.35|179040|USD|47
2012-03-13|20.71|20.98|20.52|20.78|375621|USD|48
2012-03-14|20.8|20.8|20.37|20.55|240708|USD|49
2012-03-15|20.49|20.61|20.16|20.6|261216|USD|50
2012-03-16|20.6|20.6|20.25|20.38|345818|USD|51
2012-03-19|20.34|20.67|20.27|20.4|227615|USD|52
2012-03-20|20.23|20.65|19.92|20.58|445782|USD|53
2012-03-21|20.66|20.7|20.44|20.46|185375|USD|54
2012-03-22|20.23|20.61|20.23|20.6|205307|USD|55
2012-03-23|20.56|20.7|20.32|20.69|222589|USD|56
2012-03-26|20.82|21.56|20.82|21.55|548249|USD|57
2012-03-27|21.69|22.08|21.6|22.04|689101|USD|58
2012-03-28|21.96|22.07|21.41|21.62|486022|USD|59
2012-03-29|21.42|21.6|21.08|21.52|321677|USD|60
2012-03-30|21.51|21.62|21.26|21.27|330678|USD|61
2012-04-02|21.14|21.64|20.99|21.54|311492|USD|62
