Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|4.07|4.37|4.05|4.2|45532|USD|0
2012-01-04|4.25|4.25|3.9|3.96|3092|USD|1
2012-01-05|3.97|4.2|3.9|4.04|7285|USD|2
2012-01-06|3.81|4.08|3.81|4.08|7358|USD|3
2012-01-09|4.1|4.96|3.89|3.98|26486|USD|4
2012-01-10|4.0|4.0|3.63|3.7|26280|USD|5
2012-01-11|3.7|3.7|3.57|3.65|30321|USD|6
2012-01-12|3.68|3.68|3.47|3.62|7185|USD|7
2012-01-13|3.52|3.65|3.5|3.55|10298|USD|8
2012-01-17|3.66|3.66|3.14|3.35|43806|USD|9
2012-01-18|3.3|3.45|3.05|3.07|66618|USD|10
2012-01-19|3.15|3.39|3.15|3.29|70575|USD|11
2012-01-20|3.5|3.99|3.49|3.98|65036|USD|12
2012-01-23|4.49|4.49|3.8|4.0|36018|USD|13
2012-01-24|3.99|3.99|3.67|3.84|28994|USD|14
2012-01-25|3.84|3.99|3.65|3.85|7666|USD|15
2012-01-26|3.87|3.98|3.64|3.64|41560|USD|16
2012-01-27|3.69|3.86|3.64|3.74|25842|USD|17
2012-01-30|3.71|4.0|3.71|3.91|64357|USD|18
2012-01-31|3.94|4.1|3.92|3.97|27814|USD|19
2012-02-01|3.87|3.9|3.65|3.81|35028|USD|20
2012-02-02|3.76|3.87|3.68|3.71|11044|USD|21
2012-02-03|3.75|4.09|3.67|4.07|34774|USD|22
2012-02-06|3.75|4.06|3.75|3.95|22324|USD|23
2012-02-07|4.0|4.03|3.84|4.0|6083|USD|24
2012-02-08|3.93|4.12|3.93|4.02|24003|USD|25
2012-02-09|3.95|4.2|3.9|4.11|69447|USD|26
2012-02-10|4.07|4.51|3.97|4.2|79359|USD|27
2012-02-13|4.07|4.22|3.9|4.0|37606|USD|28
2012-02-14|4.0|4.11|3.76|3.77|26979|USD|29
2012-02-15|3.8|4.08|3.78|3.8|33310|USD|30
2012-02-16|3.8|3.85|3.65|3.72|69559|USD|31
2012-02-17|3.65|3.76|3.27|3.36|142611|USD|32
2012-02-21|3.38|3.58|3.2|3.32|33771|USD|33
2012-02-22|3.31|3.31|3.06|3.13|29284|USD|34
2012-02-23|3.2|3.72|3.05|3.48|172075|USD|35
2012-02-24|3.45|3.55|3.35|3.5|38346|USD|36
2012-02-27|3.49|3.6|3.4|3.58|36087|USD|37
2012-02-28|3.6|3.65|3.5|3.59|33150|USD|38
2012-02-29|3.53|3.63|3.42|3.45|29937|USD|39
2012-03-01|3.53|3.6|3.36|3.57|24687|USD|40
2012-03-02|3.59|3.59|3.43|3.44|18279|USD|41
2012-03-05|3.45|3.45|3.35|3.4|28733|USD|42
2012-03-06|3.4|3.4|3.26|3.33|39612|USD|43
2012-03-07|3.4|3.55|3.32|3.45|93478|USD|44
2012-03-08|3.47|3.6|3.36|3.45|76319|USD|45
2012-03-09|3.44|3.63|3.39|3.5|89745|USD|46
2012-03-12|3.56|3.75|3.48|3.62|95517|USD|47
2012-03-13|3.59|3.59|3.43|3.49|70874|USD|48
2012-03-14|3.49|3.65|3.47|3.51|62437|USD|49
2012-03-15|3.45|3.65|3.38|3.62|85368|USD|50
2012-03-16|3.6|4.1|3.57|3.85|194874|USD|51
2012-03-19|3.86|3.95|3.8|3.9|52734|USD|52
2012-03-20|3.87|3.87|3.79|3.79|37515|USD|53
2012-03-21|3.8|3.88|3.65|3.73|242864|USD|54
2012-03-22|3.7|3.78|3.61|3.7|42957|USD|55
2012-03-23|3.71|3.85|3.61|3.82|127874|USD|56
