Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|11.88|12.13|11.52|11.54|376723|USD|0
2012-01-04|11.45|11.7|11.37|11.38|276927|USD|1
2012-01-05|11.28|11.86|11.1|11.82|455571|USD|2
2012-01-06|11.8|11.97|11.65|11.77|303582|USD|3
2012-01-09|11.85|11.99|11.68|11.89|261696|USD|4
2012-01-10|12.02|12.11|11.79|11.95|256916|USD|5
2012-01-11|11.9|11.9|11.65|11.8|416809|USD|6
2012-01-12|11.81|12.33|11.7|12.3|433468|USD|7
2012-01-13|12.06|12.29|12.01|12.28|262839|USD|8
2012-01-17|12.34|12.65|12.3|12.34|341591|USD|9
2012-01-18|12.33|12.89|12.3|12.89|353206|USD|10
2012-01-19|12.94|12.94|12.44|12.51|307851|USD|11
2012-01-20|12.46|13.56|12.45|13.55|1127391|USD|12
2012-01-23|13.51|13.66|12.93|13.22|516539|USD|13
2012-01-24|13.08|13.24|12.84|13.03|342143|USD|14
2012-01-25|13.03|13.03|12.68|12.74|608795|USD|15
2012-01-26|12.8|12.99|12.46|12.57|512076|USD|16
2012-01-27|12.58|13.95|12.58|13.83|1082756|USD|17
2012-01-30|13.75|14.1|13.42|13.87|697611|USD|18
2012-01-31|14.32|14.39|14.04|14.12|497044|USD|19
2012-02-01|14.26|14.36|14.0|14.27|548487|USD|20
2012-02-02|14.24|14.56|14.22|14.3|568232|USD|21
2012-02-03|14.6|14.8|14.23|14.61|526163|USD|22
2012-02-06|14.59|14.66|14.27|14.51|376269|USD|23
2012-02-07|14.54|14.77|14.25|14.49|490536|USD|24
2012-02-08|14.54|14.69|14.07|14.34|463918|USD|25
2012-02-09|14.35|14.42|13.57|13.63|585435|USD|26
2012-02-10|13.58|13.71|13.17|13.32|514058|USD|27
2012-02-13|13.45|13.82|13.35|13.8|398175|USD|28
2012-02-14|13.73|13.75|13.43|13.54|348890|USD|29
2012-02-15|13.59|13.76|13.39|13.7|401116|USD|30
2012-02-16|13.75|14.14|13.68|14.13|382582|USD|31
2012-02-17|14.2|14.2|14.05|14.1|612643|USD|32
2012-02-21|14.1|14.1|13.64|13.78|509786|USD|33
2012-02-22|13.69|13.69|13.16|13.17|372669|USD|34
2012-02-23|13.24|13.83|13.2|13.81|382891|USD|35
2012-02-24|13.84|14.05|13.62|13.98|362037|USD|36
2012-02-27|13.85|14.07|13.62|13.97|269118|USD|37
2012-02-28|13.98|14.1|13.67|13.84|222180|USD|38
2012-02-29|13.87|13.97|13.5|13.77|409555|USD|39
2012-03-01|13.8|13.92|13.5|13.7|421614|USD|40
2012-03-02|13.66|13.82|13.52|13.62|674537|USD|41
2012-03-05|13.54|13.84|13.51|13.82|276105|USD|42
2012-03-06|13.61|13.75|12.85|12.89|629493|USD|43
2012-03-07|12.97|12.98|12.85|12.93|350853|USD|44
2012-03-08|13.0|13.28|12.7|13.15|274540|USD|45
2012-03-09|13.12|13.57|13.08|13.23|330150|USD|46
2012-03-12|13.23|13.37|12.8|12.84|334230|USD|47
2012-03-13|12.98|13.2|12.75|13.19|329590|USD|48
2012-03-14|13.14|13.39|13.14|13.35|435154|USD|49
2012-03-15|13.31|13.48|13.09|13.46|246361|USD|50
2012-03-16|13.48|13.79|13.44|13.63|1068469|USD|51
2012-03-19|13.63|14.16|13.53|14.0|517714|USD|52
2012-03-20|13.85|13.99|13.76|13.95|501538|USD|53
2012-03-21|13.94|14.05|13.74|13.86|582278|USD|54
2012-03-22|13.72|14.02|13.71|13.99|285464|USD|55
2012-03-23|13.96|14.02|13.85|13.9|283837|USD|56
2012-03-26|14.04|14.49|14.01|14.43|483960|USD|57
2012-03-27|14.44|14.55|14.14|14.16|283573|USD|58
2012-03-28|14.21|14.46|13.62|13.85|352865|USD|59
2012-03-29|13.69|13.84|13.52|13.74|247785|USD|60
2012-03-30|15.59|15.87|13.75|14.39|4117146|USD|61
2012-04-02|14.34|14.48|13.85|14.39|724925|USD|62
2012-04-03|14.39|14.69|14.12|14.34|443863|USD|63
2012-04-04|14.13|14.13|13.26|13.79|804505|USD|64
2012-04-05|13.69|13.87|13.37|13.61|306898|USD|65
2012-04-09|13.29|13.46|13.06|13.11|424859|USD|66
2012-04-10|13.13|13.23|12.35|12.64|875323|USD|67
2012-04-11|12.81|13.0|12.67|12.79|520532|USD|68
2012-04-12|13.0|13.24|12.93|12.97|712915|USD|69
2012-04-13|12.88|12.88|12.31|12.33|572873|USD|70
2012-04-16|12.46|12.68|12.06|12.26|606391|USD|71
2012-04-17|12.37|12.66|12.34|12.45|549259|USD|72
2012-04-18|12.42|12.44|12.15|12.22|344640|USD|73
2012-04-19|12.26|12.67|12.1|12.28|460178|USD|74
2012-04-20|12.48|12.72|12.22|12.48|455127|USD|75
2012-04-23|12.32|12.42|12.07|12.28|471542|USD|76
2012-04-24|12.26|12.47|12.21|12.46|394443|USD|77
2012-04-25|12.59|12.93|12.59|12.89|422597|USD|78
2012-04-26|12.86|12.9|12.5|12.68|268279|USD|79
2012-04-27|12.71|12.93|12.43|12.89|333439|USD|80
2012-04-30|12.82|12.88|12.7|12.75|477659|USD|81
2012-05-01|12.75|12.84|12.49|12.7|504551|USD|82
2012-05-02|12.57|12.89|12.4|12.86|403175|USD|83
2012-05-03|12.85|12.85|12.6|12.79|420275|USD|84
2012-05-04|12.68|12.84|12.5|12.79|509964|USD|85
2012-05-07|12.7|13.21|12.56|13.04|460342|USD|86
2012-05-08|12.93|13.13|12.66|13.1|305384|USD|87
2012-05-09|12.92|13.07|12.74|12.96|278185|USD|88
2012-05-10|13.03|13.4|12.84|13.31|348706|USD|89
2012-05-11|13.13|13.69|13.13|13.65|272235|USD|90
2012-05-14|13.5|13.93|13.49|13.73|376414|USD|91
2012-05-15|13.71|13.8|13.57|13.73|267070|USD|92
2012-05-16|13.8|13.84|13.53|13.65|386631|USD|93
2012-05-17|13.71|13.89|13.47|13.62|621651|USD|94
2012-05-18|13.6|13.71|13.28|13.51|506319|USD|95
2012-05-21|13.58|14.42|13.55|14.37|673444|USD|96
2012-05-22|14.34|14.68|14.0|14.16|506252|USD|97
2012-05-23|14.06|14.56|13.93|14.5|442886|USD|98
2012-05-24|14.58|14.65|14.26|14.65|287955|USD|99
2012-05-25|14.63|14.63|14.25|14.33|297672|USD|100
2012-05-29|14.46|14.61|14.36|14.47|407424|USD|101
2012-05-30|14.34|14.41|14.15|14.25|365515|USD|102
2012-05-31|14.3|14.43|13.66|14.01|690074|USD|103
2012-06-01|13.64|14.02|13.63|13.89|588641|USD|104
2012-06-04|14.75|14.97|13.7|14.29|1845661|USD|105
2012-06-05|14.53|14.9|14.3|14.82|1430576|USD|106
2012-06-06|15.0|15.4|14.85|14.97|842155|USD|107
2012-06-07|15.15|15.24|14.61|14.63|581318|USD|108
2012-06-08|14.63|15.0|14.38|14.95|404823|USD|109
2012-06-11|15.1|15.16|13.91|14.03|1036033|USD|110
2012-06-12|14.18|14.78|13.94|14.73|552671|USD|111
2012-06-13|14.59|15.07|14.48|14.88|625102|USD|112
2012-06-14|14.79|14.98|14.65|14.86|672264|USD|113
2012-06-15|14.91|15.14|14.79|15.05|789729|USD|114
2012-06-18|14.96|15.6|14.85|15.07|617096|USD|115
2012-06-19|15.09|15.69|15.08|15.58|578925|USD|116
2012-06-20|15.55|15.65|15.26|15.35|349531|USD|117
2012-06-21|15.3|15.46|14.92|14.95|440704|USD|118
2012-06-22|15.01|15.88|14.93|15.85|1300554|USD|119
2012-06-25|15.53|16.0|15.47|15.75|493415|USD|120
2012-06-26|15.73|15.92|15.54|15.7|393660|USD|121
2012-06-27|15.76|16.3|15.6|16.16|791462|USD|122
2012-06-28|15.96|16.6|15.61|16.17|1013797|USD|123
2012-06-29|16.59|17.15|16.47|16.74|905846|USD|124
2012-07-02|16.81|17.45|16.62|17.45|958323|USD|125
2012-07-03|17.28|17.68|16.99|17.67|470782|USD|126
2012-07-05|17.64|17.77|17.29|17.52|506880|USD|127
2012-07-06|17.32|17.65|17.25|17.48|428682|USD|128
2012-07-09|17.39|18.0|17.28|17.97|687711|USD|129
2012-07-10|18.0|18.1|17.27|17.37|626858|USD|130
2012-07-11|17.36|17.57|17.12|17.36|550530|USD|131
2012-07-12|16.14|16.15|15.41|16.01|5266801|USD|132
2012-07-13|16.1|16.11|15.92|16.02|1056342|USD|133
2012-07-16|16.03|16.3|15.88|16.29|870557|USD|134
2012-07-17|16.33|16.35|16.09|16.21|692374|USD|135
2012-07-18|16.13|16.34|15.94|16.0|783548|USD|136
2012-07-19|16.1|16.1|15.65|15.94|1001236|USD|137
2012-07-20|15.75|15.89|15.72|15.83|382634|USD|138
2012-07-23|15.56|15.61|15.05|15.47|536262|USD|139
2012-07-24|15.6|15.67|15.22|15.32|345665|USD|140
2012-07-25|15.48|15.56|15.08|15.25|558250|USD|141
2012-07-26|15.6|15.72|15.31|15.64|593691|USD|142
2012-07-27|15.73|16.36|15.66|15.99|703933|USD|143
2012-07-30|15.99|16.01|15.65|15.7|370067|USD|144
2012-07-31|15.67|16.3|15.64|16.14|2291134|USD|145
2012-08-01|16.17|16.25|15.34|15.61|940878|USD|146
2012-08-02|15.43|15.59|15.0|15.41|860829|USD|147
2012-08-03|15.79|15.83|13.77|13.9|2150115|USD|148
2012-08-06|13.87|13.94|13.34|13.49|832734|USD|149
2012-08-07|13.52|13.53|12.85|13.14|1405613|USD|150
2012-08-08|13.1|13.1|12.67|12.7|918529|USD|151
2012-08-09|12.68|12.84|12.51|12.56|578196|USD|152
2012-08-10|12.58|12.83|12.57|12.79|416013|USD|153
2012-08-13|12.82|13.0|12.6|12.78|379304|USD|154
2012-08-14|12.83|13.3|12.79|13.05|566773|USD|155
2012-08-15|13.16|13.95|13.05|13.95|1008724|USD|156
2012-08-16|13.92|14.24|13.7|14.01|794972|USD|157
2012-08-17|13.98|14.78|13.98|14.23|819230|USD|158
2012-08-20|14.2|14.3|13.4|13.65|734703|USD|159
2012-08-21|13.71|13.81|13.36|13.52|509313|USD|160
2012-08-22|13.68|14.15|13.57|13.92|750104|USD|161
2012-08-23|13.95|13.98|13.58|13.75|405620|USD|162
2012-08-24|13.72|14.0|13.65|13.84|486641|USD|163
2012-08-27|15.14|15.5|14.16|14.62|1886588|USD|164
2012-08-28|14.68|14.69|14.25|14.51|424369|USD|165
2012-08-29|14.62|14.63|14.22|14.34|585492|USD|166
2012-08-30|14.23|14.3|14.0|14.25|421733|USD|167
2012-08-31|14.4|14.55|14.0|14.39|499287|USD|168
2012-09-04|14.43|14.97|14.39|14.95|699849|USD|169
2012-09-05|14.89|14.98|14.58|14.69|1127226|USD|170
2012-09-06|14.85|15.19|14.81|14.92|707088|USD|171
2012-09-07|15.02|15.06|14.72|14.77|523825|USD|172
2012-09-10|14.75|14.78|14.3|14.39|508408|USD|173
2012-09-11|14.44|14.44|14.01|14.14|536210|USD|174
2012-09-12|14.22|14.56|14.14|14.52|497164|USD|175
2012-09-13|14.56|14.68|14.09|14.62|736245|USD|176
2012-09-14|14.68|14.9|14.51|14.71|565668|USD|177
2012-09-17|14.58|14.76|14.53|14.74|521954|USD|178
2012-09-18|14.68|15.19|14.68|15.12|588510|USD|179
2012-09-19|15.21|15.57|15.12|15.4|705243|USD|180
2012-09-20|13.75|15.8|13.75|15.48|439562|USD|181
2012-09-21|15.7|16.18|15.61|16.17|1931685|USD|182
2012-09-24|16.14|16.34|16.02|16.14|659507|USD|183
