Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|39.93|40.89|39.8|40.74|1858617|USD|0
2012-01-04|40.54|40.72|39.96|40.08|1013649|USD|1
2012-01-05|39.89|41.03|39.89|41.0|1486396|USD|2
2012-01-06|40.99|42.7|40.91|42.56|2519385|USD|3
2012-01-09|42.58|43.1|42.52|42.65|2404080|USD|4
2012-01-10|46.0|47.31|43.86|46.17|9035954|USD|5
2012-01-11|46.23|46.86|45.78|46.16|4445168|USD|6
2012-01-12|46.47|46.88|46.13|46.78|2321007|USD|7
2012-01-13|46.64|46.68|45.69|46.07|2280696|USD|8
2012-01-17|46.91|46.97|46.12|46.35|3264239|USD|9
2012-01-18|46.49|47.1|46.09|47.05|2770964|USD|10
2012-01-19|46.93|47.3|46.66|46.9|2356997|USD|11
2012-01-20|46.7|46.7|45.09|45.37|3578258|USD|12
2012-01-23|45.31|45.99|45.3|45.89|2209017|USD|13
2012-01-24|45.67|47.61|45.33|47.31|3409511|USD|14
2012-01-25|50.61|50.83|48.41|49.09|7765162|USD|15
2012-01-26|49.74|49.79|48.72|49.11|2944756|USD|16
2012-01-27|48.93|49.27|48.44|48.55|1830030|USD|17
2012-01-30|48.13|48.59|47.78|48.56|1350356|USD|18
2012-01-31|48.75|48.96|48.13|48.43|1458753|USD|19
2012-02-01|48.86|49.5|48.86|48.99|2304068|USD|20
2012-02-02|48.88|49.31|48.72|48.86|1595953|USD|21
2012-02-03|49.73|49.96|49.42|49.57|1625832|USD|22
2012-02-06|49.38|49.66|49.09|49.24|1045816|USD|23
2012-02-07|49.18|49.26|48.73|48.88|2044026|USD|24
2012-02-08|48.88|50.25|48.4|49.73|3871646|USD|25
2012-02-09|50.0|50.0|49.18|49.58|1906346|USD|26
2012-02-10|49.15|49.76|49.1|49.55|1633562|USD|27
2012-02-13|49.9|50.4|49.71|49.81|1883429|USD|28
2012-02-14|49.56|50.24|49.56|49.85|1734201|USD|29
2012-02-15|50.02|50.84|49.92|50.46|1807236|USD|30
2012-02-16|50.68|50.82|49.49|49.81|1690467|USD|31
2012-02-17|50.06|50.15|45.61|45.92|8061206|USD|32
2012-02-21|46.98|47.41|46.24|46.49|4839678|USD|33
2012-02-22|46.49|47.18|46.25|46.96|1830762|USD|34
2012-02-23|47.0|47.64|46.75|47.55|1250345|USD|35
2012-02-24|47.49|47.91|47.41|47.69|1071293|USD|36
2012-02-27|47.4|48.07|47.02|47.89|1132636|USD|37
2012-02-28|47.77|48.17|47.51|47.97|1453127|USD|38
2012-02-29|48.0|48.27|47.21|47.31|1225212|USD|39
2012-03-01|47.02|48.25|47.02|48.18|1595062|USD|40
2012-03-02|47.99|48.41|47.14|47.59|1854378|USD|41
2012-03-05|47.46|47.53|46.07|46.41|2196822|USD|42
2012-03-06|45.35|46.38|45.35|45.65|1480483|USD|43
2012-03-07|45.74|46.13|45.35|45.78|1728340|USD|44
2012-03-08|46.08|46.8|45.98|46.56|1405371|USD|45
2012-03-09|46.53|46.84|46.36|46.59|1168534|USD|46
2012-03-12|46.56|46.61|45.77|45.88|979813|USD|47
2012-03-13|46.31|46.37|45.5|46.18|1245133|USD|48
2012-03-14|46.06|46.34|45.41|45.74|1613027|USD|49
2012-03-15|45.67|46.54|45.39|46.5|1362287|USD|50
2012-03-16|46.41|47.07|46.41|46.75|1543027|USD|51
2012-03-19|46.6|47.0|46.34|46.77|511784|USD|52
2012-03-20|46.51|46.62|46.27|46.34|822550|USD|53
2012-03-21|46.4|46.82|46.25|46.47|877193|USD|54
2012-03-22|46.18|47.19|45.56|47.09|2136477|USD|55
2012-03-23|47.28|48.14|46.75|48.07|2493591|USD|56
2012-03-26|48.4|48.91|48.23|48.9|1474886|USD|57
2012-03-27|48.87|49.2|48.62|48.75|1573344|USD|58
2012-03-28|48.79|48.94|48.16|48.52|1864750|USD|59
2012-03-29|48.15|48.98|48.15|48.59|1418119|USD|60
2012-03-30|48.93|48.96|48.5|48.82|1136095|USD|61
2012-04-02|48.83|49.07|47.95|48.91|1644267|USD|62
2012-04-03|48.7|48.96|48.43|48.68|1724134|USD|63
2012-04-04|48.4|48.43|47.47|47.51|1718054|USD|64
2012-04-05|47.48|47.89|47.22|47.64|1528584|USD|65
2012-04-09|47.06|47.24|46.73|46.94|1112276|USD|66
2012-04-10|46.78|47.06|45.63|45.86|1515395|USD|67
2012-04-11|46.47|46.67|46.01|46.42|1109519|USD|68
2012-04-12|46.39|47.46|46.39|47.11|967434|USD|69
2012-04-13|46.85|47.04|45.67|45.68|1482715|USD|70
2012-04-16|46.05|46.14|45.25|45.39|1148394|USD|71
2012-04-17|45.8|46.56|45.4|46.37|1175031|USD|72
2012-04-18|46.38|47.13|46.11|46.49|939813|USD|73
2012-04-19|46.48|47.24|46.06|46.31|964748|USD|74
2012-04-20|46.35|46.64|45.84|46.31|1825091|USD|75
2012-04-23|46.05|46.27|45.62|45.98|1714837|USD|76
2012-04-24|46.09|46.46|44.9|46.29|2787411|USD|77
2012-04-25|46.93|47.0|45.25|45.64|2712577|USD|78
2012-04-26|45.52|46.12|45.51|46.04|1136585|USD|79
2012-04-27|46.24|46.61|46.13|46.31|874880|USD|80
2012-04-30|46.44|46.77|46.17|46.36|942606|USD|81
