Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|1.77|1.83|1.75|1.75|1850|USD|0
2012-01-04|1.67|1.85|1.62|1.84|16290|USD|1
2012-01-05|1.75|1.83|1.74|1.76|7168|USD|2
2012-01-06|1.79|1.81|1.79|1.81|1200|USD|3
2012-01-09|1.81|1.98|1.81|1.98|13131|USD|4
2012-01-10|2.04|2.04|1.92|1.99|10015|USD|5
2012-01-11|1.84|1.98|1.7|1.87|13850|USD|6
2012-01-12|1.87|1.87|1.79|1.79|250|USD|7
2012-01-13|1.88|1.88|1.83|1.85|2585|USD|8
2012-01-17|1.8|1.9|1.8|1.85|3450|USD|9
2012-01-18|1.92|1.98|1.9|1.95|7569|USD|10
2012-01-19|1.9|1.91|1.87|1.9|2265|USD|11
2012-01-20|1.85|1.85|1.85|1.85|6900|USD|12
2012-01-23|1.92|1.93|1.85|1.93|4496|USD|13
2012-01-24|1.98|1.99|1.81|1.96|6555|USD|14
2012-01-25|1.97|1.97|1.94|1.94|210|USD|15
2012-01-26|1.97|1.97|1.75|1.81|9305|USD|16
2012-01-27|1.86|1.88|1.78|1.8|4440|USD|17
2012-01-30|1.8|1.85|1.8|1.85|1650|USD|18
2012-01-31|1.87|1.95|1.87|1.91|2968|USD|19
2012-02-01|1.92|1.93|1.85|1.89|5800|USD|20
2012-02-02|1.91|2.57|1.91|2.46|469107|USD|21
2012-02-03|2.43|2.43|2.05|2.25|88953|USD|22
2012-02-06|2.23|2.23|2.14|2.15|21551|USD|23
2012-02-07|2.06|2.07|1.98|2.0|30762|USD|24
2012-02-08|2.04|2.15|2.0|2.1|21947|USD|25
2012-02-09|2.13|2.13|2.04|2.12|4077|USD|26
2012-02-10|2.02|2.12|2.02|2.06|650|USD|27
2012-02-13|2.03|2.14|2.03|2.13|4200|USD|28
2012-02-14|2.12|2.14|2.06|2.14|2450|USD|29
2012-02-15|2.15|2.15|2.05|2.1|8418|USD|30
2012-02-16|2.09|2.12|2.06|2.11|5355|USD|31
2012-02-17|2.11|2.11|2.05|2.1|4794|USD|32
2012-02-21|2.09|2.1|1.92|2.1|21354|USD|33
2012-02-22|1.98|2.12|1.97|2.12|10213|USD|34
2012-02-23|2.12|2.15|2.03|2.15|13250|USD|35
2012-02-24|2.14|2.29|2.1|2.23|33031|USD|36
2012-02-27|2.25|2.3|2.18|2.3|17066|USD|37
2012-02-28|2.3|2.44|2.29|2.4|33787|USD|38
2012-02-29|2.4|2.52|2.4|2.5|59391|USD|39
2012-03-01|2.5|2.52|2.43|2.5|21527|USD|40
2012-03-02|2.51|2.51|2.34|2.41|10055|USD|41
2012-03-05|2.39|2.45|2.37|2.45|3700|USD|42
2012-03-06|2.45|2.52|2.37|2.52|23301|USD|43
2012-03-07|2.46|2.52|2.45|2.45|21006|USD|44
2012-03-08|2.5|2.56|2.4|2.52|23337|USD|45
2012-03-09|2.51|2.59|2.49|2.58|7650|USD|46
2012-03-12|2.59|2.73|2.53|2.73|20179|USD|47
2012-03-13|2.7|2.7|2.57|2.65|4954|USD|48
2012-03-14|2.7|2.93|2.68|2.88|54811|USD|49
2012-03-15|2.84|2.91|2.76|2.9|34925|USD|50
2012-03-16|2.9|2.9|2.76|2.76|11563|USD|51
2012-03-19|2.82|2.96|2.81|2.9|7567|USD|52
2012-03-20|2.86|3.0|2.85|2.85|4300|USD|53
2012-03-21|2.94|3.38|2.91|3.15|32764|USD|54
2012-03-22|3.14|3.14|3.01|3.06|20050|USD|55
2012-03-23|2.97|3.0|2.9|3.0|5900|USD|56
2012-03-26|2.98|3.07|2.98|3.07|2959|USD|57
2012-03-27|3.1|3.1|2.91|2.91|5372|USD|58
2012-03-28|2.91|2.92|2.9|2.92|2200|USD|59
2012-03-29|2.9|3.02|2.9|2.91|4365|USD|60
2012-03-30|2.9|2.9|2.88|2.9|4800|USD|61
2012-04-02|2.88|2.88|2.58|2.64|35498|USD|62
2012-04-03|2.64|2.77|2.53|2.76|7750|USD|63
2012-04-04|2.66|2.8|2.58|2.79|8085|USD|64
2012-04-05|2.66|2.79|2.6|2.69|9200|USD|65
2012-04-09|2.84|2.84|2.67|2.67|21594|USD|66
2012-04-10|2.7|2.73|2.58|2.59|26483|USD|67
2012-04-11|2.85|2.85|2.52|2.52|9379|USD|68
2012-04-12|2.61|2.67|2.51|2.63|8856|USD|69
2012-04-13|2.58|2.74|2.51|2.63|9243|USD|70
2012-04-16|2.58|2.75|2.58|2.6|7783|USD|71
2012-04-17|2.64|2.78|2.62|2.68|7657|USD|72
2012-04-18|2.61|2.73|2.54|2.54|16599|USD|73
2012-04-19|2.6|2.7|2.56|2.7|8305|USD|74
2012-04-20|2.67|2.75|2.63|2.68|1756|USD|75
2012-04-23|2.75|2.79|2.68|2.79|5029|USD|76
2012-04-24|2.81|2.81|2.68|2.78|11311|USD|77
2012-04-25|2.82|3.01|2.69|2.98|10754|USD|78
2012-04-26|2.98|3.0|2.9|2.98|14429|USD|79
2012-04-27|2.84|2.98|2.84|2.9|9750|USD|80
2012-04-30|2.89|3.05|2.79|2.97|39828|USD|81
2012-05-01|3.0|3.1|2.7|2.75|73178|USD|82
2012-05-02|2.75|3.1|2.6|3.02|227382|USD|83
2012-05-03|3.07|3.36|3.02|3.36|259226|USD|84
2012-05-04|3.37|3.49|3.2|3.2|180034|USD|85
2012-05-07|3.38|3.52|3.21|3.38|139959|USD|86
2012-05-08|3.39|3.5|3.35|3.45|88491|USD|87
2012-05-09|3.5|3.5|3.18|3.21|73065|USD|88
