Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|21.25|21.49|20.97|21.0|409831|USD|0
2012-01-04|20.8|20.9|20.28|20.36|331924|USD|1
2012-01-05|20.25|20.86|19.95|20.64|943468|USD|2
2012-01-06|20.71|21.33|20.6|21.19|377478|USD|3
2012-01-09|21.22|21.34|21.12|21.2|375618|USD|4
2012-01-10|21.23|21.39|20.95|21.0|398174|USD|5
2012-01-11|20.87|21.06|20.81|20.98|469060|USD|6
2012-01-12|21.0|21.15|20.74|20.75|1202507|USD|7
2012-01-13|20.72|20.82|20.5|20.68|581654|USD|8
2012-01-17|20.7|21.07|20.68|20.95|492715|USD|9
2012-01-18|20.94|21.41|20.79|21.33|481304|USD|10
2012-01-19|21.58|22.06|21.39|21.86|627128|USD|11
2012-01-20|21.86|22.3|21.78|22.22|516380|USD|12
2012-01-23|22.24|22.45|21.75|22.12|519071|USD|13
2012-01-24|22.11|22.61|21.85|22.45|547352|USD|14
2012-01-25|22.64|23.0|22.52|22.83|869437|USD|15
2012-01-26|22.9|23.23|22.78|23.08|889880|USD|16
2012-01-27|22.92|23.58|22.7|23.29|497751|USD|17
2012-01-30|23.14|23.26|22.88|23.26|412664|USD|18
2012-01-31|23.17|23.94|22.95|23.66|1765534|USD|19
2012-02-01|24.91|24.91|23.42|23.97|3061702|USD|20
2012-02-02|24.25|24.25|23.49|23.66|818791|USD|21
2012-02-03|23.95|24.16|23.77|23.84|616485|USD|22
2012-02-06|23.99|24.01|23.59|24.0|596895|USD|23
2012-02-07|23.97|24.18|23.74|23.94|527232|USD|24
2012-02-08|23.92|24.06|23.29|23.58|470678|USD|25
2012-02-09|23.49|23.51|23.12|23.37|419198|USD|26
2012-02-10|23.22|23.35|22.97|23.28|418358|USD|27
2012-02-13|23.34|23.55|23.29|23.47|289033|USD|28
2012-02-14|23.3|23.33|22.94|23.0|420551|USD|29
2012-02-15|23.14|23.58|23.06|23.39|340181|USD|30
2012-02-16|23.44|23.91|23.38|23.91|433392|USD|31
2012-02-17|23.94|24.05|23.67|23.8|568111|USD|32
2012-02-21|23.75|23.93|23.22|23.34|425962|USD|33
2012-02-22|23.39|23.39|22.99|23.08|310325|USD|34
2012-02-23|23.07|24.01|23.03|23.97|611735|USD|35
2012-02-24|23.83|24.08|23.7|23.87|449270|USD|36
2012-02-27|23.58|24.07|23.56|24.05|554591|USD|37
2012-02-28|24.01|24.5|23.08|24.45|1613648|USD|38
2012-02-29|24.5|24.5|24.15|24.2|457385|USD|39
2012-03-01|24.19|24.5|23.94|24.5|471174|USD|40
2012-03-02|24.44|24.5|24.27|24.37|412928|USD|41
2012-03-05|24.23|24.45|24.02|24.23|419882|USD|42
2012-03-06|23.94|24.1|23.61|23.76|346738|USD|43
2012-03-07|23.76|24.04|23.63|23.98|359944|USD|44
2012-03-08|24.07|24.68|23.94|24.49|541354|USD|45
2012-03-09|24.54|24.84|24.25|24.68|380650|USD|46
2012-03-12|24.57|24.77|24.36|24.77|382735|USD|47
2012-03-13|24.86|24.97|24.29|24.86|687519|USD|48
2012-03-14|24.8|24.99|24.61|24.92|389742|USD|49
2012-03-15|24.94|25.04|24.79|24.95|684862|USD|50
2012-03-16|25.0|25.38|24.86|25.37|938368|USD|51
2012-03-19|25.33|25.75|25.08|25.64|482847|USD|52
2012-03-20|25.57|25.57|23.07|24.31|3200126|USD|53
2012-03-21|24.25|24.36|23.24|23.32|1856484|USD|54
2012-03-22|23.16|23.27|22.73|22.97|862578|USD|55
2012-03-23|23.09|23.09|22.68|22.78|986565|USD|56
2012-03-26|22.76|23.94|22.76|23.34|2472181|USD|57
2012-03-27|23.31|23.47|23.23|23.41|667453|USD|58
2012-03-28|23.4|23.64|23.19|23.56|651624|USD|59
2012-03-29|23.45|23.61|23.25|23.57|428642|USD|60
2012-03-30|23.61|23.85|23.4|23.66|401480|USD|61
2012-04-02|23.56|23.8|23.37|23.77|598867|USD|62
2012-04-03|23.78|24.35|23.68|24.14|731081|USD|63
2012-04-04|23.75|23.92|23.38|23.63|1069008|USD|64
2012-04-05|23.73|23.77|23.42|23.67|521730|USD|65
2012-04-09|23.28|23.52|23.11|23.46|448382|USD|66
2012-04-10|23.4|23.55|22.88|23.1|549103|USD|67
2012-04-11|23.25|23.62|23.11|23.55|757362|USD|68
2012-04-12|23.72|24.13|23.53|24.01|609417|USD|69
2012-04-13|23.81|23.99|23.4|23.69|546485|USD|70
