Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|30.24|33.36|29.28|31.68|763|USD|0
2012-01-04|30.72|31.2|30.0|30.24|709|USD|1
2012-01-05|31.2|31.2|30.72|30.86|177|USD|2
2012-01-06|31.2|36.6|29.76|30.96|311|USD|3
2012-01-09|30.72|31.2|30.46|30.48|384|USD|4
2012-01-10|31.2|33.12|30.96|32.16|1264|USD|5
2012-01-11|32.16|32.16|30.48|31.68|806|USD|6
2012-01-12|31.2|33.84|31.2|33.6|1252|USD|7
2012-01-13|32.4|32.64|32.16|32.64|1146|USD|8
2012-01-17|32.4|32.4|31.92|31.92|86|USD|9
2012-01-18|32.16|32.4|31.97|32.16|428|USD|10
2012-01-19|31.92|33.36|31.88|33.36|165|USD|11
2012-01-20|33.12|33.12|31.68|31.92|79|USD|12
2012-01-23|32.4|33.36|32.21|32.64|246|USD|13
2012-01-24|32.16|33.36|32.16|33.36|365|USD|14
2012-01-25|32.64|35.76|32.64|33.98|956|USD|15
2012-01-26|34.8|36.0|34.08|35.28|597|USD|16
2012-01-27|35.28|37.92|35.28|35.28|1140|USD|17
2012-01-30|36.0|36.0|33.12|33.12|969|USD|18
2012-01-31|32.88|33.84|32.64|32.88|1763|USD|19
2012-02-01|32.17|33.6|32.17|32.4|127|USD|20
2012-02-02|33.12|33.6|32.4|32.4|786|USD|21
2012-02-03|32.4|35.76|32.16|32.16|877|USD|22
2012-02-06|32.4|33.12|29.76|29.76|2386|USD|23
2012-02-07|29.28|32.4|27.6|27.6|3706|USD|24
2012-02-08|23.76|23.76|22.56|22.85|24578|USD|25
2012-02-09|23.76|23.76|21.84|21.84|10596|USD|26
2012-02-10|22.3|22.56|21.84|22.08|2659|USD|27
2012-02-13|22.56|22.79|21.88|22.08|3385|USD|28
2012-02-14|22.27|22.56|21.37|21.84|4312|USD|29
2012-02-15|22.32|22.32|20.64|21.12|4739|USD|30
2012-02-16|20.88|21.24|19.92|20.4|6901|USD|31
2012-02-17|20.88|20.88|19.92|19.94|4071|USD|32
2012-02-21|20.4|20.64|20.16|20.16|1486|USD|33
2012-02-22|20.4|20.4|19.2|19.44|5355|USD|34
2012-02-23|19.92|20.4|18.48|18.96|11366|USD|35
2012-02-24|18.96|19.68|18.0|18.72|4942|USD|36
2012-02-27|19.68|19.8|18.72|18.97|9023|USD|37
2012-02-28|19.2|21.19|18.96|20.04|38324|USD|38
2012-02-29|20.4|20.64|18.72|18.72|23386|USD|39
2012-03-01|18.72|18.72|18.02|18.36|11243|USD|40
2012-03-02|18.37|19.2|18.02|18.89|7975|USD|41
2012-03-05|19.18|19.18|18.02|18.67|3016|USD|42
2012-03-06|18.48|18.72|16.56|16.87|14878|USD|43
2012-03-07|17.28|17.49|16.32|16.56|13331|USD|44
2012-03-08|16.61|17.04|15.92|16.54|7619|USD|45
2012-03-09|16.56|16.8|16.24|16.56|3427|USD|46
2012-03-12|16.62|17.4|16.62|16.8|6298|USD|47
2012-03-13|16.8|17.52|16.75|16.75|12103|USD|48
2012-03-14|16.56|17.25|16.56|16.91|5473|USD|49
2012-03-15|17.04|17.28|16.8|17.28|8326|USD|50
2012-03-16|18.0|19.03|17.81|18.72|48573|USD|51
2012-03-19|19.2|19.2|17.76|18.0|12754|USD|52
2012-03-20|18.7|18.7|18.0|18.45|5895|USD|53
2012-03-21|18.45|18.72|18.07|18.72|7714|USD|54
2012-03-22|18.72|19.2|18.71|18.96|10182|USD|55
2012-03-23|19.44|19.44|18.24|18.96|4239|USD|56
2012-03-26|18.96|19.43|18.0|18.0|10675|USD|57
2012-03-27|18.11|18.72|18.0|18.24|4038|USD|58
2012-03-28|18.24|18.7|17.76|18.0|6067|USD|59
2012-03-29|18.0|18.23|17.84|17.86|4047|USD|60
2012-03-30|17.81|17.94|17.52|17.76|4012|USD|61
2012-04-02|19.68|19.92|18.25|18.96|18010|USD|62
2012-04-03|19.92|19.92|18.27|18.48|9423|USD|63
2012-04-04|18.96|19.18|18.48|18.72|4646|USD|64
2012-04-05|18.74|19.18|17.78|18.23|4430|USD|65
2012-04-09|18.72|18.72|17.1|17.52|5000|USD|66
2012-04-10|18.48|18.48|16.88|17.99|5480|USD|67
2012-04-11|17.28|17.75|16.8|17.28|2323|USD|68
2012-04-12|17.75|18.0|17.36|17.99|1994|USD|69
2012-04-13|17.99|17.99|17.11|17.74|1548|USD|70
2012-04-16|17.98|17.98|17.34|17.88|1685|USD|71
2012-04-17|17.33|17.57|17.09|17.28|2908|USD|72
2012-04-18|18.0|18.0|16.99|17.52|9088|USD|73
2012-04-19|17.35|17.98|16.32|17.04|14510|USD|74
2012-04-20|17.4|17.76|17.04|17.63|3739|USD|75
2012-04-23|17.54|18.0|17.11|17.28|4136|USD|76
2012-04-24|16.8|17.52|16.37|17.26|8611|USD|77
2012-04-25|17.18|17.39|16.68|16.9|2401|USD|78
2012-04-26|17.04|17.28|16.8|17.04|2716|USD|79
2012-04-27|17.28|17.51|17.04|17.47|584|USD|80
2012-04-30|17.51|17.52|17.04|17.28|2110|USD|81
2012-05-01|17.28|17.51|17.12|17.5|378|USD|82
