Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|25.8|28.6|25.8|27.6|55267|USD|0
2012-01-04|27.2|28.2|27.0|27.6|22380|USD|1
2012-01-05|27.4|28.4|26.8|26.8|18582|USD|2
2012-01-06|26.8|29.6|26.8|27.4|55589|USD|3
2012-01-09|28.0|29.8|28.0|28.6|67984|USD|4
2012-01-10|29.2|29.4|27.0|27.4|39217|USD|5
2012-01-11|27.2|27.4|26.4|26.6|44702|USD|6
2012-01-12|26.8|28.2|26.2|27.0|133851|USD|7
2012-01-13|26.6|26.8|26.0|26.2|41504|USD|8
2012-01-17|26.4|27.0|25.4|26.0|39741|USD|9
2012-01-18|25.8|26.6|25.6|26.4|19938|USD|10
2012-01-19|26.4|27.4|25.8|26.0|32928|USD|11
2012-01-20|26.0|27.0|25.8|26.2|22217|USD|12
2012-01-23|26.2|30.6|26.0|28.8|140381|USD|13
2012-01-24|28.4|28.4|26.8|27.4|32670|USD|14
2012-01-25|27.4|28.2|26.8|27.8|23209|USD|15
2012-01-26|27.8|27.8|26.8|27.0|24752|USD|16
2012-01-27|27.0|29.6|26.9|29.0|254984|USD|17
2012-01-30|28.8|31.0|28.4|30.4|113246|USD|18
2012-01-31|30.6|30.6|30.0|30.2|40864|USD|19
2012-02-01|30.6|31.8|30.2|30.4|102739|USD|20
2012-02-02|30.4|30.4|28.4|29.4|86817|USD|21
2012-02-03|29.8|30.2|28.6|29.8|45029|USD|22
2012-02-06|29.6|30.2|29.4|29.8|17283|USD|23
2012-02-07|30.0|30.0|28.4|28.8|31681|USD|24
2012-02-08|28.8|29.42|28.0|29.2|28407|USD|25
2012-02-09|29.4|29.4|28.0|28.2|20739|USD|26
2012-02-10|28.2|28.4|27.0|27.0|26745|USD|27
2012-02-13|27.4|29.2|27.2|28.0|15991|USD|28
2012-02-14|27.6|27.73|27.0|27.2|22700|USD|29
2012-02-15|27.6|28.19|27.0|28.0|22665|USD|30
2012-02-16|28.0|28.4|27.4|28.4|21136|USD|31
2012-02-17|28.4|28.8|27.8|28.4|27657|USD|32
2012-02-21|28.4|28.6|27.4|27.8|18875|USD|33
2012-02-22|27.8|27.8|27.2|27.2|14642|USD|34
2012-02-23|27.4|27.8|27.0|27.6|27313|USD|35
2012-02-24|27.6|27.8|27.4|27.4|10648|USD|36
2012-02-27|27.4|27.6|26.6|26.6|32220|USD|37
2012-02-28|26.6|27.0|26.2|26.2|23689|USD|38
2012-02-29|26.4|27.4|25.4|25.4|56425|USD|39
2012-03-01|25.6|26.2|25.4|25.6|19352|USD|40
2012-03-02|26.0|27.0|25.8|25.8|29508|USD|41
2012-03-05|26.2|26.35|25.2|25.4|31286|USD|42
2012-03-06|25.2|25.6|24.6|24.6|34155|USD|43
2012-03-07|25.0|25.6|24.8|25.2|14075|USD|44
2012-03-08|25.6|26.2|25.4|26.2|34848|USD|45
2012-03-09|26.2|26.4|25.2|25.8|19257|USD|46
2012-03-12|27.2|28.4|27.2|27.8|92577|USD|47
2012-03-13|28.6|28.8|27.6|27.8|58959|USD|48
2012-03-14|27.8|28.2|27.4|27.6|28364|USD|49
