Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|3.96|4.1|3.96|4.0|26400|USD|0
2012-01-04|3.99|4.04|3.97|3.99|35100|USD|1
2012-01-05|3.97|4.04|3.96|4.02|22661|USD|2
2012-01-06|4.05|4.13|4.01|4.1|22205|USD|3
2012-01-09|4.11|4.63|4.0|4.47|64516|USD|4
2012-01-10|4.69|6.0|4.54|5.49|248817|USD|5
2012-01-11|5.61|5.61|5.29|5.45|53988|USD|6
2012-01-12|5.5|5.71|5.5|5.61|25050|USD|7
2012-01-13|5.66|5.66|5.35|5.53|50118|USD|8
2012-01-17|5.5|6.22|5.5|5.69|87676|USD|9
2012-01-18|5.74|5.8|5.62|5.79|26992|USD|10
2012-01-19|5.7|5.75|5.53|5.72|19427|USD|11
2012-01-20|5.52|5.67|5.46|5.59|15799|USD|12
2012-01-23|5.59|5.59|5.06|5.21|56585|USD|13
2012-01-24|5.22|5.64|5.18|5.56|37702|USD|14
2012-01-25|5.73|5.8|5.64|5.67|17768|USD|15
2012-01-26|5.7|5.7|5.52|5.7|33379|USD|16
2012-01-27|5.56|5.92|5.56|5.82|41343|USD|17
2012-01-30|5.84|5.89|5.58|5.79|18559|USD|18
2012-01-31|5.67|5.71|5.4|5.46|37631|USD|19
2012-02-01|5.45|5.78|5.44|5.72|29734|USD|20
2012-02-02|5.75|6.06|5.75|5.89|56152|USD|21
2012-02-03|5.9|5.94|5.78|5.9|41981|USD|22
2012-02-06|5.85|5.97|5.85|5.94|53824|USD|23
2012-02-07|6.03|6.46|6.01|6.33|209187|USD|24
2012-02-08|6.34|6.5|6.23|6.41|71146|USD|25
2012-02-09|6.36|6.44|6.24|6.39|41251|USD|26
2012-02-10|6.33|6.4|6.32|6.32|41050|USD|27
2012-02-13|6.41|6.41|6.06|6.25|63319|USD|28
2012-02-14|6.12|6.27|6.03|6.27|29525|USD|29
2012-02-15|6.27|6.44|6.2|6.38|53123|USD|30
2012-02-16|6.34|6.68|6.28|6.51|74669|USD|31
2012-02-17|6.61|6.75|6.52|6.75|72456|USD|32
2012-02-21|6.65|6.93|6.6|6.7|70746|USD|33
2012-02-22|6.62|6.69|6.38|6.42|49981|USD|34
2012-02-23|6.51|6.58|6.42|6.44|122119|USD|35
2012-02-24|6.49|6.49|6.24|6.25|50295|USD|36
2012-02-27|6.18|6.44|5.93|6.43|26697|USD|37
2012-02-28|6.47|7.05|6.43|6.91|169087|USD|38
2012-02-29|7.04|7.04|6.3|6.8|137311|USD|39
2012-03-01|6.86|7.34|6.82|7.24|135474|USD|40
2012-03-02|7.28|8.03|7.22|7.89|247680|USD|41
2012-03-05|8.0|8.14|7.75|7.81|95539|USD|42
2012-03-06|7.78|8.36|7.21|8.02|160809|USD|43
2012-03-07|8.21|8.73|8.1|8.49|230173|USD|44
2012-03-08|8.66|8.71|8.35|8.45|124932|USD|45
2012-03-09|8.38|8.38|7.97|8.27|129576|USD|46
2012-03-12|7.5|8.36|7.5|7.64|124919|USD|47
2012-03-13|9.5|10.88|8.76|10.22|1749887|USD|48
2012-03-14|10.45|10.79|9.74|10.12|1122112|USD|49
2012-03-15|10.39|10.39|9.75|10.01|183051|USD|50
2012-03-16|10.2|10.21|9.62|9.77|278133|USD|51
2012-03-19|9.73|9.94|9.53|9.77|157930|USD|52
2012-03-20|9.85|10.2|9.53|10.16|318274|USD|53
2012-03-21|10.25|10.32|9.79|9.98|260769|USD|54
2012-03-22|9.97|10.24|9.36|9.66|227078|USD|55
