Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|10.59|10.98|10.39|10.46|308879|USD|0
2012-01-04|10.41|10.41|10.15|10.17|130653|USD|1
2012-01-05|10.17|10.51|10.08|10.34|142095|USD|2
2012-01-06|10.35|10.54|10.03|10.45|127312|USD|3
2012-01-09|10.5|10.55|10.37|10.55|141984|USD|4
2012-01-10|10.68|10.8|10.48|10.51|162570|USD|5
2012-01-11|10.51|10.64|10.41|10.55|165262|USD|6
2012-01-12|10.56|10.72|10.46|10.59|130389|USD|7
2012-01-13|10.5|10.85|10.5|10.82|259200|USD|8
2012-01-17|10.89|10.98|10.79|10.96|153744|USD|9
2012-01-18|10.95|11.0|10.83|11.0|186443|USD|10
2012-01-19|11.05|11.1|10.96|11.08|198328|USD|11
2012-01-20|11.11|11.36|11.03|11.27|279045|USD|12
2012-01-23|13.0|13.67|12.3|12.51|2009334|USD|13
2012-01-24|12.3|13.11|12.25|12.62|811301|USD|14
2012-01-25|12.69|12.72|12.19|12.22|389739|USD|15
2012-01-26|12.28|12.32|12.0|12.1|303977|USD|16
2012-01-27|12.05|12.15|12.0|12.08|182566|USD|17
2012-01-30|12.21|12.58|12.17|12.54|339690|USD|18
2012-01-31|12.58|12.63|12.45|12.48|417833|USD|19
2012-02-01|12.53|12.58|12.27|12.52|336961|USD|20
2012-02-02|12.48|12.79|12.32|12.72|360768|USD|21
2012-02-03|12.83|12.87|12.61|12.62|415227|USD|22
2012-02-06|12.62|12.67|12.33|12.36|170448|USD|23
2012-02-07|12.33|12.44|12.25|12.34|268897|USD|24
2012-02-08|12.23|12.25|12.1|12.11|177037|USD|25
2012-02-09|12.19|12.28|12.0|12.12|112141|USD|26
2012-02-10|12.04|12.18|11.99|12.08|109992|USD|27
2012-02-13|12.25|12.35|12.0|12.13|175575|USD|28
2012-02-14|11.97|12.09|11.91|11.97|275300|USD|29
2012-02-15|12.07|12.23|11.58|11.67|184680|USD|30
2012-02-16|11.73|11.73|11.27|11.69|261817|USD|31
2012-02-17|11.75|12.0|11.74|12.0|223239|USD|32
2012-02-21|12.08|12.13|12.01|12.07|224038|USD|33
2012-02-22|12.04|12.3|12.01|12.24|231922|USD|34
2012-02-23|12.3|12.66|12.14|12.63|272861|USD|35
2012-02-24|12.62|12.68|12.36|12.44|219040|USD|36
2012-02-27|12.4|12.47|12.27|12.34|141762|USD|37
2012-02-28|12.37|12.53|12.32|12.49|152138|USD|38
2012-02-29|12.54|12.71|12.17|12.18|254439|USD|39
2012-03-01|12.26|12.31|11.99|11.99|123245|USD|40
2012-03-02|11.88|12.05|11.59|11.66|359464|USD|41
2012-03-05|11.6|11.81|11.41|11.78|202135|USD|42
2012-03-06|11.63|11.75|11.49|11.6|138469|USD|43
2012-03-07|11.66|11.73|11.46|11.73|93812|USD|44
2012-03-08|11.79|11.83|11.57|11.79|141480|USD|45
2012-03-09|11.78|12.31|11.68|11.95|459476|USD|46
2012-03-12|11.96|12.02|11.5|11.56|299248|USD|47
2012-03-13|11.67|11.97|11.54|11.96|182085|USD|48
2012-03-14|11.96|12.0|11.68|11.78|89694|USD|49
2012-03-15|11.82|11.97|11.57|11.95|110732|USD|50
2012-03-16|11.97|11.97|11.65|11.72|257191|USD|51
2012-03-19|11.73|11.92|11.65|11.85|110781|USD|52
2012-03-20|11.81|11.95|11.6|11.77|137763|USD|53
2012-03-21|11.79|11.92|11.56|11.69|133118|USD|54
2012-03-22|11.64|11.93|11.56|11.91|181874|USD|55
2012-03-23|11.96|12.14|11.68|11.81|254273|USD|56
2012-03-26|11.83|11.97|11.77|11.88|158327|USD|57
2012-03-27|11.93|12.15|11.81|11.98|300708|USD|58
2012-03-28|12.02|12.13|11.9|12.05|142095|USD|59
2012-03-29|11.99|12.36|11.97|12.33|170475|USD|60
2012-03-30|12.43|12.81|12.36|12.38|402360|USD|61
2012-04-02|12.65|13.09|12.56|13.05|561685|USD|62
2012-04-03|13.08|13.4|12.98|13.37|429038|USD|63
2012-04-04|13.27|13.83|13.21|13.38|553114|USD|64
2012-04-05|13.35|13.5|13.09|13.15|553052|USD|65
2012-04-09|13.0|13.14|12.68|12.8|246397|USD|66
2012-04-10|12.78|12.86|12.43|12.58|234868|USD|67
2012-04-11|12.7|13.12|12.59|13.1|249006|USD|68
2012-04-12|13.15|13.37|13.11|13.13|190593|USD|69
2012-04-13|13.1|13.12|12.9|13.01|232554|USD|70
2012-04-16|13.11|13.23|12.93|13.21|191656|USD|71
2012-04-17|13.25|13.42|13.18|13.39|158714|USD|72
2012-04-18|13.38|13.38|13.15|13.33|308395|USD|73
2012-04-19|13.25|13.25|12.79|12.92|277175|USD|74
2012-04-20|13.22|13.22|13.02|13.11|268553|USD|75
2012-04-23|12.91|13.01|12.7|12.88|144869|USD|76
2012-04-24|12.85|13.03|12.81|12.94|146175|USD|77
2012-04-25|13.08|13.17|12.88|12.99|208507|USD|78
2012-04-26|12.98|13.37|12.97|13.36|162752|USD|79
2012-04-27|13.38|13.57|13.38|13.46|250487|USD|80
2012-04-30|13.45|13.54|13.19|13.47|366183|USD|81
2012-05-01|13.51|13.55|13.04|13.08|406441|USD|82
2012-05-02|13.04|13.09|12.91|13.09|179657|USD|83
2012-05-03|13.09|13.2|13.01|13.05|203602|USD|84
2012-05-04|13.0|14.03|13.0|13.76|861319|USD|85
2012-05-07|13.5|13.55|10.92|11.07|2381508|USD|86
2012-05-08|11.06|11.3|10.94|11.11|724958|USD|87
2012-05-09|11.1|11.67|11.09|11.42|429148|USD|88
2012-05-10|11.3|11.52|11.12|11.32|305529|USD|89
2012-05-11|11.24|11.65|11.24|11.57|302078|USD|90
2012-05-14|11.52|11.6|11.28|11.4|250929|USD|91
2012-05-15|11.42|11.51|11.24|11.37|236217|USD|92
2012-05-16|11.39|11.57|11.34|11.42|146365|USD|93
2012-05-17|11.46|11.53|11.19|11.21|144610|USD|94
2012-05-18|11.28|11.7|11.22|11.55|272581|USD|95
2012-05-21|11.54|11.74|11.39|11.54|203305|USD|96
2012-05-22|11.52|11.69|11.37|11.47|210961|USD|97
2012-05-23|11.42|11.59|11.3|11.57|140355|USD|98
2012-05-24|11.52|11.71|11.52|11.71|111695|USD|99
2012-05-25|11.74|11.9|11.64|11.88|101229|USD|100
2012-05-29|11.91|11.98|11.4|11.47|150200|USD|101
2012-05-30|11.38|11.44|11.15|11.24|79756|USD|102
2012-05-31|11.27|11.47|11.17|11.41|110472|USD|103
2012-06-01|11.25|11.35|10.96|11.17|213228|USD|104
2012-06-04|11.26|11.65|11.2|11.61|172103|USD|105
2012-06-05|11.53|11.75|11.46|11.75|124906|USD|106
2012-06-06|11.78|12.14|11.73|12.03|209702|USD|107
2012-06-07|12.15|12.15|11.89|11.98|124736|USD|108
2012-06-08|11.98|12.1|11.79|12.0|129916|USD|109
2012-06-11|12.1|12.1|11.66|11.74|124939|USD|110
2012-06-12|11.82|12.0|11.67|11.96|200509|USD|111
2012-06-13|11.87|11.92|11.6|11.68|170995|USD|112
2012-06-14|11.73|11.78|11.57|11.67|153021|USD|113
2012-06-15|11.64|11.96|11.59|11.78|290307|USD|114
2012-06-18|11.78|11.85|11.63|11.8|221814|USD|115
2012-06-19|11.89|12.04|11.86|11.96|393492|USD|116
2012-06-20|11.95|12.09|11.88|11.98|154240|USD|117
2012-06-21|11.99|12.0|11.7|11.72|99543|USD|118
2012-06-22|11.79|12.1|11.79|12.03|213688|USD|119
2012-06-25|11.98|12.0|11.71|11.97|175523|USD|120
2012-06-26|11.95|12.0|11.8|11.83|116884|USD|121
2012-06-27|11.9|12.0|11.75|11.98|140826|USD|122
2012-06-28|11.88|12.09|11.72|11.9|147555|USD|123
2012-06-29|12.08|12.46|11.95|12.16|244080|USD|124
2012-07-02|12.24|12.49|12.19|12.35|249665|USD|125
2012-07-03|12.33|12.36|12.18|12.21|67024|USD|126
2012-07-05|12.17|12.48|12.17|12.23|118641|USD|127
2012-07-06|12.17|12.34|12.17|12.17|133288|USD|128
2012-07-09|12.19|12.25|11.99|12.05|195257|USD|129
2012-07-10|12.1|12.19|11.82|11.94|226331|USD|130
2012-07-11|11.98|12.05|11.84|11.99|164372|USD|131
2012-07-12|11.96|12.03|11.53|11.61|262054|USD|132
2012-07-13|11.65|11.73|11.4|11.5|412181|USD|133
2012-07-16|11.54|11.59|11.36|11.4|202416|USD|134
2012-07-17|11.38|11.74|11.33|11.55|130468|USD|135
2012-07-18|11.61|11.72|11.25|11.27|257635|USD|136
2012-07-19|11.28|11.54|11.25|11.41|152639|USD|137
2012-07-20|11.33|11.43|11.2|11.26|149016|USD|138
2012-07-23|10.2|10.2|9.5|9.64|1548327|USD|139
2012-07-24|9.67|9.67|9.15|9.43|559898|USD|140
2012-07-25|9.41|9.47|9.2|9.36|395401|USD|141
2012-07-26|9.47|9.52|9.27|9.36|217846|USD|142
2012-07-27|9.41|9.71|9.4|9.7|278419|USD|143
2012-07-30|9.7|9.88|9.67|9.79|211114|USD|144
2012-07-31|9.79|9.92|9.68|9.72|475480|USD|145
2012-08-01|9.73|9.85|9.6|9.6|203903|USD|146
2012-08-02|9.48|9.6|9.43|9.5|126287|USD|147
2012-08-03|9.55|9.73|9.54|9.63|172430|USD|148
2012-08-06|9.61|9.75|9.6|9.64|207111|USD|149
2012-08-07|9.64|9.79|9.64|9.71|393330|USD|150
2012-08-08|9.7|9.82|9.66|9.75|233721|USD|151
2012-08-09|9.58|9.78|9.57|9.72|248181|USD|152
2012-08-10|9.69|9.76|9.61|9.65|159748|USD|153
2012-08-13|9.67|9.74|9.6|9.61|165232|USD|154
2012-08-14|9.63|9.72|9.58|9.64|311287|USD|155
2012-08-15|9.65|9.81|9.64|9.75|228073|USD|156
2012-08-16|9.71|9.79|9.67|9.76|282030|USD|157
2012-08-17|9.74|9.93|9.74|9.92|406449|USD|158
2012-08-20|9.91|9.97|9.81|9.96|185046|USD|159
2012-08-21|9.97|10.0|9.7|9.71|202340|USD|160
2012-08-22|9.72|9.88|9.71|9.8|130441|USD|161
2012-08-23|9.8|9.85|9.62|9.64|101975|USD|162
2012-08-24|9.66|9.82|9.61|9.8|169065|USD|163
2012-08-27|9.81|9.93|9.8|9.89|197819|USD|164
2012-08-28|9.86|9.99|9.86|9.97|287773|USD|165
2012-08-29|9.96|10.35|9.94|10.29|252855|USD|166
2012-08-30|10.27|10.31|10.2|10.2|110036|USD|167
2012-08-31|10.24|10.33|10.18|10.28|120879|USD|168
2012-09-04|10.31|10.31|9.91|10.21|231521|USD|169
2012-09-05|10.2|10.3|10.17|10.27|140730|USD|170
2012-09-06|10.3|10.49|10.27|10.46|132585|USD|171
2012-09-07|10.46|10.56|10.38|10.55|88542|USD|172
2012-09-10|10.61|10.74|10.51|10.66|152732|USD|173
2012-09-11|10.65|10.89|10.65|10.84|93203|USD|174
2012-09-12|10.83|10.9|10.7|10.79|64672|USD|175
2012-09-13|10.75|10.92|10.61|10.64|167169|USD|176
2012-09-14|10.67|10.83|10.61|10.63|104153|USD|177
2012-09-17|10.57|10.66|9.88|10.01|257425|USD|178
2012-09-18|9.96|10.16|9.86|9.89|188074|USD|179
2012-09-19|9.88|9.94|9.68|9.71|171376|USD|180
2012-09-20|9.7|9.98|9.66|9.84|171764|USD|181
2012-09-21|9.96|9.96|9.8|9.83|223937|USD|182
2012-09-24|9.8|9.98|9.63|9.92|198623|USD|183
2012-09-25|9.92|10.12|9.78|9.79|185924|USD|184
2012-09-26|9.85|9.96|9.71|9.76|107011|USD|185
2012-09-27|9.79|10.07|9.77|10.02|116818|USD|186
2012-09-28|9.98|10.16|9.91|10.04|115702|USD|187
2012-10-01|10.11|10.23|10.03|10.08|155407|USD|188
2012-10-02|10.1|10.48|10.07|10.28|147556|USD|189
2012-10-03|10.26|10.3|10.1|10.23|104440|USD|190
2012-10-04|10.3|10.44|10.19|10.42|110578|USD|191
2012-10-05|10.44|10.49|10.29|10.4|142948|USD|192
2012-10-08|10.43|10.52|10.28|10.52|95542|USD|193
2012-10-09|10.57|10.58|10.3|10.33|203926|USD|194
2012-10-10|10.32|10.35|9.99|9.99|124302|USD|195
2012-10-11|10.09|10.2|9.82|9.95|257008|USD|196
2012-10-12|10.01|10.23|9.97|10.15|112057|USD|197
2012-10-15|10.07|10.32|10.0|10.2|125093|USD|198
2012-10-16|10.27|10.44|10.22|10.42|164011|USD|199
2012-10-17|10.5|10.62|10.31|10.61|178023|USD|200
2012-10-18|10.63|10.68|10.04|10.25|212145|USD|201
2012-10-19|10.19|10.19|10.04|10.11|217972|USD|202
2012-10-22|11.0|11.62|10.51|11.15|1110110|USD|203
2012-10-23|11.15|11.26|10.79|10.81|465045|USD|204
2012-10-24|10.89|11.0|10.52|10.63|284097|USD|205
2012-10-25|10.76|10.82|10.52|10.58|257880|USD|206
2012-10-26|10.55|11.25|10.31|10.75|526652|USD|207
2012-10-31|10.79|11.13|10.64|10.9|363303|USD|208
2012-11-01|10.96|11.21|10.67|10.97|188204|USD|209
2012-11-02|11.01|11.22|10.91|11.08|184024|USD|210
2012-11-05|11.23|11.23|10.88|11.06|144346|USD|211
2012-11-06|11.14|11.16|10.9|10.94|115848|USD|212
2012-11-07|10.76|10.77|10.45|10.7|161004|USD|213
2012-11-08|10.72|10.73|10.5|10.51|112582|USD|214
2012-11-09|10.55|10.66|10.51|10.55|75471|USD|215
2012-11-12|10.55|10.56|10.33|10.37|124513|USD|216
2012-11-13|10.35|10.47|10.15|10.16|98353|USD|217
2012-11-14|10.22|10.5|10.0|10.05|159456|USD|218
2012-11-15|10.08|10.45|10.03|10.25|134502|USD|219
2012-11-16|10.21|10.51|10.13|10.44|141208|USD|220
2012-11-19|10.48|10.89|10.41|10.82|169032|USD|221
2012-11-20|10.94|11.0|10.72|10.88|97037|USD|222
2012-11-21|10.83|10.99|10.81|10.95|64664|USD|223
2012-11-23|11.01|11.1|10.89|11.1|53734|USD|224
2012-11-26|11.14|11.2|10.95|11.04|267140|USD|225
2012-11-27|11.06|11.25|10.98|11.14|78594|USD|226
2012-11-28|11.11|11.2|11.01|11.14|113527|USD|227
2012-11-29|11.26|11.6|11.22|11.57|144677|USD|228
2012-11-30|11.59|11.63|11.43|11.54|235875|USD|229
2012-12-03|11.58|11.67|11.47|11.55|131759|USD|230
2012-12-04|12.12|12.24|11.8|12.05|392212|USD|231
