Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|14.99|15.0|14.27|14.52|114871|USD|0
2012-01-04|14.4|14.87|14.37|14.7|36011|USD|1
2012-01-05|14.63|14.89|14.4|14.82|23383|USD|2
2012-01-06|14.83|14.83|14.44|14.64|54666|USD|3
2012-01-09|14.69|14.69|14.13|14.39|100193|USD|4
2012-01-10|14.61|14.72|14.36|14.58|34877|USD|5
2012-01-11|14.51|14.9|14.51|14.81|40957|USD|6
2012-01-12|14.85|14.95|14.44|14.83|30124|USD|7
2012-01-13|14.63|14.66|14.36|14.56|40561|USD|8
2012-01-17|14.7|15.0|14.4|14.52|120894|USD|9
2012-01-18|14.48|14.85|14.46|14.84|33821|USD|10
2012-01-19|14.87|14.94|14.6|14.62|28837|USD|11
2012-01-20|14.62|14.82|14.56|14.68|35612|USD|12
2012-01-23|14.68|14.76|14.47|14.51|28970|USD|13
2012-01-24|14.47|14.68|14.42|14.57|43156|USD|14
2012-01-25|14.59|14.75|13.87|14.68|54207|USD|15
2012-01-26|14.71|14.71|14.16|14.67|38685|USD|16
2012-01-27|14.56|14.82|14.51|14.7|35816|USD|17
2012-01-30|14.55|14.69|14.49|14.6|62873|USD|18
2012-01-31|14.68|14.68|14.06|14.38|66401|USD|19
2012-02-01|14.53|14.67|14.34|14.59|47132|USD|20
2012-02-02|14.51|15.04|14.51|14.97|59556|USD|21
2012-02-03|15.0|15.36|13.35|14.26|93490|USD|22
2012-02-06|14.17|14.31|13.79|13.86|58645|USD|23
2012-02-07|13.3|14.15|13.3|13.97|106426|USD|24
2012-02-08|13.99|14.33|13.92|14.32|110627|USD|25
2012-02-09|14.31|14.45|14.0|14.23|48816|USD|26
2012-02-10|14.1|14.23|13.98|14.0|21378|USD|27
2012-02-13|14.07|14.35|14.05|14.2|33042|USD|28
2012-02-14|14.1|14.16|13.99|14.15|21897|USD|29
2012-02-15|14.18|14.18|13.96|14.0|60635|USD|30
2012-02-16|13.97|14.36|13.97|14.19|35026|USD|31
2012-02-17|14.25|14.4|13.96|14.37|41274|USD|32
2012-02-21|14.36|14.37|13.9|13.99|59120|USD|33
2012-02-22|13.91|14.11|13.88|14.09|27213|USD|34
2012-02-23|14.08|14.64|13.86|14.52|36873|USD|35
2012-02-24|14.53|14.85|14.45|14.52|47338|USD|36
2012-02-27|14.35|14.68|14.15|14.52|55175|USD|37
2012-02-28|14.54|14.71|14.28|14.52|46691|USD|38
2012-02-29|14.21|14.56|14.08|14.32|76252|USD|39
2012-03-01|14.27|14.55|14.0|14.02|63544|USD|40
2012-03-02|14.07|14.29|14.02|14.26|76697|USD|41
2012-03-05|14.21|14.36|14.18|14.3|20529|USD|42
2012-03-06|14.13|14.41|14.13|14.27|36570|USD|43
2012-03-07|14.35|14.5|14.28|14.39|28529|USD|44
2012-03-08|14.51|14.51|14.26|14.43|35392|USD|45
2012-03-09|14.16|14.93|14.16|14.48|37873|USD|46
2012-03-12|14.41|14.67|14.35|14.49|18071|USD|47
2012-03-13|14.56|14.6|14.44|14.52|40470|USD|48
2012-03-14|14.5|14.68|14.46|14.53|49217|USD|49
2012-03-15|14.5|14.72|14.3|14.72|31850|USD|50
