Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|18.48|19.36|17.92|19.04|104374|USD|0
2012-01-04|20.24|20.4|19.36|20.0|127644|USD|1
2012-01-05|20.4|21.71|20.16|21.12|163685|USD|2
2012-01-06|21.2|24.32|21.2|22.56|219421|USD|3
2012-01-09|23.2|24.16|18.56|22.72|217627|USD|4
2012-01-10|23.2|23.2|20.0|22.0|93825|USD|5
2012-01-11|21.6|21.72|20.16|20.88|69724|USD|6
2012-01-12|20.56|21.36|20.0|20.8|79237|USD|7
2012-01-13|20.96|21.2|20.32|20.56|37977|USD|8
2012-01-17|20.88|21.12|18.16|18.96|73128|USD|9
2012-01-18|18.96|20.24|18.56|19.92|56888|USD|10
2012-01-19|20.32|20.32|19.68|20.16|26612|USD|11
2012-01-20|20.16|20.64|18.88|19.92|50370|USD|12
2012-01-23|20.16|20.16|18.88|19.36|32336|USD|13
2012-01-24|19.52|19.84|18.64|19.84|35204|USD|14
2012-01-25|20.0|20.0|19.36|19.52|24620|USD|15
2012-01-26|19.76|22.0|19.6|20.96|93690|USD|16
2012-01-27|21.12|21.6|19.76|21.44|36080|USD|17
2012-01-30|21.44|21.68|20.48|20.72|42617|USD|18
2012-01-31|21.28|21.28|20.4|21.12|60773|USD|19
2012-02-01|21.12|21.12|20.48|20.8|22811|USD|20
2012-02-02|20.88|22.4|20.4|21.92|89168|USD|21
2012-02-03|22.56|22.56|20.96|21.84|51984|USD|22
2012-02-06|21.2|21.2|20.0|20.08|84827|USD|23
2012-02-07|20.32|20.96|19.68|20.8|87467|USD|24
2012-02-08|20.96|22.0|20.48|21.68|65637|USD|25
2012-02-09|21.52|23.52|21.2|22.4|129841|USD|26
2012-02-10|22.4|22.56|21.28|21.68|54600|USD|27
2012-02-13|22.0|22.0|20.8|21.28|44432|USD|28
2012-02-14|21.28|21.36|20.4|20.72|53103|USD|29
2012-02-15|21.04|21.44|20.0|20.24|50079|USD|30
2012-02-16|20.4|21.2|20.24|20.64|34845|USD|31
2012-02-17|20.64|20.64|20.03|20.4|25889|USD|32
2012-02-21|20.48|20.96|20.08|20.24|17795|USD|33
2012-02-22|20.24|20.54|19.6|19.6|28163|USD|34
2012-02-23|19.92|20.32|19.6|19.76|23220|USD|35
2012-02-24|19.84|20.64|19.52|19.76|17122|USD|36
2012-02-27|19.6|20.0|19.28|19.36|26881|USD|37
2012-02-28|19.6|19.76|18.88|19.04|32896|USD|38
2012-02-29|19.36|19.36|18.16|18.24|51496|USD|39
2012-03-01|18.32|20.4|17.6|19.84|79813|USD|40
2012-03-02|20.16|20.16|18.4|18.48|32348|USD|41
2012-03-05|18.48|22.24|18.48|21.52|178993|USD|42
2012-03-06|22.08|22.72|21.2|21.6|151535|USD|43
2012-03-07|22.0|22.8|21.36|22.32|117250|USD|44
2012-03-08|22.4|23.2|19.84|19.92|138728|USD|45
2012-03-09|16.8|17.6|16.0|16.24|244199|USD|46
2012-03-12|16.56|17.36|15.68|16.0|121817|USD|47
2012-03-13|16.4|16.72|16.0|16.4|64862|USD|48
2012-03-14|16.32|16.56|16.0|16.32|59272|USD|49
2012-03-15|16.4|16.4|15.04|15.52|95563|USD|50
2012-03-16|15.52|15.6|14.08|15.44|133185|USD|51
2012-03-19|15.44|15.92|15.04|15.12|34419|USD|52
2012-03-20|15.28|15.28|14.4|15.04|38844|USD|53
2012-03-21|14.8|15.28|14.32|14.64|49077|USD|54
2012-03-22|14.56|14.64|14.08|14.48|27660|USD|55
2012-03-23|14.56|15.68|14.24|15.68|47012|USD|56
2012-03-26|15.92|17.44|15.68|17.2|94315|USD|57
2012-03-27|17.36|18.24|17.28|17.52|77006|USD|58
2012-03-28|17.6|18.0|16.16|16.32|37030|USD|59
2012-03-29|16.32|16.72|15.92|16.64|26435|USD|60
2012-03-30|16.96|17.28|15.76|16.0|52159|USD|61
2012-04-02|17.2|17.48|16.16|17.2|51199|USD|62
2012-04-03|17.2|17.2|16.4|16.56|15686|USD|63
2012-04-04|16.4|16.8|16.0|16.56|17449|USD|64
2012-04-05|16.56|16.56|15.92|16.0|19828|USD|65
2012-04-09|15.92|16.0|15.04|15.6|23764|USD|66
2012-04-10|15.6|15.6|14.8|14.8|30719|USD|67
2012-04-11|15.2|16.16|15.2|15.84|20172|USD|68
2012-04-12|15.84|15.92|15.44|15.92|11497|USD|69
2012-04-13|15.84|15.84|15.28|15.36|11983|USD|70
2012-04-16|15.68|15.76|14.88|15.12|16206|USD|71
2012-04-17|15.2|16.0|15.04|15.84|18149|USD|72
2012-04-18|16.08|16.4|15.2|15.36|23773|USD|73
2012-04-19|15.44|15.92|15.04|15.04|11304|USD|74
2012-04-20|15.2|15.6|14.8|15.04|22371|USD|75
2012-04-23|14.8|15.68|14.8|14.88|21224|USD|76
2012-04-24|14.96|15.4|14.96|15.2|12843|USD|77
2012-04-25|15.2|15.28|14.88|14.96|19250|USD|78
2012-04-26|14.96|15.2|14.88|15.04|16393|USD|79
2012-04-27|15.2|15.2|14.88|15.04|21516|USD|80
2012-04-30|14.96|15.12|14.56|14.64|28199|USD|81
2012-05-01|14.64|15.52|14.56|14.88|20956|USD|82
2012-05-02|15.76|16.48|15.52|16.0|70707|USD|83
2012-05-03|16.32|16.56|15.76|15.92|23133|USD|84
2012-05-04|15.68|15.84|14.8|15.2|14071|USD|85
2012-05-07|15.12|15.12|14.72|14.88|10530|USD|86
2012-05-08|14.56|15.44|14.56|15.04|14229|USD|87
2012-05-09|14.56|15.71|14.56|15.36|17411|USD|88
2012-05-10|15.52|15.52|14.88|15.28|12068|USD|89
2012-05-11|15.12|15.52|14.96|15.28|16564|USD|90
2012-05-14|15.04|15.52|14.8|14.8|15865|USD|91
2012-05-15|14.96|16.16|14.96|15.12|34380|USD|92
2012-05-16|15.28|15.36|14.56|14.56|18376|USD|93
2012-05-17|14.64|14.8|14.4|14.48|25822|USD|94
2012-05-18|14.4|14.64|12.8|14.32|31705|USD|95
2012-05-21|13.84|14.16|13.68|14.16|22250|USD|96
2012-05-22|14.16|14.72|13.92|14.08|22773|USD|97
2012-05-23|14.0|14.08|13.2|13.28|26413|USD|98
2012-05-24|13.44|13.68|13.2|13.36|18243|USD|99
2012-05-25|13.52|13.6|12.64|12.88|27415|USD|100
2012-05-29|13.04|13.04|12.4|12.72|13370|USD|101
2012-05-30|12.72|15.1|12.72|14.72|44172|USD|102
2012-05-31|14.88|15.12|14.0|14.4|19363|USD|103
2012-06-01|13.84|14.16|13.6|13.76|12099|USD|104
2012-06-04|13.84|15.2|13.76|13.92|16815|USD|105
2012-06-05|13.6|14.4|13.6|13.84|15467|USD|106
2012-06-06|14.0|14.96|13.84|14.88|10589|USD|107
2012-06-07|15.2|16.64|14.96|15.44|59600|USD|108
2012-06-08|15.44|16.16|15.36|16.0|17924|USD|109
2012-06-11|16.16|16.32|15.04|15.68|36511|USD|110
2012-06-12|16.0|16.16|15.36|15.68|15028|USD|111
2012-06-13|15.6|16.16|15.6|15.92|15596|USD|112
2012-06-14|16.0|16.8|15.84|16.24|40339|USD|113
2012-06-15|16.24|16.4|15.84|16.0|24838|USD|114
2012-06-18|15.84|17.2|15.84|17.12|30750|USD|115
2012-06-19|17.44|18.8|16.91|18.64|57703|USD|116
2012-06-20|19.2|19.2|18.0|18.72|47726|USD|117
2012-06-21|18.72|18.72|17.68|18.48|31776|USD|118
2012-06-22|18.64|20.4|18.08|18.96|312755|USD|119
2012-06-25|18.72|18.96|17.6|18.8|25391|USD|120
2012-06-26|18.88|20.64|18.48|19.68|40795|USD|121
2012-06-27|19.76|20.32|18.88|19.68|33342|USD|122
2012-06-28|19.68|19.84|18.88|19.28|21656|USD|123
2012-06-29|19.44|19.92|18.96|19.84|32311|USD|124
2012-07-02|19.6|20.4|19.2|20.4|26734|USD|125
2012-07-03|20.16|20.32|19.52|19.68|25688|USD|126
2012-07-05|19.84|20.4|19.28|19.92|21897|USD|127
2012-07-06|19.68|20.24|19.44|19.6|25513|USD|128
2012-07-09|19.76|19.76|18.48|18.56|28079|USD|129
2012-07-10|18.72|18.72|17.84|18.24|16097|USD|130
2012-07-11|18.24|18.24|16.32|16.32|33118|USD|131
2012-07-12|16.32|16.56|15.92|16.16|34158|USD|132
2012-07-13|16.32|18.0|16.08|17.68|19588|USD|133
2012-07-16|19.76|20.8|18.42|18.88|83883|USD|134
2012-07-17|19.04|19.2|17.12|18.16|36937|USD|135
2012-07-18|17.92|18.64|17.84|18.48|14834|USD|136
2012-07-19|18.56|18.8|18.01|18.4|14005|USD|137
2012-07-20|18.48|18.48|17.2|17.2|14745|USD|138
2012-07-23|17.2|17.28|16.4|16.96|20271|USD|139
2012-07-24|16.4|17.2|16.0|17.12|136394|USD|140
2012-07-25|17.04|17.04|16.16|16.4|18752|USD|141
2012-07-26|16.72|16.95|16.32|16.48|30116|USD|142
2012-07-27|16.8|18.64|16.8|18.64|48284|USD|143
2012-07-30|18.96|18.96|17.04|17.36|91848|USD|144
2012-07-31|17.36|18.4|16.64|17.6|222757|USD|145
2012-08-01|17.84|17.84|16.8|16.8|38469|USD|146
2012-08-02|16.72|16.88|16.4|16.56|35802|USD|147
2012-08-03|16.64|17.68|16.56|17.28|35290|USD|148
2012-08-06|17.28|17.52|17.04|17.44|35234|USD|149
2012-08-07|17.52|17.52|16.8|16.96|26669|USD|150
2012-08-08|16.88|16.96|16.24|16.55|36613|USD|151
2012-08-09|16.96|17.36|16.32|17.12|24360|USD|152
2012-08-10|17.2|17.28|16.8|16.8|24320|USD|153
2012-08-13|16.88|17.6|16.72|17.28|33553|USD|154
2012-08-14|17.44|17.76|16.64|16.64|26640|USD|155
2012-08-15|16.64|17.2|16.4|17.2|18426|USD|156
2012-08-16|17.12|17.84|16.96|17.84|23472|USD|157
2012-08-17|17.68|18.72|17.28|18.72|34731|USD|158
2012-08-20|18.32|19.6|18.24|19.2|36610|USD|159
2012-08-21|19.28|19.52|18.08|18.4|25626|USD|160
2012-08-22|18.56|18.56|18.0|18.32|15113|USD|161
2012-08-23|18.24|18.32|18.0|18.24|10927|USD|162
2012-08-24|18.24|18.48|18.16|18.48|13828|USD|163
2012-08-27|18.48|18.8|18.16|18.48|26715|USD|164
2012-08-28|18.4|19.36|18.4|19.12|28379|USD|165
2012-08-29|19.28|19.28|18.24|18.56|31531|USD|166
2012-08-30|18.48|18.8|18.16|18.4|14288|USD|167
2012-08-31|18.56|19.04|18.24|18.96|22295|USD|168
2012-09-04|18.96|19.12|18.4|19.04|18847|USD|169
2012-09-05|18.8|19.2|18.48|18.96|25019|USD|170
2012-09-06|19.04|19.2|18.32|18.56|40766|USD|171
2012-09-07|18.64|18.96|17.76|18.4|49998|USD|172
2012-09-10|18.4|19.12|18.24|19.04|33791|USD|173
2012-09-11|18.96|19.6|18.65|19.44|54334|USD|174
2012-09-12|19.76|20.32|18.4|18.64|119539|USD|175
2012-09-13|18.88|19.44|18.56|19.2|217163|USD|176
2012-09-14|19.2|19.84|18.96|19.2|93886|USD|177
2012-09-17|19.28|19.52|18.96|19.04|127755|USD|178
2012-09-18|19.2|19.52|18.8|19.52|62308|USD|179
2012-09-19|19.6|22.0|19.52|21.84|365305|USD|180
2012-09-20|21.68|22.24|21.28|21.76|121396|USD|181
2012-09-21|22.08|22.4|20.8|21.68|179280|USD|182
2012-09-24|21.68|22.56|21.28|22.32|84238|USD|183
2012-09-25|22.56|22.72|21.28|21.68|98341|USD|184
2012-09-26|22.64|22.8|21.52|22.24|155629|USD|185
2012-09-27|22.4|22.88|21.28|21.44|131078|USD|186
2012-09-28|21.12|22.0|20.96|21.12|128176|USD|187
2012-10-01|21.44|22.24|21.44|22.08|72396|USD|188
2012-10-02|22.08|23.6|22.0|23.52|191825|USD|189
2012-10-03|23.52|25.28|23.04|25.12|234035|USD|190
2012-10-04|25.12|26.4|23.2|24.4|332497|USD|191
2012-10-05|24.48|25.12|24.08|24.8|84150|USD|192
2012-10-08|24.88|24.96|24.24|24.64|65427|USD|193
2012-10-09|24.88|24.88|23.04|23.2|152468|USD|194
2012-10-10|23.2|23.32|21.6|22.4|177472|USD|195
2012-10-11|23.12|23.76|22.8|23.6|87560|USD|196
