Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|27.9|28.03|27.0|27.24|441434|USD|0
2012-01-04|27.13|27.36|26.54|26.83|311981|USD|1
2012-01-05|26.8|27.2|26.14|26.83|268010|USD|2
2012-01-06|26.73|27.05|25.93|26.09|365008|USD|3
2012-01-09|26.08|26.52|25.67|26.25|438016|USD|4
2012-01-10|26.7|26.83|26.0|26.52|311331|USD|5
2012-01-11|26.55|26.76|26.47|26.7|351708|USD|6
2012-01-12|26.8|26.8|26.1|26.28|227346|USD|7
2012-01-13|25.91|26.22|25.53|25.71|273560|USD|8
2012-01-17|25.86|26.14|25.8|26.06|329240|USD|9
2012-01-18|26.11|26.69|25.91|26.59|245512|USD|10
2012-01-19|26.99|28.3|26.73|27.29|1117036|USD|11
2012-01-20|27.5|27.89|26.75|27.02|262369|USD|12
2012-01-23|27.01|27.39|26.9|27.28|190743|USD|13
2012-01-24|27.2|27.69|26.92|27.66|299936|USD|14
2012-01-25|27.62|27.69|27.08|27.12|283483|USD|15
2012-01-26|27.94|27.94|26.8|26.93|270996|USD|16
2012-01-27|26.73|27.0|26.45|26.73|246605|USD|17
2012-01-30|26.5|26.67|25.33|25.36|684731|USD|18
2012-01-31|25.44|25.8|25.22|25.55|401589|USD|19
2012-02-01|25.81|26.01|25.5|25.91|572569|USD|20
2012-02-02|26.0|26.12|25.36|25.49|911472|USD|21
2012-02-03|25.0|26.25|23.7|25.36|2331549|USD|22
2012-02-06|24.65|26.31|24.25|26.27|628430|USD|23
2012-02-07|26.32|27.01|26.0|26.67|455869|USD|24
2012-02-08|26.77|26.91|26.5|26.64|211067|USD|25
2012-02-09|26.65|26.75|26.25|26.67|314584|USD|26
2012-02-10|26.46|26.75|26.06|26.62|316221|USD|27
2012-02-13|26.78|27.22|26.61|26.8|192837|USD|28
2012-02-14|26.75|26.75|26.21|26.56|357034|USD|29
2012-02-15|26.61|26.74|26.17|26.63|369621|USD|30
2012-02-16|26.56|27.23|26.54|27.03|323932|USD|31
2012-02-17|27.17|27.22|26.52|26.6|161793|USD|32
2012-02-21|26.57|26.91|26.55|26.87|327234|USD|33
2012-02-22|26.83|27.38|26.73|27.2|185913|USD|34
2012-02-23|27.3|27.85|27.03|27.81|360555|USD|35
2012-02-24|27.81|28.34|27.75|27.94|347097|USD|36
2012-02-27|27.62|27.74|26.92|26.96|328687|USD|37
2012-02-28|26.88|27.37|26.55|26.72|328027|USD|38
2012-02-29|26.85|26.97|26.22|26.59|384278|USD|39
2012-03-01|26.85|28.31|26.58|28.27|590559|USD|40
2012-03-02|28.32|28.5|27.11|27.66|451440|USD|41
2012-03-05|27.74|28.22|27.48|27.97|303668|USD|42
2012-03-06|27.71|27.92|27.17|27.65|458245|USD|43
2012-03-07|27.68|27.73|27.25|27.5|278145|USD|44
2012-03-08|27.63|27.63|26.9|27.41|176727|USD|45
2012-03-09|27.29|27.94|27.17|27.39|194417|USD|46
2012-03-12|27.45|27.53|26.83|27.0|215280|USD|47
2012-03-13|27.34|27.47|26.94|27.35|301784|USD|48
2012-03-14|27.42|27.42|26.61|26.99|319046|USD|49
2012-03-15|26.99|27.19|26.51|27.02|452174|USD|50
2012-03-16|27.01|27.18|26.67|26.94|345052|USD|51
2012-03-19|26.74|27.08|26.57|26.73|391227|USD|52
2012-03-20|26.56|27.01|26.25|26.55|350518|USD|53
2012-03-21|26.73|27.08|26.45|26.86|225626|USD|54
2012-03-22|26.57|26.89|26.38|26.8|176151|USD|55
2012-03-23|26.82|27.08|26.56|27.07|138847|USD|56
2012-03-26|27.31|27.6|26.94|26.99|268754|USD|57
2012-03-27|26.96|27.24|25.96|26.1|596949|USD|58
2012-03-28|26.25|26.49|26.2|26.32|294825|USD|59
2012-03-29|26.25|26.57|25.88|26.34|266288|USD|60
2012-03-30|26.55|26.57|26.21|26.25|207269|USD|61
2012-04-02|26.15|26.87|26.09|26.8|229845|USD|62
2012-04-03|26.68|26.83|25.87|25.93|517587|USD|63
