Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|20.37|21.23|19.98|20.84|37372|USD|0
2012-01-04|20.68|21.09|20.31|20.41|56644|USD|1
2012-01-05|20.25|20.84|20.15|20.39|10093|USD|2
2012-01-06|20.39|20.41|19.87|20.17|28952|USD|3
2012-01-09|20.34|20.34|19.99|20.3|28710|USD|4
2012-01-10|20.55|20.73|20.1|20.22|31739|USD|5
2012-01-11|20.11|20.37|19.77|20.12|35486|USD|6
2012-01-12|20.11|20.15|19.55|20.01|36259|USD|7
2012-01-13|19.61|19.82|19.42|19.6|24741|USD|8
2012-01-17|19.84|20.11|19.57|19.63|81992|USD|9
2012-01-18|19.66|20.49|19.49|20.44|63501|USD|10
2012-01-19|20.44|20.55|20.37|20.48|14928|USD|11
2012-01-20|20.4|20.9|20.34|20.8|19236|USD|12
2012-01-23|20.79|20.92|20.64|20.84|8406|USD|13
2012-01-24|20.66|21.46|20.37|21.37|13208|USD|14
2012-01-25|21.27|22.2|21.02|22.0|17883|USD|15
2012-01-26|22.17|22.3|21.64|21.82|19821|USD|16
2012-01-27|21.75|21.9|21.38|21.47|24427|USD|17
2012-01-30|21.28|21.81|21.01|21.79|15331|USD|18
2012-01-31|21.98|22.09|21.61|21.61|14420|USD|19
2012-02-01|21.86|22.91|21.72|22.68|27645|USD|20
2012-02-02|22.61|22.9|21.99|22.9|22478|USD|21
2012-02-03|23.38|23.68|22.82|23.21|29594|USD|22
2012-02-06|23.07|23.37|21.93|22.27|21244|USD|23
2012-02-07|22.18|22.29|21.9|22.25|42253|USD|24
2012-02-08|21.98|22.18|21.72|22.01|20978|USD|25
2012-02-09|22.03|22.1|21.44|21.46|18758|USD|26
2012-02-10|21.28|21.28|20.65|20.71|7198|USD|27
2012-02-13|21.02|21.21|20.49|20.7|19543|USD|28
2012-02-14|20.55|20.64|20.07|20.42|40327|USD|29
2012-02-15|20.65|20.85|20.04|20.19|39646|USD|30
2012-02-16|20.38|27.93|20.38|24.77|68750|USD|31
2012-02-17|24.9|25.07|24.39|24.47|66022|USD|32
2012-02-21|24.5|24.92|24.46|24.65|42754|USD|33
2012-02-22|24.51|25.0|24.42|24.5|41250|USD|34
2012-02-23|24.5|25.14|24.24|24.99|43187|USD|35
2012-02-24|24.93|25.53|24.88|25.0|23369|USD|36
2012-02-27|24.68|25.21|24.59|25.1|84111|USD|37
2012-02-28|25.05|25.25|24.45|24.53|26695|USD|38
2012-02-29|24.68|24.79|23.76|23.81|42999|USD|39
2012-03-01|23.88|23.98|23.1|23.12|26622|USD|40
2012-03-02|23.25|23.26|22.29|22.49|40263|USD|41
2012-03-05|22.51|22.82|22.29|22.53|57214|USD|42
2012-03-06|22.43|22.43|21.93|22.06|34210|USD|43
2012-03-07|22.24|22.74|22.24|22.53|35320|USD|44
2012-03-08|22.61|23.92|22.33|23.74|34017|USD|45
2012-03-09|23.78|24.23|23.58|23.92|19109|USD|46
2012-03-12|23.86|24.57|23.74|24.36|22055|USD|47
2012-03-13|24.66|24.92|24.36|24.83|37452|USD|48
2012-03-14|24.71|24.95|24.14|24.33|22985|USD|49
2012-03-15|24.4|24.57|23.55|24.36|36332|USD|50
2012-03-16|24.45|24.68|23.64|23.91|42119|USD|51
2012-03-19|23.84|24.94|23.71|24.89|29600|USD|52
2012-03-20|24.6|24.97|24.49|24.67|35971|USD|53
2012-03-21|24.43|24.83|24.43|24.64|32930|USD|54
2012-03-22|24.57|24.9|24.54|24.74|22328|USD|55
2012-03-23|24.83|25.61|24.6|25.45|44551|USD|56
2012-03-26|25.72|26.16|25.59|26.0|30936|USD|57
2012-03-27|26.11|26.11|25.43|25.5|30950|USD|58
2012-03-28|25.66|25.95|25.25|25.34|54949|USD|59
2012-03-29|25.24|25.47|25.05|25.21|17950|USD|60
2012-03-30|25.54|25.54|25.22|25.22|29763|USD|61
2012-04-02|25.05|25.48|25.05|25.35|21097|USD|62
2012-04-03|25.34|25.34|23.99|24.3|112343|USD|63
2012-04-04|23.92|24.47|23.55|24.05|63074|USD|64
2012-04-05|23.82|24.14|23.5|23.73|32764|USD|65
2012-04-09|23.19|23.51|23.01|23.27|31560|USD|66
2012-04-10|23.26|23.34|22.63|22.84|26075|USD|67
2012-04-11|23.16|23.16|22.76|23.03|35797|USD|68
2012-04-12|23.0|23.79|23.0|23.41|21749|USD|69
2012-04-13|23.22|23.22|22.27|22.34|23390|USD|70
2012-04-16|22.48|22.79|22.3|22.66|11873|USD|71
2012-04-17|22.95|23.86|22.7|23.57|24031|USD|72
2012-04-18|23.5|23.7|23.5|23.6|26800|USD|73
2012-04-19|23.7|23.97|23.02|23.7|21155|USD|74
2012-04-20|24.29|24.76|23.73|24.29|34937|USD|75
2012-04-23|24.0|24.07|23.51|23.78|29954|USD|76
2012-04-24|23.77|24.21|23.68|24.19|16475|USD|77
2012-04-25|24.6|24.74|24.03|24.32|26669|USD|78
2012-04-26|23.6|23.6|16.4|21.2|159245|USD|79
2012-04-27|21.3|21.42|20.56|21.26|74307|USD|80
2012-04-30|21.26|21.96|20.43|20.45|27132|USD|81
2012-05-01|20.53|20.9|19.7|19.89|36656|USD|82
2012-05-02|19.65|20.08|19.53|19.9|24445|USD|83
2012-05-03|19.77|19.77|19.04|19.55|39402|USD|84
2012-05-04|19.4|19.79|19.4|19.65|27641|USD|85
2012-05-07|19.5|20.1|19.28|19.97|30398|USD|86
2012-05-08|19.76|20.22|19.76|20.02|46213|USD|87
2012-05-09|19.68|20.22|19.63|20.02|27961|USD|88
2012-05-10|20.13|20.21|19.8|19.98|11286|USD|89
2012-05-11|19.89|20.2|19.72|19.93|33814|USD|90
2012-05-14|19.62|20.31|19.62|19.97|23669|USD|91
2012-05-15|19.95|20.37|19.84|20.01|27281|USD|92
2012-05-16|20.04|20.44|19.51|19.94|30642|USD|93
2012-05-17|19.89|20.14|19.79|19.97|28252|USD|94
2012-05-18|19.83|20.37|19.83|20.07|22482|USD|95
2012-05-21|20.07|20.33|19.34|20.31|18342|USD|96
2012-05-22|20.25|20.25|18.98|19.18|22506|USD|97
2012-05-23|19.04|19.32|18.95|19.18|20853|USD|98
2012-05-24|19.11|19.24|18.5|18.7|28386|USD|99
2012-05-25|18.72|19.85|18.66|19.85|26229|USD|100
2012-05-29|20.08|20.92|19.89|20.03|15518|USD|101
2012-05-30|19.8|19.84|19.46|19.64|23572|USD|102
2012-05-31|19.6|19.6|18.69|18.81|43537|USD|103
2012-06-01|18.31|18.62|17.93|18.16|28384|USD|104
2012-06-04|18.13|19.2|17.75|18.49|62537|USD|105
2012-06-05|18.48|18.48|17.8|17.93|29786|USD|106
2012-06-06|18.02|18.17|17.66|18.14|45312|USD|107
2012-06-07|18.29|18.29|17.75|17.9|34287|USD|108
2012-06-08|17.78|18.14|17.23|18.0|46257|USD|109
2012-06-11|18.25|18.45|17.6|17.62|29952|USD|110
2012-06-12|17.76|17.93|17.56|17.78|25914|USD|111
2012-06-13|17.4|17.4|15.61|15.79|99393|USD|112
2012-06-14|15.63|15.67|14.56|14.71|67047|USD|113
2012-06-15|14.58|14.63|13.83|14.49|214943|USD|114
2012-06-18|14.59|14.82|14.39|14.67|55954|USD|115
2012-06-19|14.67|15.03|14.62|14.82|154242|USD|116
2012-06-20|14.86|14.86|14.4|14.57|37244|USD|117
