Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|5.99|6.37|5.93|6.34|50959|USD|0
2012-01-04|6.29|6.29|6.03|6.1|24301|USD|1
2012-01-05|6.06|6.22|5.96|6.17|42598|USD|2
2012-01-06|6.17|6.17|5.99|6.01|25718|USD|3
2012-01-09|6.04|6.19|6.03|6.13|28321|USD|4
2012-01-10|6.22|6.34|6.11|6.16|32291|USD|5
2012-01-11|6.12|6.3|6.12|6.26|29632|USD|6
2012-01-12|6.21|6.5|6.15|6.47|44552|USD|7
2012-01-13|6.38|6.48|6.27|6.36|46397|USD|8
2012-01-17|6.41|6.44|6.15|6.26|54816|USD|9
2012-01-18|6.25|6.54|6.2|6.53|39476|USD|10
2012-01-19|6.57|6.57|6.44|6.54|21012|USD|11
2012-01-20|6.5|6.7|6.5|6.65|15596|USD|12
2012-01-23|6.66|6.75|6.65|6.72|18752|USD|13
2012-01-24|6.68|6.75|6.56|6.75|22725|USD|14
2012-01-25|6.75|6.79|6.67|6.76|20198|USD|15
2012-01-26|6.79|6.96|6.71|6.95|45794|USD|16
2012-01-27|6.96|6.98|6.92|6.98|49965|USD|17
2012-01-30|6.94|7.09|6.81|7.01|45986|USD|18
2012-01-31|7.07|7.11|6.93|6.95|31586|USD|19
2012-02-01|6.98|7.31|6.91|7.29|39124|USD|20
2012-02-02|7.28|7.64|7.28|7.6|40827|USD|21
2012-02-03|7.75|7.88|7.66|7.79|42084|USD|22
2012-02-06|7.72|7.83|7.53|7.63|25060|USD|23
2012-02-07|7.63|7.7|7.58|7.69|27629|USD|24
2012-02-08|7.61|7.71|7.46|7.59|45685|USD|25
2012-02-09|7.63|7.63|7.36|7.42|20596|USD|26
2012-02-10|7.34|7.48|7.0|7.14|55564|USD|27
2012-02-13|7.15|7.34|7.08|7.21|37474|USD|28
2012-02-14|7.18|7.22|7.02|7.12|9549|USD|29
2012-02-15|7.05|7.18|7.0|7.05|80850|USD|30
2012-02-16|7.12|7.12|6.89|7.07|40244|USD|31
2012-02-17|7.09|7.15|7.0|7.02|20914|USD|32
2012-02-21|7.0|7.06|6.8|7.0|39392|USD|33
2012-02-22|7.0|7.02|6.95|7.0|59733|USD|34
2012-02-23|7.0|7.25|7.0|7.24|24069|USD|35
2012-02-24|7.26|7.26|7.0|7.07|60919|USD|36
2012-02-27|6.98|7.09|6.95|7.03|43368|USD|37
2012-02-28|7.02|7.08|6.95|7.0|36529|USD|38
2012-02-29|6.97|7.03|6.8|6.9|101624|USD|39
2012-03-01|6.95|7.03|6.91|7.0|71134|USD|40
2012-03-02|7.0|7.01|6.9|7.0|44836|USD|41
2012-03-05|7.0|7.06|6.9|7.03|65451|USD|42
2012-03-06|7.05|7.08|6.81|6.84|30380|USD|43
2012-03-07|6.81|7.02|6.81|6.97|56358|USD|44
