Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|19.33|19.35|19.15|19.31|191458|USD|0
2012-01-04|19.25|19.3|19.11|19.17|172723|USD|1
2012-01-05|19.13|19.33|18.91|19.22|126699|USD|2
2012-01-06|19.19|19.34|19.19|19.19|174735|USD|3
2012-01-09|19.24|19.32|18.97|19.0|204134|USD|4
2012-01-10|19.13|19.15|18.88|18.96|289999|USD|5
2012-01-11|18.46|18.63|18.0|18.08|425292|USD|6
2012-01-12|18.09|18.5|18.01|18.49|154672|USD|7
2012-01-13|18.33|18.47|18.22|18.43|160863|USD|8
2012-01-17|18.5|18.66|18.44|18.52|159396|USD|9
2012-01-18|18.48|18.89|18.47|18.86|135747|USD|10
2012-01-19|18.85|19.04|18.75|19.01|169436|USD|11
2012-01-20|18.94|19.09|18.83|18.86|131271|USD|12
2012-01-23|18.93|18.93|18.64|18.76|126579|USD|13
2012-01-24|18.68|18.68|18.38|18.39|157140|USD|14
2012-01-25|18.41|18.47|18.15|18.46|180718|USD|15
2012-01-26|18.47|18.78|18.44|18.71|131469|USD|16
2012-01-27|18.67|18.87|18.65|18.85|98265|USD|17
2012-01-30|18.77|18.92|18.75|18.89|121998|USD|18
2012-01-31|18.94|19.0|18.79|18.99|147905|USD|19
2012-02-01|19.15|19.19|18.93|19.19|205002|USD|20
2012-02-02|19.11|19.17|19.0|19.12|196933|USD|21
2012-02-03|19.19|19.25|19.15|19.25|147654|USD|22
2012-02-06|19.04|19.25|18.75|18.98|257025|USD|23
2012-02-07|18.85|19.11|18.81|19.1|202179|USD|24
2012-02-08|19.08|19.24|18.91|19.19|138618|USD|25
2012-02-09|19.25|19.25|18.9|18.99|160752|USD|26
2012-02-10|18.89|19.02|18.77|18.8|137788|USD|27
2012-02-13|18.89|19.0|18.79|18.97|108074|USD|28
2012-02-14|18.91|18.95|18.7|18.88|129318|USD|29
2012-02-15|18.91|19.1|18.71|18.93|132860|USD|30
2012-02-16|18.97|19.14|18.94|19.13|103775|USD|31
2012-02-17|19.15|19.22|19.11|19.21|84485|USD|32
2012-02-21|19.2|19.24|18.92|19.04|137573|USD|33
2012-02-22|19.03|19.05|18.65|18.72|306962|USD|34
2012-02-23|18.67|19.0|18.67|18.96|105202|USD|35
2012-02-24|18.9|19.06|18.84|19.05|126727|USD|36
2012-02-27|18.97|19.13|18.81|19.05|85492|USD|37
2012-02-28|19.05|19.19|18.83|18.97|88444|USD|38
2012-02-29|19.03|19.1|18.86|18.97|190357|USD|39
2012-03-01|18.9|19.22|18.9|19.01|147675|USD|40
2012-03-02|18.99|19.14|18.75|18.95|133987|USD|41
2012-03-05|19.02|19.33|18.95|19.3|221910|USD|42
2012-03-06|19.14|19.33|19.1|19.16|186698|USD|43
2012-03-07|19.27|19.39|19.16|19.33|234567|USD|44
2012-03-08|19.43|19.56|19.32|19.54|216206|USD|45
2012-03-09|19.49|19.74|19.38|19.74|184403|USD|46
2012-03-12|19.75|19.75|19.61|19.72|141159|USD|47
2012-03-13|19.78|19.79|19.61|19.77|147428|USD|48
2012-03-14|19.81|19.81|19.39|19.52|152868|USD|49
2012-03-15|19.48|19.5|19.23|19.5|165695|USD|50
2012-03-16|19.55|19.57|19.35|19.56|159821|USD|51
2012-03-19|19.45|19.81|19.44|19.65|136036|USD|52
2012-03-20|19.62|19.67|19.5|19.6|67343|USD|53
2012-03-21|19.61|19.79|19.52|19.73|75286|USD|54
2012-03-22|19.65|19.69|19.51|19.59|87118|USD|55
2012-03-23|19.52|19.62|19.43|19.56|93578|USD|56
2012-03-26|19.68|19.85|19.6|19.69|123980|USD|57
2012-03-27|19.68|19.92|19.67|19.8|200153|USD|58
2012-03-28|19.88|19.88|19.6|19.68|87097|USD|59
2012-03-29|19.57|19.74|19.4|19.68|81600|USD|60
2012-03-30|19.8|19.8|19.58|19.63|115841|USD|61
2012-04-02|19.55|19.63|19.43|19.63|140455|USD|62
2012-04-03|19.64|19.69|19.51|19.61|116969|USD|63
2012-04-04|19.54|19.72|19.46|19.49|132768|USD|64
2012-04-05|19.54|19.6|19.36|19.52|96017|USD|65
2012-04-09|19.35|19.4|19.29|19.3|134165|USD|66
2012-04-10|19.32|19.45|18.91|19.0|214120|USD|67
2012-04-11|18.85|19.02|18.66|18.89|202716|USD|68
2012-04-12|18.83|18.95|18.79|18.83|140663|USD|69
2012-04-13|18.75|18.83|18.62|18.66|124918|USD|70
2012-04-16|18.65|18.99|18.62|18.89|126556|USD|71
2012-04-17|19.02|19.2|18.69|19.05|117840|USD|72
2012-04-18|19.0|19.02|18.81|18.91|92791|USD|73
2012-04-19|18.88|19.05|18.67|18.83|114528|USD|74
2012-04-20|19.14|19.14|18.89|19.01|108864|USD|75
2012-04-23|18.81|18.82|18.62|18.77|114728|USD|76
2012-04-24|18.72|18.96|18.71|18.87|149429|USD|77
2012-04-25|18.97|19.09|18.88|19.07|116123|USD|78
2012-04-26|19.09|19.25|18.95|19.19|90637|USD|79
2012-04-27|19.25|19.38|19.11|19.36|109293|USD|80
2012-04-30|19.4|19.41|19.26|19.35|105372|USD|81
2012-05-01|19.45|19.74|19.3|19.3|142853|USD|82
2012-05-02|19.13|19.28|19.01|19.13|159339|USD|83
2012-05-03|19.0|19.28|18.51|18.56|204767|USD|84
2012-05-04|18.56|18.7|18.11|18.2|226793|USD|85
2012-05-07|18.16|18.22|18.05|18.18|222302|USD|86
2012-05-08|18.15|18.61|18.15|18.51|167133|USD|87
2012-05-09|18.42|18.57|18.31|18.4|108576|USD|88
2012-05-10|18.43|18.45|17.91|18.07|247504|USD|89
2012-05-11|17.99|18.2|17.76|17.83|167714|USD|90
2012-05-14|17.79|18.19|17.16|17.43|351321|USD|91
2012-05-15|17.37|17.6|17.31|17.45|163522|USD|92
2012-05-16|17.46|17.66|17.43|17.57|168977|USD|93
2012-05-17|17.57|17.57|17.22|17.23|221178|USD|94
2012-05-18|17.2|17.4|17.15|17.18|152836|USD|95
2012-05-21|17.15|17.25|16.76|16.97|279471|USD|96
2012-05-22|17.0|17.04|15.78|15.83|769279|USD|97
2012-05-23|15.44|15.5|13.66|14.34|2132423|USD|98
2012-05-24|14.26|14.33|13.8|13.95|920531|USD|99
2012-05-25|13.88|14.25|13.86|14.14|340207|USD|100
2012-05-29|14.24|14.46|14.19|14.45|386507|USD|101
2012-05-30|14.27|14.77|14.27|14.73|522825|USD|102
2012-05-31|14.68|14.78|14.61|14.75|514625|USD|103
2012-06-01|14.53|14.83|14.46|14.56|406095|USD|104
2012-06-04|14.57|14.84|14.52|14.74|424595|USD|105
2012-06-05|14.68|14.71|14.51|14.67|231048|USD|106
2012-06-06|14.7|14.93|14.65|14.92|395092|USD|107
2012-06-07|15.0|15.05|14.75|14.8|256976|USD|108
2012-06-08|14.76|14.79|14.57|14.69|306474|USD|109
2012-06-11|14.93|14.93|14.4|14.4|300779|USD|110
2012-06-12|14.61|14.61|14.01|14.06|950146|USD|111
2012-06-13|14.0|14.35|14.0|14.18|279857|USD|112
2012-06-14|14.21|14.4|14.14|14.37|242304|USD|113
2012-06-15|14.32|14.46|14.28|14.42|417491|USD|114
2012-06-18|14.3|14.4|14.19|14.25|156571|USD|115
2012-06-19|14.26|14.41|14.17|14.23|182970|USD|116
2012-06-20|14.16|14.47|14.16|14.42|247205|USD|117
2012-06-21|14.4|14.4|14.15|14.23|170021|USD|118
