Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|34.08|35.64|34.08|35.51|371292|USD|0
2012-01-04|35.13|35.46|34.6|34.69|407937|USD|1
2012-01-05|34.56|35.42|34.31|35.14|261983|USD|2
2012-01-06|35.22|36.24|35.05|35.7|270982|USD|3
2012-01-09|35.91|38.13|35.71|37.56|606368|USD|4
2012-01-10|38.43|39.39|37.09|37.66|474070|USD|5
2012-01-11|37.58|38.38|37.45|37.92|202823|USD|6
2012-01-12|38.26|38.54|37.61|38.43|171846|USD|7
2012-01-13|37.84|38.97|36.66|37.53|236480|USD|8
2012-01-17|37.69|38.0|37.25|37.27|272981|USD|9
2012-01-18|37.35|39.02|37.08|38.99|328034|USD|10
2012-01-19|39.36|40.65|39.33|40.53|495039|USD|11
2012-01-20|40.33|41.16|40.21|40.83|293849|USD|12
2012-01-23|40.75|40.75|40.16|40.73|287929|USD|13
2012-01-24|40.35|41.39|39.92|41.31|270938|USD|14
2012-01-25|41.32|41.32|40.5|40.8|313704|USD|15
2012-01-26|41.26|41.26|39.8|40.1|254367|USD|16
2012-01-27|39.77|40.48|39.77|40.0|272724|USD|17
2012-01-30|39.66|40.0|39.2|39.52|328804|USD|18
2012-01-31|39.99|40.26|39.22|39.85|273684|USD|19
2012-02-01|40.01|40.19|39.46|40.1|416567|USD|20
2012-02-02|40.06|40.4|39.44|40.01|254111|USD|21
2012-02-03|40.25|43.44|40.07|43.18|1084197|USD|22
2012-02-06|42.78|42.91|41.66|42.28|583423|USD|23
2012-02-07|41.98|42.66|41.2|41.53|730025|USD|24
2012-02-08|39.01|40.47|36.75|39.15|1644723|USD|25
2012-02-09|39.48|39.7|38.1|38.9|629075|USD|26
2012-02-10|38.26|38.62|37.07|37.35|818452|USD|27
2012-02-13|37.47|37.91|35.89|36.45|1231202|USD|28
2012-02-14|36.46|36.8|36.0|36.56|862169|USD|29
2012-02-15|36.7|38.21|36.56|37.79|765571|USD|30
2012-02-16|37.64|39.07|37.49|39.07|590200|USD|31
2012-02-17|39.25|40.14|39.21|39.89|875447|USD|32
2012-02-21|39.83|39.9|39.09|39.26|370730|USD|33
2012-02-22|39.25|39.43|38.75|38.75|251970|USD|34
2012-02-23|38.91|39.61|38.54|39.48|301419|USD|35
2012-02-24|39.41|39.64|39.21|39.44|304508|USD|36
2012-02-27|38.95|39.64|38.45|38.92|320149|USD|37
2012-02-28|38.96|39.02|38.48|38.8|301639|USD|38
2012-02-29|38.98|39.3|37.57|37.57|391920|USD|39
2012-03-01|37.92|38.57|37.52|38.08|365567|USD|40
2012-03-02|38.12|38.67|37.35|37.66|235276|USD|41
2012-03-05|37.47|37.97|37.01|37.84|298269|USD|42
2012-03-06|37.2|37.66|36.4|36.89|320456|USD|43
2012-03-07|37.23|37.96|37.08|37.72|226829|USD|44
2012-03-08|38.08|38.4|37.72|38.28|207122|USD|45
2012-03-09|38.46|39.26|37.85|38.76|383802|USD|46
2012-03-12|38.86|38.94|37.74|37.86|204920|USD|47
2012-03-13|38.37|39.0|37.9|38.99|237421|USD|48
2012-03-14|38.94|38.94|37.8|37.88|256754|USD|49
2012-03-15|38.04|38.15|37.18|37.33|429661|USD|50
2012-03-16|37.51|37.84|37.22|37.26|382229|USD|51
2012-03-19|37.34|38.22|36.96|37.97|275742|USD|52
2012-03-20|37.62|38.09|37.29|37.89|209732|USD|53
2012-03-21|38.13|38.9|37.72|38.45|263151|USD|54
2012-03-22|38.07|38.33|37.08|37.2|347876|USD|55
2012-03-23|37.2|38.07|36.9|37.75|248993|USD|56
2012-03-26|38.18|39.1|37.96|38.89|399586|USD|57
2012-03-27|39.06|39.66|38.31|38.88|314332|USD|58
2012-03-28|39.15|39.71|38.56|38.91|312884|USD|59
2012-03-29|38.43|38.74|38.05|38.4|235022|USD|60
2012-03-30|38.88|38.88|37.95|38.2|179227|USD|61
2012-04-02|37.81|38.65|37.64|38.44|279895|USD|62
2012-04-03|38.31|38.57|37.71|37.91|182918|USD|63
2012-04-04|37.5|37.74|36.86|37.13|278188|USD|64
2012-04-05|36.86|38.02|36.73|37.05|423254|USD|65
2012-04-09|36.53|36.91|36.33|36.71|214586|USD|66
2012-04-10|36.71|37.02|35.43|35.48|369580|USD|67
2012-04-11|35.89|36.34|35.62|36.05|252832|USD|68
2012-04-12|36.14|37.11|36.14|36.64|161509|USD|69
2012-04-13|36.56|36.63|35.83|35.84|176196|USD|70
2012-04-16|36.09|36.4|34.79|34.81|390687|USD|71
2012-04-17|35.02|35.87|34.95|35.16|567808|USD|72
2012-04-18|35.01|35.08|34.21|34.38|438227|USD|73
2012-04-19|34.42|35.25|33.35|33.83|633377|USD|74
2012-04-20|34.39|34.74|34.1|34.29|393665|USD|75
2012-04-23|33.68|33.68|32.87|33.32|323828|USD|76
