Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|26.9|27.35|25.1|25.5|8897|USD|0
2012-01-04|25.5|26.4|25.207|26.4|6400|USD|1
2012-01-05|26.1|26.1|25.0|25.9|6936|USD|2
2012-01-06|26.1|26.4|25.201|25.901|4115|USD|3
2012-01-09|25.3|26.0|25.2|26.0|7601|USD|4
2012-01-10|26.3|26.4|25.7|26.1|3767|USD|5
2012-01-11|26.0|27.199|25.5|26.7|8474|USD|6
2012-01-12|26.6|28.5|26.2|28.4|10912|USD|7
2012-01-13|28.2|28.4|27.9|27.9|1816|USD|8
2012-01-17|28.4|28.5|26.68|26.9|4862|USD|9
2012-01-18|26.8|28.39|26.7|27.3|3623|USD|10
2012-01-19|27.2|27.4|26.8|27.3|3698|USD|11
2012-01-20|27.0|28.4|26.6|27.3|2958|USD|12
2012-01-23|27.2|27.9|25.8|26.1|6793|USD|13
2012-01-24|25.9|27.2|25.0|25.0|3926|USD|14
2012-01-25|25.7|30.0|25.7|29.5|24386|USD|15
2012-01-26|29.4|30.8|28.7|30.1|9598|USD|16
2012-01-27|29.6|29.892|27.6|28.0|6982|USD|17
2012-01-30|27.6|29.6|27.6|29.0|5140|USD|18
2012-01-31|29.1|29.6|27.7|28.7|8054|USD|19
2012-02-01|29.0|29.3|28.7|28.8|2989|USD|20
2012-02-02|28.5|29.2|28.3|29.1|3607|USD|21
2012-02-03|29.8|34.872|29.55|33.4|22341|USD|22
2012-02-06|32.8|34.6|32.1|34.0|8866|USD|23
2012-02-07|34.1|34.8|32.0|32.5|7402|USD|24
2012-02-08|32.2|32.8|30.6|31.7|7935|USD|25
2012-02-09|32.0|33.9|31.9|32.9|4713|USD|26
2012-02-10|32.2|32.6|31.3|32.0|4733|USD|27
2012-02-13|32.2|32.7|31.0|31.5|2006|USD|28
2012-02-14|31.1|31.53|29.6|30.2|5616|USD|29
2012-02-15|30.3|30.7|29.6|29.9|3995|USD|30
2012-02-16|29.8|32.5|29.7|31.3|6864|USD|31
2012-02-17|31.3|32.07|31.0|31.8|2209|USD|32
2012-02-21|35.2|39.0|33.7|34.3|46661|USD|33
2012-02-22|35.0|36.3|35.0|35.6|11919|USD|34
2012-02-23|36.0|36.0|32.0|33.8|11024|USD|35
2012-02-24|34.0|34.899|33.0|33.8|4491|USD|36
2012-02-27|33.6|33.6|32.0|32.7|4195|USD|37
2012-02-28|32.5|36.0|32.2|35.2|12720|USD|38
2012-02-29|35.9|36.0|33.0|33.5|10010|USD|39
2012-03-01|34.2|35.0|33.0|33.5|5920|USD|40
2012-03-02|33.5|34.68|32.0|32.0|6007|USD|41
2012-03-05|30.8|33.0|30.8|31.5|10756|USD|42
2012-03-06|31.4|32.19|29.6|31.6|9218|USD|43
2012-03-07|32.1|32.1|30.5|31.2|5489|USD|44
2012-03-08|31.4|31.5|30.704|31.2|3481|USD|45
2012-03-09|32.5|33.6|29.15|29.4|17977|USD|46
2012-03-12|29.8|33.8|29.6|33.0|12315|USD|47
2012-03-13|33.4|34.0|32.6|33.2|4195|USD|48
2012-03-14|32.8|34.0|32.5|32.6|4095|USD|49
2012-03-15|33.2|33.2|31.229|31.508|6920|USD|50
2012-03-16|31.4|31.5|29.8|30.8|6935|USD|51
2012-03-19|30.4|31.5|30.1|31.3|5983|USD|52
2012-03-20|31.6|31.6|30.6|31.3|3966|USD|53
2012-03-21|31.1|31.8|30.7|31.7|9388|USD|54
2012-03-22|31.4|31.7|30.6|31.3|3577|USD|55
2012-03-23|31.7|31.9|30.9|30.9|4343|USD|56
2012-03-26|30.7|30.8|30.0|30.4|3392|USD|57
2012-03-27|30.4|31.42|30.2|31.1|2689|USD|58
2012-03-28|31.1|31.3|30.3|30.8|2731|USD|59
2012-03-29|30.5|31.4|30.0|31.4|4738|USD|60
2012-03-30|31.1|31.1|30.301|30.6|3471|USD|61
2012-04-02|30.8|31.3|30.0|30.3|4560|USD|62
2012-04-03|30.4|30.4|29.2|29.2|4269|USD|63
2012-04-04|29.6|29.6|28.5|28.6|3000|USD|64
2012-04-05|28.6|30.2|28.4|29.8|5022|USD|65
2012-04-09|29.9|30.0|29.1|29.7|4923|USD|66
2012-04-10|29.5|29.5|28.7|28.8|3715|USD|67
2012-04-11|28.9|29.2|28.6|28.9|2585|USD|68
2012-04-12|28.7|29.2|28.6|29.2|1922|USD|69
2012-04-13|28.9|29.5|28.601|29.2|1343|USD|70
2012-04-16|29.2|29.7|28.9|29.4|1915|USD|71
2012-04-17|29.2|29.3|28.6|28.8|2489|USD|72
2012-04-18|28.6|29.0|28.5|28.7|2845|USD|73
2012-04-19|28.6|28.6|26.9|27.3|7936|USD|74
2012-04-20|27.7|28.2|26.6|26.6|2982|USD|75
2012-04-23|26.6|26.999|26.0|26.5|1794|USD|76
2012-04-24|26.6|26.8|26.134|26.501|748|USD|77
2012-04-25|26.6|26.86|26.1|26.6|2465|USD|78
2012-04-26|26.7|27.0|26.5|26.7|1024|USD|79
2012-04-27|26.6|27.5|26.5|27.4|1289|USD|80
2012-04-30|27.6|28.3|27.1|27.2|1563|USD|81
2012-05-01|27.1|29.9|27.1|29.3|5368|USD|82
2012-05-02|29.3|29.793|27.2|27.9|2666|USD|83
2012-05-03|27.9|28.0|26.7|27.3|2325|USD|84
2012-05-04|27.3|27.3|25.5|25.6|3918|USD|85
2012-05-07|25.4|27.5|25.1|26.0|4577|USD|86
2012-05-08|25.6|26.299|22.0|25.2|11093|USD|87
2012-05-09|25.1|25.1|23.6|24.009|2436|USD|88
2012-05-10|24.2|24.6|22.1|22.2|6696|USD|89
2012-05-11|22.4|23.6|22.3|22.6|2641|USD|90
2012-05-14|22.9|23.0|22.0|22.4|4469|USD|91
2012-05-15|22.4|22.4|20.8|21.7|3222|USD|92
2012-05-16|21.4|22.192|21.4|21.8|3574|USD|93
2012-05-17|22.0|22.3|21.3|21.5|2450|USD|94
2012-05-18|21.4|21.6|20.7|20.9|2746|USD|95
2012-05-21|20.8|21.54|20.5|20.9|2950|USD|96
2012-05-22|20.8|22.4|20.8|21.4|2225|USD|97
2012-05-23|21.0|21.1|20.5|20.912|753|USD|98
2012-05-24|20.9|21.466|20.8|21.0|2546|USD|99
2012-05-25|21.1|21.1|20.409|20.8|1287|USD|100
2012-05-29|20.8|22.2|20.8|21.2|4455|USD|101
2012-05-30|21.2|21.9|20.7|21.6|1234|USD|102
2012-05-31|21.012|21.5|20.8|20.8|1013|USD|103
2012-06-01|20.6|21.5|20.2|20.6|4986|USD|104
2012-06-04|20.2|21.3|20.0|20.6|3797|USD|105
2012-06-05|20.3|21.5|20.1|21.0|2427|USD|106
2012-06-06|21.1|22.7|20.8|22.5|2681|USD|107
2012-06-07|22.8|22.8|20.7|20.8|4310|USD|108
2012-06-08|20.9|21.8|20.3|20.7|1810|USD|109
2012-06-11|20.5|21.4|20.3|20.4|2900|USD|110
2012-06-12|20.4|21.2|20.1|20.3|3050|USD|111
2012-06-13|20.1|20.5|20.0|20.0|2513|USD|112
2012-06-14|20.499|20.5|20.0|20.0|2398|USD|113
2012-06-15|20.1|20.6|20.0|20.1|3086|USD|114
2012-06-18|20.4|21.0|20.0|20.1|3956|USD|115
2012-06-19|20.4|21.2|20.1|20.6|4670|USD|116
2012-06-20|20.8|21.4|20.4|21.0|1800|USD|117
2012-06-21|20.7|21.2|20.1|21.2|2518|USD|118
2012-06-22|20.8|21.4|20.0|20.0|6111|USD|119
2012-06-25|20.0|22.7|20.0|21.4|7959|USD|120
2012-06-26|21.5|23.0|21.4|21.5|2166|USD|121
2012-06-27|21.9|21.9|21.0|21.4|3125|USD|122
2012-06-28|21.5|22.599|20.3|21.0|2489|USD|123
2012-06-29|20.9|22.8|20.0|20.8|5446|USD|124
2012-07-02|21.2|21.2|20.5|20.8|1125|USD|125
2012-07-03|20.9|21.1|20.4|20.8|618|USD|126
2012-07-05|21.0|21.799|20.8|21.0|1142|USD|127
2012-07-06|21.2|21.7|20.1|20.1|2588|USD|128
2012-07-09|20.2|21.199|20.2|20.8|2250|USD|129
2012-07-10|21.0|21.165|20.6|20.62|759|USD|130
2012-07-11|20.8|39.7|20.8|35.5|290427|USD|131
2012-07-12|35.0|35.2|28.8|29.9|86067|USD|132
2012-07-13|29.3|29.4|25.3|26.5|45932|USD|133
2012-07-16|26.2|28.0|25.2|26.7|12906|USD|134
2012-07-17|27.1|28.9|25.7|26.3|11967|USD|135
2012-07-18|26.5|27.31|25.1|25.4|11175|USD|136
2012-07-19|25.7|26.4|25.3|25.4|2892|USD|137
2012-07-20|25.2|26.3|24.0|24.7|7172|USD|138
2012-07-23|25.4|26.4|24.5|25.5|4306|USD|139
2012-07-24|26.0|26.3|24.7|25.0|1689|USD|140
2012-07-25|24.9|25.4|24.2|24.4|1614|USD|141
2012-07-26|24.55|25.0|23.8|24.2|3742|USD|142
2012-07-27|23.8|23.8|23.0|23.1|6585|USD|143
2012-07-30|23.1|26.0|23.0|24.9|8857|USD|144
2012-07-31|25.0|25.295|24.0|24.01|1632|USD|145
2012-08-01|24.3|26.182|23.2|25.5|2580|USD|146
2012-08-02|25.2|28.1|25.2|27.8|8746|USD|147
2012-08-03|28.0|28.795|26.93|27.5|3320|USD|148
2012-08-06|27.3|27.5|26.0|26.9|1918|USD|149
2012-08-07|26.6|28.0|26.3|27.1|1166|USD|150
2012-08-08|26.7|27.1|25.601|26.089|1261|USD|151
2012-08-09|25.8|27.89|25.8|26.6|3398|USD|152
2012-08-10|27.1|27.8|25.9|26.3|5060|USD|153
2012-08-13|26.1|28.0|25.614|26.3|2449|USD|154
2012-08-14|26.2|27.1|25.705|26.5|2327|USD|155
2012-08-15|26.9|27.0|25.705|26.2|421|USD|156
2012-08-16|25.8|27.0|25.3|25.4|2525|USD|157
2012-08-17|25.2|26.4|23.1|23.6|5420|USD|158
2012-08-20|24.6|25.8|24.6|25.1|5532|USD|159
2012-08-21|26.7|27.0|25.2|26.9|4797|USD|160
2012-08-22|26.7|28.694|26.4|26.53|10298|USD|161
2012-08-23|26.6|27.5|26.2|26.7|1259|USD|162
2012-08-24|26.5|27.0|26.0|26.7|2365|USD|163
2012-08-27|26.7|26.7|26.0|26.1|1428|USD|164
2012-08-28|26.1|27.5|26.001|27.4|2736|USD|165
2012-08-29|27.6|27.6|26.3|26.46|1182|USD|166
2012-08-30|26.4|27.8|26.0|27.5|1753|USD|167
2012-08-31|27.3|27.9|26.501|27.9|1190|USD|168
2012-09-04|30.0|32.89|29.0|31.0|20463|USD|169
2012-09-05|31.6|35.0|31.4|33.8|16496|USD|170
2012-09-06|34.0|34.8|33.0|34.2|11762|USD|171
2012-09-07|34.0|34.0|31.1|31.5|8058|USD|172
2012-09-10|31.5|32.0|30.4|30.5|4289|USD|173
2012-09-11|32.3|34.2|31.6|34.2|9566|USD|174
2012-09-12|34.0|34.2|32.1|34.0|6008|USD|175
2012-09-13|34.5|34.5|33.7|34.4|5381|USD|176
2012-09-14|34.7|35.0|30.5|30.9|16241|USD|177
2012-09-17|30.0|30.9|29.8|30.3|6694|USD|178
2012-09-18|30.0|30.0|28.8|29.5|3278|USD|179
2012-09-19|30.0|30.8|30.0|30.1|3957|USD|180
2012-09-20|30.3|30.8|30.3|30.5|1166|USD|181
2012-09-21|30.3|31.0|30.1|30.7|2977|USD|182
2012-09-24|31.1|31.1|29.1|30.1|3850|USD|183
2012-09-25|29.7|30.49|29.6|29.7|1893|USD|184
2012-09-26|29.5|30.5|29.5|29.8|1270|USD|185
2012-09-27|29.8|30.1|29.4|29.4|2275|USD|186
2012-09-28|29.7|29.7|29.2|29.2|2167|USD|187
2012-10-01|29.6|29.999|29.1|29.3|1754|USD|188
2012-10-02|29.3|29.8|28.1|28.6|3977|USD|189
2012-10-03|28.7|28.7|28.217|28.5|663|USD|190
2012-10-04|28.5|29.4|28.3|29.1|1064|USD|191
2012-10-05|28.9|29.8|28.0|28.2|1275|USD|192
2012-10-08|28.4|29.1|26.3|26.4|4403|USD|193
2012-10-09|26.7|27.9|26.6|27.5|2168|USD|194
2012-10-10|27.2|27.7|26.0|26.3|3180|USD|195
2012-10-11|26.4|26.598|26.0|26.0|2599|USD|196
2012-10-12|26.0|26.001|25.5|25.7|1289|USD|197
2012-10-15|25.5|26.0|25.3|25.4|1371|USD|198
2012-10-16|25.4|25.7|25.3|25.4|787|USD|199
2012-10-17|25.3|25.4|24.0|24.2|2760|USD|200
2012-10-18|24.1|25.29|23.8|24.7|2680|USD|201
2012-10-19|24.5|24.7|23.8|24.0|893|USD|202
2012-10-22|25.0|25.5|24.1|24.5|1618|USD|203
2012-10-23|24.2|24.9|24.0|24.8|3008|USD|204
2012-10-24|24.8|25.0|24.5|25.0|2753|USD|205
2012-10-25|25.0|25.5|25.0|25.3|1552|USD|206
2012-10-26|25.0|25.5|24.8|25.1|615|USD|207
2012-10-31|25.5|25.5|24.4|24.4|1474|USD|208
2012-11-01|25.0|25.5|24.2|24.2|725|USD|209
2012-11-02|24.4|25.0|24.0|24.0|1251|USD|210
2012-11-05|24.3|34.2|24.3|29.46|21815|USD|211
2012-11-06|30.4|30.8|29.501|30.0|4330|USD|212
2012-11-07|30.0|30.0|27.0|27.6|3219|USD|213
2012-11-08|27.3|28.3|26.5|27.1|1247|USD|214
2012-11-09|26.9|28.5|26.9|28.2|1179|USD|215
2012-11-12|28.2|28.2|27.5|27.6|546|USD|216
2012-11-13|27.4|28.0|24.4|26.1|3994|USD|217
2012-11-14|26.5|29.4|26.0|26.4|5286|USD|218
2012-11-15|26.5|26.699|24.5|24.8|6420|USD|219
2012-11-16|25.0|25.1|21.0|22.7|11499|USD|220
2012-11-19|22.6|23.985|22.015|23.985|2211|USD|221
2012-11-20|23.5|23.9|23.5|23.8|803|USD|222
2012-11-21|23.9|23.982|23.3|23.8|259|USD|223
2012-11-23|23.6|23.8|23.5|23.5|2084|USD|224
2012-11-26|23.8|23.9|23.0|23.9|827|USD|225
2012-11-27|23.9|24.3|22.87|24.2|3809|USD|226
2012-11-28|23.9|24.5|22.7|22.7|4475|USD|227
2012-11-29|22.9|23.5|22.9|23.1|857|USD|228
2012-11-30|23.3|24.2|23.3|23.9|921|USD|229
2012-12-03|24.0|24.1|23.0|23.0|1989|USD|230
2012-12-04|23.0|23.8|22.1|23.1|2366|USD|231
2012-12-05|23.599|23.6|22.7|22.7|2140|USD|232
2012-12-06|22.5|22.799|22.0|22.5|3199|USD|233
2012-12-07|22.7|23.4|22.3|22.5|3359|USD|234
2012-12-10|22.8|22.9|22.0|22.3|1896|USD|235
2012-12-11|22.5|22.9|22.0|22.5|2083|USD|236
2012-12-12|22.0|23.0|21.5|22.4|3901|USD|237
2012-12-13|22.2|22.5|21.0|22.3|6021|USD|238
2012-12-14|22.0|22.5|21.81|22.1|2576|USD|239
2012-12-17|22.0|22.5|22.0|22.2|1175|USD|240
2012-12-18|22.3|22.5|22.0|22.0|3410|USD|241
2012-12-19|22.0|22.1|20.8|21.1|5145|USD|242
2012-12-20|20.7|21.4|20.7|21.1|3864|USD|243
2012-12-21|21.0|21.6|20.6|21.4|1480|USD|244
2012-12-24|21.0|21.0|20.6|20.6|1263|USD|245
2012-12-26|20.5|20.665|20.1|20.4|3144|USD|246
2012-12-27|20.2|21.2|20.1|20.1|3859|USD|247
2012-12-28|20.1|20.999|20.0|20.0|5389|USD|248
2012-12-31|20.0|22.0|20.0|21.401|4475|USD|249
2013-01-02|21.8|22.2|20.74|21.8|1477|USD|250
2013-01-03|21.4|22.1|21.0|21.5|1763|USD|251
2013-01-04|21.6|21.8|20.1|20.9|1144|USD|252
2013-01-07|21.0|22.2|20.9|22.2|1997|USD|253
2013-01-08|22.2|22.2|21.401|22.2|1646|USD|254
2013-01-09|22.1|22.1|21.0|21.4|2751|USD|255
2013-01-10|21.1|21.7|20.799|21.7|2041|USD|256
2013-01-11|21.4|21.4|21.0|21.3|1180|USD|257
2013-01-14|21.4|21.4|21.2|21.3|1020|USD|258
2013-01-15|21.4|21.4|21.2|21.3|1103|USD|259
2013-01-16|21.207|21.4|21.2|21.4|855|USD|260
2013-01-17|21.2|21.4|21.2|21.4|595|USD|261
2013-01-18|21.4|21.4|20.5|20.9|2835|USD|262
2013-01-22|20.5|21.3|20.3|20.6|4970|USD|263
2013-01-23|20.4|21.4|20.4|20.8|2077|USD|264
2013-01-24|20.8|21.4|20.5|21.2|1851|USD|265
2013-01-25|21.0|21.2|20.5|20.8|2607|USD|266
2013-01-28|20.8|21.8|20.5|21.8|1935|USD|267
2013-01-29|21.8|22.0|21.215|21.9|1102|USD|268
2013-01-30|21.6|21.9|21.2|21.6|918|USD|269
2013-01-31|21.9|21.9|20.8|21.3|2510|USD|270
2013-02-01|21.44|21.9|20.8|20.8|3565|USD|271
2013-02-04|20.8|21.78|20.8|21.1|869|USD|272
2013-02-05|20.9|21.5|20.9|21.3|734|USD|273
2013-02-06|21.232|21.3|20.9|21.1|950|USD|274
2013-02-07|21.3|21.3|20.8|20.9|1349|USD|275
2013-02-08|20.8|21.3|20.6|21.15|546|USD|276
2013-02-11|20.9|21.3|20.3|20.6|781|USD|277
2013-02-12|20.9|21.3|20.5|21.0|660|USD|278
2013-02-13|20.67|21.2|20.6|20.6|1113|USD|279
2013-02-14|20.6|21.3|20.6|21.0|921|USD|280
2013-02-15|20.8|21.0|20.3|20.4|1715|USD|281
2013-02-19|20.4|21.2|20.4|20.9|1070|USD|282
2013-02-20|20.825|21.0|20.3|20.3|799|USD|283
2013-02-21|20.3|20.5|20.1|20.1|1485|USD|284
2013-02-22|20.1|20.399|19.8|19.8|4193|USD|285
2013-02-25|19.8|20.1|19.6|19.6|2555|USD|286
2013-02-26|19.6|19.9|19.4|19.45|1127|USD|287
2013-02-27|19.8|20.4|19.2|19.96|2018|USD|288
2013-02-28|19.7|20.0|19.5|19.8|1255|USD|289
2013-03-01|19.5|19.5|19.0|19.2|1468|USD|290
2013-03-04|19.5|19.5|19.2|19.2|400|USD|291
2013-03-05|19.0|19.5|18.5|19.03|930|USD|292
2013-03-06|19.0|19.9|19.0|19.7|1700|USD|293
2013-03-07|19.4|20.0|19.0|19.8|1944|USD|294
2013-03-08|20.0|20.0|18.5|19.7|4778|USD|295
2013-03-11|19.4|19.5|18.3|18.686|1934|USD|296
2013-03-12|18.3|19.4|18.3|19.0|2515|USD|297
2013-03-13|19.0|19.7|18.5|19.5|2406|USD|298
2013-03-14|18.5|19.7|15.8|17.3|5594|USD|299
2013-03-15|17.2|18.3|17.2|18.3|2765|USD|300
2013-03-18|18.3|18.5|18.1|18.5|849|USD|301
2013-03-19|18.2|18.42|18.1|18.1|679|USD|302
2013-03-20|18.1|19.299|18.1|19.0|2684|USD|303
2013-03-21|19.0|19.0|18.19|18.4|448|USD|304
2013-03-22|18.7|18.7|17.5|17.55|1748|USD|305
2013-03-25|17.7|17.7|16.5|16.6|2236|USD|306
2013-03-26|17.1|17.386|15.9|16.0|3699|USD|307
2013-03-27|15.4|16.55|14.7|15.1|3833|USD|308
2013-03-28|15.0|16.0|14.5|15.2|2556|USD|309
2013-04-01|15.1|15.8|15.1|15.4|455|USD|310
2013-04-02|15.1|15.7|14.8|15.054|1060|USD|311
2013-04-03|15.0|15.4|14.6|15.4|1778|USD|312
2013-04-04|15.001|15.4|14.6|14.6|1491|USD|313
2013-04-05|14.6|15.4|14.6|14.8|4096|USD|314
2013-04-08|14.6|15.0|14.6|14.799|2740|USD|315
2013-04-09|14.6|15.2|14.6|15.2|1287|USD|316
2013-04-10|15.1|16.0|15.0|15.5|1096|USD|317
2013-04-11|15.4|17.0|15.4|16.6|2538|USD|318
2013-04-12|16.9|18.493|16.101|17.1|4812|USD|319
2013-04-15|17.1|17.1|16.2|16.7|1454|USD|320
2013-04-16|16.4|16.95|15.6|15.76|1406|USD|321
2013-04-17|15.5|17.3|15.5|16.4|659|USD|322
2013-04-18|15.2|16.7|15.2|16.7|3153|USD|323
2013-04-19|16.8|17.1|15.501|16.7|498|USD|324
2013-04-22|16.3|16.7|15.7|15.9|1410|USD|325
2013-04-23|16.0|16.15|15.4|15.4|424|USD|326
2013-04-24|15.5|15.5|15.0|15.0|1410|USD|327
2013-04-25|15.5|16.75|15.5|15.8|1249|USD|328
2013-04-26|15.4|16.0|15.0|15.4|991|USD|329
2013-04-29|15.4|15.5|15.3|15.3|1421|USD|330
2013-04-30|15.3|15.9|15.1|15.4|879|USD|331
2013-05-01|15.6|16.3|15.1|15.3|1223|USD|332
2013-05-02|15.4|16.0|15.3|15.5|1939|USD|333
2013-05-03|15.6|16.0|15.5|15.5|2944|USD|334
2013-05-06|15.4|15.5|14.7|14.7|4445|USD|335
2013-05-07|14.7|15.4|14.7|15.1|971|USD|336
2013-05-08|14.8|15.4|14.7|14.8|652|USD|337
2013-05-09|15.5|23.2|15.5|19.8|102618|USD|338
2013-05-10|19.8|20.1|17.8|18.9|18622|USD|339
2013-05-13|18.9|19.3|17.9|18.0|2959|USD|340
2013-05-14|17.9|19.0|17.9|18.2|4306|USD|341
2013-05-15|18.0|18.21|18.0|18.1|2028|USD|342
2013-05-16|18.5|19.0|18.1|18.3|1756|USD|343
2013-05-17|18.5|18.9|18.0|18.0|4403|USD|344
2013-05-20|18.0|18.3|16.9|17.5|4748|USD|345
2013-05-21|18.0|19.0|18.0|18.4|2800|USD|346
2013-05-22|18.5|18.6|16.5|16.7|12539|USD|347
2013-05-23|17.5|17.8|16.0|16.1|10828|USD|348
2013-05-24|16.5|17.3|16.0|16.8|2030|USD|349
2013-05-28|16.6|16.9|16.2|16.6|5282|USD|350
2013-05-29|16.3|16.675|16.0|16.0|2461|USD|351
2013-05-30|16.4|16.5|16.301|16.5|1794|USD|352
2013-05-31|16.499|16.5|15.7|15.7|2830|USD|353
2013-06-03|16.3|16.5|16.0|16.5|1978|USD|354
2013-06-04|16.38|16.4|15.4|16.0|738|USD|355
2013-06-05|16.0|16.0|15.3|15.81|743|USD|356
2013-06-06|15.6|15.8|15.1|15.345|2242|USD|357
2013-06-07|15.4|18.7|15.3|17.9|22582|USD|358
2013-06-10|18.5|18.5|17.0|17.1|3380|USD|359
2013-06-11|17.02|17.9|16.6|17.1|2076|USD|360
2013-06-12|17.2|17.201|16.3|16.85|1145|USD|361
2013-06-13|16.6|16.919|16.5|16.6|1203|USD|362
2013-06-14|16.4|17.0|16.4|16.7|610|USD|363
2013-06-17|17.9|17.9|16.201|16.5|1511|USD|364
2013-06-18|16.2|17.37|16.2|16.8|677|USD|365
2013-06-19|16.6|16.9|16.3|16.8|874|USD|366
2013-06-20|16.31|16.795|16.0|16.0|723|USD|367
2013-06-21|16.5|16.655|16.0|16.2|420|USD|368
2013-06-24|16.4|16.6|15.5|15.7|2925|USD|369
2013-06-25|18.0|18.8|16.2|17.3|17854|USD|370
2013-06-26|16.8|18.5|15.5|16.0|10033|USD|371
2013-06-27|16.9|17.0|16.0|16.4|2454|USD|372
2013-06-28|16.0|16.8|16.0|16.1|4294|USD|373
2013-07-01|16.55|16.76|16.1|16.2|2683|USD|374
2013-07-02|16.7|16.7|16.1|16.2|2332|USD|375
2013-07-03|16.18|16.5|15.9|15.9|415|USD|376
2013-07-05|16.3|16.6|15.81|16.1|3684|USD|377
2013-07-08|16.9|16.9|16.2|16.4|2928|USD|378
2013-07-09|16.67|16.69|16.2|16.4|1498|USD|379
2013-07-10|16.5|16.5|15.8|15.9|3436|USD|380
2013-07-11|16.02|16.7|16.0|16.6|5706|USD|381
2013-07-12|15.5|16.6|15.0|16.4|12259|USD|382
2013-07-15|16.4|16.5|15.6|15.9|4953|USD|383
2013-07-16|15.7|15.9|15.5|15.6|4405|USD|384
2013-07-17|15.6|16.0|15.6|15.8|1941|USD|385
2013-07-18|15.7|16.4|15.7|15.8|2066|USD|386
2013-07-19|15.614|16.3|15.6|15.7|1677|USD|387
2013-07-22|15.4|16.0|15.4|15.6|3772|USD|388
2013-07-23|15.4|15.9|15.4|15.6|1721|USD|389
2013-07-24|15.4|16.0|15.4|15.6|2257|USD|390
2013-07-25|15.5|15.799|15.114|15.4|7854|USD|391
2013-07-26|15.5|15.6|15.3|15.3|277|USD|392
2013-07-29|15.6|15.6|15.2|15.593|2338|USD|393
2013-07-30|15.6|16.0|15.2|16.0|1131|USD|394
2013-07-31|15.7|15.8|15.2|15.7|1223|USD|395
2013-08-01|15.5|16.3|15.5|16.0|2925|USD|396
2013-08-02|15.8|16.85|15.51|16.8|11200|USD|397
2013-08-05|17.5|18.9|16.7|18.6|18713|USD|398
2013-08-06|18.9|19.0|18.0|18.2|6009|USD|399
2013-08-07|18.2|19.4|18.0|18.901|5409|USD|400
2013-08-08|19.1|19.4|18.8|19.0|3043|USD|401
2013-08-09|19.3|19.3|18.2|18.8|1649|USD|402
2013-08-12|18.8|18.8|18.0|18.0|1110|USD|403
2013-08-13|17.9|18.24|17.5|17.6|2335|USD|404
2013-08-14|17.1|17.1|16.4|16.5|5436|USD|405
2013-08-15|16.7|17.1|16.4|16.9|1190|USD|406
2013-08-16|16.4|17.0|16.4|16.5|1738|USD|407
2013-08-19|16.8|17.0|16.6|16.8|872|USD|408
2013-08-20|17.265|17.265|16.5|16.5|447|USD|409
2013-08-21|16.5|16.5|16.0|16.2|2938|USD|410
2013-08-22|16.3|16.4|16.0|16.101|1199|USD|411
2013-08-23|16.1|16.4|16.0|16.0|867|USD|412
2013-08-26|16.0|16.5|16.0|16.3|1024|USD|413
2013-08-27|16.4|16.4|16.2|16.3|1657|USD|414
2013-08-28|16.1|16.4|15.7|16.1|2506|USD|415
2013-08-29|16.0|16.3|15.71|16.3|1682|USD|416
2013-08-30|16.2|16.39|15.8|16.1|620|USD|417
2013-09-03|15.8|16.4|15.6|15.9|2108|USD|418
2013-09-04|16.4|18.0|16.0|17.9|14031|USD|419
2013-09-05|18.0|18.0|17.49|17.7|5464|USD|420
2013-09-06|17.7|17.7|17.4|17.4|5411|USD|421
2013-09-09|17.6|17.6|17.4|17.6|3763|USD|422
2013-09-10|17.8|17.8|17.4|17.5|2161|USD|423
2013-09-11|17.5|17.6|17.4|17.4|6846|USD|424
2013-09-12|17.9|17.9|17.4|17.5|5356|USD|425
2013-09-13|18.0|18.0|17.0|17.1|5693|USD|426
2013-09-16|16.9|17.4|16.9|17.1|2135|USD|427
2013-09-17|17.5|17.5|17.1|17.5|1828|USD|428
2013-09-18|17.5|17.5|17.1|17.4|1263|USD|429
2013-09-19|17.0|17.4|17.0|17.4|1908|USD|430
2013-09-20|17.6|17.6|17.001|17.3|1712|USD|431
2013-09-23|17.3|17.4|17.0|17.0|983|USD|432
2013-09-24|17.01|17.5|17.01|17.5|3214|USD|433
2013-09-25|17.2|17.5|17.2|17.5|749|USD|434
2013-09-26|17.3|17.5|17.1|17.2|565|USD|435
2013-09-27|17.11|17.2|17.0|17.0|894|USD|436
2013-09-30|16.9|17.0|16.3|16.6|3660|USD|437
2013-10-01|16.5|17.0|16.3|16.94|1552|USD|438
2013-10-02|17.1|17.362|16.6|17.0|1415|USD|439
2013-10-03|17.155|17.3|17.099|17.1|834|USD|440
2013-10-04|17.0|17.5|17.0|17.2|824|USD|441
2013-10-07|17.3|17.7|17.0|17.5|7533|USD|442
