Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|2.24|2.26|2.21|2.25|237553|USD|0
2012-01-04|2.24|2.29|2.24|2.24|163842|USD|1
2012-01-05|2.23|2.26|2.23|2.25|172388|USD|2
2012-01-06|2.24|2.26|2.24|2.24|155035|USD|3
2012-01-09|2.26|2.26|2.23|2.24|233654|USD|4
2012-01-10|2.26|2.28|2.24|2.27|254243|USD|5
2012-01-11|2.25|2.28|2.25|2.28|115939|USD|6
2012-01-12|2.28|2.4|2.27|2.4|110143|USD|7
2012-01-13|2.36|2.37|2.31|2.35|130916|USD|8
2012-01-17|2.38|2.43|2.33|2.39|216228|USD|9
2012-01-18|2.41|2.43|2.35|2.38|216819|USD|10
2012-01-19|2.39|2.4|2.34|2.36|186725|USD|11
2012-01-20|2.34|2.47|2.31|2.44|114352|USD|12
2012-01-23|2.43|2.442|2.38|2.39|84373|USD|13
2012-01-24|2.38|2.47|2.33|2.45|167543|USD|14
2012-01-25|2.39|2.39|2.19|2.27|469475|USD|15
2012-01-26|2.28|2.29|2.24|2.26|151960|USD|16
2012-01-27|2.21|2.29|2.2|2.25|212272|USD|17
2012-01-30|2.25|2.29|2.24|2.26|95130|USD|18
2012-01-31|2.27|2.27|2.19|2.2|158421|USD|19
2012-02-01|2.24|2.25|2.18|2.21|224551|USD|20
2012-02-02|2.22|2.37|2.18|2.24|451540|USD|21
2012-02-03|2.28|2.34|2.25|2.32|271661|USD|22
2012-02-06|2.31|2.32|2.29|2.31|155088|USD|23
2012-02-07|2.3|2.31|2.23|2.25|380028|USD|24
2012-02-08|2.26|2.28|2.23|2.23|311815|USD|25
2012-02-09|2.22|2.36|2.22|2.31|332068|USD|26
2012-02-10|2.29|2.335|2.28|2.3|82287|USD|27
2012-02-13|2.33|2.42|2.32|2.37|169874|USD|28
2012-02-14|2.36|2.39|2.27|2.33|162278|USD|29
2012-02-15|2.32|2.429|2.27|2.37|256090|USD|30
2012-02-16|2.37|2.44|2.36|2.42|112259|USD|31
2012-02-17|2.44|2.44|2.4|2.42|139478|USD|32
2012-02-21|2.45|2.45|2.337|2.38|183666|USD|33
2012-02-22|2.37|2.43|2.31|2.36|119850|USD|34
2012-02-23|2.36|2.44|2.35|2.41|187061|USD|35
2012-02-24|2.4|2.44|2.4|2.4|100731|USD|36
2012-02-27|2.38|2.44|2.34|2.4|138058|USD|37
2012-02-28|2.4|2.52|2.367|2.39|497308|USD|38
2012-02-29|2.39|2.455|2.29|2.29|209415|USD|39
2012-03-01|2.33|2.378|2.28|2.28|144842|USD|40
2012-03-02|2.27|2.33|2.24|2.26|258559|USD|41
2012-03-05|2.25|2.36|2.25|2.34|157879|USD|42
2012-03-06|2.32|2.33|2.23|2.23|228210|USD|43
2012-03-07|2.25|2.32|2.238|2.31|389516|USD|44
2012-03-08|2.33|2.41|2.32|2.39|191637|USD|45
2012-03-09|2.39|2.4|2.34|2.35|120686|USD|46
2012-03-12|2.36|2.4|2.33|2.38|131488|USD|47
2012-03-13|2.38|2.425|2.33|2.38|143928|USD|48
2012-03-14|2.38|2.41|2.35|2.37|119767|USD|49
2012-03-15|2.37|2.4|2.34|2.38|136565|USD|50
2012-03-16|2.39|2.44|2.37|2.41|255058|USD|51
2012-03-19|2.4|2.5|2.36|2.42|209226|USD|52
2012-03-20|2.4|2.46|2.36|2.37|129809|USD|53
2012-03-21|2.37|2.42|2.32|2.38|104982|USD|54
2012-03-22|2.36|2.4|2.35|2.39|132428|USD|55
2012-03-23|2.39|2.4|2.35|2.38|152541|USD|56
2012-03-26|2.4|2.46|2.39|2.45|214618|USD|57
2012-03-27|2.44|2.465|2.38|2.38|130501|USD|58
2012-03-28|2.38|2.429|2.35|2.38|80012|USD|59
2012-03-29|2.36|2.4|2.33|2.35|224452|USD|60
2012-03-30|2.37|2.37|2.33|2.33|129786|USD|61
2012-04-02|2.33|2.39|2.329|2.39|154403|USD|62
2012-04-03|2.38|2.38|2.35|2.35|81097|USD|63
2012-04-04|2.32|2.4|2.31|2.37|153970|USD|64
2012-04-05|2.36|2.46|2.27|2.31|251648|USD|65
2012-04-09|2.27|2.27|2.181|2.2|219628|USD|66
2012-04-10|2.21|2.27|2.18|2.19|184474|USD|67
2012-04-11|2.21|2.29|2.2|2.25|159648|USD|68
2012-04-12|2.25|2.33|2.25|2.28|110780|USD|69
2012-04-13|2.26|2.3|2.21|2.22|129832|USD|70
2012-04-16|2.22|2.27|2.19|2.22|100872|USD|71
2012-04-17|2.25|2.27|2.21|2.24|124080|USD|72
2012-04-18|2.22|2.25|2.19|2.23|182511|USD|73
2012-04-19|2.22|2.25|2.18|2.24|135342|USD|74
2012-04-20|2.29|2.3|2.22|2.25|148845|USD|75
2012-04-23|2.21|2.28|2.19|2.22|159822|USD|76
2012-04-24|2.23|2.3|2.22|2.26|139012|USD|77
2012-04-25|2.28|2.29|2.2|2.26|184092|USD|78
2012-04-26|2.26|2.31|2.22|2.3|102741|USD|79
2012-04-27|2.3|2.35|2.28|2.34|302390|USD|80
2012-04-30|2.33|2.34|2.27|2.28|148390|USD|81
2012-05-01|2.31|2.4|2.24|2.24|235327|USD|82
2012-05-02|2.23|2.3|2.23|2.29|137399|USD|83
2012-05-03|2.28|2.29|2.22|2.22|101103|USD|84
2012-05-04|2.21|2.23|2.15|2.16|173776|USD|85
2012-05-07|2.17|2.214|2.14|2.16|162878|USD|86
2012-05-08|2.14|2.19|2.11|2.13|115337|USD|87
2012-05-09|2.11|2.17|2.11|2.15|76810|USD|88
2012-05-10|2.16|2.22|2.16|2.2|92464|USD|89
2012-05-11|2.18|2.195|2.12|2.15|144647|USD|90
2012-05-14|2.13|2.21|2.13|2.16|89593|USD|91
2012-05-15|2.15|2.191|2.12|2.13|79678|USD|92
2012-05-16|2.14|2.18|2.11|2.11|92720|USD|93
2012-05-17|2.1|2.32|2.1|2.19|167944|USD|94
2012-05-18|2.2|2.21|2.17|2.19|226363|USD|95
2012-05-21|2.19|2.32|2.19|2.29|145572|USD|96
2012-05-22|2.28|2.28|2.17|2.17|167698|USD|97
2012-05-23|2.17|2.17|2.14|2.14|120084|USD|98
2012-05-24|2.14|2.2|2.12|2.14|104006|USD|99
2012-05-25|2.15|2.23|2.12|2.15|117303|USD|100
2012-05-29|2.17|2.24|2.15|2.16|75437|USD|101
2012-05-30|2.14|2.21|2.14|2.15|93765|USD|102
2012-05-31|2.15|2.22|2.15|2.16|92535|USD|103
2012-06-01|2.12|2.17|2.12|2.14|117864|USD|104
2012-06-04|2.15|2.195|2.13|2.17|106650|USD|105
2012-06-05|2.15|2.22|2.145|2.19|140180|USD|106
2012-06-06|2.21|2.28|2.19|2.27|233428|USD|107
2012-06-07|2.31|2.32|2.17|2.19|192795|USD|108
2012-06-08|2.19|2.28|2.19|2.24|133106|USD|109
2012-06-11|2.26|2.28|2.16|2.16|163655|USD|110
2012-06-12|2.17|2.26|2.15|2.17|121235|USD|111
2012-06-13|2.17|2.21|2.14|2.15|254004|USD|112
2012-06-14|2.14|2.19|2.14|2.19|137227|USD|113
2012-06-15|2.19|2.22|2.17|2.22|214227|USD|114
2012-06-18|2.19|2.22|2.19|2.2|146544|USD|115
2012-06-19|2.22|2.3|2.2|2.29|218901|USD|116
2012-06-20|2.29|2.3|2.225|2.23|157471|USD|117
2012-06-21|2.24|2.28|2.15|2.19|196333|USD|118
2012-06-22|2.2|2.25|2.18|2.23|637121|USD|119
2012-06-25|2.19|2.29|2.19|2.26|117646|USD|120
2012-06-26|2.27|2.3|2.24|2.24|108029|USD|121
2012-06-27|2.25|2.39|2.25|2.33|137953|USD|122
2012-06-28|2.31|2.34|2.26|2.32|119218|USD|123
2012-06-29|2.38|2.41|2.31|2.38|207846|USD|124
2012-07-02|2.38|2.4|2.3|2.35|189790|USD|125
2012-07-03|2.36|2.37|2.32|2.35|156859|USD|126
2012-07-05|2.35|2.375|2.241|2.3|286817|USD|127
2012-07-06|2.28|2.34|2.28|2.34|95375|USD|128
2012-07-09|2.32|2.35|2.3|2.32|143011|USD|129
2012-07-10|2.35|2.35|2.31|2.32|149210|USD|130
2012-07-11|2.31|2.35|2.28|2.34|187507|USD|131
2012-07-12|2.32|2.32|2.24|2.25|245166|USD|132
2012-07-13|2.25|2.29|2.25|2.28|131821|USD|133
2012-07-16|2.28|2.28|2.24|2.24|101963|USD|134
2012-07-17|2.26|2.28|2.22|2.24|89742|USD|135
2012-07-18|2.25|2.28|2.24|2.25|161221|USD|136
2012-07-19|2.25|2.28|2.24|2.24|100782|USD|137
2012-07-20|2.23|2.24|2.18|2.18|91173|USD|138
2012-07-23|2.15|2.21|2.13|2.18|423862|USD|139
2012-07-24|2.2|2.21|2.13|2.18|186871|USD|140
2012-07-25|2.2|2.2|2.17|2.18|177264|USD|141
2012-07-26|2.2|2.22|2.18|2.2|63025|USD|142
2012-07-27|2.22|2.3|2.19|2.28|147939|USD|143
2012-07-30|2.29|2.34|2.26|2.26|128618|USD|144
2012-07-31|2.24|2.29|2.17|2.19|120744|USD|145
2012-08-01|2.2|2.23|2.19|2.19|204448|USD|146
2012-08-02|2.17|2.3|2.17|2.22|144719|USD|147
2012-08-03|2.25|2.33|2.22|2.28|124487|USD|148
2012-08-06|2.28|2.39|2.09|2.2|287649|USD|149
2012-08-07|2.05|2.32|2.05|2.19|457846|USD|150
2012-08-08|2.19|2.279|2.17|2.22|225001|USD|151
2012-08-09|2.22|2.25|2.2|2.21|221263|USD|152
2012-08-10|2.21|2.24|2.18|2.21|287745|USD|153
2012-08-13|2.2|2.24|2.17|2.2|81550|USD|154
2012-08-14|2.22|2.24|2.18|2.18|181579|USD|155
2012-08-15|2.17|2.24|2.17|2.21|103012|USD|156
2012-08-16|2.21|2.23|2.19|2.2|147596|USD|157
2012-08-17|2.18|2.24|2.18|2.23|108191|USD|158
2012-08-20|2.22|2.24|2.21|2.22|121204|USD|159
2012-08-21|2.23|2.25|2.17|2.18|130442|USD|160
2012-08-22|2.18|2.23|2.18|2.18|152000|USD|161
2012-08-23|2.18|2.2|2.17|2.17|85195|USD|162
2012-08-24|2.17|2.2|2.17|2.18|101870|USD|163
2012-08-27|2.18|2.2|2.17|2.17|116709|USD|164
2012-08-28|2.18|2.22|2.15|2.19|272377|USD|165
2012-08-29|2.2|2.2|2.15|2.18|215786|USD|166
2012-08-30|2.18|2.19|2.15|2.17|96268|USD|167
2012-08-31|2.19|2.19|2.13|2.14|127198|USD|168
2012-09-04|2.13|2.145|2.11|2.14|154804|USD|169
2012-09-05|2.15|2.18|2.12|2.16|145948|USD|170
2012-09-06|2.17|2.191|2.1|2.12|311932|USD|171
2012-09-07|2.13|2.14|1.93|1.99|555841|USD|172
2012-09-10|1.98|2.04|1.97|2.0|188432|USD|173
2012-09-11|2.0|2.07|2.0|2.07|194305|USD|174
2012-09-12|2.07|2.12|2.02|2.08|104946|USD|175
2012-09-13|2.08|2.15|2.04|2.13|161117|USD|176
2012-09-14|2.15|2.19|2.08|2.17|164290|USD|177
2012-09-17|2.15|2.19|2.13|2.17|58295|USD|178
2012-09-18|2.18|2.19|2.1|2.17|125263|USD|179
2012-09-19|2.19|2.2|2.16|2.18|208051|USD|180
2012-09-20|2.16|2.185|2.16|2.17|56018|USD|181
2012-09-21|2.22|2.22|2.16|2.18|264642|USD|182
2012-09-24|2.18|2.205|2.17|2.2|113003|USD|183
2012-09-25|2.2|2.21|2.13|2.14|147416|USD|184
2012-09-26|2.15|2.19|2.15|2.18|59155|USD|185
2012-09-27|2.18|2.18|2.13|2.15|108217|USD|186
2012-09-28|2.13|2.18|2.11|2.14|82422|USD|187
2012-10-01|2.14|2.2|2.14|2.19|110205|USD|188
2012-10-02|2.2|2.2|2.1|2.17|131680|USD|189
2012-10-03|2.16|2.17|2.12|2.12|92399|USD|190
2012-10-04|2.14|2.18|2.12|2.15|109848|USD|191
2012-10-05|2.16|2.18|2.11|2.14|108739|USD|192
2012-10-08|2.12|2.19|2.11|2.13|51949|USD|193
2012-10-09|2.12|2.16|2.07|2.07|91666|USD|194
