Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|8.2|8.2|7.88|8.06|81072|USD|0
2012-01-04|8.0|8.15|7.95|8.01|66497|USD|1
2012-01-05|7.96|8.14|7.87|8.02|31965|USD|2
2012-01-06|7.99|7.99|7.72|7.8|104018|USD|3
2012-01-09|7.84|7.92|7.69|7.79|99380|USD|4
2012-01-10|7.92|8.13|7.85|8.07|90236|USD|5
2012-01-11|8.01|8.31|7.92|8.15|63970|USD|6
2012-01-12|8.15|8.69|7.81|8.65|70100|USD|7
2012-01-13|8.52|8.55|8.24|8.28|60270|USD|8
2012-01-17|8.36|8.37|7.93|7.93|87389|USD|9
2012-01-18|7.9|8.33|7.9|8.32|56804|USD|10
2012-01-19|8.36|8.47|8.22|8.23|45684|USD|11
2012-01-20|8.2|8.51|8.13|8.31|78392|USD|12
2012-01-23|8.32|8.46|8.11|8.32|40699|USD|13
2012-01-24|8.25|8.4|8.19|8.38|45048|USD|14
2012-01-25|8.38|8.44|8.18|8.37|50626|USD|15
2012-01-26|8.4|8.5|8.37|8.46|43860|USD|16
2012-01-27|8.41|8.5|8.29|8.38|50647|USD|17
2012-01-30|8.25|8.41|8.21|8.24|78459|USD|18
2012-01-31|8.33|8.33|6.92|8.14|121537|USD|19
2012-02-01|8.23|8.45|8.16|8.44|90756|USD|20
2012-02-02|8.45|8.7|8.24|8.59|109662|USD|21
2012-02-03|8.75|8.94|8.56|8.74|93160|USD|22
2012-02-06|8.71|8.88|8.6|8.74|58373|USD|23
2012-02-07|8.69|8.86|8.64|8.66|65715|USD|24
2012-02-08|8.68|8.92|8.55|8.66|78647|USD|25
2012-02-09|8.63|8.84|7.28|7.41|163196|USD|26
2012-02-10|7.01|7.32|6.97|7.15|353959|USD|27
2012-02-13|7.25|7.46|7.1|7.32|333288|USD|28
2012-02-14|7.29|7.42|7.21|7.3|76847|USD|29
2012-02-15|7.34|7.41|7.1|7.17|148008|USD|30
2012-02-16|7.25|7.76|7.25|7.72|131029|USD|31
2012-02-17|7.78|7.89|7.55|7.77|97302|USD|32
2012-02-21|7.87|8.25|7.72|8.12|151634|USD|33
2012-02-22|8.09|8.3|7.96|8.06|177858|USD|34
2012-02-23|8.1|8.38|7.92|8.33|121073|USD|35
2012-02-24|8.34|8.4|8.13|8.22|64152|USD|36
2012-02-27|8.18|8.49|8.04|8.38|105011|USD|37
2012-02-28|8.38|8.41|8.2|8.21|67947|USD|38
2012-02-29|8.25|8.42|7.9|8.05|156598|USD|39
2012-03-01|8.1|8.39|8.0|8.02|93576|USD|40
2012-03-02|7.96|8.22|7.91|8.06|203739|USD|41
2012-03-05|8.02|8.3|7.95|8.22|109542|USD|42
2012-03-06|8.1|8.2|7.86|7.88|182884|USD|43
2012-03-07|7.95|8.1|7.76|7.83|149120|USD|44
2012-03-08|7.9|8.06|7.77|7.96|76525|USD|45
2012-03-09|8.05|8.44|8.05|8.23|102465|USD|46
2012-03-12|8.21|8.45|8.13|8.26|108810|USD|47
2012-03-13|8.38|9.44|8.38|9.33|467980|USD|48
2012-03-14|9.32|9.32|8.94|9.1|126990|USD|49
2012-03-15|9.09|9.27|8.91|9.14|95517|USD|50
2012-03-16|9.19|9.26|8.94|9.02|212130|USD|51
2012-03-19|9.02|9.43|8.98|9.33|53055|USD|52
2012-03-20|9.23|9.35|9.07|9.21|40580|USD|53
2012-03-21|9.2|9.39|9.11|9.13|76723|USD|54
2012-03-22|9.0|9.32|8.81|9.24|49162|USD|55
2012-03-23|9.09|9.35|9.09|9.34|39189|USD|56
2012-03-26|9.5|9.6|9.27|9.3|104874|USD|57
2012-03-27|9.31|9.48|9.18|9.21|55742|USD|58
2012-03-28|9.2|9.2|9.01|9.11|56819|USD|59
2012-03-29|9.04|9.24|8.98|9.14|36716|USD|60
2012-03-30|9.24|9.25|8.97|8.99|63541|USD|61
2012-04-02|8.98|9.22|8.79|9.13|70607|USD|62
2012-04-03|9.11|9.25|8.97|9.04|63616|USD|63
2012-04-04|8.89|9.06|8.65|8.7|95074|USD|64
2012-04-05|8.65|8.86|8.65|8.84|51514|USD|65
2012-04-09|8.64|9.1|8.6|8.65|71361|USD|66
2012-04-10|8.58|8.73|8.39|8.5|107723|USD|67
2012-04-11|8.56|8.92|8.56|8.68|67646|USD|68
2012-04-12|8.68|8.99|8.66|8.91|63324|USD|69
2012-04-13|8.84|8.89|8.6|8.62|88920|USD|70
2012-04-16|8.68|8.72|8.42|8.52|35754|USD|71
2012-04-17|8.63|8.85|8.51|8.76|91812|USD|72
