Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2017-11-02|18.05|18.2|17.33|17.41|952072|USD|0
2017-11-03|17.5|19.4|17.5|19.37|842709|USD|1
2017-11-06|19.06|19.6|18.1|18.97|427430|USD|2
2017-11-07|18.99|19.95|18.85|19.51|1008722|USD|3
2017-11-08|19.55|20.38|18.62|20.36|558417|USD|4
2017-11-09|20.12|20.62|20.0|20.4|282539|USD|5
2017-11-10|20.4|20.85|20.23|20.76|132348|USD|6
2017-11-13|20.62|21.78|20.5|21.72|222996|USD|7
2017-11-14|21.54|22.98|21.52|22.36|318864|USD|8
2017-11-15|22.53|23.55|22.03|23.49|638265|USD|9
2017-11-16|23.9|24.0|23.4|23.94|328162|USD|10
2017-11-17|23.94|24.33|23.75|24.16|329609|USD|11
2017-11-20|24.28|24.95|24.09|24.76|307984|USD|12
2017-11-21|24.89|25.59|24.28|24.5|376697|USD|13
2017-11-22|24.01|24.3|23.68|23.94|296546|USD|14
2017-11-24|23.86|24.93|23.86|24.9|76227|USD|15
2017-11-27|24.5|25.09|22.59|22.65|353294|USD|16
2017-11-28|23.38|23.99|22.87|23.87|275419|USD|17
2017-11-29|23.99|24.34|21.35|22.14|396836|USD|18
2017-11-30|22.18|23.15|21.84|22.39|303427|USD|19
2017-12-01|21.38|24.63|21.38|23.46|533622|USD|20
2017-12-04|23.48|23.94|21.6|21.9|327833|USD|21
2017-12-05|21.68|22.94|21.2|21.56|435673|USD|22
2017-12-06|21.21|21.7|20.5|21.02|236233|USD|23
2017-12-07|20.95|22.7|20.5|22.2|293398|USD|24
2017-12-08|22.32|22.47|21.39|21.6|140153|USD|25
2017-12-11|21.68|23.11|21.68|23.08|145567|USD|26
2017-12-12|22.97|23.59|22.13|22.32|272348|USD|27
2017-12-13|22.35|22.98|21.39|21.44|197155|USD|28
2017-12-14|21.43|21.82|21.0|21.0|176819|USD|29
2017-12-15|21.0|21.49|20.61|21.26|715276|USD|30
2017-12-18|21.36|23.57|21.04|22.63|428309|USD|31
2017-12-19|22.45|22.85|21.13|22.59|180919|USD|32
2017-12-20|22.47|23.44|22.19|23.24|297255|USD|33
2017-12-21|23.4|24.64|23.36|24.39|296506|USD|34
2017-12-22|24.51|24.59|23.06|23.13|490952|USD|35
2017-12-26|23.12|23.4|22.63|23.03|116514|USD|36
2017-12-27|23.1|23.68|22.72|23.61|82744|USD|37
2017-12-28|23.64|24.33|23.18|24.31|209081|USD|38
2017-12-29|24.43|24.45|23.66|23.92|123439|USD|39
2018-01-02|24.14|24.46|23.77|24.27|291583|USD|40
2018-01-03|24.5|25.52|24.5|25.05|484223|USD|41
2018-01-04|25.3|25.54|24.65|24.92|177916|USD|42
2018-01-05|25.06|25.35|24.84|25.0|98722|USD|43
2018-01-08|25.12|25.5|24.52|25.41|158243|USD|44
2018-01-09|25.43|26.7|25.33|26.6|289949|USD|45
2018-01-10|26.61|28.0|26.32|27.99|209886|USD|46
2018-01-11|28.3|28.9|26.14|26.45|331737|USD|47
2018-01-12|26.43|26.77|25.17|25.88|193630|USD|48
2018-01-16|25.87|26.08|25.26|25.58|193166|USD|49
2018-01-17|25.71|25.71|23.89|24.86|265479|USD|50
2018-01-18|24.88|25.87|24.42|25.51|318346|USD|51
2018-01-19|25.77|27.09|25.3|26.75|220731|USD|52
2018-01-22|27.15|27.49|25.27|25.68|246613|USD|53
2018-01-23|25.79|26.33|24.87|25.91|160359|USD|54
2018-01-24|25.96|26.33|25.33|25.47|73488|USD|55
2018-01-25|25.58|25.58|24.75|25.01|85958|USD|56
2018-01-26|25.05|26.28|24.5|26.27|221980|USD|57
2018-01-29|26.27|26.5|25.18|25.22|86945|USD|58
2018-01-30|25.0|26.31|24.9|26.26|211383|USD|59
2018-01-31|26.57|27.0|26.12|26.6|446402|USD|60
2018-02-01|26.5|27.52|26.4|27.49|321876|USD|61
2018-02-02|27.29|28.25|26.75|26.95|286222|USD|62
2018-02-05|26.95|27.62|26.26|26.8|212088|USD|63
2018-02-06|26.42|28.0|26.2|26.42|450330|USD|64
2018-02-07|26.5|26.78|26.32|26.52|169649|USD|65
2018-02-08|26.47|27.47|25.06|25.29|276360|USD|66
2018-02-09|25.35|25.87|24.21|25.24|284979|USD|67
2018-02-12|25.3|25.88|24.97|25.74|104615|USD|68
2018-02-13|25.58|26.42|25.58|25.72|209156|USD|69
2018-02-14|25.5|26.09|25.45|25.81|188103|USD|70
2018-02-15|25.95|26.75|25.55|26.54|234523|USD|71
2018-02-16|26.55|27.02|25.77|26.84|205950|USD|72
