Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-10-10|6.71|6.85|6.0|6.06|3566608|USD|0
2012-10-11|6.06|6.44|6.0|6.08|416644|USD|1
2012-10-12|6.05|6.3|6.01|6.23|155145|USD|2
2012-10-15|6.35|6.4|6.05|6.15|156970|USD|3
2012-10-16|6.15|6.3|5.94|6.01|172903|USD|4
2012-10-17|6.0|6.08|5.99|6.0|113565|USD|5
2012-10-18|6.2|6.2|5.55|6.0|247282|USD|6
2012-10-19|6.08|6.08|5.99|6.0|132806|USD|7
2012-10-22|6.47|6.47|6.1|6.11|304390|USD|8
2012-10-23|6.18|6.18|6.0|6.0|74911|USD|9
2012-10-24|6.01|6.1|6.01|6.02|106645|USD|10
2012-10-25|6.1|6.32|6.05|6.24|316395|USD|11
2012-10-26|6.19|6.75|6.19|6.58|206425|USD|12
2012-10-31|6.78|7.42|6.52|7.22|295289|USD|13
2012-11-01|8.44|8.44|7.42|7.65|246998|USD|14
2012-11-02|7.81|8.2|7.51|7.7|86133|USD|15
2012-11-05|8.1|8.43|7.85|8.23|251623|USD|16
2012-11-06|8.7|8.84|8.35|8.59|233844|USD|17
2012-11-07|8.6|8.77|8.15|8.19|338682|USD|18
2012-11-08|8.2|8.34|7.67|7.82|169528|USD|19
2012-11-09|7.82|8.23|7.7|8.0|154725|USD|20
2012-11-12|8.0|8.0|7.52|7.73|76803|USD|21
2012-11-13|7.95|8.03|7.59|8.0|47093|USD|22
2012-11-14|8.03|8.03|7.65|7.88|41656|USD|23
2012-11-15|7.6|8.5|7.6|8.36|125214|USD|24
2012-11-16|8.35|8.88|8.23|8.71|162316|USD|25
2012-11-19|8.9|9.5|8.89|9.22|291214|USD|26
2012-11-20|9.22|9.49|9.1|9.31|90549|USD|27
2012-11-21|9.5|9.5|9.05|9.15|92524|USD|28
2012-11-23|9.15|9.45|9.15|9.3|18858|USD|29
2012-11-26|9.3|9.31|8.79|8.92|100743|USD|30
2012-11-27|8.91|9.0|8.65|8.88|61513|USD|31
2012-11-28|8.94|8.94|8.65|8.73|71283|USD|32
2012-11-29|8.78|8.99|8.66|8.7|69709|USD|33
2012-11-30|8.95|8.99|8.65|8.71|48309|USD|34
2012-12-03|9.0|9.18|8.67|8.67|51263|USD|35
2012-12-04|8.73|8.98|8.3|8.63|199006|USD|36
2012-12-05|8.56|8.98|8.5|8.98|148390|USD|37
2012-12-06|9.04|9.58|8.6|9.08|425879|USD|38
2012-12-07|9.1|9.22|8.91|9.02|118461|USD|39
2012-12-10|9.23|9.23|8.6|8.72|80789|USD|40
2012-12-11|8.84|9.06|8.65|8.92|87595|USD|41
2012-12-12|8.99|9.45|8.96|9.29|189855|USD|42
2012-12-13|9.41|9.48|9.23|9.35|99155|USD|43
2012-12-14|9.28|10.29|8.74|9.1|497824|USD|44
2012-12-17|9.35|10.1|8.8|10.0|244314|USD|45
2012-12-18|10.0|10.5|9.78|10.36|289695|USD|46
2012-12-19|10.23|10.33|9.95|10.18|152571|USD|47
2012-12-20|10.16|10.32|9.91|10.0|100596|USD|48
2012-12-21|9.85|9.9|9.29|9.76|767523|USD|49
2012-12-24|9.69|9.73|9.21|9.59|78938|USD|50
2012-12-26|9.62|10.02|9.55|10.0|86163|USD|51
2012-12-27|10.25|10.5|9.96|10.43|154221|USD|52
2012-12-28|10.35|11.17|10.35|11.0|349469|USD|53
2012-12-31|11.0|11.19|10.9|11.15|211113|USD|54
2013-01-02|11.98|11.99|11.26|11.95|264146|USD|55
2013-01-03|12.0|12.05|11.65|11.73|220301|USD|56
2013-01-04|11.73|11.93|11.72|11.88|99414|USD|57
2013-01-07|12.1|12.1|11.83|11.93|146389|USD|58
2013-01-08|11.9|12.06|11.81|12.06|130169|USD|59
2013-01-09|12.17|12.98|12.05|12.94|282662|USD|60
2013-01-10|13.14|13.42|12.5|13.05|251497|USD|61
2013-01-11|13.13|13.25|12.75|12.78|125234|USD|62
2013-01-14|12.79|13.0|12.25|12.81|118494|USD|63
2013-01-15|12.71|12.83|12.56|12.75|89479|USD|64
2013-01-16|12.76|12.8|12.5|12.6|62191|USD|65
2013-01-17|12.64|12.75|11.25|11.45|461234|USD|66
2013-01-18|11.48|11.85|11.37|11.67|157715|USD|67
2013-01-22|11.75|12.38|11.72|12.19|254408|USD|68
2013-01-23|12.15|12.29|11.82|11.99|115762|USD|69
2013-01-24|11.97|12.03|11.5|11.63|129929|USD|70
2013-01-25|11.71|11.9|11.52|11.84|77120|USD|71
2013-01-28|11.79|11.84|11.5|11.57|78213|USD|72
2013-01-29|11.52|11.72|11.44|11.52|49689|USD|73
2013-01-30|11.6|11.83|10.07|10.16|510411|USD|74
2013-01-31|10.24|10.33|9.55|9.96|324020|USD|75
2013-02-01|10.02|10.56|10.02|10.48|184678|USD|76
2013-02-04|10.52|10.52|10.1|10.24|75196|USD|77
2013-02-05|10.22|10.29|9.9|9.98|119014|USD|78
2013-02-06|9.95|10.1|9.9|9.99|84662|USD|79
2013-02-07|9.75|10.12|9.65|9.98|253390|USD|80
2013-02-08|9.93|10.0|9.52|9.73|91933|USD|81
2013-02-11|9.73|9.73|9.04|9.42|182289|USD|82
2013-02-12|9.45|9.71|9.39|9.7|86169|USD|83
2013-02-13|9.73|9.84|9.59|9.68|62365|USD|84
2013-02-14|9.78|9.91|9.5|9.51|112668|USD|85
2013-02-15|9.57|9.82|9.12|9.8|191304|USD|86
2013-02-19|9.85|10.18|9.71|9.87|46223|USD|87
2013-02-20|9.91|10.01|9.32|9.49|166390|USD|88
2013-02-21|9.44|9.46|9.15|9.31|126696|USD|89
2013-02-22|9.3|9.7|9.29|9.49|141568|USD|90
2013-02-25|9.59|9.96|9.59|9.59|67192|USD|91
2013-02-26|9.68|9.84|9.62|9.74|45690|USD|92
2013-02-27|9.78|9.98|9.63|9.75|65310|USD|93
2013-02-28|9.72|10.09|9.66|9.96|77726|USD|94
2013-03-01|9.86|10.64|9.83|10.58|104020|USD|95
2013-03-04|10.59|10.59|9.98|10.15|128984|USD|96
2013-03-05|10.3|10.65|10.2|10.58|86177|USD|97
2013-03-06|10.66|11.67|10.62|11.54|193419|USD|98
2013-03-07|11.82|12.18|11.25|11.97|271458|USD|99
2013-03-08|13.45|14.73|13.0|13.58|1745528|USD|100
2013-03-11|14.0|14.38|13.31|13.74|523498|USD|101
2013-03-12|13.85|13.9|12.42|12.79|547614|USD|102
2013-03-13|12.85|13.65|12.61|13.31|231133|USD|103
2013-03-14|13.28|14.0|12.95|13.9|222125|USD|104
2013-03-15|13.96|13.99|13.34|13.49|171231|USD|105
2013-03-18|13.42|13.71|12.03|12.35|596940|USD|106
2013-03-19|12.46|12.85|12.26|12.62|295994|USD|107
2013-03-20|12.77|13.35|12.61|12.94|261851|USD|108
2013-03-21|12.86|13.04|12.61|12.95|110822|USD|109
2013-03-22|12.99|13.25|12.77|12.9|196338|USD|110
2013-03-25|13.4|14.63|13.2|14.13|887916|USD|111
2013-03-26|14.37|15.47|14.25|15.04|1172174|USD|112
2013-03-27|15.19|15.26|14.51|14.79|600953|USD|113
2013-03-28|14.76|15.91|14.72|15.66|853773|USD|114
2013-04-01|15.91|16.0|14.56|14.87|795199|USD|115
2013-04-02|15.14|15.54|14.82|14.94|276567|USD|116
2013-04-03|14.96|15.04|13.2|13.7|1008634|USD|117
2013-04-04|13.85|14.92|13.8|14.55|607585|USD|118
2013-04-05|14.24|14.55|13.76|14.0|383874|USD|119
2013-04-08|13.81|14.45|13.75|14.36|533104|USD|120
2013-04-09|14.31|14.36|14.0|14.17|375690|USD|121
2013-04-10|14.18|14.3|13.73|13.98|619705|USD|122
2013-04-11|13.98|13.98|13.03|13.3|741128|USD|123
2013-04-12|13.3|14.08|13.1|13.99|451773|USD|124
