Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|31.05|31.8|29.69|29.8|227839|USD|0
2012-01-04|29.72|30.19|29.32|29.48|183660|USD|1
2012-01-05|29.32|30.67|29.18|30.48|99345|USD|2
2012-01-06|30.35|30.35|28.75|28.91|322734|USD|3
2012-01-09|29.0|29.98|28.58|29.58|183622|USD|4
2012-01-10|29.93|29.96|28.7|28.96|319791|USD|5
2012-01-11|28.92|29.49|28.52|28.67|173822|USD|6
2012-01-12|28.77|28.79|27.99|28.16|173832|USD|7
2012-01-13|27.75|27.75|27.1|27.45|272118|USD|8
2012-01-17|27.63|28.43|26.63|26.9|364658|USD|9
2012-01-18|26.94|28.19|26.94|28.05|357709|USD|10
2012-01-19|28.29|29.13|27.66|29.05|426952|USD|11
2012-01-20|28.86|28.86|27.96|28.13|144929|USD|12
2012-01-23|28.0|28.32|27.51|27.72|164659|USD|13
2012-01-24|27.6|28.73|27.59|28.5|145695|USD|14
2012-01-25|28.77|29.65|28.26|28.63|373810|USD|15
2012-01-26|28.8|28.98|27.96|28.02|700461|USD|16
2012-01-27|27.83|28.94|27.83|27.99|171641|USD|17
2012-01-30|27.52|28.69|27.5|28.09|613378|USD|18
2012-01-31|29.0|29.0|24.3|27.01|2232834|USD|19
2012-02-01|26.67|27.12|26.11|27.03|548057|USD|20
2012-02-02|27.1|27.33|26.8|27.14|261622|USD|21
2012-02-03|27.52|28.58|27.49|28.54|235136|USD|22
2012-02-06|28.41|28.41|26.53|27.0|266549|USD|23
2012-02-07|26.8|27.28|26.12|27.12|304833|USD|24
2012-02-08|27.26|27.41|26.26|26.86|181925|USD|25
2012-02-09|26.85|27.18|26.59|27.02|96354|USD|26
2012-02-10|26.78|26.78|25.82|26.0|486414|USD|27
2012-02-13|26.25|27.2|26.25|26.66|304018|USD|28
2012-02-14|26.54|26.62|25.9|26.19|133324|USD|29
2012-02-15|26.34|26.48|25.26|26.03|362577|USD|30
2012-02-16|26.13|27.0|25.95|26.79|183830|USD|31
2012-02-17|26.97|27.0|26.21|26.27|154974|USD|32
2012-02-21|26.21|26.5|25.75|25.85|167774|USD|33
2012-02-22|25.84|26.1|25.27|25.3|208191|USD|34
2012-02-23|25.34|26.15|25.02|26.14|270667|USD|35
2012-02-24|26.16|26.34|25.68|25.72|74960|USD|36
2012-02-27|25.48|26.09|25.11|25.58|179905|USD|37
2012-02-28|25.6|25.85|25.4|25.64|233234|USD|38
2012-02-29|25.63|25.83|23.23|24.65|1502376|USD|39
2012-03-01|24.66|24.93|24.44|24.78|479552|USD|40
2012-03-02|24.7|25.17|23.95|24.17|575220|USD|41
2012-03-05|24.05|24.19|22.52|22.55|906842|USD|42
2012-03-06|22.26|22.3|21.7|21.91|1062027|USD|43
2012-03-07|21.95|22.55|21.75|22.34|478901|USD|44
2012-03-08|22.52|23.63|22.52|23.55|543945|USD|45
2012-03-09|23.6|24.39|23.19|23.6|354876|USD|46
2012-03-12|23.56|23.74|22.94|23.15|281127|USD|47
2012-03-13|23.26|23.56|23.16|23.3|305302|USD|48
2012-03-14|23.3|23.34|22.65|22.69|185692|USD|49
2012-03-15|22.74|23.05|22.47|22.76|318317|USD|50
2012-03-16|22.84|23.07|22.53|23.01|458411|USD|51
2012-03-19|22.91|23.0|22.51|22.62|326673|USD|52
2012-03-20|22.5|22.7|22.1|22.44|253869|USD|53
2012-03-21|22.61|22.8|22.0|22.03|224060|USD|54
2012-03-22|21.81|22.2|21.81|22.17|213999|USD|55
2012-03-23|22.22|22.44|21.89|22.25|341607|USD|56
2012-03-26|22.56|23.32|22.41|23.1|174652|USD|57
2012-03-27|23.1|23.73|23.02|23.22|200151|USD|58
2012-03-28|23.3|23.54|23.11|23.25|207055|USD|59
2012-03-29|23.07|23.32|22.94|23.17|111776|USD|60
2012-03-30|23.4|23.4|22.68|22.71|117724|USD|61
2012-04-02|22.6|23.03|22.27|22.93|183350|USD|62
2012-04-03|22.87|22.94|22.35|22.48|148505|USD|63
2012-04-04|22.0|22.4|21.96|22.22|177994|USD|64
2012-04-05|22.15|22.49|21.94|22.09|122439|USD|65
2012-04-09|21.79|21.79|21.45|21.58|190477|USD|66
2012-04-10|21.55|21.75|21.17|21.66|225530|USD|67
2012-04-11|21.86|21.97|21.56|21.97|408403|USD|68
2012-04-12|21.92|23.2|21.9|22.94|325887|USD|69
