Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|52.24|52.73|51.2|52.41|233890|USD|0
2012-01-04|52.3|52.56|51.2|52.4|142537|USD|1
2012-01-05|52.33|53.5|51.83|52.87|98805|USD|2
2012-01-06|52.98|54.72|52.54|54.35|169989|USD|3
2012-01-09|54.56|54.57|52.77|52.85|103563|USD|4
2012-01-10|53.42|53.57|52.78|53.0|47176|USD|5
2012-01-11|52.63|53.37|52.44|52.69|67967|USD|6
2012-01-12|52.61|53.27|52.4|52.61|49064|USD|7
2012-01-13|52.4|53.02|52.17|52.49|96179|USD|8
2012-01-17|52.7|53.05|52.4|52.59|106671|USD|9
2012-01-18|52.52|52.52|51.05|51.48|124499|USD|10
2012-01-19|51.49|52.33|51.29|51.8|104685|USD|11
2012-01-20|51.88|52.44|50.93|51.99|104721|USD|12
2012-01-23|51.99|52.26|50.58|51.09|62446|USD|13
2012-01-24|51.03|51.73|50.99|51.17|177891|USD|14
2012-01-25|51.35|51.87|50.62|51.55|115136|USD|15
2012-01-26|52.22|53.57|51.14|53.31|157493|USD|16
2012-01-27|54.0|59.63|53.5|57.58|344698|USD|17
2012-01-30|56.96|58.21|56.88|57.29|139996|USD|18
2012-01-31|57.72|58.1|56.74|57.25|121661|USD|19
2012-02-01|57.45|59.33|57.4|59.27|155265|USD|20
2012-02-02|59.26|60.72|58.66|59.96|149192|USD|21
2012-02-03|60.49|61.84|60.49|61.19|73468|USD|22
2012-02-06|61.0|62.38|60.14|61.76|64780|USD|23
2012-02-07|61.35|62.64|61.3|61.61|84196|USD|24
2012-02-08|61.76|63.49|61.76|63.29|156991|USD|25
2012-02-09|63.26|63.72|61.62|61.84|45390|USD|26
2012-02-10|61.56|61.71|60.32|60.42|52358|USD|27
2012-02-13|61.0|61.77|59.99|61.32|63398|USD|28
2012-02-14|60.87|61.69|60.24|60.76|49698|USD|29
2012-02-15|60.92|61.23|59.68|60.16|56005|USD|30
2012-02-16|60.05|62.11|59.54|62.01|43212|USD|31
2012-02-17|62.2|62.2|60.67|61.24|52781|USD|32
2012-02-21|61.25|62.02|60.55|60.95|47563|USD|33
2012-02-22|61.02|61.2|60.35|61.08|40441|USD|34
2012-02-23|60.99|62.37|60.8|61.86|58510|USD|35
2012-02-24|61.89|62.33|61.59|61.96|45386|USD|36
2012-02-27|61.84|64.0|61.21|63.22|85159|USD|37
2012-02-28|63.14|63.14|61.24|61.64|113372|USD|38
2012-02-29|61.65|61.65|60.06|60.84|102361|USD|39
2012-03-01|60.87|61.33|59.79|59.84|107318|USD|40
2012-03-02|60.0|60.83|59.34|60.38|120871|USD|41
2012-03-05|60.29|61.1|59.89|60.74|75532|USD|42
2012-03-06|60.1|60.62|58.8|59.17|96270|USD|43
2012-03-07|59.22|60.75|58.85|60.19|74317|USD|44
2012-03-08|60.31|61.47|60.21|61.19|93680|USD|45
2012-03-09|60.75|62.59|60.75|62.15|43267|USD|46
2012-03-12|62.27|62.27|61.34|61.75|96702|USD|47
2012-03-13|62.19|62.2|59.85|60.62|100888|USD|48
2012-03-14|60.45|60.83|60.11|60.39|135613|USD|49
2012-03-15|62.04|62.04|60.23|61.26|72023|USD|50
2012-03-16|61.31|61.83|58.62|59.08|153011|USD|51
2012-03-19|59.19|59.46|58.42|58.47|106433|USD|52
2012-03-20|58.27|58.54|57.01|57.61|134906|USD|53
2012-03-21|57.29|59.23|56.72|58.58|168663|USD|54
2012-03-22|58.01|58.77|57.56|57.64|120232|USD|55
2012-03-23|57.8|57.82|56.58|56.72|110150|USD|56
2012-03-26|57.45|57.76|56.74|57.21|192647|USD|57
2012-03-27|57.35|58.3|56.75|57.24|106085|USD|58
2012-03-28|57.45|58.08|55.76|56.98|154337|USD|59
2012-03-29|56.56|57.47|56.31|56.71|71901|USD|60
2012-03-30|57.19|57.61|56.51|56.52|77218|USD|61
2012-04-02|56.64|57.2|56.07|57.19|88106|USD|62
2012-04-03|57.04|57.57|56.01|56.28|52214|USD|63
2012-04-04|55.77|56.0|54.33|55.3|201572|USD|64
2012-04-05|55.36|56.3|55.21|56.06|137666|USD|65
2012-04-09|55.17|56.33|54.96|55.97|75437|USD|66
2012-04-10|56.07|56.34|54.85|54.88|112331|USD|67
2012-04-11|55.63|55.99|54.98|55.83|74708|USD|68
2012-04-12|55.94|56.65|55.84|55.99|47964|USD|69
2012-04-13|55.57|56.53|54.67|54.81|69190|USD|70
2012-04-16|55.2|55.28|54.26|54.77|48047|USD|71
2012-04-17|55.02|57.24|55.02|56.14|132621|USD|72
2012-04-18|55.92|56.21|55.23|55.96|46810|USD|73
2012-04-19|55.75|56.37|54.83|55.19|57419|USD|74
2012-04-20|56.43|56.84|55.26|55.82|71872|USD|75
2012-04-23|55.1|55.57|54.45|54.98|81873|USD|76
2012-04-24|54.88|55.18|54.38|54.55|87580|USD|77
2012-04-25|55.4|55.53|54.76|54.93|64933|USD|78
2012-04-26|55.03|56.97|54.95|55.89|169248|USD|79
2012-04-27|55.5|61.9|55.5|59.73|257346|USD|80
2012-04-30|59.44|60.33|57.64|59.59|159347|USD|81
2012-05-01|59.55|60.93|59.06|59.25|65082|USD|82
2012-05-02|58.87|60.32|58.47|60.19|66108|USD|83
2012-05-03|58.47|58.95|57.82|58.71|113671|USD|84
2012-05-04|58.24|58.24|56.72|57.51|82501|USD|85
2012-05-07|57.08|58.15|56.74|57.39|106131|USD|86
2012-05-08|56.2|57.17|55.11|55.2|148284|USD|87
2012-05-09|55.19|56.83|55.19|55.77|234559|USD|88
2012-05-10|56.06|56.36|55.56|55.96|129027|USD|89
2012-05-11|55.65|57.23|55.65|57.18|67425|USD|90
2012-05-14|56.71|57.3|56.21|56.36|63654|USD|91
2012-05-15|56.38|57.57|55.93|57.1|69050|USD|92
2012-05-16|57.25|57.79|57.0|57.07|40453|USD|93
2012-05-17|57.0|58.7|55.75|55.93|78879|USD|94
2012-05-18|55.78|56.75|54.81|54.91|69150|USD|95
2012-05-21|55.1|56.22|55.04|55.62|68747|USD|96
