Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|18.5|18.5|17.67|17.98|80883|USD|0
2012-01-04|17.86|18.24|17.41|17.86|98772|USD|1
2012-01-05|17.8|18.12|17.17|18.0|68902|USD|2
2012-01-06|17.96|17.96|17.56|17.68|84428|USD|3
2012-01-09|17.77|18.18|17.77|17.98|93180|USD|4
2012-01-10|18.17|18.3|17.97|18.05|101043|USD|5
2012-01-11|18.04|18.3|17.94|18.29|145304|USD|6
2012-01-12|18.29|18.29|18.08|18.27|48513|USD|7
2012-01-13|18.08|18.26|18.05|18.19|68354|USD|8
2012-01-17|18.42|18.43|18.05|18.17|92716|USD|9
2012-01-18|18.21|18.53|18.13|18.3|138665|USD|10
2012-01-19|18.47|18.47|18.18|18.25|254773|USD|11
2012-01-20|18.21|18.31|17.88|18.31|78312|USD|12
2012-01-23|18.21|18.44|17.87|18.14|43424|USD|13
2012-01-24|18.05|18.19|17.89|18.1|38204|USD|14
2012-01-25|18.06|18.35|17.78|18.27|86886|USD|15
2012-01-26|18.31|18.31|17.82|17.98|95130|USD|16
2012-01-27|17.92|18.25|17.92|18.15|28981|USD|17
2012-01-30|18.0|18.13|17.81|18.11|43583|USD|18
2012-01-31|18.22|18.32|18.07|18.25|116224|USD|19
2012-02-01|18.33|18.33|17.99|18.25|135634|USD|20
2012-02-02|18.25|18.4|18.2|18.3|225220|USD|21
2012-02-03|18.4|18.4|18.13|18.3|160519|USD|22
2012-02-06|18.24|18.38|17.53|17.8|150309|USD|23
2012-02-07|17.8|18.21|17.71|18.02|101427|USD|24
2012-02-08|18.0|18.06|17.35|17.78|129220|USD|25
2012-02-09|18.65|18.65|17.29|17.58|1358530|USD|26
2012-02-10|17.47|18.17|17.42|18.09|403659|USD|27
2012-02-13|18.36|18.38|18.02|18.3|244136|USD|28
2012-02-14|18.37|18.64|18.06|18.35|206185|USD|29
2012-02-15|18.63|19.5|18.23|18.58|1287482|USD|30
2012-02-16|18.59|18.88|18.35|18.78|497880|USD|31
2012-02-17|18.9|19.04|18.69|19.03|357993|USD|32
2012-02-21|19.0|20.0|19.0|19.91|640536|USD|33
2012-02-22|19.75|19.81|19.36|19.61|187299|USD|34
2012-02-23|19.61|20.48|19.44|20.23|462240|USD|35
2012-02-24|20.25|20.88|20.06|20.68|318151|USD|36
2012-02-27|20.56|21.32|20.2|20.78|419313|USD|37
2012-02-28|20.76|21.0|20.51|20.67|264493|USD|38
2012-02-29|20.69|20.89|20.31|20.74|288810|USD|39
2012-03-01|20.74|21.08|20.72|20.89|139537|USD|40
2012-03-02|20.9|21.44|20.66|21.2|211161|USD|41
2012-03-05|21.04|21.2|20.74|20.86|335536|USD|42
2012-03-06|20.69|20.76|20.26|20.55|316753|USD|43
2012-03-07|20.58|20.92|20.33|20.83|114772|USD|44
2012-03-08|20.86|22.62|20.86|22.12|467335|USD|45
2012-03-09|22.25|22.47|22.0|22.13|276212|USD|46
2012-03-12|20.95|21.41|20.41|20.98|994204|USD|47
2012-03-13|20.4|20.98|20.02|20.89|1548419|USD|48
2012-03-14|20.87|20.87|20.44|20.49|261294|USD|49
2012-03-15|20.54|21.19|20.12|21.0|356212|USD|50
2012-03-16|20.97|20.97|20.27|20.46|527926|USD|51
2012-03-19|20.35|20.72|20.26|20.35|169853|USD|52
2012-03-20|20.21|20.3|20.05|20.2|179343|USD|53
2012-03-21|20.29|20.53|20.19|20.31|110024|USD|54
2012-03-22|20.25|20.36|20.17|20.32|87709|USD|55
2012-03-23|20.37|20.67|20.27|20.55|193108|USD|56
2012-03-26|22.0|22.09|21.35|21.73|549316|USD|57
2012-03-27|22.03|22.03|21.7|21.76|224731|USD|58
2012-03-28|21.9|21.9|21.49|21.62|169513|USD|59
2012-03-29|21.68|21.78|21.5|21.64|149290|USD|60
2012-03-30|21.8|22.0|21.75|21.84|209331|USD|61
2012-04-02|21.89|22.22|21.71|21.98|207988|USD|62
2012-04-03|21.92|21.98|21.45|21.62|129794|USD|63
2012-04-04|21.45|21.53|21.05|21.09|114504|USD|64
2012-04-05|21.09|21.71|21.05|21.58|127757|USD|65
2012-04-09|21.28|21.52|21.2|21.27|100863|USD|66
2012-04-10|21.29|21.4|20.45|20.45|193030|USD|67
2012-04-11|20.58|21.01|20.35|20.94|185191|USD|68
2012-04-12|20.99|21.5|20.97|21.25|93518|USD|69
2012-04-13|21.16|21.39|20.63|21.22|113257|USD|70
2012-04-16|21.33|21.37|20.77|20.89|187629|USD|71
2012-04-17|20.99|21.5|20.82|21.26|169522|USD|72
2012-04-18|21.17|21.9|21.04|21.87|229692|USD|73
2012-04-19|21.95|22.39|21.56|22.07|210428|USD|74
2012-04-20|22.26|22.6|21.81|22.23|185404|USD|75
2012-04-23|22.0|22.04|21.18|21.69|144578|USD|76
2012-04-24|20.53|21.01|20.35|20.79|415377|USD|77
2012-04-25|20.95|21.3|20.9|21.18|125517|USD|78
2012-04-26|21.13|21.59|21.05|21.35|101104|USD|79
2012-04-27|21.38|21.56|21.18|21.25|105883|USD|80
2012-04-30|21.25|21.68|20.75|20.78|161140|USD|81
2012-05-01|20.85|21.28|20.8|20.85|133268|USD|82
2012-05-02|20.82|21.12|20.79|20.95|106518|USD|83
2012-05-03|20.82|21.1|19.84|19.96|185144|USD|84
2012-05-04|19.96|19.96|19.22|19.74|213740|USD|85
2012-05-07|19.64|19.97|19.23|19.36|138941|USD|86
2012-05-08|19.21|19.5|18.58|18.68|196037|USD|87
2012-05-09|19.03|19.03|18.65|18.93|183903|USD|88
2012-05-10|19.06|19.06|18.5|18.73|95745|USD|89
2012-05-11|18.59|18.95|18.57|18.82|69821|USD|90
2012-05-14|18.69|18.92|18.26|18.31|283823|USD|91
2012-05-15|19.52|21.23|19.37|21.0|841595|USD|92
2012-05-16|21.12|21.23|20.08|20.41|258801|USD|93
2012-05-17|20.24|20.64|19.74|19.86|343108|USD|94
2012-05-18|19.83|20.25|19.42|19.61|164542|USD|95
2012-05-21|19.61|20.0|19.36|19.97|174384|USD|96
2012-05-22|19.9|20.22|19.75|19.99|187168|USD|97
2012-05-23|19.87|20.33|19.48|20.17|236020|USD|98
2012-05-24|20.13|20.42|19.86|20.15|323001|USD|99
2012-05-25|20.23|20.26|19.62|19.86|168262|USD|100
2012-05-29|20.07|20.08|19.45|19.82|181544|USD|101
2012-05-30|19.63|20.11|19.25|20.03|325434|USD|102
2012-05-31|19.96|20.13|19.55|20.05|248854|USD|103
2012-06-01|19.7|19.7|18.65|18.82|126935|USD|104
2012-06-04|18.93|19.04|18.14|18.48|150341|USD|105
2012-06-05|18.51|18.64|18.02|18.26|207289|USD|106
2012-06-06|18.32|20.44|18.2|20.19|674099|USD|107
2012-06-07|20.19|20.58|19.86|20.01|284523|USD|108
2012-06-08|19.91|20.43|19.45|20.35|136532|USD|109
2012-06-11|20.44|20.67|20.31|20.35|388009|USD|110
2012-06-12|20.38|20.38|20.1|20.16|212284|USD|111
2012-06-13|20.11|20.88|19.9|20.61|475813|USD|112
2012-06-14|20.53|21.2|20.47|21.07|182978|USD|113
2012-06-15|21.0|21.64|21.0|21.27|383987|USD|114
2012-06-18|21.15|22.51|20.94|22.01|498365|USD|115
2012-06-19|22.18|22.6|22.09|22.53|421314|USD|116
2012-06-20|22.2|22.51|21.96|22.22|175073|USD|117
2012-06-21|22.49|22.49|21.19|21.22|296824|USD|118
2012-06-22|21.36|22.05|21.13|21.91|4119037|USD|119
2012-06-25|21.7|22.09|21.36|21.89|330975|USD|120
2012-06-26|21.88|22.15|21.71|21.73|327878|USD|121
