Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|14.5|14.5|13.59|13.65|91199|USD|0
2012-01-04|13.53|13.89|13.51|13.6|38724|USD|1
2012-01-05|13.5|13.66|13.39|13.6|45448|USD|2
2012-01-06|13.53|13.93|13.53|13.61|36463|USD|3
2012-01-09|13.66|13.83|13.45|13.57|41714|USD|4
2012-01-10|13.8|14.24|13.73|14.1|56989|USD|5
2012-01-11|13.96|14.31|13.95|14.26|40952|USD|6
2012-01-12|14.31|14.39|14.09|14.39|30272|USD|7
2012-01-13|14.15|14.45|14.0|14.06|19654|USD|8
2012-01-17|14.22|14.22|13.91|14.08|24767|USD|9
2012-01-18|14.11|14.49|14.0|14.46|32029|USD|10
2012-01-19|14.5|14.5|14.22|14.46|42642|USD|11
2012-01-20|14.51|14.88|14.51|14.88|29688|USD|12
2012-01-23|14.91|15.0|14.7|14.88|39393|USD|13
2012-01-24|14.79|14.91|14.54|14.6|52707|USD|14
2012-01-25|14.6|14.6|14.41|14.55|21432|USD|15
2012-01-26|14.55|14.55|14.17|14.24|29646|USD|16
2012-01-27|14.14|14.16|13.92|14.04|61053|USD|17
2012-01-30|13.88|14.12|13.76|14.02|55948|USD|18
2012-01-31|14.11|14.72|13.94|14.44|35964|USD|19
2012-02-01|14.63|14.91|14.41|14.82|90698|USD|20
2012-02-02|14.85|15.0|14.53|14.6|56375|USD|21
2012-02-03|14.93|15.25|14.53|15.25|96432|USD|22
2012-02-06|15.12|15.32|15.07|15.22|25934|USD|23
2012-02-07|15.12|15.22|14.77|14.81|42958|USD|24
2012-02-08|14.91|15.07|14.65|15.0|34214|USD|25
2012-02-09|15.14|15.14|14.82|14.98|29825|USD|26
2012-02-10|14.79|14.79|14.36|14.46|56346|USD|27
2012-02-13|14.68|14.98|14.45|14.95|39051|USD|28
2012-02-14|14.86|15.1|14.8|15.04|18344|USD|29
2012-02-15|15.18|15.2|14.75|14.79|60278|USD|30
2012-02-16|14.92|15.21|14.76|15.0|47055|USD|31
2012-02-17|15.11|15.12|14.93|14.98|45139|USD|32
2012-02-21|14.98|14.98|13.73|14.32|179647|USD|33
2012-02-22|14.41|14.79|14.28|14.52|41072|USD|34
2012-02-23|14.53|14.97|14.48|14.9|36125|USD|35
2012-02-24|14.84|15.07|14.83|15.0|68264|USD|36
2012-02-27|14.86|14.86|14.36|14.6|61720|USD|37
2012-02-28|14.62|14.97|14.48|14.94|46931|USD|38
2012-02-29|14.97|15.0|14.51|14.71|48053|USD|39
2012-03-01|14.78|15.0|14.67|14.81|45952|USD|40
2012-03-02|14.79|14.92|14.09|14.1|38060|USD|41
2012-03-05|14.07|14.45|14.04|14.43|12429|USD|42
2012-03-06|14.19|14.38|14.1|14.28|27600|USD|43
2012-03-07|14.3|14.38|14.04|14.08|37158|USD|44
2012-03-08|14.25|14.25|13.88|13.98|97153|USD|45
2012-03-09|13.95|14.88|13.95|14.88|47394|USD|46
2012-03-12|14.89|14.95|14.7|14.93|31805|USD|47
2012-03-13|15.0|15.05|14.93|15.01|67045|USD|48
2012-03-14|14.94|15.03|14.77|14.81|15214|USD|49
2012-03-15|14.93|14.93|14.67|14.78|27396|USD|50
2012-03-16|14.75|14.92|14.75|14.84|54421|USD|51
2012-03-19|14.76|14.98|14.64|14.96|72990|USD|52
2012-03-20|14.94|14.96|14.83|14.88|23860|USD|53
2012-03-21|14.9|14.92|14.77|14.81|21513|USD|54
2012-03-22|14.61|14.84|14.61|14.84|20575|USD|55
2012-03-23|14.82|14.87|14.62|14.85|23384|USD|56
2012-03-26|15.01|15.21|14.86|15.11|58723|USD|57
2012-03-27|15.15|15.24|14.99|14.99|21883|USD|58
2012-03-28|14.97|15.08|14.8|15.03|23191|USD|59
2012-03-29|15.08|15.26|15.02|15.22|63438|USD|60
2012-03-30|15.34|15.45|15.14|15.32|68928|USD|61
2012-04-02|15.22|15.49|15.11|15.49|32426|USD|62
2012-04-03|15.41|15.53|14.7|14.74|54260|USD|63
2012-04-04|14.57|14.82|14.36|14.73|38264|USD|64
2012-04-05|14.69|14.83|14.63|14.7|10873|USD|65
2012-04-09|14.36|14.44|14.15|14.2|26064|USD|66
2012-04-10|14.2|14.23|13.66|13.67|40648|USD|67
2012-04-11|13.84|14.66|13.84|14.63|51621|USD|68
2012-04-12|14.59|15.01|14.59|14.79|24506|USD|69
2012-04-13|14.7|14.87|14.65|14.66|38481|USD|70
2012-04-16|14.7|15.1|14.62|15.03|79439|USD|71
2012-04-17|15.14|15.2|15.03|15.11|41869|USD|72
2012-04-18|14.94|15.19|14.93|15.08|67218|USD|73
2012-04-19|15.05|15.15|14.73|15.01|59732|USD|74
2012-04-20|15.43|15.43|15.04|15.17|49808|USD|75
2012-04-23|14.89|15.03|14.68|14.83|39929|USD|76
2012-04-24|14.79|14.79|14.45|14.56|42378|USD|77
2012-04-25|14.82|14.95|14.6|14.72|42261|USD|78
2012-04-26|14.76|14.86|14.61|14.77|39037|USD|79
2012-04-27|14.76|14.84|14.59|14.75|20633|USD|80
2012-04-30|14.75|14.78|14.38|14.42|30637|USD|81
2012-05-01|14.47|14.49|13.67|13.71|74283|USD|82
2012-05-02|13.6|13.96|13.47|13.77|55676|USD|83
2012-05-03|13.79|13.84|13.04|13.46|135584|USD|84
2012-05-04|13.32|13.52|13.16|13.46|48615|USD|85
2012-05-07|13.35|13.64|13.35|13.56|43152|USD|86
2012-05-08|13.4|13.8|13.4|13.75|34727|USD|87
2012-05-09|13.51|13.79|13.51|13.6|26738|USD|88
2012-05-10|13.74|13.85|13.07|13.12|33843|USD|89
2012-05-11|13.03|13.49|13.03|13.47|48293|USD|90
2012-05-14|13.24|13.48|13.24|13.37|60226|USD|91
2012-05-15|13.34|13.51|12.91|13.0|54446|USD|92
2012-05-16|13.07|13.4|12.8|12.84|91132|USD|93
2012-05-17|12.86|12.93|12.58|12.67|58390|USD|94
2012-05-18|12.6|13.0|12.38|12.44|100095|USD|95
2012-05-21|12.46|12.68|12.32|12.49|51823|USD|96
2012-05-22|12.49|12.84|12.47|12.64|63453|USD|97
2012-05-23|12.46|12.64|12.31|12.48|59389|USD|98
2012-05-24|12.55|12.55|12.18|12.29|34369|USD|99
2012-05-25|12.31|12.72|12.27|12.45|123753|USD|100
2012-05-29|12.5|12.62|12.4|12.49|35629|USD|101
2012-05-30|12.33|12.54|11.97|12.37|45031|USD|102
2012-05-31|12.43|12.51|12.17|12.17|82111|USD|103
2012-06-01|11.89|12.18|11.79|11.89|71394|USD|104
2012-06-04|11.91|12.5|11.91|12.28|73504|USD|105
2012-06-05|12.21|12.45|12.1|12.25|22996|USD|106
2012-06-06|12.34|12.71|12.34|12.71|197234|USD|107
2012-06-07|12.92|12.92|12.63|12.69|89667|USD|108
2012-06-08|12.63|13.07|12.63|12.91|31499|USD|109
2012-06-11|13.1|13.1|12.14|12.27|119976|USD|110
2012-06-12|12.36|12.86|12.35|12.83|154543|USD|111
2012-06-13|12.84|12.93|12.41|12.55|54415|USD|112
2012-06-14|12.61|12.78|12.51|12.74|44184|USD|113
2012-06-15|12.7|13.0|12.66|12.98|82328|USD|114
2012-06-18|12.88|13.09|12.7|12.76|84060|USD|115
2012-06-19|12.82|13.07|12.82|13.02|38283|USD|116
2012-06-20|12.96|13.16|12.85|13.01|20333|USD|117
2012-06-21|12.99|13.01|12.46|12.55|30392|USD|118
2012-06-22|12.59|13.01|12.59|12.97|116945|USD|119
2012-06-25|12.74|12.98|12.66|12.74|36617|USD|120
2012-06-26|12.66|13.04|12.66|12.97|14248|USD|121
2012-06-27|12.99|13.54|12.8|13.41|51430|USD|122
2012-06-28|13.28|14.44|13.23|14.13|119832|USD|123
2012-06-29|14.43|15.0|14.05|14.99|98266|USD|124
2012-07-02|15.0|15.0|14.41|14.76|52123|USD|125
2012-07-03|14.68|14.95|14.68|14.74|36221|USD|126
2012-07-05|14.65|14.68|14.18|14.22|22564|USD|127
2012-07-06|14.03|14.06|13.89|14.0|69429|USD|128
2012-07-09|13.95|14.58|13.9|14.54|30651|USD|129
2012-07-10|14.6|14.6|14.22|14.5|29125|USD|130
2012-07-11|14.61|14.95|14.45|14.92|27745|USD|131
2012-07-12|14.81|14.98|14.36|14.97|37931|USD|132
2012-07-13|14.98|15.07|14.95|15.0|37809|USD|133
2012-07-16|14.94|15.11|14.92|15.02|24571|USD|134
2012-07-17|15.11|15.11|14.82|14.91|35879|USD|135
2012-07-18|14.86|15.18|14.86|15.0|25963|USD|136
2012-07-19|15.0|15.05|14.78|14.81|20999|USD|137
2012-07-20|14.67|14.75|14.12|14.26|51677|USD|138
2012-07-23|13.94|14.28|13.71|13.96|22335|USD|139
2012-07-24|14.1|14.47|14.1|14.39|60774|USD|140
2012-07-25|14.56|14.81|14.23|14.7|59090|USD|141
2012-07-26|14.88|14.88|14.63|14.75|30834|USD|142
2012-07-27|14.84|15.1|14.41|14.99|72394|USD|143
2012-07-30|14.99|15.0|14.88|14.94|14509|USD|144
2012-07-31|14.94|15.02|14.87|14.91|52776|USD|145
2012-08-01|14.96|15.0|14.67|14.78|53791|USD|146
