Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|7.06|7.46|7.01|7.1|27395|USD|0
2012-01-04|7.15|7.15|6.75|6.95|17883|USD|1
2012-01-05|6.94|7.06|6.75|6.82|8037|USD|2
2012-01-06|6.81|6.99|6.79|6.85|32500|USD|3
2012-01-09|6.92|6.92|6.23|6.36|38881|USD|4
2012-01-10|6.45|6.7|6.4|6.57|25006|USD|5
2012-01-11|6.55|6.87|6.34|6.45|45503|USD|6
2012-01-12|6.52|6.65|6.21|6.34|30699|USD|7
2012-01-13|6.19|6.36|6.07|6.2|26726|USD|8
2012-01-17|6.38|6.38|5.99|6.18|32094|USD|9
2012-01-18|6.19|6.19|5.85|6.16|45622|USD|10
2012-01-19|6.18|6.19|6.05|6.12|26224|USD|11
2012-01-20|6.1|6.1|6.0|6.05|75007|USD|12
2012-01-23|6.02|6.25|5.29|5.8|41005|USD|13
2012-01-24|5.76|5.77|5.56|5.69|12295|USD|14
2012-01-25|5.66|5.68|5.37|5.43|39368|USD|15
2012-01-26|5.4|5.65|5.36|5.4|28902|USD|16
2012-01-27|5.37|5.45|4.97|5.22|55284|USD|17
2012-01-30|5.21|5.58|5.01|5.47|19308|USD|18
2012-01-31|5.44|5.92|5.32|5.42|21432|USD|19
2012-02-01|5.44|5.44|5.15|5.34|14896|USD|20
2012-02-02|5.34|5.37|5.08|5.11|18388|USD|21
2012-02-03|5.13|5.83|5.1|5.61|151810|USD|22
2012-02-06|5.61|5.81|5.53|5.72|29143|USD|23
2012-02-07|5.75|5.95|5.7|5.79|34139|USD|24
2012-02-08|5.74|6.49|5.7|5.81|147162|USD|25
2012-02-09|5.15|5.5|4.9|5.43|139731|USD|26
2012-02-10|5.15|5.31|5.0|5.31|62693|USD|27
2012-02-13|5.29|5.36|5.09|5.29|15230|USD|28
2012-02-14|5.26|5.44|5.19|5.35|11591|USD|29
2012-02-15|5.33|5.5|5.32|5.33|10670|USD|30
2012-02-16|5.29|5.34|5.12|5.15|12854|USD|31
2012-02-17|5.13|5.57|5.13|5.47|31783|USD|32
2012-02-21|5.52|5.65|5.33|5.34|21685|USD|33
2012-02-22|5.36|5.36|5.2|5.25|3837|USD|34
2012-02-23|5.29|5.48|5.18|5.42|18534|USD|35
2012-02-24|5.33|5.44|5.21|5.34|16450|USD|36
2012-02-27|5.29|5.39|5.12|5.26|15494|USD|37
2012-02-28|5.29|5.39|5.08|5.28|22188|USD|38
2012-02-29|5.21|5.29|5.07|5.21|11725|USD|39
2012-03-01|5.1|5.2|5.0|5.13|20671|USD|40
2012-03-02|5.1|5.21|4.87|5.21|10027|USD|41
2012-03-05|5.09|5.36|5.01|5.3|31748|USD|42
2012-03-06|5.26|5.33|5.04|5.15|18947|USD|43
2012-03-07|5.12|5.2|5.0|5.19|64151|USD|44
2012-03-08|5.15|5.25|5.09|5.15|29842|USD|45
2012-03-09|5.24|5.28|5.2|5.28|44579|USD|46
2012-03-12|5.3|5.34|5.21|5.33|14128|USD|47
2012-03-13|5.21|5.32|5.21|5.31|54891|USD|48
2012-03-14|5.27|5.35|5.16|5.34|43757|USD|49
2012-03-15|5.28|5.65|5.28|5.65|34443|USD|50
2012-03-16|5.65|6.0|5.51|6.0|50924|USD|51
2012-03-19|5.97|6.0|5.71|5.97|19088|USD|52
2012-03-20|5.99|5.99|5.44|5.85|5640|USD|53
2012-03-21|5.61|5.97|5.61|5.87|12788|USD|54
2012-03-22|5.81|5.9|5.62|5.88|4261|USD|55
2012-03-23|5.82|5.97|5.48|5.49|7373|USD|56
2012-03-26|5.55|6.0|5.55|5.98|18975|USD|57
2012-03-27|5.95|6.0|5.88|6.0|6050|USD|58
2012-03-28|6.0|6.0|5.89|6.0|11130|USD|59
2012-03-29|6.0|6.0|5.71|5.98|21154|USD|60
2012-03-30|5.95|6.0|5.73|6.0|4992|USD|61
2012-04-02|5.97|6.02|5.61|5.92|15692|USD|62
2012-04-03|5.99|5.99|5.92|5.99|6710|USD|63
2012-04-04|5.92|5.94|5.7|5.92|4035|USD|64
2012-04-05|5.81|5.85|5.75|5.77|1317|USD|65
2012-04-09|5.8|5.85|5.46|5.46|14889|USD|66
2012-04-10|5.61|5.8|5.45|5.54|16618|USD|67
2012-04-11|5.63|5.65|5.47|5.6|6000|USD|68
2012-04-12|5.68|5.7|5.53|5.69|4116|USD|69
2012-04-13|5.7|5.71|5.5|5.69|6153|USD|70
2012-04-16|5.85|5.85|5.53|5.73|4271|USD|71
2012-04-17|5.73|5.76|5.59|5.59|5802|USD|72
2012-04-18|5.6|5.93|5.6|5.9|9100|USD|73
2012-04-19|5.88|5.9|5.65|5.88|4814|USD|74
2012-04-20|5.83|5.85|5.51|5.8|9166|USD|75
2012-04-23|5.79|5.79|5.57|5.62|3690|USD|76
2012-04-24|5.71|5.95|5.71|5.92|6602|USD|77
2012-04-25|5.94|6.0|5.85|5.93|23679|USD|78
2012-04-26|5.97|6.0|5.73|5.93|3100|USD|79
2012-04-27|5.98|5.99|5.75|5.99|5425|USD|80
2012-04-30|5.9|5.99|5.83|5.98|16916|USD|81
2012-05-01|6.0|6.0|5.87|5.89|24241|USD|82
2012-05-02|5.85|5.99|5.48|5.87|13398|USD|83
2012-05-03|5.91|5.91|5.73|5.89|2220|USD|84
2012-05-04|5.9|5.9|5.56|5.8|10691|USD|85
2012-05-07|5.69|5.94|5.61|5.67|3533|USD|86
2012-05-08|5.51|5.94|5.3|5.51|22672|USD|87
2012-05-09|5.19|5.4|5.15|5.22|13677|USD|88
2012-05-10|5.25|5.36|4.85|5.03|39762|USD|89
2012-05-11|4.9|5.03|4.49|4.81|31315|USD|90
2012-05-14|4.69|4.95|4.69|4.73|2950|USD|91
2012-05-15|4.74|4.88|4.5|4.66|27328|USD|92
2012-05-16|4.62|4.63|4.02|4.45|40971|USD|93
2012-05-17|4.41|4.46|4.08|4.08|13764|USD|94
2012-05-18|4.17|4.2|3.94|3.95|54648|USD|95
2012-05-21|3.97|4.19|3.88|3.95|50278|USD|96
2012-05-22|3.92|4.0|3.68|3.81|70666|USD|97
2012-05-23|3.75|4.3|3.75|3.95|80509|USD|98
2012-05-24|4.02|4.22|3.59|3.74|105383|USD|99
2012-05-25|3.68|4.25|3.64|3.82|85143|USD|100
2012-05-29|3.78|3.86|3.59|3.85|26340|USD|101
2012-05-30|3.79|3.94|3.66|3.86|62918|USD|102
2012-05-31|3.85|3.99|3.69|3.83|95009|USD|103
2012-06-01|3.79|3.82|3.72|3.82|13724|USD|104
2012-06-04|3.75|3.75|3.55|3.55|20719|USD|105
2012-06-05|3.6|3.73|3.31|3.68|19797|USD|106
2012-06-06|3.71|3.77|3.42|3.46|32620|USD|107
2012-06-07|3.57|3.88|3.52|3.87|72207|USD|108
2012-06-08|3.87|4.21|3.75|4.0|27142|USD|109
2012-06-11|4.11|4.29|4.11|4.12|7510|USD|110
2012-06-12|4.12|4.29|4.12|4.17|8033|USD|111
2012-06-13|4.26|4.26|4.14|4.14|3715|USD|112
2012-06-14|4.14|4.27|4.14|4.19|5098|USD|113
2012-06-15|4.25|4.29|4.15|4.18|12527|USD|114
2012-06-18|4.21|4.59|4.19|4.36|17577|USD|115
2012-06-19|4.54|4.54|4.3|4.54|14683|USD|116
2012-06-20|4.5|4.74|4.32|4.43|10681|USD|117
2012-06-21|4.51|4.57|4.29|4.36|11065|USD|118
2012-06-22|4.48|4.69|4.37|4.6|39551|USD|119
2012-06-25|4.53|4.68|4.32|4.55|7998|USD|120
2012-06-26|4.48|4.69|4.32|4.69|5810|USD|121
2012-06-27|4.63|4.98|4.56|4.92|11316|USD|122
2012-06-28|4.92|5.0|4.91|4.95|5701|USD|123
2012-06-29|5.0|5.45|5.0|5.45|17978|USD|124
2012-07-02|5.45|5.45|5.13|5.4|3064|USD|125
2012-07-03|5.38|5.45|5.35|5.35|5947|USD|126
2012-07-05|5.27|5.39|5.14|5.39|6992|USD|127
2012-07-06|5.34|5.35|5.02|5.29|3399|USD|128
2012-07-09|5.05|5.31|5.05|5.3|5518|USD|129
2012-07-10|5.13|5.36|4.93|5.2|13792|USD|130
2012-07-11|4.95|4.95|4.67|4.8|15760|USD|131
2012-07-12|4.76|4.93|4.76|4.91|718|USD|132
2012-07-13|4.89|4.89|4.59|4.79|2715|USD|133
2012-07-16|4.86|4.89|4.86|4.89|346|USD|134
2012-07-17|4.87|4.87|4.68|4.8|27665|USD|135
2012-07-18|4.85|4.85|4.85|4.85|1217|USD|136
2012-07-19|4.7|4.84|4.7|4.84|628|USD|137
