Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|5.78|5.91|5.78|5.83|6257525|USD|0
2012-01-04|5.82|5.93|5.73|5.82|6340114|USD|1
2012-01-05|5.79|5.89|5.74|5.81|7185647|USD|2
2012-01-06|5.82|5.87|5.75|5.75|7013091|USD|3
2012-01-09|5.76|5.95|5.76|5.82|6278757|USD|4
2012-01-10|5.94|6.06|5.91|5.97|12031341|USD|5
2012-01-11|5.98|6.21|5.97|6.2|8055979|USD|6
2012-01-12|6.25|6.3|6.1|6.26|3062751|USD|7
2012-01-13|6.21|6.31|6.17|6.21|3091617|USD|8
2012-01-17|6.25|6.33|6.17|6.21|4390788|USD|9
2012-01-18|6.24|6.44|6.19|6.43|5663561|USD|10
2012-01-19|6.42|6.74|6.33|6.72|10471293|USD|11
2012-01-20|6.61|6.84|6.52|6.72|8898132|USD|12
2012-01-23|6.64|6.8|6.64|6.73|4210805|USD|13
2012-01-24|6.68|6.83|6.61|6.8|4940085|USD|14
2012-01-25|6.78|6.82|6.6|6.76|4509541|USD|15
2012-01-26|6.77|6.91|6.75|6.83|4477776|USD|16
2012-01-27|6.82|6.89|6.75|6.75|4735678|USD|17
2012-01-30|6.69|6.81|6.67|6.76|4775018|USD|18
2012-01-31|6.82|6.9|6.75|6.87|4208109|USD|19
2012-02-01|6.92|7.12|6.88|7.09|6357032|USD|20
2012-02-02|7.07|7.08|6.94|6.99|4152589|USD|21
2012-02-03|7.03|7.22|7.03|7.14|5231230|USD|22
2012-02-06|7.14|7.19|7.07|7.12|3357301|USD|23
2012-02-07|7.1|7.12|6.93|6.97|5043629|USD|24
2012-02-08|6.95|7.01|6.89|6.94|5955973|USD|25
2012-02-09|6.98|7.13|6.93|7.12|7310119|USD|26
2012-02-10|7.0|7.08|6.94|6.96|3746355|USD|27
2012-02-13|7.0|7.04|6.92|6.98|4956713|USD|28
2012-02-14|6.94|6.99|6.87|6.98|6244015|USD|29
2012-02-15|6.99|7.04|6.89|6.92|4559024|USD|30
2012-02-16|6.96|7.02|6.92|6.99|6524167|USD|31
2012-02-17|6.99|7.03|6.88|6.93|4700963|USD|32
2012-02-21|6.9|7.04|6.89|7.0|5085613|USD|33
2012-02-22|6.97|7.03|6.91|6.96|3733772|USD|34
2012-02-23|6.95|7.24|6.93|7.21|5831005|USD|35
2012-02-24|7.25|7.37|7.16|7.17|4044466|USD|36
2012-02-27|7.12|7.17|7.01|7.03|3393678|USD|37
2012-02-28|7.03|7.11|7.0|7.1|6021986|USD|38
2012-02-29|7.09|7.13|7.0|7.05|6863774|USD|39
2012-03-01|7.07|7.3|7.02|7.17|6832603|USD|40
2012-03-02|7.15|7.49|7.14|7.28|11720126|USD|41
2012-03-05|7.23|7.25|6.96|6.99|8013568|USD|42
2012-03-06|6.91|6.94|6.76|6.82|10847495|USD|43
2012-03-07|6.82|6.9|6.75|6.88|6692233|USD|44
2012-03-08|6.88|7.11|6.85|7.06|4901520|USD|45
2012-03-09|7.1|7.23|7.09|7.17|2791676|USD|46
2012-03-12|7.17|7.19|7.06|7.15|2086207|USD|47
2012-03-13|7.19|7.34|7.14|7.34|3175095|USD|48
2012-03-14|7.26|7.4|7.25|7.34|3049010|USD|49
2012-03-15|7.32|7.45|7.31|7.42|2445985|USD|50
2012-03-16|7.39|7.43|7.32|7.39|4235901|USD|51
2012-03-19|7.37|7.45|7.32|7.35|2214732|USD|52
2012-03-20|7.35|7.35|7.21|7.23|2313625|USD|53
2012-03-21|7.22|7.28|7.13|7.17|2870298|USD|54
2012-03-22|7.14|7.2|7.03|7.08|2831203|USD|55
2012-03-23|7.13|7.13|7.01|7.04|3109932|USD|56
2012-03-26|7.11|7.26|7.1|7.23|8362605|USD|57
2012-03-27|7.19|7.28|7.12|7.22|6642382|USD|58
2012-03-28|7.23|7.37|7.17|7.35|5638415|USD|59
2012-03-29|7.28|7.3|7.14|7.28|4166080|USD|60
2012-03-30|7.3|7.35|7.2|7.22|2796291|USD|61
2012-04-02|7.2|7.33|7.14|7.3|3677475|USD|62
2012-04-03|7.21|7.4|7.16|7.3|4336861|USD|63
2012-04-04|7.23|7.24|7.03|7.09|2716244|USD|64
2012-04-05|7.05|7.09|7.0|7.07|1908703|USD|65
2012-04-09|7.12|7.19|6.95|7.06|5212900|USD|66
2012-04-10|7.05|7.1|6.83|6.85|3020843|USD|67
2012-04-11|6.92|7.0|6.86|6.95|2241259|USD|68
2012-04-12|6.94|7.17|6.88|7.03|3321183|USD|69
2012-04-13|6.99|7.01|6.85|6.85|3388987|USD|70
2012-04-16|6.87|6.94|6.79|6.88|3137055|USD|71
2012-04-17|6.93|7.15|6.91|7.08|5071717|USD|72
2012-04-18|7.08|7.08|6.89|6.9|4095074|USD|73
2012-04-19|6.89|6.99|6.77|6.8|3736967|USD|74
2012-04-20|6.86|6.88|6.78|6.79|3410371|USD|75
2012-04-23|6.72|6.75|6.57|6.67|4937973|USD|76
2012-04-24|6.69|6.71|6.54|6.6|3996491|USD|77
2012-04-25|6.64|6.71|6.58|6.7|2654119|USD|78
2012-04-26|6.66|6.75|6.61|6.74|2663531|USD|79
2012-04-27|6.73|6.8|6.66|6.72|2709711|USD|80
2012-04-30|6.7|6.71|6.63|6.67|2194108|USD|81
2012-05-01|6.7|6.82|6.61|6.77|2851734|USD|82
2012-05-02|6.73|7.15|6.73|7.11|9182185|USD|83
2012-05-03|7.08|7.1|6.87|6.88|3961112|USD|84
2012-05-04|6.8|6.86|6.66|6.69|4323684|USD|85
2012-05-07|6.67|6.71|6.64|6.66|5531534|USD|86
2012-05-08|6.61|6.73|6.56|6.67|6026590|USD|87
2012-05-09|6.6|6.72|6.59|6.66|5662492|USD|88
2012-05-10|6.71|6.75|6.61|6.65|4721817|USD|89
2012-05-11|6.63|6.75|6.6|6.64|4047260|USD|90
2012-05-14|6.58|6.64|6.56|6.59|3936621|USD|91
2012-05-15|6.7|6.92|6.66|6.74|5914485|USD|92
