Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|20.95|21.0|18.8|19.27|2516094|USD|0
2012-01-04|19.19|19.23|18.52|18.79|1454546|USD|1
2012-01-05|18.56|18.66|17.21|17.88|2736548|USD|2
2012-01-06|17.9|17.97|17.5|17.81|1461375|USD|3
2012-01-09|17.47|18.6|17.23|18.3|1770550|USD|4
2012-01-10|18.99|19.39|18.78|19.15|1524816|USD|5
2012-01-11|18.92|19.76|18.34|19.0|1684304|USD|6
2012-01-12|18.65|19.66|18.59|19.26|1342634|USD|7
2012-01-13|19.07|19.33|18.9|19.15|856859|USD|8
2012-01-17|19.12|19.88|18.7|19.51|1721519|USD|9
2012-01-18|19.53|21.0|19.26|20.57|1851768|USD|10
2012-01-19|20.59|21.99|20.11|21.19|1602256|USD|11
2012-01-20|20.81|21.21|20.19|20.85|925032|USD|12
2012-01-23|20.6|21.36|20.4|20.76|1125200|USD|13
2012-01-24|20.47|20.91|20.27|20.6|1076745|USD|14
2012-01-25|20.35|20.57|19.7|20.08|1762867|USD|15
2012-01-26|20.04|20.26|19.45|19.53|1118714|USD|16
2012-01-27|19.4|20.24|19.38|20.04|1241373|USD|17
2012-01-30|19.92|20.44|19.5|19.63|2407308|USD|18
2012-01-31|19.7|20.42|19.57|20.39|1543169|USD|19
2012-02-01|20.5|21.66|20.0|21.49|2290408|USD|20
2012-02-02|21.69|24.22|21.2|23.08|5158292|USD|21
2012-02-03|23.49|24.75|23.15|24.43|3047955|USD|22
2012-02-06|24.15|24.9|23.37|23.51|2493751|USD|23
2012-02-07|23.33|24.35|22.12|24.19|2637915|USD|24
2012-02-08|24.64|25.84|23.65|24.58|8744971|USD|25
2012-02-09|21.83|22.47|20.1|21.17|11131692|USD|26
2012-02-10|21.14|21.39|20.54|21.03|2040588|USD|27
2012-02-13|21.0|21.07|18.93|19.45|5470731|USD|28
2012-02-14|19.02|19.86|18.9|19.35|2284161|USD|29
2012-02-15|19.4|19.83|19.25|19.51|1380797|USD|30
2012-02-16|19.81|20.47|19.33|20.3|2561257|USD|31
2012-02-17|20.31|20.51|20.1|20.26|2491624|USD|32
2012-02-21|20.53|20.63|19.69|19.84|1481679|USD|33
2012-02-22|19.61|19.87|19.35|19.41|1192094|USD|34
2012-02-23|19.6|19.7|18.8|19.39|1516245|USD|35
2012-02-24|19.37|19.8|19.25|19.5|1354829|USD|36
2012-02-27|19.24|19.73|19.21|19.49|1203731|USD|37
2012-02-28|19.6|20.5|19.49|19.87|2474292|USD|38
2012-02-29|19.95|20.18|19.59|19.71|1370877|USD|39
2012-03-01|19.75|19.89|19.29|19.51|1252171|USD|40
2012-03-02|19.57|19.88|19.12|19.2|1353733|USD|41
2012-03-05|19.12|19.21|18.0|18.13|3026770|USD|42
2012-03-06|17.84|18.54|17.5|18.33|1629550|USD|43
2012-03-07|18.38|18.58|17.3|17.32|2314270|USD|44
2012-03-08|17.55|17.6|16.25|16.98|4498326|USD|45
2012-03-09|17.03|17.58|16.77|17.06|1942447|USD|46
2012-03-12|17.13|17.44|16.69|16.74|1292978|USD|47
2012-03-13|16.73|17.23|16.4|17.05|1912443|USD|48
2012-03-14|17.12|17.37|16.66|16.88|1336235|USD|49
2012-03-15|17.01|18.32|16.71|17.84|3597360|USD|50
2012-03-16|17.84|18.08|17.59|18.02|2026720|USD|51
2012-03-19|17.88|18.32|17.66|17.82|961781|USD|52
2012-03-20|17.97|18.16|17.53|17.72|1609362|USD|53
2012-03-21|17.92|17.92|16.93|17.3|2360457|USD|54
2012-03-22|17.17|17.27|16.73|16.89|2210546|USD|55
2012-03-23|16.88|17.08|16.64|16.89|2081391|USD|56
2012-03-26|17.05|17.49|16.7|17.38|2232579|USD|57
2012-03-27|17.5|18.5|17.32|18.28|2168802|USD|58
2012-03-28|18.18|18.76|17.6|17.8|2563980|USD|59
2012-03-29|17.76|18.23|17.55|17.7|1126756|USD|60
2012-03-30|17.8|18.98|17.79|18.38|2592661|USD|61
2012-04-02|16.51|16.57|15.25|15.28|10091213|USD|62
2012-04-03|15.28|15.48|14.9|15.02|3503763|USD|63
2012-04-04|14.75|15.23|14.51|14.54|3571494|USD|64
2012-04-05|14.41|14.75|14.01|14.18|4370962|USD|65
2012-04-09|14.0|14.22|13.5|13.89|3238102|USD|66
2012-04-10|13.86|13.95|13.3|13.55|3461909|USD|67
2012-04-11|14.12|14.12|12.95|13.08|2423634|USD|68
2012-04-12|14.29|14.3|13.27|13.56|2819747|USD|69
2012-04-13|13.52|13.55|12.85|13.12|1954113|USD|70
2012-04-16|13.15|13.26|12.55|12.67|1671849|USD|71
2012-04-17|12.65|12.93|12.25|12.58|1851664|USD|72
2012-04-18|12.39|12.55|11.83|12.04|2451200|USD|73
2012-04-19|11.95|12.27|11.68|11.76|1996838|USD|74
2012-04-20|11.81|11.86|11.02|11.13|2392848|USD|75
2012-04-23|11.45|11.93|11.1|11.85|5090243|USD|76
2012-04-24|11.82|12.07|11.6|11.96|2952017|USD|77
2012-04-25|12.04|12.32|11.98|12.27|921296|USD|78
2012-04-26|12.1|12.15|11.85|11.92|1007178|USD|79
2012-04-27|12.06|12.26|11.61|11.97|1496449|USD|80
2012-04-30|11.97|11.99|10.64|10.71|2799311|USD|81
2012-05-01|11.0|11.4|10.56|10.87|5181696|USD|82
2012-05-02|10.8|11.0|10.5|10.58|3454196|USD|83
2012-05-03|10.58|10.78|9.93|10.31|4024814|USD|84
2012-05-04|10.31|10.5|9.82|9.97|2540877|USD|85
2012-05-07|10.1|10.8|10.04|10.46|2578076|USD|86
2012-05-08|10.47|10.5|10.1|10.33|1563452|USD|87
2012-05-09|10.22|10.44|10.0|10.07|1212289|USD|88
2012-05-10|10.28|10.29|9.86|9.87|1396471|USD|89
