Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|22.5|23.1|22.0|23.1|11171|USD|0
2012-01-04|23.0|23.4|22.0|22.1|11548|USD|1
2012-01-05|21.9|22.7|21.9|22.7|4398|USD|2
2012-01-06|22.6|22.8|22.2|22.2|6136|USD|3
2012-01-09|22.2|22.45|21.9|22.4|7062|USD|4
2012-01-10|22.6|22.8|22.1|22.3|8807|USD|5
2012-01-11|22.2|22.5|21.9|22.5|8257|USD|6
2012-01-12|22.5|23.3|21.8|23.2|9896|USD|7
2012-01-13|22.5|22.8|22.0|22.1|10111|USD|8
2012-01-17|22.5|22.5|21.7|22.0|11404|USD|9
2012-01-18|22.1|22.4|21.0|22.4|18619|USD|10
2012-01-19|22.4|22.6|20.0|22.3|22838|USD|11
2012-01-20|22.2|22.3|21.4|22.3|6703|USD|12
2012-01-23|22.3|22.3|21.5|22.2|6121|USD|13
2012-01-24|22.0|22.7|21.3|22.6|11180|USD|14
2012-01-25|22.5|23.4|21.7|23.2|12789|USD|15
2012-01-26|22.9|23.4|22.5|23.0|24160|USD|16
2012-01-27|22.9|23.4|22.6|23.3|11840|USD|17
2012-01-30|22.9|23.0|22.25|22.4|5955|USD|18
2012-01-31|22.4|23.05|22.2|22.8|9628|USD|19
2012-02-01|22.9|23.4|22.4|23.4|15740|USD|20
2012-02-02|23.4|23.4|23.1|23.4|15141|USD|21
2012-02-03|23.6|24.1|23.2|24.1|16361|USD|22
2012-02-06|24.0|24.1|21.5|23.8|18762|USD|23
2012-02-07|24.0|24.0|23.3|23.6|5654|USD|24
2012-02-08|23.6|24.38|23.3|23.7|13525|USD|25
2012-02-09|23.8|24.0|23.2|23.4|5001|USD|26
2012-02-10|23.0|23.6|21.6|23.1|9665|USD|27
2012-02-13|22.5|22.5|21.7|22.1|33912|USD|28
2012-02-14|21.9|22.1|21.4|22.0|31258|USD|29
2012-02-15|22.1|22.5|21.5|21.6|9891|USD|30
2012-02-16|21.7|22.3|21.6|22.2|7265|USD|31
2012-02-17|22.3|22.4|21.6|22.3|7960|USD|32
2012-02-21|22.3|22.3|21.6|21.7|4959|USD|33
2012-02-22|21.6|22.4|21.5|21.7|6812|USD|34
2012-02-23|21.7|22.1|21.7|21.8|5935|USD|35
2012-02-24|21.8|22.5|21.2|22.1|11916|USD|36
2012-02-27|22.1|23.2|22.1|22.5|23664|USD|37
2012-02-28|22.6|22.6|22.1|22.2|4699|USD|38
2012-02-29|22.3|23.18|21.65|22.2|11720|USD|39
2012-03-01|22.3|22.3|19.5|19.8|38564|USD|40
2012-03-02|20.0|20.9|19.6|19.6|17039|USD|41
2012-03-05|20.0|20.2|19.6|19.9|8629|USD|42
2012-03-06|19.7|19.7|18.2|18.4|20180|USD|43
2012-03-07|17.0|18.2|16.5|17.8|24472|USD|44
2012-03-08|18.0|18.8|17.6|18.5|9872|USD|45
2012-03-09|18.5|19.6|18.4|19.2|5752|USD|46
2012-03-12|19.1|20.0|18.9|19.2|4726|USD|47
2012-03-13|19.1|19.8|18.7|19.2|10477|USD|48
2012-03-14|19.1|19.3|18.6|18.6|6733|USD|49
2012-03-15|18.8|18.8|17.9|18.5|10943|USD|50
2012-03-16|18.6|18.6|18.0|18.4|11560|USD|51
2012-03-19|18.1|19.7|18.1|18.8|8095|USD|52
2012-03-20|18.5|18.6|17.2|17.8|25806|USD|53
2012-03-21|17.8|17.9|17.1|17.4|10565|USD|54
2012-03-22|17.1|17.5|17.0|17.4|10120|USD|55
2012-03-23|17.4|18.9|17.2|18.4|9806|USD|56
2012-03-26|18.8|20.5|18.8|20.5|23076|USD|57
2012-03-27|21.0|22.0|19.7|20.2|25757|USD|58
2012-03-28|20.3|20.3|19.5|19.7|9586|USD|59
2012-03-29|19.5|21.0|19.2|20.7|11982|USD|60
2012-03-30|21.8|21.8|20.3|20.9|10459|USD|61
2012-04-02|20.9|21.4|20.4|21.3|11294|USD|62
2012-04-03|21.2|21.4|20.6|21.0|9591|USD|63
2012-04-04|20.5|21.2|20.2|20.8|12213|USD|64
2012-04-05|20.7|21.2|20.5|21.1|5693|USD|65
2012-04-09|20.7|20.9|20.0|20.6|8912|USD|66
2012-04-10|20.5|20.5|19.1|19.2|18124|USD|67
