Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|34.44|34.49|33.68|33.84|449414|USD|0
2012-01-04|33.52|33.68|32.96|32.97|691276|USD|1
2012-01-05|32.68|33.02|32.45|32.94|619006|USD|2
2012-01-06|33.01|33.14|32.45|32.59|518117|USD|3
2012-01-09|32.64|33.0|32.11|32.76|695876|USD|4
2012-01-10|33.12|33.14|32.94|33.0|384966|USD|5
2012-01-11|32.79|33.14|32.61|33.09|406922|USD|6
2012-01-12|33.04|33.21|32.81|33.19|384502|USD|7
2012-01-13|32.78|32.95|32.4|32.79|434116|USD|8
2012-01-17|33.09|33.5|33.09|33.21|368739|USD|9
2012-01-18|33.29|33.88|33.15|33.63|382928|USD|10
2012-01-19|33.66|34.0|33.59|33.9|439115|USD|11
2012-01-20|33.8|34.0|33.66|33.92|408191|USD|12
2012-01-23|33.89|34.04|33.41|33.87|278283|USD|13
2012-01-24|33.67|34.34|33.6|34.2|235533|USD|14
2012-01-25|34.23|34.5|33.93|34.5|551816|USD|15
2012-01-26|34.66|34.67|34.22|34.41|303032|USD|16
2012-01-27|34.22|34.59|33.9|34.4|168429|USD|17
2012-01-30|34.1|34.55|33.92|34.3|394459|USD|18
2012-01-31|34.37|34.66|34.19|34.2|426913|USD|19
2012-02-01|34.21|34.59|33.77|34.54|730983|USD|20
2012-02-02|34.06|34.84|34.06|34.3|702990|USD|21
2012-02-03|34.86|35.37|34.64|35.19|458112|USD|22
2012-02-06|35.03|35.29|34.77|34.99|293780|USD|23
2012-02-07|34.84|35.07|34.79|35.02|286766|USD|24
2012-02-08|35.22|35.22|34.53|34.77|352513|USD|25
2012-02-09|34.83|35.09|34.64|34.84|321558|USD|26
2012-02-10|34.53|34.58|34.19|34.38|209851|USD|27
2012-02-13|34.76|34.76|34.1|34.71|303731|USD|28
2012-02-14|34.48|34.94|34.48|34.9|333274|USD|29
2012-02-15|35.0|35.0|34.31|34.44|409883|USD|30
2012-02-16|34.34|34.85|34.34|34.6|442277|USD|31
2012-02-17|34.67|34.67|33.82|33.91|474020|USD|32
2012-02-21|33.94|34.0|33.49|33.52|358939|USD|33
2012-02-22|33.49|33.62|33.28|33.39|409600|USD|34
2012-02-23|33.5|34.06|33.31|33.79|308570|USD|35
2012-02-24|33.81|34.09|33.44|33.62|964407|USD|36
2012-02-27|33.3|33.76|33.06|33.62|357385|USD|37
2012-02-28|33.68|33.97|33.53|33.76|328622|USD|38
2012-02-29|33.75|33.98|33.4|33.74|630592|USD|39
2012-03-01|33.76|34.08|33.68|33.7|391967|USD|40
2012-03-02|33.63|33.74|33.3|33.47|399281|USD|41
2012-03-05|33.3|33.4|33.03|33.28|412543|USD|42
2012-03-06|32.93|33.1|32.76|32.98|405480|USD|43
2012-03-07|33.01|33.55|32.89|33.55|331758|USD|44
2012-03-08|33.83|33.91|33.37|33.69|234534|USD|45
2012-03-09|33.66|34.13|33.55|33.69|459357|USD|46
2012-03-12|33.76|33.93|33.6|33.84|197370|USD|47
2012-03-13|34.13|34.51|33.82|34.5|271704|USD|48
2012-03-14|34.33|34.6|34.13|34.3|295291|USD|49
2012-03-15|34.24|34.48|34.02|34.15|439296|USD|50
2012-03-16|34.09|34.16|33.79|33.83|609030|USD|51
2012-03-19|33.75|34.31|33.6|33.93|345102|USD|52
2012-03-20|33.67|33.92|33.61|33.68|228090|USD|53
2012-03-21|33.75|34.09|33.53|34.02|299254|USD|54
2012-03-22|33.78|33.96|33.45|33.8|262371|USD|55
2012-03-23|33.77|34.0|33.55|33.93|195916|USD|56
2012-03-26|34.24|34.57|33.99|34.52|300175|USD|57
2012-03-27|34.46|34.71|34.22|34.52|300876|USD|58
2012-03-28|34.51|34.65|34.15|34.43|276909|USD|59
2012-03-29|34.32|34.47|34.04|34.22|287968|USD|60
2012-03-30|34.51|34.51|34.1|34.12|292145|USD|61
2012-04-02|34.06|34.48|33.83|34.36|278197|USD|62
2012-04-03|34.36|34.39|33.53|34.17|262293|USD|63
2012-04-04|33.81|33.86|33.51|33.78|401939|USD|64
2012-04-05|33.57|33.88|33.48|33.83|272128|USD|65
2012-04-09|33.29|33.53|33.16|33.23|690700|USD|66
2012-04-10|33.13|33.22|32.62|32.86|580292|USD|67
2012-04-11|33.16|33.39|32.9|33.33|321930|USD|68
2012-04-12|33.33|33.65|33.19|33.52|238284|USD|69
2012-04-13|33.33|33.38|32.94|32.94|247930|USD|70
2012-04-16|33.04|33.23|32.73|32.97|208668|USD|71
2012-04-17|33.09|33.76|33.05|33.63|283581|USD|72
2012-04-18|33.63|33.73|33.42|33.56|315001|USD|73
2012-04-19|33.44|33.75|32.91|33.1|260860|USD|74
2012-04-20|33.9|33.94|33.32|33.38|444391|USD|75
2012-04-23|33.05|33.25|32.73|33.16|372917|USD|76
2012-04-24|33.2|33.49|33.09|33.16|250865|USD|77
2012-04-25|33.66|34.01|33.39|33.8|330434|USD|78
2012-04-26|33.81|34.45|33.66|34.16|235712|USD|79
2012-04-27|34.37|34.46|33.91|34.34|319683|USD|80
2012-04-30|34.34|34.44|33.92|33.96|252122|USD|81
2012-05-01|33.86|34.76|33.86|34.14|337969|USD|82
2012-05-02|33.7|34.59|33.27|33.64|291652|USD|83
2012-05-03|33.65|33.93|33.15|33.18|303886|USD|84
2012-05-04|32.93|32.98|32.4|32.69|486102|USD|85
2012-05-07|32.59|32.97|32.42|32.8|271371|USD|86
2012-05-08|32.68|33.28|32.68|33.23|456957|USD|87
2012-05-09|32.98|33.28|32.8|33.07|296604|USD|88
2012-05-10|33.38|33.4|32.95|33.24|249626|USD|89
2012-05-11|33.08|33.47|32.97|33.24|261508|USD|90
2012-05-14|32.89|33.3|32.69|33.0|285775|USD|91
2012-05-15|32.93|33.29|32.89|33.11|268745|USD|92
2012-05-16|33.29|33.29|32.94|33.11|220825|USD|93
2012-05-17|33.06|33.15|32.66|32.69|421652|USD|94
2012-05-18|32.55|32.98|32.42|32.54|454967|USD|95
2012-05-21|32.66|33.08|32.17|33.06|499941|USD|96
2012-05-22|33.11|33.29|32.96|33.13|311001|USD|97
2012-05-23|32.89|33.21|32.78|33.11|532552|USD|98
2012-05-24|33.22|33.31|32.89|33.3|285398|USD|99
2012-05-25|33.38|33.49|32.95|33.13|262615|USD|100
2012-05-29|33.5|33.65|33.0|33.32|257195|USD|101
2012-05-30|32.89|33.16|32.86|33.0|276281|USD|102
2012-05-31|33.09|33.09|32.72|33.01|449962|USD|103
2012-06-01|32.48|32.84|32.4|32.48|492610|USD|104
2012-06-04|32.63|32.95|32.45|32.66|404532|USD|105
2012-06-05|32.64|32.82|32.42|32.73|477373|USD|106
2012-06-06|33.0|33.54|32.81|33.53|304883|USD|107
2012-06-07|33.97|34.11|33.66|33.95|666922|USD|108
2012-06-08|33.91|34.2|33.84|34.13|472121|USD|109
2012-06-11|34.52|34.52|33.97|34.01|667480|USD|110
2012-06-12|34.24|34.27|33.86|34.2|619187|USD|111
2012-06-13|34.23|34.3|33.87|33.92|620210|USD|112
2012-06-14|33.91|34.05|33.55|33.77|716523|USD|113
2012-06-15|33.75|34.28|33.67|34.08|1066847|USD|114
2012-06-18|33.83|34.23|33.77|33.99|870442|USD|115
2012-06-19|34.21|34.35|34.0|34.04|564929|USD|116
2012-06-20|34.0|34.1|33.8|33.99|570182|USD|117
