Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|6.08|6.2|5.95|6.14|1628878|USD|0
2012-01-04|6.1|6.14|6.02|6.02|651156|USD|1
2012-01-05|5.97|6.11|5.92|6.07|1065940|USD|2
2012-01-06|6.08|6.17|6.04|6.09|1723323|USD|3
2012-01-09|6.08|6.23|5.99|6.16|969512|USD|4
2012-01-10|6.16|6.2|6.02|6.07|1027939|USD|5
2012-01-11|6.04|6.23|6.03|6.16|1425225|USD|6
2012-01-12|6.2|6.68|6.2|6.48|5515037|USD|7
2012-01-13|6.43|6.64|6.39|6.42|2345005|USD|8
2012-01-17|6.5|6.61|6.49|6.54|1053494|USD|9
2012-01-18|6.54|6.95|6.54|6.85|2704049|USD|10
2012-01-19|6.87|7.12|6.69|6.69|3122867|USD|11
2012-01-20|6.67|6.88|6.63|6.77|1876561|USD|12
2012-01-23|6.75|6.83|6.69|6.74|1081104|USD|13
2012-01-24|6.71|6.81|6.68|6.68|1109759|USD|14
2012-01-25|6.66|6.76|6.62|6.68|1294477|USD|15
2012-01-26|6.7|6.76|6.57|6.64|2359227|USD|16
2012-01-27|6.8|7.1|6.75|6.85|5089369|USD|17
2012-01-30|6.78|6.9|6.66|6.85|2020173|USD|18
2012-01-31|6.89|6.92|6.66|6.8|2177113|USD|19
2012-02-01|6.83|7.01|6.72|6.98|2822031|USD|20
2012-02-02|6.79|6.95|6.79|6.89|1194037|USD|21
2012-02-03|7.0|7.01|6.9|7.01|2415955|USD|22
2012-02-06|6.9|7.02|6.88|6.88|1107534|USD|23
2012-02-07|6.85|6.93|6.81|6.85|798482|USD|24
2012-02-08|6.85|7.04|6.82|7.02|1044033|USD|25
2012-02-09|7.02|7.05|6.94|6.94|579396|USD|26
2012-02-10|6.87|6.92|6.76|6.81|866798|USD|27
2012-02-13|6.87|6.89|6.7|6.77|831376|USD|28
2012-02-14|6.75|6.78|6.58|6.73|936674|USD|29
2012-02-15|6.79|6.84|6.63|6.67|1149915|USD|30
2012-02-16|6.69|6.82|6.63|6.77|1169976|USD|31
2012-02-17|6.82|6.82|6.64|6.66|743231|USD|32
2012-02-21|6.68|6.75|6.51|6.54|1053091|USD|33
2012-02-22|6.54|6.62|6.49|6.55|987189|USD|34
2012-02-23|6.56|6.69|6.47|6.63|843642|USD|35
2012-02-24|6.77|6.79|6.55|6.57|1168934|USD|36
2012-02-27|6.54|6.72|6.44|6.57|1016700|USD|37
2012-02-28|6.6|6.82|6.6|6.71|1431111|USD|38
2012-02-29|6.76|6.89|6.59|6.59|2482839|USD|39
2012-03-01|6.64|6.67|6.54|6.55|962386|USD|40
2012-03-02|6.57|6.61|6.34|6.37|1761056|USD|41
2012-03-05|6.36|6.36|6.16|6.19|994326|USD|42
2012-03-06|6.09|6.16|5.96|5.98|2295747|USD|43
2012-03-07|6.02|6.12|5.98|6.0|1076971|USD|44
2012-03-08|6.07|6.42|6.0|6.32|3151841|USD|45
2012-03-09|6.31|6.36|6.21|6.26|1533327|USD|46
2012-03-12|6.18|6.27|6.09|6.13|815407|USD|47
2012-03-13|6.19|6.33|6.17|6.3|1132850|USD|48
2012-03-14|6.29|6.39|6.17|6.22|769855|USD|49
2012-03-15|6.24|6.45|6.18|6.37|1277112|USD|50
2012-03-16|6.4|6.41|6.23|6.24|1399494|USD|51
2012-03-19|6.25|6.36|6.16|6.34|1418317|USD|52
2012-03-20|6.28|6.46|6.24|6.4|922154|USD|53
2012-03-21|6.4|6.53|6.39|6.41|1028884|USD|54
2012-03-22|6.33|6.43|6.26|6.33|665569|USD|55
2012-03-23|6.35|6.42|6.28|6.41|815925|USD|56
2012-03-26|6.48|6.58|6.37|6.5|1341341|USD|57
2012-03-27|6.49|6.54|6.4|6.4|954491|USD|58
2012-03-28|6.41|6.45|6.33|6.41|1503613|USD|59
2012-03-29|6.35|6.48|6.31|6.48|1623071|USD|60
2012-03-30|6.55|6.55|6.33|6.43|1050266|USD|61
2012-04-02|6.4|6.6|6.27|6.6|1247739|USD|62
2012-04-03|6.56|6.56|6.34|6.36|1700080|USD|63
2012-04-04|6.26|6.31|6.06|6.12|1167253|USD|64
2012-04-05|6.07|6.17|6.02|6.15|806338|USD|65
2012-04-09|6.02|6.08|5.91|6.04|1077140|USD|66
2012-04-10|6.05|6.09|5.99|6.01|1677544|USD|67
2012-04-11|6.1|6.16|6.02|6.14|845966|USD|68
2012-04-12|6.15|6.55|6.1|6.48|3933732|USD|69
2012-04-13|6.43|6.43|6.23|6.27|1787518|USD|70
2012-04-16|6.28|6.34|6.2|6.21|941147|USD|71
2012-04-17|6.24|6.4|6.24|6.37|2335327|USD|72
2012-04-18|6.28|6.58|6.28|6.52|3566160|USD|73
2012-04-19|6.5|6.52|6.18|6.18|2468188|USD|74
2012-04-20|6.25|6.47|5.52|5.75|8740005|USD|75
2012-04-23|5.61|5.64|5.41|5.51|3030847|USD|76
2012-04-24|5.51|5.59|5.39|5.46|2517130|USD|77
2012-04-25|5.59|5.66|5.42|5.56|1326973|USD|78
2012-04-26|5.54|5.65|5.52|5.58|899494|USD|79
2012-04-27|5.61|5.61|5.39|5.49|2186304|USD|80
2012-04-30|5.45|5.54|5.41|5.46|1625696|USD|81
