Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|19.4|19.42|18.23|18.3|2381525|USD|0
2012-01-04|18.24|18.27|17.87|17.91|2735064|USD|1
2012-01-05|17.89|18.35|17.62|18.07|2810473|USD|2
2012-01-06|18.08|18.31|17.92|18.28|1941474|USD|3
2012-01-09|18.26|18.53|18.2|18.46|1321443|USD|4
2012-01-10|18.62|18.92|18.38|18.76|1647636|USD|5
2012-01-11|18.61|19.01|18.5|18.98|2057288|USD|6
2012-01-12|19.06|19.08|18.63|18.75|945450|USD|7
2012-01-13|18.6|18.66|18.31|18.38|2119396|USD|8
2012-01-17|18.51|18.74|18.51|18.6|755531|USD|9
2012-01-18|18.59|19.01|18.48|19.0|1068379|USD|10
2012-01-19|19.03|19.17|18.91|19.05|1053086|USD|11
2012-01-20|19.02|19.41|19.02|19.29|1694661|USD|12
2012-01-23|19.25|19.37|18.62|18.81|1255963|USD|13
2012-01-24|18.78|18.84|18.3|18.53|4422788|USD|14
2012-01-25|18.56|18.76|18.25|18.67|3141717|USD|15
2012-01-26|18.77|18.82|18.41|18.53|2657516|USD|16
2012-01-27|18.48|18.98|18.47|18.86|5000219|USD|17
2012-01-30|18.75|18.9|18.55|18.79|1967768|USD|18
2012-01-31|18.88|19.14|18.79|19.12|1647203|USD|19
2012-02-01|19.2|19.84|19.11|19.74|2327571|USD|20
2012-02-02|19.73|19.96|19.62|19.95|1315327|USD|21
2012-02-03|20.04|20.36|20.04|20.11|1065140|USD|22
2012-02-06|19.98|20.44|19.72|20.33|1112940|USD|23
2012-02-07|20.31|20.4|20.1|20.36|841103|USD|24
2012-02-08|20.84|21.5|20.74|21.26|2264941|USD|25
2012-02-09|21.25|21.39|20.59|20.62|1567761|USD|26
2012-02-10|20.49|20.49|20.18|20.28|2372592|USD|27
2012-02-13|20.43|20.71|20.39|20.45|2792907|USD|28
2012-02-14|20.51|21.11|20.39|21.06|1994342|USD|29
2012-02-15|21.15|21.31|20.94|21.28|1972799|USD|30
2012-02-16|21.37|21.66|21.23|21.47|2099564|USD|31
2012-02-17|20.24|20.5|19.5|19.54|6154818|USD|32
2012-02-21|19.46|20.1|19.17|19.65|3014154|USD|33
2012-02-22|19.65|19.81|18.83|18.89|4782560|USD|34
2012-02-23|19.12|19.7|19.03|19.52|3575929|USD|35
