Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|22.5|22.55|22.06|22.3|351130|USD|0
2012-01-04|22.31|23.6|22.13|23.17|376111|USD|1
2012-01-05|23.41|23.48|22.62|22.78|253918|USD|2
2012-01-06|23.02|23.31|22.3|22.99|178575|USD|3
2012-01-09|23.54|23.95|23.11|23.84|292051|USD|4
2012-01-10|24.24|24.75|24.2|24.58|321768|USD|5
2012-01-11|24.78|24.86|23.4|24.25|212846|USD|6
2012-01-12|24.24|24.24|23.75|23.96|151757|USD|7
2012-01-13|23.82|24.08|23.57|23.72|107441|USD|8
2012-01-17|24.25|24.25|23.28|23.68|184964|USD|9
2012-01-18|23.77|23.95|23.34|23.76|210067|USD|10
2012-01-19|23.8|24.25|22.51|23.99|370614|USD|11
2012-01-20|24.15|24.79|23.87|24.3|348023|USD|12
2012-01-23|24.47|24.5|23.9|23.98|185809|USD|13
2012-01-24|23.89|23.93|23.16|23.4|239071|USD|14
2012-01-25|23.38|23.5|23.11|23.25|215490|USD|15
2012-01-26|23.53|23.63|22.55|22.62|223852|USD|16
2012-01-27|22.49|22.5|20.98|22.35|396635|USD|17
2012-01-30|21.96|22.35|21.7|22.24|148813|USD|18
2012-01-31|22.39|22.66|21.75|21.97|152444|USD|19
2012-02-01|22.15|22.35|21.77|21.91|185163|USD|20
2012-02-02|21.82|22.31|21.65|21.7|193981|USD|21
2012-02-03|21.94|22.99|21.79|22.99|214629|USD|22
2012-02-06|22.98|23.54|22.75|23.52|173612|USD|23
2012-02-07|23.32|23.48|22.74|22.93|187683|USD|24
2012-02-08|23.06|23.62|22.64|23.49|191154|USD|25
2012-02-09|23.62|23.75|23.04|23.19|153590|USD|26
2012-02-10|22.97|23.32|22.7|22.88|100367|USD|27
2012-02-13|23.1|23.83|23.1|23.69|171112|USD|28
2012-02-14|23.69|23.69|22.94|23.26|130158|USD|29
2012-02-15|23.51|23.51|22.2|22.37|177221|USD|30
2012-02-16|22.36|22.9|22.23|22.77|98156|USD|31
2012-02-17|22.67|23.16|22.64|22.74|103403|USD|32
2012-02-21|22.98|24.62|22.98|24.61|599869|USD|33
2012-02-22|24.83|25.74|24.05|24.37|465365|USD|34
2012-02-23|24.6|25.92|24.0|25.67|309298|USD|35
2012-02-24|25.89|26.76|25.89|26.09|415061|USD|36
2012-02-27|26.19|26.19|24.67|25.75|252933|USD|37
2012-02-28|25.88|26.02|24.54|24.77|215654|USD|38
2012-02-29|24.7|24.96|23.26|23.37|387782|USD|39
2012-03-01|23.47|24.58|23.3|23.75|261608|USD|40
2012-03-02|23.68|23.68|21.54|21.89|558384|USD|41
2012-03-05|21.85|22.12|21.24|21.91|295476|USD|42
2012-03-06|21.5|21.71|20.3|20.68|301149|USD|43
2012-03-07|20.67|21.31|20.35|21.28|153009|USD|44
2012-03-08|21.52|22.0|21.5|21.78|127310|USD|45
2012-03-09|22.21|23.16|21.95|22.39|260931|USD|46
2012-03-12|22.34|22.34|21.5|21.8|141977|USD|47
2012-03-13|21.99|22.4|21.67|22.35|170286|USD|48
2012-03-14|22.33|22.44|21.85|22.0|91306|USD|49
2012-03-15|22.01|22.34|21.46|21.71|153399|USD|50
2012-03-16|21.75|21.79|20.42|21.25|481402|USD|51
2012-03-19|21.01|22.43|20.59|22.35|292592|USD|52
2012-03-20|22.2|22.33|21.73|21.9|95662|USD|53
2012-03-21|21.91|22.21|21.25|21.76|163968|USD|54
2012-03-22|21.41|21.53|20.94|21.27|168790|USD|55
2012-03-23|21.11|22.35|21.05|22.21|138999|USD|56
2012-03-26|22.57|23.08|22.35|23.02|176449|USD|57
2012-03-27|23.12|23.23|22.13|22.33|121643|USD|58
2012-03-28|22.33|22.5|21.74|22.08|127259|USD|59
2012-03-29|21.8|22.09|21.38|21.95|67251|USD|60
2012-03-30|22.15|22.62|21.95|22.46|138503|USD|61
2012-04-02|22.41|23.51|22.2|23.49|268913|USD|62
2012-04-03|23.59|24.8|23.59|24.32|690204|USD|63
2012-04-04|26.12|26.44|22.81|23.44|1741642|USD|64
2012-04-05|23.8|24.4|23.53|24.09|681653|USD|65
2012-04-09|23.51|23.83|23.11|23.4|210029|USD|66
2012-04-10|23.4|23.5|21.65|21.94|352903|USD|67
2012-04-11|22.4|23.2|22.36|22.98|329888|USD|68
2012-04-12|22.96|23.89|22.76|23.45|227047|USD|69
2012-04-13|23.39|23.69|23.07|23.14|153266|USD|70
2012-04-16|23.26|23.61|22.42|22.7|149517|USD|71
2012-04-17|22.9|23.86|22.82|23.64|194076|USD|72
2012-04-18|23.59|23.98|23.0|23.17|158049|USD|73
2012-04-19|23.13|23.37|22.35|22.64|204302|USD|74
2012-04-20|23.09|23.1|22.07|22.32|188041|USD|75
2012-04-23|22.0|22.93|21.54|22.74|193235|USD|76
2012-04-24|22.78|23.3|22.45|22.8|152491|USD|77
2012-04-25|23.12|23.41|22.87|23.33|168999|USD|78
2012-04-26|23.17|23.69|22.95|23.65|113296|USD|79
2012-04-27|23.74|23.95|23.47|23.86|167873|USD|80
2012-04-30|23.92|23.95|23.3|23.76|188472|USD|81
2012-05-01|23.83|24.68|23.52|24.52|316857|USD|82
2012-05-02|24.23|24.41|23.77|24.12|187904|USD|83
2012-05-03|23.94|24.0|22.88|23.1|216928|USD|84
2012-05-04|23.01|23.09|22.01|22.36|201547|USD|85
2012-05-07|22.14|22.41|21.35|22.02|186648|USD|86
2012-05-08|21.77|21.78|20.75|21.11|296322|USD|87
2012-05-09|20.64|21.97|20.56|21.65|272225|USD|88
2012-05-10|21.94|22.3|21.68|21.87|109335|USD|89
2012-05-11|21.66|22.11|21.14|21.35|89932|USD|90
2012-05-14|20.95|21.04|19.86|20.01|250674|USD|91
2012-05-15|19.97|20.11|19.18|19.36|214332|USD|92
2012-05-16|19.45|19.74|19.02|19.06|159220|USD|93
2012-05-17|19.19|19.3|18.57|18.57|180541|USD|94
2012-05-18|18.59|18.98|18.1|18.22|200057|USD|95
2012-05-21|18.23|18.56|17.72|18.47|193629|USD|96
2012-05-22|18.55|18.74|17.84|18.04|188280|USD|97
2012-05-23|17.77|18.92|17.4|18.84|112616|USD|98
2012-05-24|19.01|19.15|18.34|18.64|79643|USD|99
2012-05-25|18.68|18.9|18.21|18.77|81990|USD|100
2012-05-29|19.03|19.83|19.02|19.66|188483|USD|101
2012-05-30|19.31|19.31|18.53|18.75|125122|USD|102
2012-05-31|18.69|19.16|18.15|18.9|277579|USD|103
2012-06-01|18.15|18.3|17.45|17.54|212576|USD|104
2012-06-04|17.59|17.83|16.81|17.14|302060|USD|105
2012-06-05|17.02|18.32|17.02|18.31|351752|USD|106
2012-06-06|16.61|17.54|16.29|16.75|1227250|USD|107
2012-06-07|16.88|17.22|15.85|16.3|494339|USD|108
2012-06-08|16.13|16.47|16.0|16.29|391763|USD|109
2012-06-11|16.5|16.53|16.0|16.02|277392|USD|110
