Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|14.13|14.3|13.85|13.98|7046978|USD|0
2012-01-04|13.95|14.22|13.8|14.19|7097620|USD|1
2012-01-05|14.47|15.3|14.46|15.23|27001144|USD|2
2012-01-06|15.28|15.78|15.24|15.72|23179924|USD|3
2012-01-09|15.88|16.03|15.43|15.85|17819630|USD|4
2012-01-10|16.01|16.06|15.53|15.62|15533313|USD|5
2012-01-11|15.4|15.46|14.83|15.27|23509444|USD|6
2012-01-12|15.22|15.35|15.02|15.23|9840353|USD|7
2012-01-13|15.1|15.1|14.69|14.78|13651743|USD|8
2012-01-17|14.99|15.05|14.39|14.46|16915292|USD|9
2012-01-18|14.55|15.25|14.37|15.12|18902332|USD|10
2012-01-19|15.23|15.63|15.21|15.46|12597824|USD|11
2012-01-20|15.43|15.6|15.24|15.53|11168414|USD|12
2012-01-23|15.52|16.0|15.34|15.97|20124274|USD|13
2012-01-24|15.74|16.11|15.64|15.75|18576444|USD|14
2012-01-25|15.78|16.12|15.5|16.02|12865540|USD|15
2012-01-26|16.18|16.2|15.66|15.76|11323168|USD|16
2012-01-27|15.27|16.29|15.23|15.79|23460460|USD|17
2012-01-30|15.65|15.84|15.35|15.74|9781029|USD|18
2012-01-31|15.85|15.94|15.47|15.54|8793959|USD|19
2012-02-01|15.77|16.05|15.7|15.94|14224369|USD|20
2012-02-02|16.0|16.56|15.76|16.51|13309952|USD|21
2012-02-03|16.74|16.86|16.6|16.64|11676794|USD|22
2012-02-06|16.55|16.56|16.21|16.34|8077973|USD|23
2012-02-07|16.38|16.42|16.07|16.28|9217266|USD|24
2012-02-08|16.31|16.73|16.25|16.43|8984268|USD|25
2012-02-09|16.46|16.64|16.23|16.43|5808881|USD|26
2012-02-10|16.2|16.28|16.02|16.05|6191157|USD|27
2012-02-13|16.05|16.17|15.66|15.94|8576521|USD|28
2012-02-14|15.87|16.03|15.75|16.0|6805189|USD|29
2012-02-15|16.05|16.21|15.86|16.14|8026127|USD|30
2012-02-16|16.23|16.78|16.21|16.73|9003121|USD|31
2012-02-17|16.72|16.78|16.33|16.37|9627139|USD|32
2012-02-21|16.39|16.53|15.99|16.0|12798184|USD|33
2012-02-22|16.0|16.35|15.91|16.0|15894037|USD|34
2012-02-23|15.97|16.08|15.66|16.05|16049944|USD|35
2012-02-24|16.31|16.31|15.35|15.46|26893034|USD|36
2012-02-27|15.35|15.55|15.22|15.32|13641920|USD|37
2012-02-28|15.36|15.42|15.08|15.26|14525660|USD|38
2012-02-29|15.27|15.28|14.89|15.0|14473868|USD|39
2012-03-01|15.02|15.25|14.92|15.1|10878949|USD|40
2012-03-02|15.04|15.25|14.96|15.07|12991696|USD|41
2012-03-05|15.0|15.04|14.56|14.79|15285964|USD|42
2012-03-06|14.56|14.79|14.47|14.62|10650721|USD|43
2012-03-07|14.69|14.98|14.62|14.81|8150117|USD|44
2012-03-08|14.88|15.04|14.8|14.96|13081885|USD|45
2012-03-09|14.94|15.11|14.78|14.87|11425900|USD|46
2012-03-12|14.87|15.21|14.78|15.04|11592197|USD|47
2012-03-13|15.22|15.48|15.1|15.48|10555225|USD|48
2012-03-14|15.62|15.73|15.14|15.37|12974578|USD|49
2012-03-15|15.37|15.7|15.32|15.63|9896649|USD|50
