Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|6.64|6.96|6.59|6.75|42035212|USD|0
2012-01-04|6.7|7.05|6.6|6.99|43038408|USD|1
2012-01-05|6.96|7.33|6.9|7.16|53472896|USD|2
2012-01-06|7.17|7.32|7.05|7.2|33007884|USD|3
2012-01-09|7.23|7.34|7.12|7.29|28692248|USD|4
2012-01-10|7.4|7.44|7.21|7.25|26674520|USD|5
2012-01-11|7.27|7.29|7.14|7.22|20210452|USD|6
2012-01-12|7.22|7.32|7.12|7.27|30028444|USD|7
2012-01-13|7.22|7.29|7.09|7.23|29225296|USD|8
2012-01-17|7.3|7.38|7.14|7.16|30684022|USD|9
2012-01-18|7.25|7.75|7.21|7.65|48913912|USD|10
2012-01-19|7.73|7.94|7.68|7.88|43925376|USD|11
2012-01-20|7.83|7.98|7.68|7.76|38682576|USD|12
2012-01-23|7.79|8.06|7.77|7.87|33185408|USD|13
2012-01-24|7.85|7.97|7.76|7.95|29255364|USD|14
2012-01-25|8.0|8.04|7.79|7.86|30956470|USD|15
2012-01-26|7.77|7.8|7.45|7.55|42244040|USD|16
2012-01-27|7.47|7.62|7.34|7.43|29121826|USD|17
2012-01-30|7.34|7.59|7.29|7.56|21766472|USD|18
2012-01-31|7.6|7.68|7.52|7.59|21798872|USD|19
2012-02-01|7.74|7.84|7.6|7.7|26899344|USD|20
2012-02-02|7.73|7.81|7.68|7.72|20661784|USD|21
2012-02-03|7.88|7.97|7.74|7.95|15179456|USD|22
2012-02-06|7.7|7.88|7.68|7.72|32643952|USD|23
2012-02-07|7.73|7.92|7.7|7.88|20246358|USD|24
2012-02-08|7.94|8.23|7.89|8.16|42118900|USD|25
2012-02-09|8.2|8.2|7.99|8.16|27442916|USD|26
2012-02-10|8.09|8.11|7.8|7.91|26191934|USD|27
2012-02-13|8.02|8.02|7.7|7.85|24807264|USD|28
2012-02-14|7.92|8.36|7.92|8.34|41153952|USD|29
2012-02-15|8.4|8.55|8.27|8.28|33451118|USD|30
2012-02-16|8.38|8.5|8.3|8.46|18755116|USD|31
2012-02-17|8.44|8.58|8.34|8.43|18920554|USD|32
2012-02-21|8.43|8.46|8.16|8.21|18769016|USD|33
2012-02-22|8.21|8.24|8.01|8.04|19382392|USD|34
2012-02-23|8.03|8.03|7.74|7.82|31625488|USD|35
2012-02-24|7.89|8.07|7.85|7.95|17296506|USD|36
2012-02-27|8.35|8.79|8.31|8.56|59879288|USD|37
2012-02-28|8.8|9.16|8.77|8.88|71863712|USD|38
2012-02-29|9.07|9.1|8.51|8.55|48164628|USD|39
2012-03-01|8.59|8.84|8.53|8.71|33729672|USD|40
2012-03-02|8.74|8.91|8.61|8.64|24787168|USD|41
2012-03-05|8.56|8.59|8.17|8.2|30170300|USD|42
2012-03-06|7.96|8.04|7.78|8.0|37494888|USD|43
2012-03-07|8.04|8.25|7.84|8.09|32057030|USD|44
2012-03-08|8.13|8.24|8.01|8.16|18795338|USD|45
2012-03-09|8.16|8.36|8.12|8.33|25551144|USD|46
2012-03-12|8.26|8.3|8.01|8.08|19893456|USD|47
2012-03-13|8.24|8.5|8.2|8.49|31189738|USD|48
2012-03-14|8.68|8.85|8.52|8.58|34004752|USD|49
2012-03-15|8.63|8.88|8.46|8.83|34668016|USD|50
2012-03-16|8.87|8.89|8.67|8.82|33081012|USD|51
2012-03-19|8.76|8.8|8.61|8.63|26237216|USD|52
2012-03-20|8.58|8.63|8.45|8.57|18186282|USD|53
2012-03-21|8.74|8.98|8.71|8.74|30788480|USD|54
2012-03-22|8.73|8.77|8.48|8.71|33388588|USD|55
2012-03-23|8.49|8.61|8.25|8.4|47816160|USD|56
2012-03-26|8.42|8.44|8.11|8.25|35598816|USD|57
2012-03-27|8.33|8.65|8.31|8.57|39448616|USD|58
2012-03-28|8.51|8.75|8.45|8.64|35131564|USD|59
2012-03-29|8.61|8.76|8.41|8.42|45882764|USD|60
2012-03-30|8.53|8.54|8.08|8.1|50946880|USD|61
2012-04-02|8.17|8.25|7.96|8.1|27368428|USD|62
2012-04-03|8.03|8.09|7.92|7.99|26508296|USD|63
2012-04-04|7.75|7.8|7.45|7.66|52001132|USD|64
2012-04-05|7.65|7.78|7.58|7.59|19749496|USD|65
2012-04-09|7.44|7.47|7.33|7.35|17385404|USD|66
2012-04-10|7.32|7.42|7.03|7.15|23149472|USD|67
2012-04-11|7.23|7.43|7.15|7.17|22615420|USD|68
2012-04-12|7.28|7.55|7.11|7.14|57618688|USD|69
2012-04-13|7.07|7.1|6.93|6.96|97315656|USD|70
2012-04-16|7.05|7.2|6.95|7.12|56312836|USD|71
2012-04-17|7.15|7.33|7.09|7.24|40078776|USD|72
2012-04-18|7.16|7.23|7.04|7.07|28851424|USD|73
2012-04-19|7.07|7.31|6.96|7.0|31230562|USD|74
2012-04-20|6.8|6.84|6.64|6.64|50175772|USD|75
2012-04-23|6.55|6.75|6.46|6.63|35940864|USD|76
2012-04-24|6.66|6.74|6.5|6.51|28535116|USD|77
2012-04-25|6.64|6.69|6.4|6.52|31169960|USD|78
2012-04-26|6.5|6.67|6.5|6.6|24063412|USD|79
2012-04-27|6.65|6.68|6.49|6.57|23210100|USD|80
2012-04-30|6.57|6.68|6.51|6.59|19132548|USD|81
2012-05-01|6.57|6.83|6.52|6.68|29566320|USD|82
2012-05-02|6.65|6.87|6.65|6.82|28172078|USD|83
2012-05-03|6.91|6.97|6.42|6.47|34534444|USD|84
2012-05-04|6.65|6.89|6.55|6.55|34522968|USD|85
2012-05-07|6.6|6.75|6.4|6.5|36598888|USD|86
2012-05-08|6.43|6.43|6.09|6.24|35849464|USD|87
2012-05-09|6.13|6.44|6.04|6.36|36707860|USD|88
2012-05-10|6.45|6.47|6.21|6.29|25417308|USD|89
2012-05-11|6.24|6.41|6.22|6.36|18443144|USD|90
2012-05-14|6.21|6.27|6.1|6.21|30454276|USD|91
2012-05-15|6.17|6.18|5.96|6.02|44150648|USD|92
2012-05-16|6.11|6.53|6.02|6.15|54057248|USD|93
2012-05-17|6.16|6.25|5.91|5.95|32696016|USD|94
2012-05-18|6.0|6.01|5.59|5.62|33623224|USD|95
2012-05-21|5.65|5.81|5.63|5.78|27206674|USD|96
2012-05-22|5.81|5.84|5.63|5.71|25413140|USD|97
2012-05-23|5.63|5.8|5.59|5.75|25617374|USD|98
2012-05-24|5.75|5.83|5.67|5.74|22190300|USD|99
2012-05-25|5.76|6.01|5.75|5.96|21178040|USD|100
2012-05-29|6.04|6.15|6.02|6.12|20991668|USD|101
2012-05-30|6.04|6.05|5.89|5.99|25221496|USD|102
2012-05-31|5.99|5.99|5.74|5.84|30717858|USD|103
2012-06-01|5.7|5.75|5.4|5.45|30332684|USD|104
2012-06-04|5.47|5.56|5.3|5.39|18704754|USD|105
2012-06-05|5.41|5.65|5.39|5.59|31262384|USD|106
2012-06-06|5.67|5.81|5.64|5.75|35083976|USD|107
2012-06-07|5.87|5.89|5.64|5.67|33187472|USD|108
2012-06-08|5.65|5.9|5.64|5.88|19022264|USD|109
2012-06-11|5.97|6.04|5.7|5.71|21462002|USD|110
2012-06-12|5.72|5.94|5.72|5.92|21282796|USD|111
2012-06-13|5.91|5.99|5.81|5.86|31204962|USD|112
2012-06-14|5.85|5.89|5.65|5.75|32601868|USD|113
2012-06-15|5.77|5.9|5.69|5.89|27554180|USD|114
2012-06-18|5.81|6.0|5.81|5.94|19384840|USD|115
2012-06-19|6.02|6.15|5.98|6.1|22652764|USD|116
2012-06-20|6.12|6.2|6.0|6.12|30272076|USD|117
2012-06-21|5.92|5.97|5.61|5.64|51272136|USD|118
2012-06-22|5.68|5.75|5.53|5.74|33486432|USD|119
2012-06-25|5.66|5.73|5.55|5.59|19796888|USD|120
2012-06-26|5.61|5.69|5.52|5.63|17689170|USD|121
2012-06-27|5.63|5.74|5.56|5.72|13836913|USD|122
2012-06-28|5.63|5.98|5.6|5.97|34680248|USD|123
2012-06-29|6.1|6.32|6.07|6.31|32254344|USD|124
2012-07-02|6.73|6.82|6.45|6.55|51149512|USD|125
2012-07-03|6.58|6.93|6.57|6.89|46400508|USD|126
2012-07-05|6.84|6.91|6.66|6.81|21914472|USD|127
2012-07-06|6.7|6.75|6.55|6.71|22705068|USD|128
2012-07-09|6.71|6.82|6.42|6.49|19842072|USD|129
2012-07-10|6.43|6.48|6.06|6.16|36373344|USD|130
2012-07-11|6.2|6.25|6.01|6.21|33360556|USD|131
2012-07-12|6.14|6.18|5.94|6.13|38542644|USD|132
2012-07-13|6.13|6.24|6.04|6.13|25684354|USD|133
2012-07-16|6.09|6.1|5.85|6.0|27492674|USD|134
2012-07-17|6.02|6.08|5.74|5.77|35520632|USD|135
2012-07-18|5.7|5.96|5.68|5.84|24954270|USD|136
2012-07-19|5.9|6.01|5.76|5.78|23679156|USD|137
2012-07-20|5.98|6.13|5.8|5.83|44484104|USD|138
2012-07-23|5.71|5.8|5.57|5.62|42241352|USD|139
2012-07-24|5.68|5.76|5.56|5.72|32285560|USD|140
2012-07-25|5.71|5.93|5.71|5.84|27643288|USD|141
2012-07-26|5.92|6.08|5.89|5.96|22586226|USD|142
2012-07-27|6.04|6.3|5.99|6.28|23951480|USD|143
2012-07-30|6.2|6.24|6.01|6.11|27543772|USD|144
2012-07-31|6.22|6.5|6.18|6.21|51577200|USD|145
2012-08-01|6.31|6.42|6.17|6.27|23402780|USD|146
2012-08-02|6.19|6.3|6.08|6.16|17630912|USD|147
2012-08-03|6.32|6.45|6.24|6.33|22473296|USD|148
2012-08-06|6.39|6.64|6.32|6.57|26897178|USD|149
2012-08-07|6.7|6.98|6.67|6.82|43063872|USD|150
2012-08-08|6.75|6.94|6.64|6.89|31848624|USD|151
2012-08-09|6.82|6.92|6.7|6.81|20530386|USD|152
2012-08-10|6.75|6.85|6.65|6.76|22003160|USD|153
2012-08-13|6.76|6.78|6.6|6.71|15999087|USD|154
2012-08-14|6.77|6.78|6.46|6.55|27521986|USD|155
2012-08-15|6.56|6.59|6.42|6.49|34554656|USD|156
2012-08-16|6.55|6.67|6.51|6.61|15837896|USD|157
2012-08-17|6.61|6.69|6.51|6.57|14958831|USD|158
2012-08-20|6.54|6.6|6.4|6.49|16021898|USD|159
2012-08-21|6.47|6.63|6.41|6.46|24482836|USD|160
2012-08-22|6.44|6.48|6.26|6.32|26043032|USD|161
2012-08-23|6.29|6.3|6.16|6.25|18181206|USD|162
2012-08-24|6.23|6.31|6.07|6.3|19077168|USD|163
2012-08-27|6.3|6.31|6.15|6.23|13223284|USD|164
2012-08-28|6.24|6.3|6.18|6.2|14263737|USD|165
2012-08-29|6.22|6.29|6.17|6.2|16111251|USD|166
2012-08-30|6.21|6.26|6.12|6.18|18493532|USD|167
2012-08-31|6.22|6.3|6.17|6.21|20650066|USD|168
2012-09-04|6.21|6.22|6.07|6.09|18706842|USD|169
2012-09-05|6.11|6.21|6.02|6.19|29149646|USD|170
2012-09-06|6.4|6.7|6.39|6.67|45889024|USD|171
2012-09-07|6.55|6.57|6.25|6.42|63824816|USD|172
2012-09-10|6.42|6.49|6.35|6.41|21170114|USD|173
2012-09-11|6.44|6.47|6.29|6.36|29082140|USD|174
2012-09-12|6.38|6.48|6.37|6.47|16729184|USD|175
2012-09-13|6.47|6.66|6.42|6.6|30522316|USD|176
2012-09-14|6.64|6.8|6.62|6.7|20525396|USD|177
2012-09-17|6.69|6.74|6.51|6.57|20437032|USD|178
2012-09-18|6.54|6.57|6.4|6.48|18301944|USD|179
2012-09-19|6.55|6.72|6.55|6.65|24786672|USD|180
2012-09-20|6.58|6.6|6.39|6.45|37503740|USD|181
2012-09-21|6.5|6.52|6.3|6.36|26894424|USD|182
2012-09-24|6.25|6.26|6.11|6.25|38115912|USD|183
2012-09-25|6.35|6.36|6.09|6.11|36271192|USD|184
2012-09-26|6.1|6.1|5.87|5.94|33660936|USD|185
2012-09-27|6.01|6.07|5.9|6.01|38645948|USD|186
2012-09-28|6.05|6.24|5.97|5.98|41027680|USD|187
2012-10-01|6.07|6.1|5.72|5.77|40669336|USD|188
2012-10-02|5.81|5.85|5.74|5.84|20221596|USD|189
2012-10-03|5.88|5.9|5.77|5.84|14783574|USD|190
2012-10-04|5.84|5.89|5.77|5.88|14779066|USD|191
2012-10-05|5.91|6.03|5.85|5.89|17265568|USD|192
2012-10-08|5.83|5.9|5.8|5.85|11144480|USD|193
2012-10-09|5.83|5.86|5.7|5.75|16391080|USD|194
2012-10-10|5.79|5.8|5.64|5.76|16794280|USD|195
2012-10-11|5.77|5.79|5.67|5.75|23650816|USD|196
2012-10-12|5.76|5.8|5.62|5.67|20027004|USD|197
2012-10-15|5.76|5.76|5.64|5.72|15012193|USD|198
2012-10-16|5.72|5.8|5.67|5.78|16462398|USD|199
2012-10-17|5.75|5.85|5.67|5.78|16544635|USD|200
2012-10-18|5.78|5.82|5.65|5.65|16867390|USD|201
2012-10-19|5.76|5.77|5.44|5.45|23348698|USD|202
2012-10-22|5.46|5.47|5.35|5.44|26367250|USD|203
2012-10-23|5.35|5.49|5.29|5.41|36240296|USD|204
2012-10-24|5.47|5.5|5.16|5.17|35478764|USD|205
2012-10-25|5.2|5.71|5.18|5.69|46181904|USD|206
2012-10-26|5.6|5.69|5.41|5.47|28149014|USD|207
2012-10-31|5.54|5.65|5.38|5.42|18551670|USD|208
2012-11-01|5.52|5.8|5.51|5.79|20758110|USD|209
2012-11-02|5.82|5.87|5.65|5.71|24445604|USD|210
2012-11-05|5.7|5.88|5.62|5.84|20051930|USD|211
2012-11-06|5.88|6.09|5.86|6.09|46490392|USD|212
2012-11-07|5.94|6.02|5.76|5.91|39729880|USD|213
2012-11-08|5.87|5.93|5.66|5.69|30619068|USD|214
2012-11-09|5.69|5.8|5.59|5.62|22103772|USD|215
2012-11-12|5.63|5.69|5.5|5.57|19265990|USD|216
2012-11-13|5.47|5.81|5.46|5.74|29127284|USD|217
2012-11-14|5.79|5.82|5.52|5.55|21268566|USD|218
2012-11-15|5.64|5.64|5.41|5.47|19619942|USD|219
2012-11-16|5.48|5.51|5.33|5.47|25895290|USD|220
2012-11-19|5.56|5.67|5.51|5.54|28106990|USD|221
2012-11-20|5.48|5.59|5.45|5.55|17353676|USD|222
2012-11-21|5.53|5.56|5.46|5.52|17426092|USD|223
2012-11-23|5.57|5.71|5.54|5.68|13674680|USD|224
2012-11-26|5.68|5.79|5.62|5.7|29436212|USD|225
2012-11-27|5.71|5.78|5.65|5.68|34241280|USD|226
2012-11-28|5.62|5.79|5.58|5.77|24171092|USD|227
2012-11-29|5.8|5.92|5.74|5.91|25012704|USD|228
2012-11-30|5.88|5.98|5.85|5.96|20270368|USD|229
2012-12-03|6.02|6.03|5.9|5.93|15082773|USD|230
2012-12-04|6.0|6.05|5.92|6.04|20645464|USD|231
2012-12-05|6.05|6.2|6.01|6.18|18644268|USD|232
2012-12-06|6.15|6.42|6.1|6.41|30381808|USD|233
2012-12-07|6.42|6.51|6.35|6.43|22047692|USD|234
2012-12-10|6.45|6.73|6.43|6.67|32462512|USD|235
2012-12-11|6.7|6.84|6.63|6.77|24444848|USD|236
2012-12-12|6.86|6.86|6.64|6.71|28353636|USD|237
2012-12-13|6.74|6.8|6.62|6.66|24047592|USD|238
2012-12-14|6.74|6.89|6.69|6.85|23370304|USD|239
2012-12-17|6.85|6.9|6.54|6.61|34772800|USD|240
2012-12-18|6.62|6.71|6.55|6.7|28810664|USD|241
2012-12-19|6.71|6.87|6.7|6.82|25575986|USD|242
2012-12-20|6.84|6.87|6.73|6.79|19996944|USD|243
2012-12-21|6.48|6.49|6.18|6.32|58151016|USD|244
2012-12-24|6.38|6.38|6.18|6.23|6849551|USD|245
2012-12-26|6.23|6.34|6.17|6.17|10342791|USD|246
2012-12-27|6.18|6.26|6.07|6.22|18455324|USD|247
2012-12-28|6.16|6.28|6.11|6.13|15127611|USD|248
2012-12-31|6.14|6.36|6.11|6.34|18787530|USD|249
2013-01-02|6.6|6.67|6.45|6.63|29557232|USD|250
2013-01-03|6.64|6.97|6.61|6.9|39096948|USD|251
2013-01-04|6.95|6.96|6.85|6.96|18802620|USD|252
2013-01-07|7.06|7.28|7.03|7.18|31137926|USD|253
2013-01-08|7.14|7.29|7.06|7.23|30797212|USD|254
2013-01-09|7.25|7.38|7.24|7.31|20647422|USD|255
2013-01-10|7.37|7.44|7.28|7.42|18692802|USD|256
2013-01-11|7.39|7.56|7.3|7.54|25837148|USD|257
2013-01-14|7.5|7.69|7.46|7.6|31488160|USD|258
2013-01-15|7.54|7.62|7.43|7.6|20794758|USD|259
2013-01-16|7.63|7.75|7.59|7.67|18978484|USD|260
2013-01-17|7.7|7.87|7.7|7.81|28643844|USD|261
2013-01-18|7.81|7.99|7.79|7.88|33157014|USD|262
2013-01-22|7.84|7.93|7.7|7.84|23289316|USD|263
2013-01-23|7.88|7.9|7.68|7.78|23846030|USD|264
2013-01-24|7.72|7.89|7.7|7.83|18815942|USD|265
2013-01-25|7.89|8.08|7.83|7.87|30083236|USD|266
2013-01-28|7.89|7.99|7.78|7.82|20643240|USD|267
2013-01-29|7.81|7.82|7.54|7.58|35142660|USD|268
2013-01-30|7.58|7.73|7.55|7.65|21175228|USD|269
2013-01-31|7.64|7.7|7.54|7.56|25680764|USD|270
2013-02-01|7.65|7.84|7.65|7.83|18713044|USD|271
2013-02-04|7.8|8.01|7.73|7.76|27029640|USD|272
2013-02-05|7.82|7.93|7.67|7.87|21156820|USD|273
2013-02-06|7.7|8.06|7.7|7.95|46545776|USD|274
2013-02-07|7.98|8.04|7.63|7.73|58981952|USD|275
2013-02-08|7.78|7.81|7.66|7.75|24733640|USD|276
2013-02-11|7.76|7.95|7.72|7.91|20221736|USD|277
2013-02-12|7.91|7.98|7.85|7.92|19868544|USD|278
2013-02-13|7.95|7.98|7.85|7.95|15372121|USD|279
2013-02-14|7.9|8.09|7.86|8.08|24541544|USD|280
2013-02-15|8.11|8.22|7.89|7.91|40146984|USD|281
2013-02-19|7.9|8.12|7.88|8.12|24708490|USD|282
2013-02-20|8.2|8.25|7.86|7.88|32452896|USD|283
2013-02-21|7.82|7.88|7.64|7.68|37874160|USD|284
2013-02-22|7.76|8.03|7.72|8.02|28722040|USD|285
2013-02-25|8.12|8.22|7.88|7.93|36300320|USD|286
2013-02-26|7.98|8.08|7.85|7.96|25972748|USD|287
2013-02-27|7.97|8.23|7.95|8.18|21598908|USD|288
2013-02-28|8.23|8.49|8.22|8.38|44040212|USD|289
2013-03-01|8.32|8.36|8.2|8.25|19215140|USD|290
2013-03-04|8.23|8.54|8.2|8.4|40980708|USD|291
2013-03-05|8.55|8.79|8.52|8.73|36705608|USD|292
2013-03-06|8.82|8.88|8.64|8.65|19929556|USD|293
2013-03-07|8.77|8.95|8.71|8.94|26156740|USD|294
2013-03-08|9.03|9.24|8.92|9.2|34822760|USD|295
2013-03-11|9.15|9.4|9.0|9.35|43535744|USD|296
2013-03-12|9.36|9.45|9.2|9.32|35260560|USD|297
2013-03-13|9.35|9.66|9.35|9.51|41497372|USD|298
2013-03-14|9.62|9.74|9.58|9.69|25198244|USD|299
2013-03-15|9.74|9.75|9.27|9.37|43397932|USD|300
2013-03-18|9.05|9.32|8.98|9.18|29071336|USD|301
2013-03-19|9.27|9.4|9.09|9.24|26663896|USD|302
2013-03-20|9.33|9.48|9.19|9.31|31547592|USD|303
2013-03-21|9.35|9.37|9.07|9.07|39419560|USD|304
2013-03-22|9.75|10.27|9.73|10.04|99807600|USD|305
2013-03-25|10.01|10.13|9.78|9.88|39373888|USD|306
2013-03-26|9.92|10.1|9.8|9.92|29910734|USD|307
2013-03-27|9.76|10.04|9.68|9.96|27592656|USD|308
2013-03-28|10.01|10.03|9.87|9.97|21791558|USD|309
2013-04-01|9.97|9.98|9.34|9.38|44911896|USD|310
2013-04-02|9.51|9.71|9.24|9.3|36023604|USD|311
2013-04-03|9.35|9.45|9.05|9.1|31012800|USD|312
2013-04-04|9.09|9.33|9.04|9.31|30485980|USD|313
2013-04-05|9.15|9.59|9.12|9.31|41684112|USD|314
2013-04-08|9.29|9.41|9.06|9.39|27070264|USD|315
2013-04-09|9.45|9.67|9.39|9.57|21306936|USD|316
2013-04-10|9.64|10.22|9.63|10.09|49802468|USD|317
2013-04-11|9.91|10.15|9.77|9.98|28746254|USD|318
2013-04-12|9.92|10.09|9.83|10.01|19487752|USD|319
2013-04-15|9.93|9.96|9.56|9.56|28377188|USD|320
2013-04-16|9.78|9.89|9.7|9.87|28029508|USD|321
2013-04-17|9.74|9.76|9.35|9.39|37553320|USD|322
2013-04-18|9.53|9.58|9.11|9.23|34732736|USD|323
2013-04-19|9.26|9.47|9.1|9.35|32771770|USD|324
2013-04-22|9.36|9.43|9.14|9.31|25025560|USD|325
2013-04-23|9.4|9.49|9.27|9.42|24320256|USD|326
2013-04-24|9.4|9.5|9.31|9.41|21298824|USD|327
2013-04-25|9.36|9.64|9.32|9.53|28186686|USD|328
2013-04-26|9.5|9.73|9.41|9.43|20561950|USD|329
2013-04-29|9.48|9.5|9.34|9.35|17186628|USD|330
2013-04-30|9.41|9.46|9.19|9.42|27799838|USD|331
