Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|18.04|18.32|17.79|18.02|222189|USD|0
2012-01-04|17.49|17.49|16.66|16.85|685244|USD|1
2012-01-05|16.78|17.0|16.55|16.81|314082|USD|2
2012-01-06|16.77|16.96|16.66|16.73|180740|USD|3
2012-01-09|16.82|17.03|16.21|16.49|301008|USD|4
2012-01-10|16.71|16.81|16.43|16.76|327852|USD|5
2012-01-11|16.69|16.92|16.38|16.45|393273|USD|6
2012-01-12|16.51|16.58|16.36|16.5|289395|USD|7
2012-01-13|16.34|16.57|16.04|16.4|253605|USD|8
2012-01-17|15.84|16.57|15.72|16.48|439871|USD|9
2012-01-18|16.47|17.27|16.34|17.05|378905|USD|10
2012-01-19|18.99|20.29|18.38|19.92|1211641|USD|11
2012-01-20|20.0|21.55|20.0|20.8|1180446|USD|12
2012-01-23|20.56|21.28|20.44|20.51|398713|USD|13
2012-01-24|20.43|20.73|20.41|20.51|306684|USD|14
2012-01-25|20.42|20.61|20.25|20.48|226106|USD|15
2012-01-26|20.53|20.7|20.26|20.37|174786|USD|16
2012-01-27|20.21|20.87|20.21|20.48|143352|USD|17
2012-01-30|20.24|20.7|20.22|20.37|173194|USD|18
2012-01-31|20.42|20.73|20.23|20.66|342031|USD|19
2012-02-01|20.81|20.81|20.5|20.66|336257|USD|20
2012-02-02|20.71|20.85|20.5|20.66|279806|USD|21
2012-02-03|21.3|21.3|20.86|20.93|264436|USD|22
2012-02-06|20.76|21.43|20.68|21.3|229350|USD|23
2012-02-07|21.06|21.41|20.94|21.29|307824|USD|24
2012-02-08|21.28|21.73|21.27|21.53|187427|USD|25
2012-02-09|21.52|21.78|21.37|21.52|242425|USD|26
2012-02-10|21.21|21.24|20.69|21.09|274131|USD|27
2012-02-13|21.08|22.06|20.97|21.98|430213|USD|28
2012-02-14|20.62|21.14|20.22|21.12|641362|USD|29
2012-02-15|21.23|21.41|20.73|20.91|313964|USD|30
2012-02-16|20.88|21.75|20.56|21.74|314273|USD|31
2012-02-17|21.73|21.96|21.36|21.69|284551|USD|32
2012-02-21|21.65|21.83|21.33|21.51|184289|USD|33
2012-02-22|21.45|21.8|21.06|21.67|247283|USD|34
2012-02-23|21.79|22.38|21.55|22.14|211092|USD|35
2012-02-24|22.11|22.25|21.66|21.95|182060|USD|36
2012-02-27|22.3|22.49|21.9|21.9|499462|USD|37
2012-02-28|22.0|22.36|21.58|21.78|270644|USD|38
2012-02-29|21.77|22.27|21.21|21.23|346890|USD|39
2012-03-01|21.26|21.62|21.05|21.4|379253|USD|40
2012-03-02|21.37|21.49|20.86|20.98|310389|USD|41
2012-03-05|20.85|20.98|20.7|20.92|232241|USD|42
2012-03-06|20.61|20.63|20.02|20.43|357017|USD|43
2012-03-07|20.45|20.91|20.21|20.81|233671|USD|44
2012-03-08|20.92|21.16|20.7|20.96|381804|USD|45
2012-03-09|20.95|21.59|20.89|21.42|228838|USD|46
2012-03-12|21.4|21.62|21.16|21.33|149897|USD|47
2012-03-13|21.49|21.82|21.36|21.78|201167|USD|48
2012-03-14|21.69|21.91|20.92|21.01|200497|USD|49
2012-03-15|21.02|21.07|20.62|20.73|284632|USD|50
2012-03-16|20.65|20.66|19.97|20.24|816076|USD|51
2012-03-19|20.22|20.72|20.19|20.66|464009|USD|52
2012-03-20|20.4|20.85|20.34|20.67|290740|USD|53
2012-03-21|20.75|21.34|20.68|20.99|177835|USD|54
2012-03-22|20.85|21.18|20.77|20.84|155343|USD|55
2012-03-23|20.81|21.13|20.77|21.0|161542|USD|56
2012-03-26|21.24|21.77|21.24|21.55|156470|USD|57
2012-03-27|21.54|21.54|21.11|21.11|181715|USD|58
2012-03-28|21.08|21.43|20.72|20.89|202520|USD|59
2012-03-29|20.67|20.95|20.44|20.75|123351|USD|60
2012-03-30|20.98|20.98|20.26|20.34|256192|USD|61
2012-04-02|20.29|20.37|19.93|20.16|404475|USD|62
2012-04-03|20.05|20.38|19.93|20.07|218366|USD|63
2012-04-04|19.77|20.09|19.59|19.72|250343|USD|64
2012-04-05|19.58|19.9|19.44|19.83|149572|USD|65
2012-04-09|19.45|19.93|19.25|19.51|181968|USD|66
2012-04-10|19.5|19.67|19.01|19.02|176212|USD|67
2012-04-11|19.17|19.46|19.0|19.07|293134|USD|68
2012-04-12|19.06|19.35|19.05|19.28|400862|USD|69
2012-04-13|19.13|19.22|18.85|18.88|235330|USD|70
2012-04-16|19.0|19.24|18.66|19.09|181839|USD|71
2012-04-17|19.23|19.95|19.23|19.65|181223|USD|72
2012-04-18|19.47|19.51|18.94|18.95|151632|USD|73
2012-04-19|18.9|19.17|17.99|18.33|483607|USD|74
2012-04-20|18.63|18.83|18.32|18.35|307559|USD|75
2012-04-23|18.0|18.72|17.75|18.08|205315|USD|76
2012-04-24|18.04|18.46|18.01|18.22|213439|USD|77
2012-04-25|18.54|18.75|18.45|18.61|216384|USD|78
2012-04-26|18.63|21.0|18.63|20.48|844614|USD|79
2012-04-27|21.3|21.65|20.42|20.44|580421|USD|80
2012-04-30|20.5|20.82|20.39|20.69|366699|USD|81
2012-05-01|20.7|20.98|20.31|20.37|435873|USD|82
2012-05-02|20.13|20.41|19.82|20.25|292727|USD|83
2012-05-03|20.17|20.33|19.54|19.87|270608|USD|84
2012-05-04|19.69|20.01|19.25|19.5|221921|USD|85
2012-05-07|19.46|19.7|19.21|19.3|189359|USD|86
2012-05-08|19.09|19.29|18.87|19.27|225154|USD|87
2012-05-09|18.95|19.44|18.93|19.33|216843|USD|88
2012-05-10|19.42|19.53|19.01|19.24|221288|USD|89
2012-05-11|19.01|19.58|18.89|19.43|199119|USD|90
