Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|14.3|14.4|14.01|14.04|11703338|USD|0
2012-01-04|14.05|14.26|13.92|14.2|8684216|USD|1
2012-01-05|14.13|14.78|14.07|14.71|14089284|USD|2
2012-01-06|14.7|14.71|14.37|14.54|13341151|USD|3
2012-01-09|14.55|14.82|14.44|14.54|12708863|USD|4
2012-01-10|14.76|14.77|14.38|14.48|13659484|USD|5
2012-01-11|14.35|14.48|14.13|14.19|12108921|USD|6
2012-01-12|14.22|14.23|13.79|14.1|16309571|USD|7
2012-01-13|14.0|14.03|13.66|13.73|12609701|USD|8
2012-01-17|13.94|13.94|13.5|13.52|15679825|USD|9
2012-01-18|13.78|14.09|13.71|13.98|15823933|USD|10
2012-01-19|14.1|14.37|13.95|14.35|15207925|USD|11
2012-01-20|14.33|14.5|14.17|14.22|13656710|USD|12
2012-01-23|14.23|14.62|14.05|14.61|14073674|USD|13
2012-01-24|14.51|15.0|14.5|14.94|18273000|USD|14
2012-01-25|14.54|14.89|14.12|14.85|31861140|USD|15
2012-01-26|15.07|15.24|14.63|14.71|19995196|USD|16
2012-01-27|14.62|14.99|14.5|14.91|11253705|USD|17
2012-01-30|14.65|14.87|14.43|14.8|9976870|USD|18
2012-01-31|14.84|14.85|14.51|14.77|8947428|USD|19
2012-02-01|14.94|15.1|14.73|14.93|10700480|USD|20
2012-02-02|15.01|15.55|14.86|15.48|17411492|USD|21
2012-02-03|15.72|15.95|15.69|15.82|12388778|USD|22
2012-02-06|15.74|15.76|15.56|15.7|6972667|USD|23
2012-02-07|15.72|15.83|15.46|15.74|10257531|USD|24
2012-02-08|15.74|16.62|15.66|16.31|21191228|USD|25
2012-02-09|16.51|16.6|16.27|16.3|14050995|USD|26
2012-02-10|16.14|16.2|15.81|15.89|11007217|USD|27
2012-02-13|16.3|16.36|15.82|16.15|15272031|USD|28
2012-02-14|16.15|16.38|16.01|16.24|11350467|USD|29
2012-02-15|16.39|16.9|16.13|16.17|27771364|USD|30
2012-02-16|15.06|16.58|15.0|16.45|47223208|USD|31
2012-02-17|16.46|16.57|15.7|15.85|25512430|USD|32
2012-02-21|15.84|16.32|15.81|15.93|12955217|USD|33
2012-02-22|15.85|16.24|15.8|15.82|12312086|USD|34
2012-02-23|15.85|16.0|15.6|15.91|8099102|USD|35
2012-02-24|15.96|15.98|15.72|15.79|9167727|USD|36
2012-02-27|15.59|15.66|15.24|15.47|18634252|USD|37
2012-02-28|15.47|15.65|15.17|15.33|17498048|USD|38
2012-02-29|15.38|15.64|15.14|15.15|17231356|USD|39
2012-03-01|15.21|15.43|15.15|15.25|11249134|USD|40
2012-03-02|15.2|15.6|15.2|15.38|17101860|USD|41
2012-03-05|15.27|15.3|14.75|14.86|12877763|USD|42
2012-03-06|14.69|14.81|14.46|14.72|11785700|USD|43
2012-03-07|14.8|14.87|14.6|14.81|11049586|USD|44
2012-03-08|14.85|15.01|14.77|14.86|10771486|USD|45
2012-03-09|14.9|15.01|14.74|14.82|9195823|USD|46
2012-03-12|14.88|14.98|14.55|14.59|7498730|USD|47
2012-03-13|14.65|14.87|14.58|14.79|13838184|USD|48
2012-03-14|14.79|14.81|14.32|14.37|18396992|USD|49
2012-03-15|14.41|14.66|14.36|14.58|9564493|USD|50
2012-03-16|14.59|14.66|14.51|14.6|10708843|USD|51
2012-03-19|14.68|14.75|14.57|14.64|10135502|USD|52
2012-03-20|14.56|14.56|14.27|14.4|11241227|USD|53
2012-03-21|14.4|14.59|14.24|14.46|11696563|USD|54
2012-03-22|14.35|14.56|14.31|14.44|10635444|USD|55
2012-03-23|14.4|14.59|14.3|14.54|7886589|USD|56
2012-03-26|14.69|14.79|14.55|14.72|7215483|USD|57
2012-03-27|14.78|15.0|14.75|14.82|10507623|USD|58
2012-03-28|15.01|15.36|14.9|15.16|22311982|USD|59
2012-03-29|15.14|15.35|14.95|15.23|9317801|USD|60
2012-03-30|15.36|15.49|15.14|15.39|13181903|USD|61
2012-04-02|15.36|15.49|15.11|15.33|10194318|USD|62
2012-04-03|15.44|15.46|15.0|15.08|10763020|USD|63
2012-04-04|14.85|15.04|14.56|14.65|12398136|USD|64
2012-04-05|14.67|14.85|14.58|14.63|9226287|USD|65
2012-04-09|14.4|14.49|14.16|14.44|9137855|USD|66
2012-04-10|14.38|14.58|14.09|14.16|11761581|USD|67
2012-04-11|14.35|14.65|14.3|14.34|9324274|USD|68
2012-04-12|14.36|14.76|14.3|14.68|9621629|USD|69
2012-04-13|14.55|14.62|14.15|14.16|7783029|USD|70
2012-04-16|14.26|14.3|13.76|13.99|11591106|USD|71
2012-04-17|14.03|14.2|13.97|14.02|11519917|USD|72
2012-04-18|13.93|14.0|13.7|13.87|10019076|USD|73
2012-04-19|13.69|14.21|13.59|13.65|16682464|USD|74
2012-04-20|13.74|13.78|13.36|13.39|12740924|USD|75
2012-04-23|13.16|13.29|12.91|13.23|17656234|USD|76
2012-04-24|13.27|13.38|12.75|12.82|18260960|USD|77
2012-04-25|13.01|13.18|12.77|13.08|18178814|USD|78
2012-04-26|13.07|13.2|12.98|13.09|13480351|USD|79
2012-04-27|13.07|13.14|12.84|12.98|11883834|USD|80
2012-04-30|12.91|13.07|12.82|13.0|6560297|USD|81
2012-05-01|12.93|13.37|12.93|13.23|10220088|USD|82
2012-05-02|13.18|13.23|12.78|12.85|17101240|USD|83
2012-05-03|12.88|12.96|12.55|12.63|10489016|USD|84
2012-05-04|12.55|12.62|12.26|12.26|13631042|USD|85
2012-05-07|12.48|12.69|12.37|12.47|15110990|USD|86
2012-05-08|12.36|12.54|12.14|12.46|11557988|USD|87
2012-05-09|12.24|12.61|12.12|12.51|13017921|USD|88
2012-05-10|12.63|12.65|12.22|12.42|14927203|USD|89
