Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|56.05|56.5|55.53|56.22|21531|USD|0
2012-01-04|56.13|56.13|55.04|55.04|15201|USD|1
2012-01-05|55.0|55.66|54.55|55.32|10239|USD|2
2012-01-06|55.13|55.71|55.07|55.26|7605|USD|3
2012-01-09|55.22|55.37|53.77|54.24|21329|USD|4
2012-01-10|54.88|54.88|54.33|54.81|17735|USD|5
2012-01-11|54.54|55.16|53.99|54.65|19509|USD|6
2012-01-12|54.58|54.75|54.3|54.69|23797|USD|7
2012-01-13|54.11|54.85|54.11|54.49|24661|USD|8
2012-01-17|54.8|55.32|54.35|55.08|21978|USD|9
2012-01-18|54.15|55.85|54.15|55.18|43045|USD|10
2012-01-19|50.06|54.5|49.5|54.5|101084|USD|11
2012-01-20|54.17|54.46|53.61|54.46|17749|USD|12
2012-01-23|54.46|54.5|53.68|54.02|19169|USD|13
2012-01-24|53.52|54.32|53.19|54.3|11227|USD|14
2012-01-25|54.09|54.3|53.62|54.3|8927|USD|15
2012-01-26|54.28|54.43|53.82|54.16|16464|USD|16
2012-01-27|53.99|54.71|53.99|54.45|10714|USD|17
2012-01-30|54.45|55.45|54.41|54.43|18416|USD|18
2012-01-31|54.64|54.68|53.9|54.56|26510|USD|19
2012-02-01|54.76|55.44|54.32|54.91|27834|USD|20
2012-02-02|55.2|57.09|55.15|56.82|21662|USD|21
2012-02-03|57.59|58.3|57.22|57.97|20319|USD|22
2012-02-06|57.5|58.46|57.5|57.87|8938|USD|23
2012-02-07|57.71|57.91|56.77|56.79|12100|USD|24
2012-02-08|56.75|56.78|55.14|55.93|28543|USD|25
2012-02-09|56.01|56.31|55.26|55.37|6056|USD|26
2012-02-10|54.79|55.18|54.55|55.1|10775|USD|27
2012-02-13|55.4|56.49|55.4|56.49|9801|USD|28
2012-02-14|55.84|56.33|55.62|55.93|14172|USD|29
2012-02-15|56.02|56.05|55.07|55.07|7876|USD|30
2012-02-16|55.07|55.93|54.85|55.9|3997|USD|31
2012-02-17|56.13|57.03|56.03|56.17|12222|USD|32
2012-02-21|56.06|56.79|55.73|55.73|19595|USD|33
2012-02-22|55.9|55.93|54.86|54.88|9819|USD|34
2012-02-23|55.04|56.12|54.79|56.1|6582|USD|35
2012-02-24|56.13|56.4|55.55|55.82|17854|USD|36
2012-02-27|56.0|56.0|55.18|55.31|12267|USD|37
2012-02-28|55.01|55.16|54.66|55.0|5249|USD|38
2012-02-29|54.92|55.05|53.5|53.5|16788|USD|39
2012-03-01|53.76|54.2|53.22|53.29|25520|USD|40
2012-03-02|53.07|53.55|51.14|51.16|38356|USD|41
2012-03-05|50.99|51.12|50.62|50.99|9669|USD|42
2012-03-06|50.35|52.37|50.35|52.06|20263|USD|43
2012-03-07|52.48|52.8|52.1|52.78|5741|USD|44
2012-03-08|53.14|53.92|52.69|53.69|7425|USD|45
2012-03-09|53.72|54.58|53.71|54.51|7935|USD|46
2012-03-12|54.5|54.72|53.13|54.01|11788|USD|47
2012-03-13|54.45|55.5|53.98|55.5|7019|USD|48
2012-03-14|55.25|55.25|51.5|51.58|26696|USD|49
2012-03-15|51.64|52.27|51.0|52.09|14835|USD|50
