Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|10.28|10.62|10.24|10.52|137589|USD|0
2012-01-04|10.45|10.56|10.34|10.44|69322|USD|1
2012-01-05|10.36|10.73|10.29|10.6|91356|USD|2
2012-01-06|10.6|10.71|10.4|10.51|58940|USD|3
2012-01-09|10.59|10.73|10.39|10.52|127972|USD|4
2012-01-10|10.7|10.73|10.55|10.64|77807|USD|5
2012-01-11|10.58|10.77|10.49|10.77|69257|USD|6
2012-01-12|10.78|10.83|10.53|10.8|88447|USD|7
2012-01-13|10.63|10.78|10.56|10.71|81397|USD|8
2012-01-17|10.79|11.1|10.63|11.04|166115|USD|9
2012-01-18|11.04|11.51|10.97|11.51|162748|USD|10
2012-01-19|11.54|11.6|11.37|11.55|86160|USD|11
2012-01-20|11.49|11.65|11.15|11.37|132938|USD|12
2012-01-23|11.35|11.38|10.74|11.05|62422|USD|13
2012-01-24|10.95|11.24|10.86|11.02|131436|USD|14
2012-01-25|11.0|11.14|10.71|11.0|127996|USD|15
2012-01-26|11.05|11.2|10.86|11.1|189417|USD|16
2012-01-27|11.05|11.27|11.05|11.25|84613|USD|17
2012-01-30|11.11|11.28|11.05|11.12|150671|USD|18
2012-01-31|11.2|11.31|10.98|11.12|167394|USD|19
2012-02-01|11.21|11.37|11.06|11.24|151542|USD|20
2012-02-02|11.22|11.8|11.15|11.73|136888|USD|21
2012-02-03|11.99|12.31|11.71|12.15|299258|USD|22
2012-02-06|12.0|12.04|11.82|12.0|72429|USD|23
2012-02-07|12.0|12.0|11.86|11.88|56994|USD|24
2012-02-08|11.93|12.19|11.88|12.03|112572|USD|25
2012-02-09|12.09|12.09|11.84|11.92|93131|USD|26
2012-02-10|11.76|11.94|11.76|11.86|66147|USD|27
2012-02-13|11.96|12.48|11.91|12.41|133280|USD|28
2012-02-14|12.37|12.38|12.03|12.25|81879|USD|29
2012-02-15|12.37|12.38|12.04|12.13|83267|USD|30
2012-02-16|12.1|12.59|12.0|12.58|126182|USD|31
2012-02-17|12.6|12.74|12.42|12.65|106562|USD|32
2012-02-21|12.65|12.7|12.24|12.26|80122|USD|33
2012-02-22|12.24|12.27|11.8|11.8|84285|USD|34
2012-02-23|11.85|12.12|11.53|12.1|82712|USD|35
2012-02-24|12.14|12.22|11.97|12.16|59824|USD|36
2012-02-27|11.99|12.17|11.71|12.06|52782|USD|37
2012-02-28|12.06|12.18|11.91|12.13|79572|USD|38
2012-02-29|12.19|12.2|11.88|12.08|124765|USD|39
2012-03-01|12.19|12.43|11.89|12.05|250925|USD|40
2012-03-02|12.1|12.37|11.66|11.9|133960|USD|41
2012-03-05|11.84|12.04|11.84|12.04|86878|USD|42
2012-03-06|11.86|11.98|11.59|11.65|103116|USD|43
2012-03-07|11.63|12.19|11.63|12.14|135625|USD|44
2012-03-08|12.22|12.43|12.02|12.37|147753|USD|45
2012-03-09|12.34|12.8|12.24|12.4|138515|USD|46
2012-03-12|12.38|12.57|12.09|12.24|64943|USD|47
2012-03-13|12.38|12.47|12.17|12.45|77917|USD|48
2012-03-14|12.39|12.45|12.13|12.21|47223|USD|49
2012-03-15|12.26|12.31|12.12|12.25|52723|USD|50
2012-03-16|12.3|12.38|12.16|12.27|193936|USD|51
2012-03-19|12.21|12.74|12.03|12.55|107902|USD|52
2012-03-20|12.45|12.49|12.2|12.28|47283|USD|53
2012-03-21|12.35|12.43|12.26|12.27|45325|USD|54
2012-03-22|12.05|12.31|12.03|12.18|52005|USD|55
2012-03-23|12.2|12.37|11.95|12.35|78278|USD|56
2012-03-26|12.51|12.8|12.51|12.75|96491|USD|57
2012-03-27|12.7|12.7|12.25|12.27|72432|USD|58
2012-03-28|12.26|12.3|12.04|12.11|48202|USD|59
2012-03-29|12.0|12.5|12.0|12.4|67438|USD|60
2012-03-30|12.54|12.54|11.99|12.01|67604|USD|61
2012-04-02|11.91|12.22|11.81|12.2|62531|USD|62
2012-04-03|12.2|12.26|11.94|12.08|134130|USD|63
2012-04-04|11.92|12.01|11.86|11.96|95830|USD|64
2012-04-05|11.87|12.09|11.76|12.02|94797|USD|65
2012-04-09|11.71|11.97|11.68|11.7|101412|USD|66
2012-04-10|11.7|11.7|11.06|11.19|153234|USD|67
2012-04-11|11.35|11.49|11.23|11.44|93270|USD|68
2012-04-12|11.45|11.85|11.45|11.76|74676|USD|69
2012-04-13|11.67|11.67|11.34|11.44|62813|USD|70
2012-04-16|11.49|11.95|11.27|11.9|154861|USD|71
2012-04-17|12.04|12.23|11.98|12.07|70076|USD|72
2012-04-18|11.95|11.97|11.7|11.8|77740|USD|73
2012-04-19|11.85|12.11|11.85|12.05|118903|USD|74
2012-04-20|12.29|12.54|12.05|12.17|140588|USD|75
2012-04-23|11.9|12.19|11.9|12.1|132210|USD|76
2012-04-24|12.08|12.4|12.08|12.15|104121|USD|77
2012-04-25|12.38|12.48|12.12|12.25|56737|USD|78
2012-04-26|12.23|12.42|12.05|12.34|74477|USD|79
2012-04-27|12.3|12.48|12.16|12.34|91005|USD|80
2012-04-30|12.26|12.26|11.94|12.01|77996|USD|81
2012-05-01|11.99|12.2|11.98|12.0|78379|USD|82
2012-05-02|11.85|12.67|11.83|12.56|146603|USD|83
2012-05-03|12.5|12.69|12.31|12.49|192533|USD|84
2012-05-04|12.37|12.95|11.8|11.8|192055|USD|85
2012-05-07|11.77|12.05|11.75|12.01|107824|USD|86
2012-05-08|11.86|12.15|11.82|12.07|72278|USD|87
2012-05-09|11.95|12.12|11.75|12.01|96191|USD|88
2012-05-10|12.16|12.2|12.02|12.08|45873|USD|89
2012-05-11|11.93|12.2|11.85|11.98|49839|USD|90
2012-05-14|11.78|12.03|11.7|11.84|82347|USD|91
2012-05-15|11.9|12.43|11.9|12.39|90317|USD|92
2012-05-16|12.44|12.47|12.25|12.39|54283|USD|93
2012-05-17|12.38|12.4|12.19|12.19|81295|USD|94
2012-05-18|12.19|12.28|11.86|11.96|121201|USD|95
2012-05-21|12.06|12.16|11.83|12.12|67910|USD|96
2012-05-22|12.02|12.14|11.44|11.58|110367|USD|97
2012-05-23|11.41|11.71|11.08|11.66|62880|USD|98
2012-05-24|11.7|11.83|11.0|11.47|50054|USD|99
2012-05-25|11.47|11.7|11.42|11.57|62577|USD|100
2012-05-29|11.64|11.67|11.43|11.64|31575|USD|101
2012-05-30|11.52|11.55|11.23|11.5|41080|USD|102
2012-05-31|11.48|11.48|11.15|11.33|90695|USD|103
2012-06-01|11.0|11.33|10.95|11.29|75398|USD|104
2012-06-04|11.32|11.63|11.14|11.4|101973|USD|105
2012-06-05|11.37|11.47|11.06|11.15|69583|USD|106
2012-06-06|11.28|11.34|11.08|11.15|116491|USD|107
2012-06-07|11.38|11.39|10.83|10.89|155626|USD|108
2012-06-08|10.9|11.28|10.8|11.11|147106|USD|109
2012-06-11|11.22|11.28|11.07|11.12|197009|USD|110
2012-06-12|11.16|11.48|11.1|11.39|158185|USD|111
2012-06-13|11.39|11.57|11.2|11.32|115114|USD|112
2012-06-14|11.3|11.64|11.3|11.5|287560|USD|113
