Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|19.77|20.18|19.7|19.8|441167|USD|0
2012-01-04|18.6|18.99|17.01|17.69|3310235|USD|1
2012-01-05|17.62|18.35|17.38|18.1|739811|USD|2
2012-01-06|18.1|18.24|17.73|18.14|621011|USD|3
2012-01-09|18.22|18.29|17.86|18.04|450607|USD|4
2012-01-10|18.3|18.38|18.07|18.32|333748|USD|5
2012-01-11|18.17|18.51|18.17|18.46|305228|USD|6
2012-01-12|18.48|18.61|18.35|18.56|365456|USD|7
2012-01-13|18.29|18.78|18.29|18.68|380274|USD|8
2012-01-17|19.15|19.6|18.79|18.82|573011|USD|9
2012-01-18|18.84|19.24|18.8|19.23|454061|USD|10
2012-01-19|19.33|20.35|19.29|20.09|510347|USD|11
2012-01-20|20.12|20.85|19.73|20.47|550834|USD|12
2012-01-23|20.62|20.96|20.38|20.43|554931|USD|13
2012-01-24|20.65|21.59|20.6|21.5|749100|USD|14
2012-01-25|21.5|22.24|21.46|21.81|724932|USD|15
2012-01-26|21.9|22.38|21.73|22.19|667034|USD|16
2012-01-27|22.01|22.44|21.93|22.36|503370|USD|17
2012-01-30|22.49|23.48|22.44|23.36|858255|USD|18
2012-01-31|23.45|23.84|23.24|23.33|801252|USD|19
2012-02-01|23.4|23.52|22.82|23.03|866335|USD|20
2012-02-02|23.03|23.17|22.8|22.96|499639|USD|21
2012-02-03|23.45|24.0|23.36|23.75|581564|USD|22
2012-02-06|23.52|23.63|23.25|23.62|276457|USD|23
2012-02-07|23.52|23.72|23.36|23.56|244920|USD|24
2012-02-08|23.6|23.75|23.26|23.52|214862|USD|25
2012-02-09|23.52|23.71|23.31|23.66|224881|USD|26
2012-02-10|23.37|23.54|23.11|23.14|194333|USD|27
2012-02-13|23.15|23.99|22.94|23.47|244225|USD|28
2012-02-14|23.39|23.51|23.07|23.43|179782|USD|29
2012-02-15|23.54|23.65|23.05|23.45|364676|USD|30
2012-02-16|23.4|23.81|23.25|23.79|255311|USD|31
2012-02-17|23.93|23.95|23.57|23.66|208692|USD|32
2012-02-21|23.65|24.18|23.47|23.6|282230|USD|33
2012-02-22|23.48|23.76|23.24|23.24|202501|USD|34
2012-02-23|23.21|23.62|23.09|23.52|207450|USD|35
2012-02-24|23.56|23.8|23.43|23.78|169453|USD|36
2012-02-27|23.45|23.77|22.79|23.29|297001|USD|37
2012-02-28|23.37|23.42|22.83|23.23|321328|USD|38
2012-02-29|23.23|23.57|22.92|23.22|768691|USD|39
2012-03-01|23.15|23.75|23.15|23.48|316789|USD|40
2012-03-02|23.49|23.61|22.88|22.9|345360|USD|41
2012-03-05|22.84|23.12|22.57|22.7|196266|USD|42
2012-03-06|22.36|22.76|22.21|22.25|368223|USD|43
2012-03-07|22.28|22.56|22.25|22.38|291287|USD|44
2012-03-08|22.58|22.74|22.25|22.71|289696|USD|45
2012-03-09|22.69|23.46|22.68|23.43|335431|USD|46
2012-03-12|23.45|23.45|22.97|23.28|180882|USD|47
2012-03-13|23.46|23.99|23.36|23.97|302637|USD|48
2012-03-14|23.92|23.94|23.44|23.5|128482|USD|49
2012-03-15|23.52|24.11|23.4|24.09|218028|USD|50
2012-03-16|24.06|24.08|23.69|23.75|510036|USD|51
2012-03-19|23.77|24.61|23.66|24.34|311187|USD|52
2012-03-20|24.11|24.15|23.68|23.95|114867|USD|53
2012-03-21|24.02|24.35|23.8|24.07|142306|USD|54
2012-03-22|23.77|23.98|23.5|23.65|206867|USD|55
2012-03-23|23.9|24.22|23.58|24.19|327669|USD|56
2012-03-26|24.38|24.7|24.2|24.59|335963|USD|57
2012-03-27|24.52|24.76|24.37|24.4|386614|USD|58
2012-03-28|24.5|24.5|23.26|23.66|682501|USD|59
2012-03-29|23.61|23.82|23.34|23.74|772564|USD|60
2012-03-30|23.93|24.03|23.62|23.62|514130|USD|61
2012-04-02|23.51|24.16|23.51|24.13|475620|USD|62
2012-04-03|24.02|24.25|23.95|24.11|278364|USD|63
2012-04-04|23.7|23.75|23.39|23.7|280999|USD|64
2012-04-05|23.61|23.83|23.53|23.6|226442|USD|65
2012-04-09|23.15|23.24|22.9|23.06|258258|USD|66
2012-04-10|23.05|23.05|22.37|22.45|274472|USD|67
2012-04-11|22.72|22.78|22.44|22.65|280349|USD|68
2012-04-12|22.72|23.23|22.69|23.02|212788|USD|69
2012-04-13|22.87|23.17|22.69|22.69|262304|USD|70
2012-04-16|22.75|23.13|22.56|22.8|204936|USD|71
2012-04-17|23.0|23.71|23.0|23.39|171822|USD|72
2012-04-18|23.18|23.37|22.86|23.1|191476|USD|73
2012-04-19|23.03|23.34|22.42|22.6|269682|USD|74
2012-04-20|23.01|23.01|22.6|22.78|284753|USD|75
2012-04-23|22.33|22.51|22.07|22.35|285637|USD|76
2012-04-24|22.4|22.51|22.08|22.25|244588|USD|77
2012-04-25|22.64|23.84|22.64|23.47|652854|USD|78
2012-04-26|23.3|23.93|23.24|23.63|667186|USD|79
2012-04-27|23.71|23.84|23.63|23.72|602756|USD|80
2012-04-30|23.67|23.7|23.11|23.14|322671|USD|81
2012-05-01|23.18|23.31|22.76|22.77|430780|USD|82
2012-05-02|22.52|22.87|22.32|22.83|477772|USD|83
2012-05-03|22.74|22.89|22.47|22.63|318454|USD|84
2012-05-04|22.45|22.45|21.72|21.84|278055|USD|85
2012-05-07|21.65|21.73|21.44|21.49|202150|USD|86
2012-05-08|21.33|21.4|20.81|21.05|346730|USD|87
2012-05-09|20.71|21.21|20.58|21.18|548742|USD|88
2012-05-10|21.37|21.37|20.82|21.09|316644|USD|89
2012-05-11|20.87|21.2|20.8|21.02|277843|USD|90
2012-05-14|20.8|20.95|20.75|20.76|221330|USD|91
2012-05-15|20.69|20.92|20.63|20.69|205424|USD|92
2012-05-16|20.74|20.91|20.24|20.25|370659|USD|93
2012-05-17|20.25|20.32|20.02|20.05|286036|USD|94
2012-05-18|20.01|20.18|19.49|19.56|322089|USD|95
2012-05-21|19.63|20.11|19.33|20.08|353646|USD|96
2012-05-22|20.06|20.64|19.99|20.54|378182|USD|97
2012-05-23|20.27|20.67|20.0|20.49|231679|USD|98
2012-05-24|20.5|20.5|20.05|20.41|202133|USD|99
2012-05-25|20.5|20.59|20.19|20.32|228564|USD|100
2012-05-29|20.46|20.72|19.9|19.93|438437|USD|101
2012-05-30|19.66|19.66|18.91|19.23|743733|USD|102
2012-05-31|19.27|19.41|18.9|19.22|494888|USD|103
