Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|2.45|2.5|2.32|2.33|37743|USD|0
2012-01-04|2.38|2.38|2.25|2.36|137691|USD|1
2012-01-05|2.35|2.45|2.35|2.45|222165|USD|2
2012-01-06|2.48|2.48|2.36|2.38|27247|USD|3
2012-01-09|2.33|2.43|2.31|2.4|41451|USD|4
2012-01-10|2.39|2.42|2.28|2.29|95760|USD|5
2012-01-11|2.26|2.35|2.26|2.27|26578|USD|6
2012-01-12|2.25|2.3|2.24|2.26|17955|USD|7
2012-01-13|2.25|2.29|2.22|2.28|17284|USD|8
2012-01-17|2.29|2.29|2.2|2.2|15292|USD|9
2012-01-18|2.2|2.32|2.06|2.19|62838|USD|10
2012-01-19|2.32|2.32|2.11|2.16|34466|USD|11
2012-01-20|2.15|2.27|2.15|2.22|5420|USD|12
2012-01-23|2.21|2.33|2.15|2.16|23214|USD|13
2012-01-24|2.13|2.28|2.1|2.28|155011|USD|14
2012-01-25|2.24|2.29|2.18|2.25|7422|USD|15
2012-01-26|2.24|2.3|2.24|2.28|17831|USD|16
2012-01-27|2.26|2.31|2.26|2.29|6512|USD|17
2012-01-30|2.3|2.41|2.3|2.41|16779|USD|18
2012-01-31|2.3|2.39|2.19|2.3|41287|USD|19
2012-02-01|2.3|2.37|2.2|2.25|50816|USD|20
2012-02-02|2.25|2.4|2.25|2.36|46912|USD|21
2012-02-03|2.32|2.39|2.3|2.35|61284|USD|22
2012-02-06|2.39|2.4|2.3|2.35|33921|USD|23
2012-02-07|2.37|2.4|2.34|2.39|16666|USD|24
2012-02-08|2.38|2.38|2.33|2.35|31925|USD|25
2012-02-09|2.35|2.38|2.35|2.36|16030|USD|26
2012-02-10|2.37|2.38|2.36|2.36|7551|USD|27
2012-02-13|2.36|2.64|2.3|2.55|127076|USD|28
2012-02-14|2.57|2.59|2.49|2.49|33280|USD|29
2012-02-15|2.44|2.55|2.41|2.43|14810|USD|30
2012-02-16|2.4|2.5|2.39|2.47|19665|USD|31
2012-02-17|2.47|2.5|2.47|2.5|50138|USD|32
2012-02-21|2.45|2.5|2.42|2.42|17382|USD|33
2012-02-22|2.45|2.45|2.36|2.38|12756|USD|34
2012-02-23|2.35|2.48|2.33|2.38|7715|USD|35
2012-02-24|2.37|2.44|2.35|2.36|3345|USD|36
2012-02-27|2.35|2.44|2.31|2.32|14410|USD|37
2012-02-28|2.32|2.44|2.32|2.41|10530|USD|38
2012-02-29|2.43|2.43|2.38|2.38|12447|USD|39
2012-03-01|2.4|2.4|2.37|2.4|8905|USD|40
2012-03-02|2.37|2.37|2.18|2.3|41630|USD|41
2012-03-05|2.34|2.34|2.27|2.31|32944|USD|42
2012-03-06|2.32|2.35|2.27|2.29|45282|USD|43
2012-03-07|2.27|2.36|2.27|2.35|55971|USD|44
2012-03-08|2.35|2.44|2.35|2.44|22043|USD|45
2012-03-09|2.45|2.45|2.4|2.42|54043|USD|46
2012-03-12|2.39|2.46|2.39|2.42|18990|USD|47
2012-03-13|2.42|2.42|2.39|2.42|38636|USD|48
2012-03-14|2.41|2.42|2.32|2.35|24252|USD|49
2012-03-15|2.35|2.41|2.35|2.35|23802|USD|50
2012-03-16|2.4|2.4|2.33|2.4|159686|USD|51
2012-03-19|2.4|2.42|2.38|2.38|27366|USD|52
2012-03-20|2.37|2.39|2.34|2.36|38174|USD|53
2012-03-21|2.34|2.42|2.34|2.42|12396|USD|54
2012-03-22|2.41|2.41|2.39|2.41|7055|USD|55
2012-03-23|2.41|2.41|2.34|2.4|2599|USD|56
2012-03-26|2.37|2.4|2.35|2.39|1800|USD|57
2012-03-27|2.38|2.4|2.32|2.4|7634|USD|58
2012-03-28|2.38|2.38|2.3|2.35|14599|USD|59
2012-03-29|2.32|2.39|2.22|2.29|10165|USD|60
2012-03-30|2.22|2.36|2.21|2.28|14590|USD|61
2012-04-02|2.3|2.37|2.21|2.24|29336|USD|62
2012-04-03|2.29|2.6|2.28|2.52|609109|USD|63
2012-04-04|2.45|2.78|2.45|2.68|57267|USD|64
2012-04-05|2.67|2.68|2.61|2.66|30641|USD|65
