Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|12.49|12.74|12.34|12.54|66807|USD|0
2012-01-04|12.49|12.7|12.26|12.34|25444|USD|1
2012-01-05|12.25|12.25|12.14|12.2|31722|USD|2
2012-01-06|12.16|12.2|12.11|12.12|62333|USD|3
2012-01-09|12.14|12.16|12.01|12.09|75609|USD|4
2012-01-10|12.23|12.25|12.11|12.17|103491|USD|5
2012-01-11|12.17|12.23|11.94|12.06|126433|USD|6
2012-01-12|12.0|12.48|11.54|12.19|236392|USD|7
2012-01-13|12.14|12.19|11.85|12.15|102306|USD|8
2012-01-17|12.2|12.2|11.99|12.15|81273|USD|9
2012-01-18|12.12|12.32|12.1|12.2|100470|USD|10
2012-01-19|12.27|12.27|12.12|12.17|61407|USD|11
2012-01-20|12.19|12.22|12.05|12.11|28271|USD|12
2012-01-23|12.1|12.22|11.91|12.04|40749|USD|13
2012-01-24|12.04|12.17|11.97|12.13|22996|USD|14
2012-01-25|12.11|12.2|12.0|12.13|50125|USD|15
2012-01-26|12.15|12.15|11.92|12.11|47710|USD|16
2012-01-27|12.1|12.15|12.01|12.06|34477|USD|17
2012-01-30|12.02|12.04|11.91|12.0|52402|USD|18
2012-01-31|12.03|12.2|11.96|12.11|39931|USD|19
2012-02-01|12.2|12.35|12.01|12.28|70411|USD|20
2012-02-02|12.34|12.34|12.05|12.25|100433|USD|21
2012-02-03|12.39|12.65|12.29|12.62|47251|USD|22
2012-02-06|12.64|12.71|12.24|12.44|131851|USD|23
2012-02-07|12.38|12.8|12.34|12.7|30850|USD|24
2012-02-08|12.76|12.76|12.5|12.56|22092|USD|25
2012-02-09|12.55|12.62|12.44|12.44|18309|USD|26
2012-02-10|12.35|12.41|12.35|12.39|47018|USD|27
2012-02-13|12.45|12.45|12.33|12.41|32140|USD|28
2012-02-14|12.4|12.42|12.12|12.31|17626|USD|29
2012-02-15|12.23|12.29|12.14|12.17|27415|USD|30
2012-02-16|12.13|12.38|12.13|12.37|14176|USD|31
2012-02-17|12.43|12.43|12.24|12.34|16996|USD|32
2012-02-21|12.31|12.34|11.96|12.26|21060|USD|33
2012-02-22|12.29|12.29|12.17|12.25|14959|USD|34
2012-02-23|12.26|12.48|12.24|12.46|48426|USD|35
2012-02-24|12.46|12.49|12.32|12.35|19740|USD|36
2012-02-27|12.27|12.48|12.23|12.39|21243|USD|37
2012-02-28|12.42|12.49|12.24|12.31|17375|USD|38
2012-02-29|12.33|12.35|12.21|12.26|75572|USD|39
2012-03-01|12.3|12.36|12.25|12.25|48710|USD|40
2012-03-02|12.26|12.35|12.24|12.24|45515|USD|41
2012-03-05|12.17|12.27|12.15|12.22|38944|USD|42
2012-03-06|12.11|12.16|11.96|11.97|107771|USD|43
2012-03-07|12.04|12.14|11.98|12.14|30942|USD|44
2012-03-08|12.28|12.3|12.01|12.25|27999|USD|45
2012-03-09|12.21|12.35|12.2|12.26|29338|USD|46
2012-03-12|12.17|12.25|12.05|12.18|24421|USD|47
2012-03-13|12.27|12.4|12.21|12.4|18328|USD|48
2012-03-14|12.37|12.37|12.13|12.25|20151|USD|49
2012-03-15|12.29|12.29|12.12|12.25|17491|USD|50
2012-03-16|12.28|12.28|12.18|12.22|39222|USD|51
2012-03-19|12.18|12.61|12.15|12.3|41763|USD|52
2012-03-20|12.19|12.4|12.15|12.18|23461|USD|53
2012-03-21|12.2|12.3|12.17|12.18|18430|USD|54
2012-03-22|12.08|12.13|12.05|12.08|24898|USD|55
2012-03-23|12.09|12.14|11.95|12.09|42153|USD|56
2012-03-26|12.16|12.2|11.92|12.03|52094|USD|57
2012-03-27|12.02|12.11|11.91|11.96|17552|USD|58
2012-03-28|12.0|12.1|11.98|12.06|40037|USD|59
2012-03-29|11.96|12.1|11.96|12.06|25465|USD|60
2012-03-30|12.14|12.61|11.98|11.98|59833|USD|61
2012-04-02|11.97|12.15|11.97|12.05|79769|USD|62
2012-04-03|12.05|12.14|11.78|11.93|68140|USD|63
2012-04-04|11.83|11.87|11.76|11.84|51846|USD|64
2012-04-05|11.8|11.84|11.75|11.8|90920|USD|65
2012-04-09|11.75|11.75|11.62|11.65|126158|USD|66
2012-04-10|11.67|11.67|11.15|11.5|110379|USD|67
2012-04-11|11.61|12.04|11.56|11.78|74073|USD|68
