Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|7.69|7.77|7.61|7.66|61145|USD|0
2012-01-04|7.62|7.77|7.34|7.35|73356|USD|1
2012-01-05|7.29|7.43|7.16|7.28|55557|USD|2
2012-01-06|7.3|7.42|7.2|7.23|80063|USD|3
2012-01-09|7.24|7.26|7.03|7.04|58557|USD|4
2012-01-10|7.13|7.13|6.81|6.88|163812|USD|5
2012-01-11|6.85|7.27|6.82|7.2|83173|USD|6
2012-01-12|7.2|7.3|7.13|7.28|71330|USD|7
2012-01-13|7.19|7.34|7.13|7.28|148040|USD|8
2012-01-17|7.35|7.38|7.12|7.14|73119|USD|9
2012-01-18|7.14|7.34|7.08|7.33|109202|USD|10
2012-01-19|7.34|7.37|7.25|7.32|36823|USD|11
2012-01-20|7.3|7.45|7.3|7.41|48627|USD|12
2012-01-23|7.4|7.49|7.33|7.45|44368|USD|13
2012-01-24|7.39|7.47|7.25|7.41|59553|USD|14
2012-01-25|7.42|7.46|7.3|7.35|28392|USD|15
2012-01-26|9.11|10.09|9.09|9.89|1696322|USD|16
2012-01-27|9.73|10.06|9.55|10.01|332895|USD|17
2012-01-30|9.9|10.04|9.81|9.99|297091|USD|18
2012-01-31|10.01|10.31|9.99|10.21|364409|USD|19
2012-02-01|10.25|10.48|9.95|10.46|200389|USD|20
2012-02-02|10.45|10.92|10.4|10.92|168872|USD|21
2012-02-03|10.89|11.22|10.89|11.19|222668|USD|22
2012-02-06|11.18|11.25|10.97|11.16|250169|USD|23
2012-02-07|11.12|11.2|10.92|11.12|93196|USD|24
2012-02-08|11.11|11.18|11.0|11.13|107607|USD|25
2012-02-09|11.14|11.14|10.87|11.0|96385|USD|26
2012-02-10|10.87|11.0|10.77|10.82|52419|USD|27
2012-02-13|10.92|11.34|10.78|10.95|197889|USD|28
2012-02-14|10.91|11.13|10.86|11.0|121351|USD|29
2012-02-15|11.03|11.06|10.61|10.68|132703|USD|30
2012-02-16|10.42|11.02|10.42|10.62|305778|USD|31
2012-02-17|10.67|10.72|10.41|10.55|124088|USD|32
2012-02-21|10.56|10.69|10.04|10.23|135125|USD|33
2012-02-22|10.22|10.35|10.0|10.29|99934|USD|34
2012-02-23|10.25|10.45|10.18|10.33|84250|USD|35
2012-02-24|10.32|10.55|10.32|10.51|106677|USD|36
2012-02-27|10.44|10.53|10.32|10.35|46760|USD|37
2012-02-28|10.34|10.51|10.25|10.41|47814|USD|38
2012-02-29|10.41|10.43|10.05|10.15|162757|USD|39
2012-03-01|10.18|10.38|10.01|10.05|92975|USD|40
2012-03-02|10.03|10.12|9.73|9.79|94537|USD|41
2012-03-05|9.75|9.81|9.56|9.66|130265|USD|42
2012-03-06|9.58|9.65|9.3|9.48|96122|USD|43
2012-03-07|9.5|9.59|9.42|9.56|72323|USD|44
2012-03-08|9.61|9.8|9.44|9.72|57474|USD|45
2012-03-09|9.71|10.09|9.68|10.08|114453|USD|46
2012-03-12|10.06|10.15|9.85|10.06|60466|USD|47
2012-03-13|10.15|10.18|10.06|10.14|131500|USD|48
2012-03-14|10.15|10.33|10.14|10.28|74734|USD|49
2012-03-15|10.28|10.46|10.19|10.45|40840|USD|50
