Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2014-04-21|16.5|16.83|16.3|16.66|1509770|USD|0
2014-04-22|16.46|17.72|16.46|17.7|1391424|USD|1
2014-04-23|17.22|17.38|16.75|16.85|974553|USD|2
2014-04-24|17.0|17.18|16.57|16.84|339644|USD|3
2014-04-25|16.72|16.92|16.5|16.65|297764|USD|4
2014-04-28|16.57|16.94|16.25|16.48|678029|USD|5
2014-04-29|16.64|16.85|16.4|16.44|355459|USD|6
2014-04-30|16.47|16.62|16.31|16.47|479890|USD|7
2014-05-01|16.45|16.63|16.44|16.51|1800703|USD|8
2014-05-02|16.19|16.5|16.0|16.4|726923|USD|9
2014-05-05|16.0|16.3|15.0|16.02|1971545|USD|10
2014-05-06|16.0|16.26|15.84|15.92|722177|USD|11
2014-05-07|16.07|16.1|15.87|15.98|808257|USD|12
2014-05-08|15.7|16.05|15.65|15.75|378780|USD|13
2014-05-09|15.67|15.7|15.4|15.54|2312939|USD|14
2014-05-12|15.45|16.04|15.45|15.99|473922|USD|15
2014-05-13|15.56|15.95|15.56|15.76|1005669|USD|16
2014-05-14|15.55|15.82|15.55|15.76|243838|USD|17
2014-05-15|15.63|16.41|15.5|16.1|1667818|USD|18
2014-05-16|16.09|16.32|16.05|16.29|248977|USD|19
2014-05-19|16.39|16.67|16.25|16.5|459497|USD|20
2014-05-20|16.4|16.56|16.25|16.36|153182|USD|21
2014-05-21|16.34|16.81|16.31|16.5|1053049|USD|22
2014-05-22|16.46|16.84|16.29|16.65|1202547|USD|23
2014-05-23|16.66|17.22|16.54|17.09|436277|USD|24
2014-05-27|17.85|17.9|16.51|17.08|1012410|USD|25
2014-05-28|17.1|18.07|16.8|17.8|1094590|USD|26
2014-05-29|17.99|19.15|17.89|18.59|1195078|USD|27
2014-05-30|18.66|19.26|18.52|19.2|976554|USD|28
2014-06-02|19.33|19.48|19.1|19.2|633570|USD|29
2014-06-03|19.24|19.24|18.42|18.89|1425107|USD|30
2014-06-04|18.48|19.08|18.2|19.0|847522|USD|31
2014-06-05|18.98|19.43|18.97|19.22|854295|USD|32
2014-06-06|19.22|19.38|18.68|18.8|840102|USD|33
