Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|9.66|9.93|9.62|9.65|761826|USD|0
2012-01-04|9.58|9.6|9.28|9.5|359181|USD|1
2012-01-05|9.43|9.87|9.34|9.79|383461|USD|2
2012-01-06|9.75|9.84|9.55|9.71|419397|USD|3
2012-01-09|9.76|9.88|9.64|9.79|554146|USD|4
2012-01-10|9.97|10.1|9.71|9.75|605777|USD|5
2012-01-11|9.66|10.21|9.66|10.2|538378|USD|6
2012-01-12|10.2|10.43|10.12|10.43|427241|USD|7
2012-01-13|10.24|10.44|10.05|10.25|555692|USD|8
2012-01-17|10.31|10.53|9.98|10.16|731370|USD|9
2012-01-18|10.08|10.51|10.08|10.5|1973998|USD|10
2012-01-19|9.92|10.29|9.67|10.18|2852482|USD|11
2012-01-20|10.22|11.0|10.18|10.91|1562338|USD|12
2012-01-23|10.62|11.08|10.62|10.91|997484|USD|13
2012-01-24|10.82|11.03|10.62|10.93|608008|USD|14
2012-01-25|10.94|11.0|10.76|10.86|620530|USD|15
2012-01-26|10.92|10.98|10.75|10.81|765083|USD|16
2012-01-27|10.69|10.93|10.58|10.81|744436|USD|17
2012-01-30|10.67|10.98|10.6|10.85|585081|USD|18
2012-01-31|10.92|11.0|10.76|10.98|657391|USD|19
2012-02-01|11.0|11.7|10.96|11.65|2306135|USD|20
2012-02-02|11.69|11.76|11.48|11.64|811511|USD|21
2012-02-03|11.95|12.3|11.87|12.12|894420|USD|22
2012-02-06|11.96|12.11|11.81|12.03|482104|USD|23
2012-02-07|11.96|12.11|11.81|12.02|772359|USD|24
2012-02-08|12.01|12.23|11.95|12.14|626475|USD|25
2012-02-09|12.15|12.25|12.02|12.18|498439|USD|26
2012-02-10|12.0|12.14|11.61|12.05|714567|USD|27
2012-02-13|12.11|12.42|12.05|12.32|860664|USD|28
2012-02-14|12.22|12.29|11.98|12.19|487660|USD|29
2012-02-15|12.27|12.27|11.95|12.05|525088|USD|30
2012-02-16|12.02|12.42|12.01|12.35|693489|USD|31
2012-02-17|12.44|12.49|12.33|12.37|379110|USD|32
2012-02-21|12.33|12.55|12.17|12.21|717053|USD|33
2012-02-22|12.17|12.28|11.92|11.93|661368|USD|34
2012-02-23|11.93|12.29|11.8|12.26|351076|USD|35
2012-02-24|12.28|12.41|12.14|12.15|436942|USD|36
2012-02-27|12.02|12.47|11.81|12.18|404394|USD|37
2012-02-28|12.19|12.2|11.73|11.93|708381|USD|38
2012-02-29|11.93|12.07|11.6|11.6|616556|USD|39
2012-03-01|11.56|12.06|11.53|11.7|430369|USD|40
2012-03-02|11.7|11.84|11.36|11.6|918742|USD|41
2012-03-05|11.61|11.8|11.36|11.41|555719|USD|42
2012-03-06|11.2|11.31|10.79|10.84|981513|USD|43
2012-03-07|10.95|11.05|10.93|11.0|512874|USD|44
2012-03-08|11.13|11.32|10.9|11.03|454775|USD|45
2012-03-09|11.04|11.21|11.03|11.13|615700|USD|46
2012-03-12|11.17|11.17|10.92|11.08|244657|USD|47
2012-03-13|11.21|11.46|11.0|11.45|532558|USD|48
2012-03-14|11.42|11.54|11.32|11.44|381322|USD|49
2012-03-15|11.5|11.59|11.37|11.58|321910|USD|50
2012-03-16|11.64|11.64|11.4|11.52|538017|USD|51
2012-03-19|11.42|11.78|11.24|11.59|439491|USD|52
2012-03-20|11.44|11.51|11.29|11.34|302026|USD|53
2012-03-21|11.34|11.51|11.26|11.38|224777|USD|54
2012-03-22|11.25|11.31|11.01|11.07|272222|USD|55
2012-03-23|11.05|11.14|10.77|11.07|549171|USD|56
2012-03-26|11.22|11.26|11.01|11.18|639008|USD|57
2012-03-27|11.22|11.4|11.15|11.17|579048|USD|58
2012-03-28|11.21|11.39|11.04|11.24|557983|USD|59
2012-03-29|11.09|11.49|11.09|11.44|410515|USD|60
2012-03-30|11.53|11.69|11.4|11.45|430826|USD|61
2012-04-02|11.39|11.7|11.3|11.64|533575|USD|62
2012-04-03|11.64|11.69|11.31|11.39|484468|USD|63
2012-04-04|11.24|11.26|11.02|11.07|450688|USD|64
2012-04-05|11.0|11.14|10.87|10.91|543625|USD|65
2012-04-09|11.04|11.04|10.59|10.73|599709|USD|66
2012-04-10|10.74|10.83|10.03|10.05|823559|USD|67
2012-04-11|10.22|10.38|10.14|10.24|558011|USD|68
2012-04-12|10.26|10.68|10.2|10.67|737417|USD|69
2012-04-13|10.59|10.71|10.51|10.6|641545|USD|70
2012-04-16|10.71|10.85|10.54|10.76|366269|USD|71
2012-04-17|10.88|11.22|10.84|11.11|392242|USD|72
2012-04-18|10.99|11.0|10.8|10.89|420319|USD|73
2012-04-19|10.94|11.15|10.6|10.66|556111|USD|74
2012-04-20|10.97|10.97|10.53|10.58|345480|USD|75
