Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|14.95|15.32|14.5|14.76|85178|USD|0
2012-01-04|14.67|14.88|14.56|14.66|22276|USD|1
2012-01-05|14.59|14.92|14.33|14.74|43578|USD|2
2012-01-06|14.59|14.98|14.34|14.68|42954|USD|3
2012-01-09|14.78|14.89|14.39|14.48|43693|USD|4
2012-01-10|14.65|15.09|14.55|15.0|56852|USD|5
2012-01-11|14.88|15.2|14.79|15.1|57949|USD|6
2012-01-12|15.1|15.25|14.86|14.99|41358|USD|7
2012-01-13|14.7|14.75|14.47|14.72|34813|USD|8
2012-01-17|14.95|15.25|14.67|15.05|50991|USD|9
2012-01-18|14.94|15.3|14.71|15.29|49854|USD|10
2012-01-19|15.35|15.46|14.6|14.92|45329|USD|11
2012-01-20|14.85|15.73|14.54|15.62|49796|USD|12
2012-01-23|15.59|16.02|15.55|15.75|63109|USD|13
2012-01-24|15.61|16.09|15.52|15.86|42578|USD|14
2012-01-25|15.91|16.05|15.67|16.0|27284|USD|15
2012-01-26|16.07|16.17|15.69|15.99|86024|USD|16
2012-01-27|15.89|16.08|15.89|16.0|57882|USD|17
2012-01-30|15.78|16.01|15.76|15.8|26411|USD|18
2012-01-31|15.98|16.01|15.72|15.99|37863|USD|19
2012-02-01|15.99|16.36|15.65|15.67|109031|USD|20
2012-02-02|15.89|16.07|15.65|15.73|45873|USD|21
2012-02-03|16.11|16.19|15.93|16.0|65137|USD|22
2012-02-06|15.86|16.24|15.86|16.06|20126|USD|23
2012-02-07|16.05|16.06|15.61|15.71|41868|USD|24
2012-02-08|15.78|16.14|15.77|15.98|37974|USD|25
2012-02-09|16.02|16.12|15.79|15.92|92501|USD|26
2012-02-10|15.64|16.5|15.64|16.21|82105|USD|27
2012-02-13|16.43|16.64|16.0|16.52|133358|USD|28
2012-02-14|16.32|16.49|16.06|16.4|74266|USD|29
2012-02-15|16.46|16.46|15.89|16.0|27695|USD|30
2012-02-16|16.13|16.5|16.04|16.4|54155|USD|31
2012-02-17|16.5|16.5|15.96|16.1|98060|USD|32
2012-02-21|16.01|16.34|15.39|15.69|51240|USD|33
2012-02-22|15.56|15.64|15.24|15.34|60288|USD|34
2012-02-23|15.4|15.95|15.14|15.94|28285|USD|35
2012-02-24|15.94|15.94|15.51|15.77|24645|USD|36
2012-02-27|15.55|15.73|15.3|15.66|23779|USD|37
2012-02-28|15.66|15.75|15.51|15.68|30583|USD|38
2012-02-29|15.69|15.8|15.41|15.63|61252|USD|39
2012-03-01|15.72|15.83|15.01|15.03|47913|USD|40
2012-03-02|15.0|15.06|14.37|14.69|63134|USD|41
2012-03-05|14.59|14.75|14.4|14.66|16899|USD|42
2012-03-06|14.4|14.68|14.2|14.22|31879|USD|43
2012-03-07|14.32|14.63|14.31|14.61|40227|USD|44
2012-03-08|14.73|15.09|14.48|15.06|35405|USD|45
2012-03-09|15.03|15.65|15.02|15.33|52332|USD|46
2012-03-12|15.19|15.4|14.95|15.03|28296|USD|47
2012-03-13|15.22|15.35|15.02|15.32|37915|USD|48
2012-03-14|15.22|15.27|14.87|15.24|55587|USD|49
2012-03-15|15.17|16.01|15.12|16.01|82232|USD|50
2012-03-16|16.08|16.18|15.57|15.59|84639|USD|51
2012-03-19|15.58|16.56|15.58|16.18|52346|USD|52
2012-03-20|16.06|16.27|15.87|16.02|37032|USD|53
2012-03-21|16.13|16.39|16.03|16.29|30983|USD|54
2012-03-22|16.0|16.22|15.68|15.99|21356|USD|55
2012-03-23|15.96|16.48|15.87|16.39|50692|USD|56
2012-03-26|16.6|17.25|16.33|17.06|69429|USD|57
2012-03-27|17.05|17.28|17.01|17.1|52542|USD|58
2012-03-28|17.1|17.14|16.96|17.12|37484|USD|59
2012-03-29|17.01|17.31|16.88|17.22|30772|USD|60
2012-03-30|17.41|17.41|16.94|17.27|40436|USD|61
2012-04-02|17.24|17.57|17.17|17.55|99902|USD|62
2012-04-03|17.53|17.55|16.87|16.89|43096|USD|63
2012-04-04|16.61|16.85|16.43|16.49|33574|USD|64
2012-04-05|16.46|16.6|16.34|16.55|32079|USD|65
2012-04-09|16.23|16.68|16.23|16.58|51579|USD|66
2012-04-10|16.5|16.5|16.08|16.16|54649|USD|67
2012-04-11|16.39|16.41|15.87|16.12|43157|USD|68
2012-04-12|16.11|16.45|16.11|16.34|23340|USD|69
2012-04-13|16.2|16.2|15.76|15.84|37116|USD|70
2012-04-16|15.9|15.93|15.59|15.72|26059|USD|71
2012-04-17|15.91|16.43|15.9|16.09|36332|USD|72
2012-04-18|15.91|15.99|15.57|15.62|24761|USD|73
2012-04-19|15.68|15.85|15.07|15.15|24439|USD|74
2012-04-20|15.42|15.64|15.03|15.32|34204|USD|75
2012-04-23|14.96|15.09|14.7|14.91|40076|USD|76
2012-04-24|14.98|15.46|14.86|15.45|35662|USD|77
2012-04-25|15.62|15.8|14.96|15.03|62072|USD|78
2012-04-26|15.01|15.55|14.98|15.33|28256|USD|79
2012-04-27|15.41|15.76|15.17|15.65|24779|USD|80
2012-04-30|15.48|15.54|15.06|15.09|41981|USD|81
2012-05-01|15.16|15.45|14.47|14.6|38878|USD|82
2012-05-02|14.56|14.59|14.28|14.39|71016|USD|83
2012-05-03|14.32|14.35|13.81|13.84|61677|USD|84
2012-05-04|13.72|13.92|13.18|13.71|60990|USD|85
2012-05-07|13.68|13.79|13.02|13.06|43675|USD|86
2012-05-08|12.94|12.99|11.8|11.86|168743|USD|87
2012-05-09|11.66|12.89|11.41|12.53|118734|USD|88
2012-05-10|14.91|15.5|13.96|14.67|170508|USD|89
2012-05-11|14.59|14.61|13.87|14.21|143832|USD|90
2012-05-14|14.05|14.37|13.99|14.33|88427|USD|91
2012-05-15|14.29|14.39|14.08|14.31|75638|USD|92
2012-05-16|14.44|14.65|14.25|14.36|109501|USD|93
2012-05-17|14.33|14.52|14.27|14.27|100094|USD|94
2012-05-18|14.24|14.54|13.72|13.93|113710|USD|95
2012-05-21|14.05|14.45|13.76|14.36|154004|USD|96
2012-05-22|14.4|14.5|13.97|14.13|46565|USD|97
2012-05-23|13.91|14.14|13.53|14.03|30678|USD|98
2012-05-24|14.05|14.12|13.55|14.0|58029|USD|99
2012-05-25|14.04|14.46|13.87|14.34|45948|USD|100
2012-05-29|14.44|14.8|14.2|14.75|95021|USD|101
2012-05-30|14.65|14.94|14.34|14.76|59115|USD|102
2012-05-31|14.75|14.84|14.09|14.63|141557|USD|103
2012-06-01|14.23|14.52|14.19|14.21|53485|USD|104
