Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2013-11-07|16.64|16.86|16.45|16.56|587420|USD|0
2013-11-08|16.59|18.09|16.58|17.3|526734|USD|1
2013-11-11|17.68|18.77|17.4|17.94|437292|USD|2
2013-11-12|18.77|18.77|17.4|17.55|155216|USD|3
2013-11-13|17.48|17.5|16.75|17.27|365219|USD|4
2013-11-14|17.5|17.5|17.01|17.34|64411|USD|5
2013-11-15|17.56|17.8|17.26|17.66|126867|USD|6
2013-11-18|18.0|18.88|17.9|18.74|226280|USD|7
2013-11-19|18.21|18.89|17.9|18.11|114938|USD|8
2013-11-20|18.0|18.5|17.5|18.41|84352|USD|9
2013-11-21|18.4|18.41|18.0|18.3|99091|USD|10
2013-11-22|18.3|18.3|18.09|18.17|19674|USD|11
2013-11-25|18.4|18.4|18.2|18.3|34533|USD|12
2013-11-26|18.0|18.32|18.0|18.21|70007|USD|13
2013-11-27|18.26|20.0|18.26|19.53|442289|USD|14
2013-11-29|19.34|20.53|19.34|20.5|111113|USD|15
2013-12-02|20.9|22.99|20.78|22.94|336001|USD|16
2013-12-03|23.5|23.5|21.73|22.07|240965|USD|17
2013-12-04|21.75|22.45|20.71|21.03|163560|USD|18
2013-12-05|22.41|22.79|20.5|21.93|169120|USD|19
2013-12-06|22.99|24.18|22.0|23.89|238701|USD|20
2013-12-09|23.5|25.49|23.0|24.64|518930|USD|21
2013-12-10|24.75|25.54|24.33|25.19|224744|USD|22
2013-12-11|25.7|26.49|24.69|24.99|245853|USD|23
2013-12-12|25.0|25.4|23.91|23.96|282852|USD|24
2013-12-13|23.94|24.64|22.0|24.23|279959|USD|25
2013-12-16|25.49|26.0|24.94|25.91|426792|USD|26
2013-12-17|26.0|28.38|25.51|27.62|507925|USD|27
2013-12-18|27.84|28.37|26.52|27.92|251998|USD|28
2013-12-19|27.6|28.32|26.6|26.87|188565|USD|29
2013-12-20|26.79|28.0|24.25|27.96|1600853|USD|30
2013-12-23|27.85|28.8|27.25|27.74|217295|USD|31
2013-12-24|27.85|28.49|26.5|27.82|96160|USD|32
2013-12-26|28.34|28.89|27.5|28.49|159682|USD|33
2013-12-27|28.36|28.85|27.51|28.16|102349|USD|34
2013-12-30|28.16|28.17|27.15|27.77|140173|USD|35
2013-12-31|27.69|27.99|26.55|26.85|138674|USD|36
2014-01-02|26.58|26.58|25.03|25.78|156403|USD|37
2014-01-03|25.89|26.52|24.75|25.03|144402|USD|38
2014-01-06|25.1|25.5|24.0|24.43|111133|USD|39
2014-01-07|24.95|25.5|24.0|24.05|108310|USD|40
2014-01-08|24.24|24.4|23.71|24.3|388158|USD|41
2014-01-09|24.32|26.5|24.32|26.06|424346|USD|42
2014-01-10|26.39|26.5|25.8|26.45|81220|USD|43
2014-01-13|26.26|26.9|26.01|26.89|131375|USD|44
2014-01-14|26.75|27.45|26.69|27.39|128169|USD|45
2014-01-15|27.35|27.45|26.59|27.43|128190|USD|46
2014-01-16|27.43|27.9|27.33|27.58|95591|USD|47
2014-01-17|27.67|28.49|27.2|28.45|103017|USD|48
2014-01-21|28.45|28.85|27.21|28.85|106437|USD|49
2014-01-22|28.85|30.25|28.7|29.5|217677|USD|50
2014-01-23|29.5|30.25|28.62|30.07|94797|USD|51
2014-01-24|29.7|30.1|27.4|28.33|180709|USD|52
2014-01-27|27.79|28.0|26.8|27.09|90884|USD|53
2014-01-28|27.0|28.0|26.96|27.55|103401|USD|54
2014-01-29|27.63|27.63|26.85|26.99|74303|USD|55
2014-01-30|27.17|28.5|27.17|27.91|66810|USD|56
2014-01-31|27.53|29.15|27.03|28.66|76894|USD|57
2014-02-03|29.0|29.0|25.61|27.01|161131|USD|58
2014-02-04|27.04|27.93|26.11|26.22|57871|USD|59
2014-02-05|26.46|26.46|25.12|25.29|119028|USD|60
2014-02-06|25.49|25.85|25.21|25.58|83396|USD|61
2014-02-07|25.77|29.49|25.77|28.14|263961|USD|62
2014-02-10|28.3|29.25|27.64|28.51|74662|USD|63
2014-02-11|28.6|29.88|28.21|29.77|150309|USD|64
2014-02-12|29.62|31.4|28.87|29.81|550625|USD|65
2014-02-13|29.95|30.8|29.36|29.45|220821|USD|66
2014-02-14|29.33|29.84|28.82|29.04|78844|USD|67
2014-02-18|28.85|28.99|27.57|28.28|106536|USD|68
2014-02-19|28.05|28.6|27.15|27.94|118089|USD|69
2014-02-20|28.0|29.83|28.0|28.98|128121|USD|70
2014-02-21|29.0|29.92|28.7|29.35|84849|USD|71
2014-02-24|29.37|29.75|29.05|29.12|60777|USD|72
2014-02-25|29.27|32.69|29.22|31.23|250539|USD|73
2014-02-26|31.22|32.4|30.61|31.21|108120|USD|74
2014-02-27|31.8|31.9|31.06|31.32|129531|USD|75
2014-02-28|31.44|32.37|30.11|30.9|263854|USD|76
2014-03-03|30.24|30.62|29.02|29.89|137749|USD|77
2014-03-04|30.09|31.12|29.79|30.34|104647|USD|78
2014-03-05|30.4|30.4|29.02|29.22|133658|USD|79
2014-03-06|29.0|29.77|28.8|29.65|55410|USD|80
