Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|8.41|8.49|8.22|8.49|5925|USD|0
2012-01-04|8.33|8.63|8.33|8.35|16257|USD|1
2012-01-05|8.38|8.5|8.37|8.41|6796|USD|2
2012-01-06|8.5|8.5|8.36|8.36|4770|USD|3
2012-01-09|8.46|8.5|8.44|8.5|7944|USD|4
2012-01-10|8.5|8.59|8.49|8.53|12461|USD|5
2012-01-11|8.62|8.62|8.6|8.6|220|USD|6
2012-01-12|8.62|8.67|8.6|8.67|9052|USD|7
2012-01-13|8.62|8.62|8.52|8.52|2580|USD|8
2012-01-17|8.61|8.75|8.56|8.75|17951|USD|9
2012-01-18|8.75|8.75|8.66|8.68|5492|USD|10
2012-01-19|8.72|9.13|8.72|9.03|9585|USD|11
2012-01-20|8.88|9.08|8.71|9.08|8209|USD|12
2012-01-23|8.75|8.94|8.72|8.93|2112|USD|13
2012-01-24|8.94|9.0|8.86|9.0|5740|USD|14
2012-01-25|9.03|9.11|8.99|9.11|800|USD|15
2012-01-26|9.13|9.2|8.97|9.2|4250|USD|16
2012-01-27|9.1|9.23|9.1|9.22|4291|USD|17
2012-01-30|9.17|9.17|8.8|9.01|8305|USD|18
2012-01-31|9.03|9.04|9.02|9.04|3742|USD|19
2012-02-01|8.98|9.1|8.95|9.1|2522|USD|20
2012-02-02|9.11|9.37|8.96|9.37|7020|USD|21
2012-02-03|9.37|9.37|8.44|8.8|65292|USD|22
2012-02-06|8.8|8.82|8.8|8.82|2241|USD|23
2012-02-07|8.82|9.11|8.81|8.87|2779|USD|24
2012-02-08|8.8|9.05|8.8|8.89|3961|USD|25
2012-02-09|8.94|9.0|8.85|8.99|1942|USD|26
2012-02-10|8.85|9.31|8.85|9.14|7334|USD|27
2012-02-13|9.14|9.26|9.14|9.21|7751|USD|28
2012-02-14|9.25|9.29|8.9|9.14|3877|USD|29
2012-02-15|9.19|9.33|9.16|9.33|3262|USD|30
2012-02-16|9.29|9.35|9.05|9.14|4446|USD|31
2012-02-17|9.36|9.37|9.3|9.34|9715|USD|32
2012-02-21|9.28|9.3|9.2|9.23|5351|USD|33
2012-02-22|9.19|9.32|9.15|9.23|4194|USD|34
2012-02-23|9.23|9.35|9.12|9.2|14099|USD|35
2012-02-27|8.85|9.38|8.85|9.35|6420|USD|36
2012-02-28|9.31|9.34|9.24|9.32|1300|USD|37
2012-02-29|9.04|9.41|9.04|9.29|11725|USD|38
2012-03-01|9.32|9.4|9.24|9.36|6189|USD|39
2012-03-02|9.36|9.43|9.26|9.43|4527|USD|40
2012-03-05|9.47|9.47|9.35|9.35|2395|USD|41
2012-03-06|9.37|9.46|9.04|9.43|33309|USD|42
2012-03-07|9.41|9.48|9.12|9.48|2287|USD|43
2012-03-08|9.43|9.48|9.4|9.47|6286|USD|44
2012-03-09|9.45|9.5|9.43|9.43|29473|USD|45
2012-03-12|9.5|9.5|9.43|9.43|7793|USD|46
2012-03-13|9.49|9.5|9.47|9.49|1983|USD|47
2012-03-14|9.45|9.54|9.41|9.44|2871|USD|48
2012-03-15|9.45|9.45|9.3|9.43|3395|USD|49
2012-03-16|9.42|9.5|9.32|9.35|2405|USD|50
2012-03-19|9.48|9.55|9.26|9.54|7106|USD|51
2012-03-20|9.55|9.55|9.39|9.47|6328|USD|52
2012-03-21|9.48|9.48|9.47|9.47|205|USD|53
2012-03-22|9.4|9.55|9.39|9.52|5796|USD|54
2012-03-23|9.42|9.5|9.41|9.5|974|USD|55
2012-03-26|9.57|9.59|9.42|9.51|5235|USD|56
2012-03-27|9.52|9.55|9.39|9.48|4357|USD|57
2012-03-28|9.42|9.42|9.42|9.42|0|USD|58
2012-03-29|9.48|9.53|9.4|9.4|2207|USD|59
2012-03-30|9.54|9.6|9.5|9.55|2068|USD|60
2012-04-02|9.58|9.59|9.5|9.54|8170|USD|61
2012-04-03|9.55|9.77|9.46|9.55|8493|USD|62
2012-04-04|9.55|9.62|9.53|9.61|2995|USD|63
2012-04-05|9.7|9.7|9.4|9.48|9273|USD|64
2012-04-09|9.47|9.5|9.47|9.5|213|USD|65
2012-04-10|9.51|9.7|9.51|9.7|656|USD|66
2012-04-11|9.66|9.66|9.49|9.56|7273|USD|67
2012-04-12|9.57|9.59|9.43|9.45|7062|USD|68
2012-04-13|9.52|9.52|9.49|9.5|2975|USD|69
2012-04-17|9.58|9.67|9.53|9.65|7510|USD|70
2012-04-18|9.51|9.55|9.43|9.55|1526|USD|71
2012-04-19|9.65|9.67|9.55|9.58|1000|USD|72
2012-04-20|9.66|9.67|9.46|9.46|2922|USD|73
2012-04-23|9.49|9.6|9.49|9.6|1240|USD|74
2012-04-24|9.64|9.67|9.64|9.67|511|USD|75
2012-04-25|9.58|9.58|9.43|9.43|861|USD|76
2012-04-26|9.43|9.6|9.43|9.43|700|USD|77
2012-04-27|9.37|9.49|9.34|9.48|1100|USD|78
2012-04-30|9.53|9.53|9.53|9.53|115|USD|79
2012-05-01|9.56|9.64|9.5|9.64|6500|USD|80
2012-05-02|9.63|9.65|9.6|9.65|4196|USD|81
2012-05-03|9.65|9.65|9.53|9.63|1250|USD|82
2012-05-04|9.5|9.65|9.38|9.38|3834|USD|83
2012-05-07|9.54|9.67|9.54|9.67|700|USD|84
2012-05-08|9.6|9.6|9.3|9.55|1850|USD|85
2012-05-09|9.51|9.51|9.5|9.5|1498|USD|86
2012-05-10|9.43|9.55|9.43|9.55|1400|USD|87
2012-05-11|9.5|9.5|9.5|9.5|100|USD|88
2012-05-14|9.4|9.46|9.4|9.45|1635|USD|89
2012-05-15|9.45|9.57|9.45|9.57|2615|USD|90
2012-05-17|9.51|9.51|9.4|9.45|6950|USD|91
2012-05-18|9.36|9.46|9.35|9.36|3561|USD|92
2012-05-21|9.36|9.36|9.21|9.21|7695|USD|93
2012-05-22|9.13|9.2|9.0|9.2|2816|USD|94
2012-05-23|9.18|9.18|9.05|9.05|855|USD|95
2012-05-24|9.05|9.25|9.05|9.08|2194|USD|96
2012-05-25|9.06|9.25|9.06|9.25|871|USD|97
2012-05-29|9.25|9.25|9.25|9.25|400|USD|98
2012-05-31|9.24|9.29|9.1|9.1|10071|USD|99
2012-06-01|9.12|9.47|9.11|9.47|300|USD|100
2012-06-04|9.26|9.26|9.26|9.26|20239|USD|101
2012-06-05|9.0|9.1|8.3|8.74|21419|USD|102
2012-06-06|8.46|8.73|8.26|8.26|9225|USD|103
2012-06-07|8.26|8.49|8.08|8.25|7796|USD|104
2012-06-08|8.25|8.25|8.05|8.06|7975|USD|105
2012-06-11|8.17|8.22|8.13|8.17|1000|USD|106
2012-06-12|8.16|8.23|8.16|8.23|700|USD|107
2012-06-14|8.2|8.2|8.2|8.2|4000|USD|108
2012-06-15|8.03|8.27|8.03|8.12|2600|USD|109
2012-06-18|8.16|8.16|8.15|8.15|1202|USD|110
2012-06-19|8.17|8.29|8.16|8.16|3366|USD|111
2012-06-20|8.15|8.91|8.15|8.21|21150|USD|112
2012-06-21|8.26|8.5|8.2|8.21|7123|USD|113
2012-06-22|8.32|8.4|8.29|8.29|3800|USD|114
2012-06-25|8.34|8.34|8.34|8.34|100|USD|115
2012-06-26|8.39|8.39|8.39|8.39|600|USD|116
2012-06-27|8.4|8.5|8.4|8.5|901|USD|117
2012-06-28|8.44|8.49|8.44|8.44|1000|USD|118
2012-06-29|8.49|8.75|8.05|8.75|2455|USD|119
2012-07-02|8.49|8.68|8.25|8.25|3277|USD|120
2012-07-03|8.27|8.63|8.27|8.6|979|USD|121
2012-07-05|8.51|8.68|8.51|8.68|3498|USD|122
2012-07-06|8.54|8.86|8.54|8.77|2575|USD|123
2012-07-09|8.65|8.65|8.43|8.48|1562|USD|124
2012-07-10|8.85|8.85|8.82|8.85|2375|USD|125
2012-07-11|8.88|8.88|8.88|8.88|400|USD|126
2012-07-12|8.51|8.76|8.51|8.75|3200|USD|127
2012-07-16|8.65|8.65|8.07|8.07|1391|USD|128
2012-07-17|8.21|8.21|8.21|8.21|100|USD|129
2012-07-18|8.2|8.85|8.2|8.5|4736|USD|130
2012-07-19|8.55|8.61|8.55|8.61|400|USD|131
2012-07-20|8.65|8.65|8.65|8.65|200|USD|132
