Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|71.42|71.76|69.7|69.84|1119831|USD|0
2012-01-04|69.7|69.7|68.69|68.72|864039|USD|1
2012-01-05|67.71|67.97|66.5|67.81|1698781|USD|2
2012-01-06|67.8|68.36|67.67|67.98|724066|USD|3
2012-01-09|68.04|68.15|67.26|67.58|782464|USD|4
2012-01-10|68.39|68.94|67.33|67.37|1131310|USD|5
2012-01-11|67.25|67.67|65.92|66.52|1774703|USD|6
2012-01-12|66.68|67.03|66.29|66.34|1042940|USD|7
2012-01-13|66.37|66.86|65.28|66.73|1027200|USD|8
2012-01-17|67.0|67.2|66.02|66.47|827649|USD|9
2012-01-18|66.49|67.33|66.27|67.29|933272|USD|10
2012-01-19|67.3|68.91|67.28|68.87|1257465|USD|11
2012-01-20|68.87|68.87|67.36|67.66|1405396|USD|12
2012-01-23|67.56|68.23|66.79|68.05|1278193|USD|13
2012-01-24|67.81|67.98|67.24|67.63|1338351|USD|14
2012-01-25|67.43|68.16|67.0|68.11|1293902|USD|15
2012-01-26|68.53|69.89|68.3|69.47|1599299|USD|16
2012-01-27|69.33|69.36|68.21|68.52|1455943|USD|17
2012-01-30|68.27|68.3|67.75|67.93|1187238|USD|18
2012-01-31|68.24|68.94|67.4|68.84|1781277|USD|19
2012-02-01|64.9|65.2|63.37|64.01|6750482|USD|20
2012-02-02|64.87|65.49|63.99|64.0|2778632|USD|21
2012-02-03|64.78|65.0|64.29|64.42|1369421|USD|22
2012-02-06|64.07|64.28|63.88|64.03|1242822|USD|23
2012-02-07|63.98|64.29|63.48|64.09|944267|USD|24
2012-02-08|63.99|64.2|63.43|63.6|1149051|USD|25
2012-02-09|63.84|63.84|63.48|63.65|1351126|USD|26
2012-02-10|63.26|63.6|62.84|63.5|1179736|USD|27
2012-02-13|63.77|64.76|63.68|64.75|1033324|USD|28
2012-02-14|64.45|65.48|64.12|65.48|1728096|USD|29
2012-02-15|65.55|65.6|63.56|63.59|1847894|USD|30
2012-02-16|63.84|66.26|63.8|66.2|1610820|USD|31
2012-02-17|66.05|66.31|65.48|66.11|1289812|USD|32
2012-02-21|66.38|66.38|65.57|66.12|1048547|USD|33
2012-02-22|66.2|66.66|65.95|66.24|1227556|USD|34
2012-02-23|66.16|67.79|66.14|67.5|1138332|USD|35
2012-02-24|67.8|67.98|67.05|67.21|1106465|USD|36
2012-02-27|66.86|67.47|66.53|66.93|1309374|USD|37
2012-02-28|66.99|67.32|66.46|66.94|1093614|USD|38
2012-02-29|66.57|66.97|66.08|66.17|1451694|USD|39
2012-03-01|66.33|67.41|66.23|66.85|1262141|USD|40
2012-03-02|66.72|66.93|66.14|66.22|857102|USD|41
2012-03-05|66.16|66.27|65.37|65.72|893375|USD|42
2012-03-06|65.25|65.3|64.68|64.9|1030328|USD|43
2012-03-07|65.13|65.23|64.53|65.06|739492|USD|44
2012-03-08|65.43|65.93|65.05|65.76|765221|USD|45
2012-03-09|65.92|66.39|65.31|66.35|598629|USD|46
2012-03-12|66.62|66.66|65.43|65.94|722925|USD|47
2012-03-13|66.35|66.66|65.75|66.4|1271399|USD|48
2012-03-14|66.39|66.39|65.21|65.35|1093817|USD|49
2012-03-15|65.32|65.51|64.9|65.35|2096525|USD|50
2012-03-16|65.14|65.86|64.97|65.67|1740669|USD|51
2012-03-19|65.66|66.01|65.43|65.62|813822|USD|52
2012-03-20|65.38|65.46|64.39|64.5|1226856|USD|53
2012-03-21|64.45|65.09|63.95|65.0|994161|USD|54
2012-03-22|64.36|64.64|63.62|64.5|960430|USD|55
2012-03-23|64.68|64.76|63.88|64.42|606229|USD|56
2012-03-26|65.11|65.29|64.69|65.19|839066|USD|57
2012-03-27|65.14|65.37|64.64|65.35|746021|USD|58
2012-03-28|65.52|65.61|64.63|65.11|719386|USD|59
2012-03-29|64.82|65.0|64.06|64.76|1807571|USD|60
2012-03-30|65.01|65.99|64.78|65.49|1356950|USD|61
2012-04-02|65.41|66.37|65.33|65.91|1045592|USD|62
2012-04-03|65.75|66.03|65.09|65.71|628263|USD|63
2012-04-04|65.12|65.64|64.93|65.52|805819|USD|64
2012-04-05|65.08|65.5|64.97|65.12|707322|USD|65
2012-04-09|64.49|64.5|63.5|64.0|1025086|USD|66
2012-04-10|63.66|63.7|63.09|63.34|1479341|USD|67
2012-04-11|63.87|64.58|63.47|64.0|1145612|USD|68
2012-04-12|64.26|64.87|63.95|64.53|1642688|USD|69
2012-04-13|64.2|64.38|63.82|64.13|914017|USD|70
2012-04-16|64.2|64.96|63.89|64.81|840572|USD|71
2012-04-17|64.99|66.27|64.93|66.11|1241937|USD|72
2012-04-18|66.61|67.0|66.23|66.86|1238396|USD|73
2012-04-19|66.63|67.31|65.97|66.14|1362112|USD|74
2012-04-20|65.46|66.75|65.15|66.52|1506535|USD|75
2012-04-23|66.0|66.0|65.15|65.53|935848|USD|76
2012-04-24|65.87|66.34|65.53|65.83|1185693|USD|77
2012-04-25|63.93|64.04|60.0|60.91|8984961|USD|78
2012-04-26|60.38|60.72|58.73|59.23|3176656|USD|79
2012-04-27|59.63|59.97|58.91|59.02|2633691|USD|80
2012-04-30|59.23|60.01|59.11|59.74|2222101|USD|81
2012-05-01|59.72|61.14|59.22|60.8|2219187|USD|82
2012-05-02|60.96|62.66|60.51|62.3|4082049|USD|83
2012-05-03|62.28|62.28|61.27|61.42|2245679|USD|84
2012-05-04|61.28|61.28|60.24|60.62|1401884|USD|85
2012-05-07|60.61|61.26|60.25|60.86|1063223|USD|86
2012-05-08|60.54|61.43|60.23|61.32|1558264|USD|87
2012-05-09|60.71|60.96|60.0|60.67|1360703|USD|88
2012-05-10|60.95|61.36|60.24|60.52|801563|USD|89
2012-05-11|60.43|61.13|60.29|60.81|827110|USD|90
2012-05-14|60.25|60.77|60.1|60.45|833657|USD|91
2012-05-15|60.7|61.22|60.2|60.77|1041725|USD|92
2012-05-16|61.21|61.46|60.58|60.62|1196029|USD|93
2012-05-17|60.55|60.92|59.64|59.64|1204911|USD|94
2012-05-18|59.99|60.16|58.75|58.88|1521025|USD|95
2012-05-21|59.01|59.88|58.75|59.78|1538951|USD|96
2012-05-22|60.03|60.37|59.45|59.85|1045845|USD|97
2012-05-23|59.41|60.53|59.07|60.32|1496956|USD|98
2012-05-24|60.35|60.52|59.37|59.82|1239135|USD|99
2012-05-25|59.94|60.06|59.3|59.69|1308738|USD|100
2012-05-29|60.17|61.16|59.97|60.77|1181855|USD|101
2012-05-30|60.05|60.07|59.08|59.08|1384386|USD|102
2012-05-31|58.48|58.83|57.3|58.26|2165716|USD|103
2012-06-01|57.21|58.15|56.82|56.89|2531670|USD|104
2012-06-04|56.38|57.1|55.89|56.69|2952748|USD|105
2012-06-05|56.4|57.02|55.88|56.62|1644014|USD|106
2012-06-06|57.03|58.16|56.87|58.04|1300286|USD|107
