Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|3.06|3.09|2.91|3.09|10589|USD|0
2012-01-04|3.05|3.05|2.95|2.98|37810|USD|1
2012-01-05|2.96|3.01|2.84|3.0|16888|USD|2
2012-01-06|3.01|3.06|2.9|3.01|15098|USD|3
2012-01-09|3.03|3.22|3.03|3.17|24818|USD|4
2012-01-10|3.21|3.23|3.17|3.22|14692|USD|5
2012-01-11|3.23|3.25|3.18|3.2|11665|USD|6
2012-01-12|3.24|3.25|3.18|3.22|14621|USD|7
2012-01-13|3.18|3.2|3.08|3.12|15778|USD|8
2012-01-17|3.19|3.35|3.15|3.3|22888|USD|9
2012-01-18|3.32|3.44|3.25|3.41|22314|USD|10
2012-01-19|3.43|3.5|3.34|3.39|13842|USD|11
2012-01-20|3.38|3.57|3.33|3.41|23039|USD|12
2012-01-23|3.49|3.6|3.3|3.43|30624|USD|13
2012-01-24|3.4|3.59|3.28|3.52|20206|USD|14
2012-01-25|3.49|3.51|3.25|3.4|15426|USD|15
2012-01-26|3.42|3.61|3.38|3.57|11244|USD|16
2012-01-27|3.58|3.61|3.4|3.61|7728|USD|17
2012-01-30|3.47|3.51|3.39|3.44|10440|USD|18
2012-01-31|3.49|3.51|3.27|3.3|28864|USD|19
2012-02-01|3.34|3.6|3.33|3.58|32615|USD|20
2012-02-02|3.3|3.64|3.3|3.53|42334|USD|21
2012-02-03|3.62|3.67|3.44|3.67|37345|USD|22
2012-02-06|3.61|3.7|3.54|3.7|14472|USD|23
2012-02-07|3.64|3.64|3.46|3.51|14543|USD|24
2012-02-08|3.54|3.61|3.5|3.6|7342|USD|25
2012-02-09|3.61|3.67|3.5|3.55|15526|USD|26
2012-02-10|3.5|3.59|3.42|3.44|8266|USD|27
2012-02-13|3.5|3.57|3.5|3.57|16139|USD|28
2012-02-14|3.5|3.6|3.5|3.56|4139|USD|29
2012-02-15|3.58|3.58|3.5|3.51|13163|USD|30
2012-02-16|3.57|3.59|3.54|3.59|7753|USD|31
2012-02-17|3.59|3.6|3.5|3.51|8229|USD|32
2012-02-21|3.5|3.55|3.5|3.5|11712|USD|33
2012-02-22|3.5|3.56|3.42|3.5|23732|USD|34
2012-02-23|3.49|3.56|3.43|3.55|15075|USD|35
2012-02-24|3.54|3.54|3.45|3.48|7774|USD|36
2012-02-27|3.43|3.46|3.4|3.46|5310|USD|37
2012-02-28|3.46|3.54|3.32|3.35|3895|USD|38
2012-02-29|3.3|3.33|3.23|3.25|44946|USD|39
2012-03-01|3.25|3.56|3.23|3.48|15585|USD|40
2012-03-02|3.48|3.48|3.25|3.28|8700|USD|41
2012-03-05|3.28|3.56|3.25|3.5|29027|USD|42
2012-03-06|3.43|3.43|3.25|3.28|31572|USD|43
2012-03-07|3.3|3.41|3.27|3.41|38172|USD|44
2012-03-08|3.4|3.41|3.27|3.37|11909|USD|45
2012-03-09|3.35|3.49|3.26|3.29|15261|USD|46
2012-03-12|3.29|3.32|3.25|3.25|20492|USD|47
2012-03-13|3.27|3.47|3.25|3.47|8914|USD|48
2012-03-14|3.4|3.4|3.27|3.27|23997|USD|49
2012-03-15|3.26|3.42|3.25|3.32|14589|USD|50
2012-03-16|3.28|3.41|3.24|3.25|62029|USD|51
2012-03-19|3.25|3.38|3.25|3.28|8788|USD|52
2012-03-20|3.24|3.32|3.24|3.25|10837|USD|53
2012-03-21|3.26|3.26|3.22|3.26|21523|USD|54
2012-03-22|3.25|3.3|3.23|3.26|19113|USD|55
2012-03-23|3.26|3.35|3.22|3.35|7996|USD|56
2012-03-26|3.37|3.39|3.25|3.34|18846|USD|57
2012-03-27|3.34|3.37|3.23|3.3|9809|USD|58
2012-03-28|3.29|3.29|3.22|3.25|10412|USD|59
2012-03-29|3.3|3.3|3.22|3.25|39047|USD|60
2012-03-30|3.26|3.35|3.2|3.2|72981|USD|61
2012-04-02|3.19|3.26|3.0|3.22|87228|USD|62
2012-04-03|3.22|3.29|3.13|3.22|58102|USD|63
2012-04-04|3.22|3.25|3.02|3.15|34287|USD|64
2012-04-05|3.16|3.21|3.09|3.15|9173|USD|65
2012-04-09|3.09|3.09|3.02|3.05|14098|USD|66
2012-04-10|3.06|3.1|3.0|3.0|22142|USD|67
2012-04-11|3.06|3.22|3.03|3.14|30060|USD|68
2012-04-12|3.12|3.27|3.1|3.27|28865|USD|69
2012-04-13|3.24|3.27|3.15|3.15|8744|USD|70
2012-04-16|3.17|3.28|3.16|3.22|14789|USD|71
2012-04-17|3.26|3.35|3.25|3.27|11796|USD|72
2012-04-18|3.24|3.46|3.15|3.15|22158|USD|73
