Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|16.53|16.6|16.23|16.34|93131|USD|0
2012-01-04|16.24|16.3|15.84|15.9|39819|USD|1
2012-01-05|15.81|15.91|15.43|15.76|26905|USD|2
2012-01-06|15.79|16.15|15.65|16.06|35178|USD|3
2012-01-09|16.1|16.23|15.65|15.76|29746|USD|4
2012-01-10|15.89|16.17|15.71|15.89|56512|USD|5
2012-01-11|15.79|16.38|15.58|16.37|60476|USD|6
2012-01-12|16.35|16.7|16.35|16.65|54267|USD|7
2012-01-13|16.51|16.8|16.35|16.49|46701|USD|8
2012-01-17|16.58|16.61|15.98|16.35|31826|USD|9
2012-01-18|16.38|16.96|16.38|16.95|65058|USD|10
2012-01-19|16.98|17.1|16.65|16.9|70844|USD|11
2012-01-20|16.84|17.33|16.84|17.31|27149|USD|12
2012-01-23|17.43|17.43|17.09|17.33|22144|USD|13
2012-01-24|17.19|17.57|17.15|17.39|45521|USD|14
2012-01-25|17.38|17.44|17.28|17.32|43196|USD|15
2012-01-26|17.34|17.4|17.19|17.25|26538|USD|16
2012-01-27|17.23|17.33|17.16|17.21|51621|USD|17
2012-01-30|17.1|17.16|16.76|16.85|38806|USD|18
2012-01-31|16.94|16.94|16.7|16.75|83737|USD|19
2012-02-01|16.81|17.12|16.7|16.78|68809|USD|20
2012-02-02|16.8|17.18|16.73|16.77|100726|USD|21
2012-02-03|17.02|17.43|16.92|17.28|102032|USD|22
2012-02-06|17.27|17.48|17.14|17.32|75067|USD|23
2012-02-07|17.34|17.66|17.29|17.59|54454|USD|24
2012-02-08|17.69|18.0|17.64|17.83|42428|USD|25
2012-02-09|17.81|17.95|17.56|17.6|51068|USD|26
2012-02-10|17.49|17.73|17.48|17.6|42083|USD|27
2012-02-13|17.72|18.02|17.46|17.76|64706|USD|28
2012-02-14|17.74|17.91|17.7|17.86|49232|USD|29
2012-02-15|17.9|19.14|17.67|18.55|251911|USD|30
2012-02-16|18.62|19.38|18.57|19.02|113158|USD|31
2012-02-17|19.11|19.3|18.79|18.86|100496|USD|32
2012-02-21|18.89|19.11|18.57|18.66|84224|USD|33
2012-02-22|18.55|18.74|18.31|18.5|79436|USD|34
2012-02-23|18.51|18.94|18.32|18.78|77945|USD|35
2012-02-24|18.8|18.95|18.68|18.77|40426|USD|36
