Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|41.83|42.08|41.3|41.32|1573930|USD|0
2012-01-04|41.22|41.5|40.8|41.39|994435|USD|1
2012-01-05|41.29|41.32|40.8|41.02|1295664|USD|2
2012-01-06|41.0|41.84|41.0|41.66|1421149|USD|3
2012-01-09|41.55|41.85|41.42|41.72|1156208|USD|4
2012-01-10|42.3|43.34|42.22|42.51|1478496|USD|5
2012-01-11|42.34|42.63|42.11|42.5|1891966|USD|6
2012-01-12|42.65|43.21|42.52|42.6|1634372|USD|7
2012-01-13|42.36|42.82|41.84|42.69|1495782|USD|8
2012-01-17|43.12|43.21|42.45|42.59|1040651|USD|9
2012-01-18|42.68|43.36|42.63|43.3|1198360|USD|10
2012-01-19|43.44|44.6|43.44|44.42|1507771|USD|11
2012-01-20|44.5|44.59|44.15|44.41|1523634|USD|12
2012-01-23|44.21|44.73|43.92|44.23|1176340|USD|13
2012-01-24|43.96|44.17|43.61|43.86|1017334|USD|14
2012-01-25|44.0|44.35|43.65|44.24|1719637|USD|15
2012-01-26|44.61|45.0|44.34|44.72|1062920|USD|16
2012-01-27|44.51|44.71|44.18|44.5|937780|USD|17
2012-01-30|43.87|44.7|43.71|44.51|1352244|USD|18
2012-01-31|44.6|44.92|43.75|44.65|3692153|USD|19
2012-02-01|44.5|44.5|43.85|44.14|1683893|USD|20
2012-02-02|44.25|44.54|43.26|43.46|1538207|USD|21
2012-02-03|44.02|44.59|43.68|44.56|1851669|USD|22
2012-02-06|44.22|44.36|43.38|43.47|1269746|USD|23
2012-02-07|43.35|43.35|42.75|42.99|1820263|USD|24
2012-02-08|42.86|43.08|42.42|42.65|1417387|USD|25
2012-02-09|42.74|43.27|42.74|43.07|1027123|USD|26
2012-02-10|42.6|43.11|42.54|43.03|1251795|USD|27
2012-02-13|43.31|43.77|42.97|43.75|1195170|USD|28
2012-02-14|43.71|43.94|43.5|43.72|1499972|USD|29
2012-02-15|43.81|43.81|42.42|42.48|2437891|USD|30
2012-02-16|43.91|45.0|43.65|44.68|2455180|USD|31
2012-02-17|44.68|44.89|44.01|44.32|1671567|USD|32
2012-02-21|43.9|44.28|43.0|44.03|2106648|USD|33
2012-02-22|44.0|44.07|43.5|43.58|1562916|USD|34
2012-02-23|43.51|44.07|43.47|43.83|1274452|USD|35
2012-02-24|44.04|44.04|43.22|43.34|1250290|USD|36
2012-02-27|42.99|43.49|42.82|43.13|1376934|USD|37
2012-02-28|43.16|43.22|42.29|42.5|2138824|USD|38
2012-02-29|42.56|43.69|42.49|43.67|2955983|USD|39
2012-03-01|43.82|44.47|43.43|44.27|2143217|USD|40
2012-03-02|44.12|44.48|44.0|44.32|2005037|USD|41
2012-03-05|44.12|44.61|44.06|44.22|1949405|USD|42
2012-03-06|43.82|44.05|43.38|43.51|1795097|USD|43
2012-03-07|43.61|43.67|43.29|43.47|1644452|USD|44
2012-03-08|43.86|43.99|43.37|43.83|1194218|USD|45
2012-03-09|43.86|44.39|43.35|44.33|1147072|USD|46
2012-03-12|44.22|44.35|43.69|44.05|996286|USD|47
2012-03-13|44.33|44.98|44.26|44.97|1887545|USD|48
2012-03-14|44.96|44.99|43.88|44.17|1557680|USD|49
2012-03-15|44.09|44.73|43.99|44.55|1552130|USD|50
2012-03-16|44.48|46.16|44.48|45.81|3496678|USD|51
2012-03-19|45.5|46.27|45.5|46.1|2422743|USD|52
2012-03-20|45.74|45.81|45.1|45.29|1197763|USD|53
2012-03-21|45.18|47.2|44.99|46.98|2673823|USD|54
2012-03-22|46.48|46.76|46.08|46.39|1685838|USD|55
2012-03-23|46.52|46.52|45.76|46.26|1128958|USD|56
2012-03-26|46.58|46.9|46.4|46.9|1218015|USD|57
2012-03-27|46.87|46.9|46.47|46.58|926342|USD|58
2012-03-28|46.57|46.67|45.8|46.35|847163|USD|59
2012-03-29|46.1|46.32|45.52|46.29|1180888|USD|60
2012-03-30|46.59|46.81|46.14|46.51|1167990|USD|61
2012-04-02|46.36|47.04|46.24|46.58|1252034|USD|62
2012-04-03|46.38|46.57|45.83|46.24|990466|USD|63
2012-04-04|45.87|46.51|45.72|46.43|1035185|USD|64
2012-04-05|46.17|46.91|46.16|46.73|1415016|USD|65
2012-04-09|45.93|46.14|45.57|45.85|1126810|USD|66
2012-04-10|45.66|45.69|44.96|45.06|1641235|USD|67
2012-04-11|45.61|46.12|45.39|46.04|1239980|USD|68
2012-04-12|46.16|47.48|46.05|46.99|1702791|USD|69
2012-04-13|46.72|46.83|46.28|46.33|1063076|USD|70
2012-04-16|46.43|46.43|45.65|46.02|1450216|USD|71
2012-04-17|46.33|46.86|46.15|46.61|1368270|USD|72
2012-04-18|46.3|46.85|46.18|46.49|1382515|USD|73
2012-04-19|46.37|46.71|45.53|45.74|1174112|USD|74
2012-04-20|42.16|42.98|41.9|41.96|8188996|USD|75
2012-04-23|41.52|41.68|40.73|40.95|3292063|USD|76
2012-04-24|41.15|41.64|41.06|41.25|1983493|USD|77
2012-04-25|41.48|41.55|40.81|40.89|2652169|USD|78
2012-04-26|40.59|40.65|40.0|40.33|2942536|USD|79
2012-04-27|40.58|40.67|39.77|39.9|3174806|USD|80
2012-04-30|40.0|40.31|39.91|40.0|3566344|USD|81
2012-05-01|40.07|41.04|39.95|40.62|2728794|USD|82
2012-05-02|41.13|41.13|40.18|40.74|2006476|USD|83
2012-05-03|40.61|40.93|39.84|40.01|2747789|USD|84
2012-05-04|39.75|39.81|39.2|39.5|2481685|USD|85
2012-05-07|39.1|40.1|38.9|39.92|2065031|USD|86
2012-05-08|39.56|39.63|39.11|39.31|2927748|USD|87
2012-05-09|38.95|38.99|38.23|38.61|2940248|USD|88
2012-05-10|38.91|39.38|38.56|38.8|1538173|USD|89
2012-05-11|38.69|39.17|38.58|38.72|2551711|USD|90
2012-05-14|38.35|38.82|38.18|38.49|2751770|USD|91
2012-05-15|38.5|38.58|37.75|37.92|4679809|USD|92
2012-05-16|38.17|38.17|37.73|37.86|5373377|USD|93
2012-05-17|37.81|38.08|37.41|37.55|3602548|USD|94
2012-05-18|37.68|37.74|37.18|37.32|4163224|USD|95
2012-05-21|37.34|38.41|37.26|38.33|1792080|USD|96
2012-05-22|38.33|38.66|37.28|38.34|3492655|USD|97
2012-05-23|38.08|39.08|37.86|38.96|2957488|USD|98
2012-05-24|38.9|39.07|38.45|38.74|2553849|USD|99
2012-05-25|38.83|38.85|38.41|38.47|1683477|USD|100
2012-05-29|38.83|39.32|38.71|39.07|1830238|USD|101
2012-05-30|38.36|38.36|37.73|38.03|1959845|USD|102
2012-05-31|37.83|38.42|37.34|38.25|3295673|USD|103
2012-06-01|37.45|37.6|36.96|37.45|3321958|USD|104
2012-06-04|37.46|37.76|37.17|37.64|1986740|USD|105
2012-06-05|37.6|38.05|37.44|37.89|1790650|USD|106
2012-06-06|38.23|39.18|38.18|39.13|1436184|USD|107
2012-06-07|39.67|39.94|38.85|38.97|1607464|USD|108
2012-06-08|38.7|39.46|38.66|39.36|1106134|USD|109
2012-06-11|39.64|39.74|38.82|38.88|993426|USD|110
2012-06-12|39.05|39.23|38.64|39.08|1413970|USD|111
2012-06-13|39.0|39.42|38.63|38.86|878689|USD|112
2012-06-14|38.94|39.88|38.84|39.52|1310001|USD|113
2012-06-15|39.65|39.76|39.0|39.48|2045776|USD|114
2012-06-18|39.24|39.84|38.95|39.62|1119128|USD|115
