Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|46.01|46.33|45.09|45.26|771406|USD|0
2012-01-04|45.25|45.63|44.75|45.35|452025|USD|1
2012-01-05|44.39|44.75|43.94|44.23|1476745|USD|2
2012-01-06|44.29|44.85|44.16|44.72|701373|USD|3
2012-01-09|44.74|45.15|44.64|45.12|446369|USD|4
2012-01-10|45.72|46.08|45.29|46.03|687229|USD|5
2012-01-11|45.75|46.55|45.75|46.52|660153|USD|6
2012-01-12|46.56|47.49|46.47|47.34|1113528|USD|7
2012-01-13|47.21|47.71|46.79|47.56|1117800|USD|8
2012-01-17|47.32|48.05|47.2|47.74|871394|USD|9
2012-01-18|47.93|48.31|47.71|48.17|845489|USD|10
2012-01-19|48.3|48.91|48.08|48.87|855153|USD|11
2012-01-20|48.98|48.98|48.5|48.81|702633|USD|12
2012-01-23|48.47|48.64|47.82|48.56|968414|USD|13
2012-01-24|48.13|48.53|47.81|48.52|697268|USD|14
2012-01-25|48.6|48.93|48.21|48.63|1306259|USD|15
2012-01-26|49.07|49.99|48.74|49.3|1496405|USD|16
2012-01-27|50.51|51.9|50.21|50.81|2706603|USD|17
2012-01-30|50.73|50.88|50.05|50.75|813968|USD|18
2012-01-31|50.82|51.3|50.18|51.07|1511382|USD|19
2012-02-01|51.55|51.89|51.05|51.62|1171610|USD|20
2012-02-02|51.82|51.82|51.06|51.17|1196915|USD|21
2012-02-03|51.72|52.19|51.38|51.51|866830|USD|22
2012-02-06|51.22|52.0|51.04|51.91|1074409|USD|23
2012-02-07|51.95|52.67|51.6|52.38|1100484|USD|24
2012-02-08|52.38|52.58|51.62|51.91|755614|USD|25
2012-02-09|52.0|53.02|51.96|52.79|979608|USD|26
2012-02-10|51.98|52.31|51.55|52.31|1062361|USD|27
2012-02-13|52.63|52.91|52.23|52.29|850047|USD|28
2012-02-14|52.06|52.29|51.54|51.72|840780|USD|29
2012-02-15|51.99|52.01|50.96|51.21|863386|USD|30
2012-02-16|51.34|52.4|51.1|52.33|571657|USD|31
2012-02-17|52.46|52.49|51.47|51.76|634290|USD|32
2012-02-21|51.79|51.95|51.08|51.32|738851|USD|33
2012-02-22|51.32|51.63|50.83|50.95|904026|USD|34
2012-02-23|50.97|50.97|50.3|50.42|1453621|USD|35
2012-02-24|50.7|51.42|50.6|50.8|950613|USD|36
2012-02-27|50.62|51.28|50.31|51.01|800093|USD|37
2012-02-28|50.91|51.57|50.74|50.81|963749|USD|38
2012-02-29|50.85|51.53|50.73|51.21|1055005|USD|39
2012-03-01|51.28|52.41|51.27|52.09|850435|USD|40
2012-03-02|51.14|51.33|50.65|50.88|857964|USD|41
2012-03-05|50.89|51.31|50.44|51.24|497926|USD|42
2012-03-06|50.84|50.95|50.29|50.54|637081|USD|43
2012-03-07|50.67|50.67|49.98|50.5|767162|USD|44
2012-03-08|50.58|51.6|50.37|51.2|940352|USD|45
2012-03-09|51.31|52.29|51.05|52.15|728752|USD|46
2012-03-12|52.3|52.75|52.03|52.24|558760|USD|47
2012-03-13|52.51|53.28|52.12|53.26|675630|USD|48
2012-03-14|53.35|53.49|52.41|52.8|547779|USD|49
2012-03-15|52.89|54.93|52.85|54.65|1084342|USD|50
2012-03-16|54.86|54.86|54.05|54.64|1167654|USD|51
2012-03-19|54.5|54.82|54.2|54.34|445200|USD|52
2012-03-20|53.92|54.03|53.43|53.56|634597|USD|53
2012-03-21|53.71|54.14|53.4|53.86|567454|USD|54
2012-03-22|53.33|53.67|52.8|53.61|661251|USD|55
2012-03-23|53.72|53.83|52.81|53.69|433327|USD|56
2012-03-26|54.21|54.57|53.68|54.57|690844|USD|57
2012-03-27|54.98|55.13|54.2|54.86|779444|USD|58
2012-03-28|54.92|55.14|54.21|54.87|771384|USD|59
2012-03-29|54.57|55.04|54.06|54.92|689264|USD|60
2012-03-30|55.26|55.3|54.32|54.37|727541|USD|61
2012-04-02|54.39|55.55|54.26|55.12|641065|USD|62
2012-04-03|55.25|55.73|54.93|55.73|595295|USD|63
2012-04-04|55.35|55.94|55.2|55.72|942264|USD|64
2012-04-05|55.62|56.09|55.35|55.92|657564|USD|65
2012-04-09|55.13|55.51|54.67|55.04|628407|USD|66
2012-04-10|55.03|55.09|54.05|54.3|1151432|USD|67
2012-04-11|54.82|54.98|54.24|54.5|1210363|USD|68
2012-04-12|54.38|55.93|54.13|55.84|1191123|USD|69
2012-04-13|55.25|56.73|55.04|56.0|1516824|USD|70
2012-04-16|56.34|57.19|55.86|56.91|1281430|USD|71
2012-04-17|57.23|57.43|56.79|56.79|776449|USD|72
2012-04-18|56.41|56.65|56.03|56.21|866151|USD|73
2012-04-19|56.32|56.32|54.79|55.38|1086782|USD|74
2012-04-20|55.68|56.33|55.29|56.01|1093176|USD|75
2012-04-23|55.07|55.49|54.6|55.44|566277|USD|76
2012-04-24|55.65|55.94|55.35|55.65|432630|USD|77
2012-04-25|56.01|56.43|55.74|56.02|487847|USD|78
2012-04-26|55.71|55.71|54.54|55.39|708854|USD|79
2012-04-27|55.43|55.87|55.06|55.66|866395|USD|80
2012-04-30|55.52|55.7|55.14|55.31|522545|USD|81
2012-05-01|55.26|56.17|55.0|55.59|776060|USD|82
2012-05-02|55.12|57.37|55.12|57.1|831610|USD|83
2012-05-03|57.26|57.41|56.54|56.78|972758|USD|84
2012-05-04|56.62|56.62|55.94|55.97|528645|USD|85
2012-05-07|55.6|56.55|55.5|56.29|508196|USD|86
2012-05-08|55.89|56.29|55.37|56.23|687119|USD|87
2012-05-09|55.52|55.74|54.96|55.5|616230|USD|88
2012-05-10|55.91|56.01|55.0|55.23|301853|USD|89
2012-05-11|54.8|55.55|54.67|55.26|459823|USD|90
2012-05-14|54.9|55.18|54.37|54.94|435108|USD|91
2012-05-15|55.04|56.13|54.36|55.59|639538|USD|92
2012-05-16|55.66|56.11|55.24|55.34|777148|USD|93
2012-05-17|55.23|55.43|51.88|52.14|1728705|USD|94
2012-05-18|52.36|53.6|52.21|52.57|1067093|USD|95
2012-05-21|52.75|54.22|52.41|54.18|734993|USD|96
2012-05-22|54.43|54.88|53.96|54.31|865687|USD|97
2012-05-23|53.97|55.69|53.65|55.4|1041175|USD|98
2012-05-24|55.62|56.75|55.36|56.68|1166453|USD|99
2012-05-25|56.56|56.8|56.06|56.69|922411|USD|100
2012-05-29|56.94|57.92|56.9|57.47|748311|USD|101
2012-05-30|57.16|57.16|56.39|56.72|518016|USD|102
2012-05-31|56.62|57.34|55.9|57.13|800726|USD|103
2012-06-01|55.45|55.99|54.35|54.66|1023876|USD|104
2012-06-04|54.9|54.92|53.0|53.88|997801|USD|105
2012-06-05|53.52|54.31|53.3|54.0|703173|USD|106
2012-06-06|54.5|55.31|54.37|55.12|941734|USD|107
2012-06-07|55.5|55.89|54.71|54.77|806243|USD|108
2012-06-08|54.51|55.74|54.39|55.39|864132|USD|109
2012-06-11|55.93|56.25|55.5|55.57|791064|USD|110
2012-06-12|55.67|56.54|55.55|56.28|649586|USD|111
2012-06-13|56.34|57.3|55.73|56.81|1325394|USD|112
2012-06-14|56.75|57.99|56.43|57.53|827339|USD|113
