Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|12.84|13.02|12.76|12.85|198775|USD|0
2012-01-04|12.81|13.01|12.74|12.98|151634|USD|1
2012-01-05|12.86|12.92|12.53|12.92|212557|USD|2
2012-01-06|12.87|12.99|12.77|12.8|178577|USD|3
2012-01-09|12.81|13.23|12.77|13.0|176227|USD|4
2012-01-10|13.12|13.36|13.01|13.23|132748|USD|5
2012-01-11|13.15|13.35|12.92|13.34|146968|USD|6
2012-01-12|13.31|13.54|12.89|13.47|165823|USD|7
2012-01-13|13.29|13.53|13.01|13.13|103966|USD|8
2012-01-17|13.2|13.43|13.1|13.18|159886|USD|9
2012-01-18|13.19|13.84|13.09|13.59|147458|USD|10
2012-01-19|13.6|13.83|13.41|13.78|154719|USD|11
2012-01-20|13.71|14.0|13.54|13.94|357824|USD|12
2012-01-23|13.91|13.97|13.73|13.94|97902|USD|13
2012-01-24|13.82|14.02|13.41|13.76|185825|USD|14
2012-01-25|12.97|13.36|12.54|12.64|369657|USD|15
2012-01-26|12.74|12.95|12.54|12.73|234306|USD|16
2012-01-27|12.67|12.91|12.67|12.79|203091|USD|17
2012-01-30|12.74|12.95|12.71|12.75|169836|USD|18
2012-01-31|12.78|12.9|12.58|12.8|208838|USD|19
2012-02-01|12.88|13.26|12.77|13.19|320131|USD|20
2012-02-02|13.18|13.73|13.16|13.68|199158|USD|21
2012-02-03|13.9|14.32|13.82|14.05|185994|USD|22
2012-02-06|13.97|13.99|13.55|13.61|166742|USD|23
2012-02-07|13.54|13.58|13.34|13.44|162336|USD|24
2012-02-08|13.44|13.5|13.28|13.31|197443|USD|25
2012-02-09|13.37|13.47|13.16|13.36|123959|USD|26
2012-02-10|13.21|13.4|13.14|13.2|150178|USD|27
2012-02-13|13.3|13.32|13.16|13.2|139960|USD|28
2012-02-14|13.1|13.31|13.04|13.19|129025|USD|29
2012-02-15|13.29|13.29|12.9|13.06|143082|USD|30
2012-02-16|13.03|13.32|12.81|13.26|200520|USD|31
2012-02-17|13.28|13.43|12.91|12.94|178705|USD|32
2012-02-21|12.98|13.0|12.17|12.4|192560|USD|33
2012-02-22|12.34|12.4|11.97|11.99|248146|USD|34
2012-02-23|11.97|12.1|11.89|12.0|226401|USD|35
2012-02-24|11.99|11.99|11.65|11.71|168281|USD|36
2012-02-27|11.58|11.76|11.47|11.61|338898|USD|37
2012-02-28|11.64|11.79|11.5|11.57|468239|USD|38
2012-02-29|11.63|11.77|11.36|11.42|357563|USD|39
2012-03-01|11.56|11.63|11.4|11.41|273247|USD|40
2012-03-02|11.39|11.71|11.09|11.2|303614|USD|41
2012-03-05|11.23|11.38|11.04|11.15|188953|USD|42
2012-03-06|11.03|11.26|10.98|10.98|221716|USD|43
2012-03-07|11.02|11.12|10.96|11.12|181004|USD|44
2012-03-08|11.15|11.42|11.07|11.27|231851|USD|45
2012-03-09|11.23|11.44|11.16|11.24|212663|USD|46
2012-03-12|11.26|11.38|11.15|11.17|124533|USD|47
2012-03-13|11.33|11.44|11.25|11.43|290533|USD|48
2012-03-14|11.42|11.59|11.24|11.31|256882|USD|49
2012-03-15|11.31|11.57|11.3|11.53|192773|USD|50
2012-03-16|11.59|11.59|11.01|11.1|613264|USD|51
2012-03-19|11.07|11.5|11.03|11.33|268614|USD|52
2012-03-20|11.23|11.48|11.23|11.37|281856|USD|53
2012-03-21|11.36|11.46|11.11|11.18|224780|USD|54
2012-03-22|11.11|11.15|10.78|10.81|486191|USD|55
