Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|6.11|6.55|6.11|6.54|78047|USD|0
2012-01-04|6.61|6.98|6.46|6.94|126850|USD|1
2012-01-05|7.11|7.11|6.724|6.76|67662|USD|2
2012-01-06|6.77|6.9|6.66|6.81|40620|USD|3
2012-01-09|6.82|6.879|6.71|6.81|40237|USD|4
2012-01-10|6.8|6.8|6.7|6.76|14130|USD|5
2012-01-11|6.73|6.87|6.7|6.84|12363|USD|6
2012-01-12|6.83|6.848|6.71|6.76|25605|USD|7
2012-01-13|6.76|6.76|6.62|6.68|18085|USD|8
2012-01-17|6.71|6.73|6.51|6.66|31137|USD|9
2012-01-18|6.591|6.65|6.51|6.65|71786|USD|10
2012-01-19|6.65|6.73|6.57|6.68|47218|USD|11
2012-01-20|6.71|6.85|6.45|6.62|64825|USD|12
2012-01-23|6.59|6.74|6.56|6.62|13957|USD|13
2012-01-24|6.64|6.68|6.58|6.58|22637|USD|14
2012-01-25|6.54|6.75|6.47|6.63|46533|USD|15
2012-01-26|6.73|6.73|6.52|6.69|12728|USD|16
2012-01-27|6.63|6.67|6.39|6.57|76582|USD|17
2012-01-30|6.54|6.549|6.312|6.35|95184|USD|18
2012-01-31|6.35|6.5|6.33|6.49|19690|USD|19
2012-02-01|6.43|6.63|6.4|6.47|29409|USD|20
2012-02-02|6.53|6.9|6.47|6.9|84020|USD|21
2012-02-03|6.9|7.25|6.84|7.19|86195|USD|22
2012-02-06|7.2|7.2|6.88|6.94|47879|USD|23
2012-02-07|7.04|7.15|6.899|7.11|32154|USD|24
2012-02-08|7.09|7.49|7.09|7.38|104523|USD|25
2012-02-09|7.41|7.64|7.27|7.57|107267|USD|26
2012-02-10|7.73|7.85|7.39|7.8|110173|USD|27
2012-02-13|7.98|8.4|7.8|8.39|244638|USD|28
2012-02-14|8.4|8.87|8.14|8.85|261627|USD|29
2012-02-15|8.92|9.092|8.42|8.63|363426|USD|30
2012-02-16|8.61|8.7|8.35|8.38|129134|USD|31
2012-02-17|8.41|8.41|7.9|7.93|159820|USD|32
2012-02-21|8.0|8.13|7.53|7.68|190421|USD|33
2012-02-22|7.75|8.29|7.65|8.1|142632|USD|34
2012-02-23|8.21|8.34|8.13|8.3|119722|USD|35
2012-02-24|8.34|8.485|8.16|8.32|79440|USD|36
2012-02-27|8.39|8.39|8.15|8.19|106624|USD|37
2012-02-28|8.16|8.29|8.16|8.22|88974|USD|38
2012-02-29|8.28|8.3|8.19|8.25|120601|USD|39
2012-03-01|8.29|8.479|8.17|8.27|99819|USD|40
2012-03-02|8.28|8.4|8.08|8.14|134378|USD|41
2012-03-05|8.18|8.47|8.17|8.42|128803|USD|42
2012-03-06|8.43|8.43|8.252|8.4|31851|USD|43
2012-03-07|8.41|8.87|8.37|8.74|134765|USD|44
2012-03-08|8.79|8.95|8.78|8.94|65047|USD|45
2012-03-09|8.99|9.3|8.94|9.15|309289|USD|46
2012-03-12|9.34|9.4|9.06|9.38|214288|USD|47
2012-03-13|9.39|9.47|9.26|9.47|104649|USD|48
2012-03-14|9.43|9.43|9.19|9.31|126064|USD|49
2012-03-15|9.27|9.41|8.95|9.41|124751|USD|50
2012-03-16|9.01|9.39|9.0|9.03|100596|USD|51
2012-03-19|9.09|9.09|8.64|8.9|117193|USD|52
2012-03-20|8.9|8.94|8.78|8.78|58186|USD|53
2012-03-21|8.82|8.9|8.75|8.79|65602|USD|54
2012-03-22|8.76|8.835|8.57|8.79|58065|USD|55
2012-03-23|8.75|8.99|8.73|8.92|50033|USD|56
2012-03-26|8.99|9.026|8.94|8.95|36605|USD|57
2012-03-27|9.01|9.5|9.01|9.436|140767|USD|58
2012-03-28|9.5|9.92|9.49|9.79|178602|USD|59
2012-03-29|9.8|10.31|9.78|10.29|291276|USD|60
2012-03-30|10.38|11.0|10.237|10.87|279755|USD|61
2012-04-02|10.99|11.22|10.45|11.13|380458|USD|62
2012-04-03|11.21|11.25|10.941|11.11|182663|USD|63
2012-04-04|11.14|11.19|10.52|10.73|132520|USD|64
2012-04-05|10.67|10.94|10.45|10.54|107156|USD|65
2012-04-09|10.42|10.42|9.611|10.09|150920|USD|66
2012-04-10|10.03|10.49|10.03|10.25|105432|USD|67
