Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|17.6|17.75|17.35|17.4|9560|USD|0
2012-01-04|17.45|17.85|17.45|17.55|4550|USD|1
2012-01-05|17.45|17.5|16.85|17.2|6719|USD|2
2012-01-06|17.25|17.4|16.85|16.85|8188|USD|3
2012-01-09|16.85|17.2|16.85|17.15|4625|USD|4
2012-01-10|17.4|18.0|17.055|17.75|5991|USD|5
2012-01-11|17.8|17.8|17.39|17.7|2846|USD|6
2012-01-12|17.8|18.545|16.8|18.3|11689|USD|7
2012-01-13|18.1|18.1|17.05|17.95|8458|USD|8
2012-01-17|18.35|18.35|17.05|17.9|10941|USD|9
2012-01-18|18.45|18.85|17.802|18.5|13595|USD|10
2012-01-19|18.65|21.1|18.65|20.6|33380|USD|11
2012-01-20|20.65|20.75|19.555|19.8|14840|USD|12
2012-01-23|19.35|19.35|18.4|18.6|8738|USD|13
2012-01-24|19.85|20.45|19.25|20.1|23690|USD|14
2012-01-25|20.2|20.2|19.0|19.3|38865|USD|15
2012-01-26|19.45|19.45|17.0|17.15|36052|USD|16
2012-01-27|17.1|17.246|16.2|16.55|34699|USD|17
2012-01-30|16.35|17.0|15.85|16.2|23076|USD|18
2012-01-31|16.4|16.725|16.25|16.55|9232|USD|19
2012-02-01|16.7|16.7|15.9|16.3|29164|USD|20
2012-02-02|16.2|16.546|15.85|16.35|14759|USD|21
2012-02-03|16.3|17.25|16.101|17.15|17292|USD|22
2012-02-06|16.95|17.75|16.4|17.05|5741|USD|23
2012-02-07|17.0|17.05|16.475|16.55|6758|USD|24
2012-02-08|16.3|16.493|16.0|16.15|12717|USD|25
2012-02-09|16.25|16.55|16.0|16.2|13096|USD|26
2012-02-10|16.25|16.9|16.2|16.2|13575|USD|27
2012-02-13|16.7|17.85|16.7|17.5|22067|USD|28
2012-02-14|17.45|17.796|17.1|17.2|10181|USD|29
2012-02-15|17.35|17.45|16.8|17.05|11608|USD|30
2012-02-16|17.0|17.45|16.305|16.6|25074|USD|31
2012-02-17|16.65|16.8|16.25|16.4|14083|USD|32
2012-02-21|16.5|17.25|16.3|16.65|10580|USD|33
2012-02-22|16.601|17.35|16.601|16.85|6726|USD|34
2012-02-23|17.0|17.45|17.0|17.45|12025|USD|35
2012-02-24|17.4|17.45|17.2|17.35|2751|USD|36
2012-02-27|17.3|17.45|17.0|17.1|4452|USD|37
2012-02-28|17.1|17.2|16.45|16.7|6320|USD|38
2012-02-29|16.75|16.895|16.2|16.2|10770|USD|39
2012-03-01|16.35|16.6|15.6|15.95|11844|USD|40
2012-03-02|17.35|17.799|16.45|16.9|38166|USD|41
2012-03-05|16.85|17.25|16.45|16.85|8498|USD|42
2012-03-06|16.45|16.45|15.755|16.3|8176|USD|43
2012-03-07|16.4|16.7|16.0|16.6|8235|USD|44
2012-03-08|16.7|17.25|16.05|16.65|12490|USD|45
2012-03-09|16.7|16.7|15.95|16.1|14959|USD|46
2012-03-12|16.25|16.75|16.15|16.45|33056|USD|47
2012-03-13|16.75|17.1|16.25|16.9|35761|USD|48
2012-03-14|17.1|17.25|16.8|16.9|5228|USD|49
2012-03-15|17.05|17.25|16.6|17.2|6077|USD|50
2012-03-16|17.35|17.7|17.25|17.45|24813|USD|51
2012-03-19|17.45|19.95|17.399|19.4|65514|USD|52
2012-03-20|19.85|21.009|19.5|20.7|88446|USD|53
2012-03-21|20.7|21.15|19.5|19.65|31291|USD|54
2012-03-22|19.65|20.15|19.0|19.5|15805|USD|55
2012-03-23|19.55|19.849|18.151|18.7|22147|USD|56
2012-03-26|19.15|19.55|18.8|18.85|14090|USD|57
2012-03-27|19.15|19.2|18.35|18.35|12897|USD|58
2012-03-28|19.5|19.5|18.0|18.3|13252|USD|59
2012-03-29|18.25|18.45|17.6|17.85|11790|USD|60
2012-03-30|18.05|18.196|17.15|17.3|24206|USD|61
2012-04-02|17.3|17.8|17.05|17.25|11019|USD|62
2012-04-03|17.2|17.25|16.75|17.0|14350|USD|63
2012-04-04|16.8|17.0|16.45|16.75|10952|USD|64
2012-04-05|16.75|17.05|16.5|16.9|7546|USD|65
2012-04-09|16.9|16.9|16.0|16.7|22847|USD|66
2012-04-10|16.9|16.9|16.0|16.0|11580|USD|67
2012-04-11|16.25|16.626|16.0|16.5|14927|USD|68
2012-04-12|16.4|17.2|16.4|16.8|10174|USD|69
2012-04-13|16.75|16.75|16.2|16.5|7092|USD|70
2012-04-16|16.55|17.0|16.25|16.85|9565|USD|71
2012-04-17|16.95|17.55|16.9|17.15|11655|USD|72
2012-04-18|17.0|17.0|16.3|16.55|4573|USD|73
2012-04-19|16.5|16.95|15.85|16.1|19789|USD|74
2012-04-20|16.4|16.6|16.25|16.25|9220|USD|75
2012-04-23|16.25|16.6|16.0|16.05|20250|USD|76
2012-04-24|16.1|16.455|16.0|16.4|6198|USD|77
2012-04-25|16.4|16.55|16.1|16.2|5947|USD|78
2012-04-26|16.3|16.3|16.0|16.25|7751|USD|79
2012-04-27|16.45|16.5|16.1|16.3|10271|USD|80
2012-04-30|16.3|16.45|16.15|16.15|4543|USD|81
2012-05-01|16.3|16.5|16.0|16.0|7885|USD|82
2012-05-02|16.05|16.2|14.955|15.7|26258|USD|83
2012-05-03|15.75|15.8|15.15|15.35|14771|USD|84
2012-05-04|15.3|15.3|14.55|14.65|15089|USD|85
2012-05-07|14.65|15.35|13.425|15.0|15256|USD|86
2012-05-08|14.8|15.05|14.3|14.7|7008|USD|87
2012-05-09|14.5|15.0|14.5|14.5|3736|USD|88
2012-05-10|14.5|14.796|13.85|14.1|5433|USD|89
2012-05-11|13.95|14.555|13.9|14.05|13609|USD|90
2012-05-14|14.05|14.15|13.0|13.0|17390|USD|91
2012-05-15|13.0|13.5|12.55|13.1|12040|USD|92
2012-05-16|13.1|14.4|13.1|13.6|8846|USD|93
2012-05-17|13.7|13.7|12.755|13.1|8709|USD|94
2012-05-18|13.05|13.3|12.65|13.2|19089|USD|95
2012-05-21|13.25|13.6|12.75|13.6|7007|USD|96
2012-05-22|13.55|14.5|13.4|14.4|8593|USD|97
2012-05-23|14.1|14.55|13.75|14.4|7334|USD|98
2012-05-24|14.35|14.35|13.35|13.85|5809|USD|99
2012-05-25|13.95|15.25|13.851|15.25|8301|USD|100
2012-05-29|15.2|15.3|14.5|14.9|7228|USD|101
2012-05-30|14.75|15.15|14.65|14.65|3312|USD|102
2012-05-31|14.65|14.7|14.001|14.1|4829|USD|103
2012-06-01|13.85|14.2|13.35|13.35|5525|USD|104
2012-06-04|13.35|13.8|13.05|13.4|3959|USD|105
2012-06-05|13.25|14.4|12.501|13.85|5286|USD|106
2012-06-06|14.0|14.8|13.75|14.15|5193|USD|107
2012-06-07|14.4|14.4|13.7|14.15|4758|USD|108
2012-06-08|14.15|14.15|13.45|13.8|6617|USD|109
2012-06-11|13.85|14.45|13.85|14.15|5677|USD|110
2012-06-12|14.25|14.5|13.85|14.35|3642|USD|111
2012-06-13|14.2|14.5|14.2|14.4|2667|USD|112
2012-06-14|14.45|14.85|13.85|14.85|5897|USD|113
2012-06-15|14.85|15.3|14.7|15.15|9763|USD|114
2012-06-18|15.0|15.6|14.5|15.55|7189|USD|115
2012-06-19|15.4|16.0|14.75|15.35|7141|USD|116
2012-06-20|15.4|16.074|15.35|16.05|2141|USD|117
2012-06-21|16.0|16.15|15.4|15.75|6570|USD|118
2012-06-22|15.9|16.2|14.75|15.0|31489|USD|119
2012-06-25|15.1|15.55|15.0|15.3|4650|USD|120
2012-06-26|15.4|15.7|15.0|15.45|5498|USD|121
2012-06-27|15.3|15.45|14.75|14.95|8322|USD|122
2012-06-28|14.9|15.45|14.55|14.75|6181|USD|123
2012-06-29|15.15|15.725|15.05|15.7|6791|USD|124
2012-07-02|15.55|16.25|15.1|16.1|7904|USD|125
2012-07-03|16.15|16.25|15.65|16.25|3296|USD|126
2012-07-05|16.15|16.25|16.0|16.15|8146|USD|127
2012-07-06|16.3|16.3|15.555|15.7|7657|USD|128
2012-07-09|15.6|16.0|14.9|15.55|27515|USD|129
2012-07-10|15.9|16.1|15.0|15.05|7245|USD|130
2012-07-11|15.05|15.65|15.05|15.45|5104|USD|131
2012-07-12|15.45|15.95|15.305|15.95|7965|USD|132
2012-07-13|16.0|16.15|15.15|16.15|2873|USD|133
2012-07-16|16.15|16.15|15.255|15.55|2780|USD|134
2012-07-17|15.75|15.75|15.0|15.3|5168|USD|135
2012-07-18|15.05|15.625|15.05|15.55|3137|USD|136
2012-07-19|15.45|15.899|15.203|15.25|2809|USD|137
2012-07-20|15.3|15.8|15.0|15.55|6158|USD|138
2012-07-23|15.5|15.55|15.25|15.3|6249|USD|139
2012-07-24|15.35|15.648|14.25|14.45|8078|USD|140
2012-07-25|14.1|15.7|14.1|14.9|3864|USD|141
2012-07-26|15.05|15.1|14.85|15.05|6927|USD|142
2012-07-27|15.05|15.6|14.65|15.4|11663|USD|143
2012-07-30|10.0|11.0|9.5|9.8|154153|USD|144
2012-07-31|10.0|10.25|9.25|9.3|56247|USD|145
2012-08-01|9.3|9.3|7.75|7.85|66292|USD|146
2012-08-02|7.9|8.95|7.9|8.35|13285|USD|147
2012-08-03|8.35|8.7|7.8|8.25|8204|USD|148
2012-08-06|8.25|8.25|7.95|8.0|8359|USD|149
2012-08-07|8.05|8.25|8.0|8.15|12053|USD|150
2012-08-08|8.2|8.2|7.95|8.0|11742|USD|151
2012-08-09|8.0|8.0|7.5|7.7|14896|USD|152
2012-08-10|7.85|7.899|7.35|7.4|14880|USD|153
2012-08-13|7.4|7.45|7.0|7.3|14630|USD|154
2012-08-14|7.35|7.45|7.15|7.4|5269|USD|155
2012-08-15|7.45|7.45|7.0|7.2|5653|USD|156
2012-08-16|7.15|7.5|7.0|7.5|15100|USD|157
2012-08-17|7.45|8.0|7.45|8.0|15243|USD|158
2012-08-20|8.25|9.245|8.25|9.1|30789|USD|159
2012-08-21|9.25|9.4|8.35|8.8|16612|USD|160
2012-08-22|8.8|8.95|8.25|8.9|11887|USD|161
2012-08-23|9.0|9.0|8.5|8.6|4029|USD|162
2012-08-24|8.55|8.65|8.0|8.45|4389|USD|163
2012-08-27|8.45|8.55|8.15|8.25|6295|USD|164
2012-08-28|8.4|8.45|7.95|8.05|12005|USD|165
2012-08-29|8.05|8.1|7.75|7.85|5378|USD|166
2012-08-30|7.85|8.0|7.85|7.85|3574|USD|167
2012-08-31|8.0|8.25|8.0|8.15|3350|USD|168
2012-09-04|8.0|8.601|8.0|8.4|10183|USD|169
2012-09-05|8.35|8.65|8.25|8.5|12961|USD|170
2012-09-06|8.6|8.6|8.1|8.4|13140|USD|171
2012-09-07|8.55|8.55|8.05|8.45|7473|USD|172
