Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|0.66|0.74|0.66|0.71|41709|USD|0
2012-01-04|0.7|0.72|0.68|0.72|35209|USD|1
2012-01-05|0.72|0.74|0.69|0.71|72230|USD|2
2012-01-06|0.7|0.75|0.7|0.75|39884|USD|3
2012-01-09|0.77|0.82|0.75|0.78|145962|USD|4
2012-01-10|0.77|0.8|0.75|0.75|31911|USD|5
2012-01-11|0.76|0.79|0.75|0.75|42594|USD|6
2012-01-12|0.75|0.76|0.68|0.72|134920|USD|7
2012-01-13|0.7|0.73|0.69|0.7|27724|USD|8
2012-01-17|0.7|0.77|0.69|0.71|159987|USD|9
2012-01-18|0.7|0.73|0.69|0.69|146401|USD|10
2012-01-19|0.69|0.74|0.68|0.68|133872|USD|11
2012-01-20|0.68|0.73|0.68|0.69|172113|USD|12
2012-01-23|0.75|0.75|0.69|0.73|124395|USD|13
2012-01-24|0.75|0.82|0.72|0.8|333564|USD|14
2012-01-25|0.83|0.83|0.75|0.76|172746|USD|15
2012-01-26|0.77|0.77|0.7|0.71|156132|USD|16
2012-01-27|0.7|0.74|0.7|0.72|28768|USD|17
2012-01-30|0.73|0.75|0.71|0.72|80082|USD|18
2012-01-31|0.72|0.77|0.7|0.77|180928|USD|19
2012-02-01|0.73|0.77|0.71|0.72|114147|USD|20
2012-02-02|0.72|0.77|0.72|0.75|296539|USD|21
2012-02-03|0.75|0.79|0.74|0.77|69255|USD|22
2012-02-06|0.77|0.79|0.75|0.75|98699|USD|23
2012-02-07|0.76|0.79|0.73|0.74|115242|USD|24
2012-02-08|0.74|0.79|0.74|0.78|83946|USD|25
2012-02-09|0.78|0.84|0.77|0.83|163900|USD|26
2012-02-10|0.8|0.84|0.78|0.79|88022|USD|27
2012-02-13|0.81|0.82|0.76|0.79|101520|USD|28
2012-02-14|0.78|0.82|0.74|0.79|139600|USD|29
2012-02-15|0.76|0.81|0.74|0.81|85479|USD|30
2012-02-16|0.81|0.81|0.76|0.77|139141|USD|31
2012-02-17|0.76|0.79|0.75|0.76|209277|USD|32
2012-02-21|0.76|0.8|0.74|0.74|122682|USD|33
2012-02-22|0.75|0.77|0.73|0.73|158315|USD|34
2012-02-23|0.73|0.76|0.71|0.72|127329|USD|35
2012-02-24|0.72|0.75|0.7|0.72|450267|USD|36
2012-02-27|0.71|0.74|0.7|0.73|54816|USD|37
2012-02-28|0.73|0.74|0.7|0.7|100987|USD|38
2012-02-29|0.7|0.74|0.68|0.73|159559|USD|39
2012-03-01|0.73|0.73|0.68|0.7|193239|USD|40
2012-03-02|0.69|0.72|0.69|0.69|48450|USD|41
2012-03-05|0.69|0.72|0.69|0.69|133930|USD|42
2012-03-06|0.68|0.71|0.68|0.68|104032|USD|43
2012-03-07|0.68|0.71|0.68|0.7|6936|USD|44
2012-03-08|0.68|0.71|0.68|0.71|44748|USD|45
