Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|1.94|1.94|1.86|1.86|4300|USD|0
2012-01-05|1.88|1.88|1.88|1.88|300|USD|1
2012-01-06|1.86|1.87|1.86|1.87|1000|USD|2
2012-01-09|1.86|1.88|1.86|1.86|800|USD|3
2012-01-11|1.86|1.87|1.86|1.87|8075|USD|4
2012-01-12|1.87|1.87|1.86|1.86|4200|USD|5
2012-01-17|1.82|1.87|1.82|1.85|2462|USD|6
2012-01-18|1.82|1.82|1.82|1.82|262|USD|7
2012-01-19|1.85|1.9|1.85|1.9|4848|USD|8
2012-01-20|1.85|1.9|1.85|1.9|9979|USD|9
2012-01-23|1.87|1.9|1.87|1.9|1000|USD|10
2012-01-24|1.9|1.9|1.9|1.9|8460|USD|11
2012-01-25|1.9|1.9|1.9|1.9|3600|USD|12
2012-01-26|1.9|1.9|1.9|1.9|8300|USD|13
2012-01-27|1.9|1.9|1.9|1.9|1800|USD|14
2012-01-30|1.9|1.9|1.88|1.88|5800|USD|15
2012-01-31|1.9|1.9|1.9|1.9|10300|USD|16
2012-02-01|1.88|1.88|1.8|1.81|62920|USD|17
2012-02-02|1.8|1.8|1.8|1.8|508|USD|18
2012-02-03|1.81|1.85|1.8|1.8|5045|USD|19
2012-02-06|1.83|1.83|1.83|1.83|800|USD|20
2012-02-07|1.8|1.87|1.8|1.81|2234|USD|21
2012-02-08|1.83|1.84|1.83|1.84|400|USD|22
2012-02-10|1.84|1.84|1.81|1.81|7600|USD|23
2012-02-13|1.81|1.83|1.81|1.83|4470|USD|24
2012-02-14|1.81|1.82|1.81|1.81|2700|USD|25
2012-02-15|1.8|1.81|1.8|1.81|1350|USD|26
2012-02-16|1.81|1.84|1.79|1.79|36475|USD|27
2012-02-17|1.8|1.85|1.8|1.85|15091|USD|28
2012-02-21|1.83|1.89|1.83|1.88|26974|USD|29
2012-02-22|1.89|1.9|1.81|1.81|15105|USD|30
2012-02-23|1.81|1.84|1.81|1.84|1100|USD|31
2012-02-24|1.88|1.88|1.81|1.81|2932|USD|32
